,tag,name,badgeId,trophies,rank,memberCount
0,#GPR0CG8C,Hidden Phoenix,8000041,826650,1,30
1,#2GJ8C20LL,Kenya Brawlers,8000035,819855,2,30
2,#2C800UQ0L,도순연합꾼,8000029,732037,3,30
3,#2PGVYC9,Kenya brawlers,8000014,720764,4,30
4,#2C8Y92CYQ,상동초,8000037,632032,5,30
5,#28Y0YGCLP,ATOM,8000023,616774,6,2
6,#GL29C8,mombasa saints,8000037,615326,7,30
7,#2GPGUV9U0,CDK,8000019,599063,8,30
8,#2C8C8JCU0,Treey!,8000051,587927,9,30
9,#2GPPR2P9G,Ман зелень(228),8000039,565038,10,30
10,#CJGV20,Kenya +254,8000052,563756,11,23
11,#2VP9L2R2,소리소리,8000029,515899,12,30
12,#2200LCG8V,The Men! (K.E🔥,8000034,494848,13,16
13,#2CGGRY929,win,8000058,435506,14,26
14,#22V2GGU0P,Lou's Club,8000007,418766,15,30
15,#Q8RJJVGQ,잼민이들 모여라,8000023,398043,16,29
16,#20GLGVQCP,브롤,8000028,397786,17,30
17,#U2JCUCLL,kenya,8000025,392538,18,30
18,#28LGL9LGY,╰⁔╯,8000049,363709,19,18
19,#2L8JC8YY,Happy Brawlsday,8000057,361889,20,18
20,#2RPRL89RV,PWERT,8000057,352515,21,23
21,#2C9QJLVVG,Korean/대한민국,8000018,345811,22,29
22,#CPLCUQC0,Клуб про,8000058,338320,23,30
23,#PLRCY0QY,삼성라이온,8000053,333477,24,23
24,#2JL22LG2,Chromie Homies,8000016,332402,25,28
25,#G29U29QR,Elite_holdik,8000021,329165,26,24
26,#2CRP2PGV0,옥자,8000000,327486,27,20
27,#LQC0V2CY,Россия,8000018,297311,28,30
28,#2GJ0JQ9J0,전투,8000029,294350,29,28
29,#L2JLYR8U,우리 멤버들,8000003,291075,30,30
30,#RC99QR0J,hggfdsjk,8000000,286351,31,30
31,#2CYLPVPLC,Ice Clan,8000015,285834,32,30
32,#28UL29VU0,Зомби team,8000030,282874,33,30
33,#80ULC90P,Arinox Army,8000029,276859,34,27
34,#2G0CJ8VQG,ложка,8000039,275424,35,24
35,#288GRQQCQ,MR.TEAM,8000023,273322,36,30
