,tag,name,badgeId,trophies,rank,memberCount
0,#2QG2CV9YV,Edelweiss🐙,8000021,3547829,1,1
1,#VVLYRPP8,Legion Fulmina,8000029,1457334,2,30
2,#898292CL,Legion Inferior,8000049,1409301,3,30
3,#8JJPRP2L,Legion Dacia,8000029,1402133,4,29
4,#202YJ202C,DESPERATION N,8000006,1204357,5,30
5,#2CP2RU0GR,КГ Каганат🇰🇬,8000023,1134982,6,30
6,#VU90UJU2,DESPERATION Z,8000006,1088518,7,30
7,#28LGPCUP0,Hello Demon,8000004,1073834,8,30
8,#QPUQCL8U,B.O Stars,8000019,1068466,9,30
9,#QYUCJ8G2,PROVOCATION KG,8000004,1063417,10,30
10,#QG8LQ0G0,крутооой777,8000013,1063375,11,29
11,#2YYRVJPLR,Torchki,8000025,1048085,12,30
12,#YUG8PRCL,Strict Regime,8000034,1041811,13,30
13,#2QQ8QVRLV,Fs | Elite,8000004,1017528,14,30
14,#JGU0UUVC,DESPERATION B,8000006,1017296,15,30
15,#282L2J0YG,Jigiter,8000001,1004838,16,30
16,#20VLGQ8RP,👑Velikiy Order,8000029,995570,17,30
17,#2QG0YU82Y,Mini game,8000017,989520,18,30
18,#2RL80GRCG,Family EXT,8000038,988495,19,30
19,#28U8GGP02,NAVI_SPORTS,8000029,956245,20,29
20,#2G0QPYJQG,HeyTon Brothers,8000025,951706,21,30
21,#PPP8G9G2,Бикини Боттом,8000005,901905,22,30
22,#2JCYL02VV,dahuya smartB'S,8000013,897576,23,29
23,#29YQYYLUG,<c5>DvD-1</c>,8000056,897019,24,30
24,#2JRLLGPL8,Mugiwara's Crew,8000004,884376,25,29
25,#2LPGRU22U,100pudoff,8000029,879646,26,30
26,#2C98RYCQJ,Unknown1,8000036,877881,27,29
27,#2J9J9YQLR,PoPS,8000005,868820,28,30
28,#2C8V8Q2V2,DESPERATION?,8000006,866166,29,30
29,#2L82G22UJ,EXT Volcano,8000037,865609,30,30
30,#2GC208JYG,FC OWEE 👾,8000025,853583,31,8
31,#29JLUYPQV,🍀ИКДРАСИЛЬ🍀,8000029,851994,32,30
32,#2CR2RP8QV,⛩️Sumiko⛩️,8000059,849745,33,30
33,#2GP8GQ0VV,🔥MATRIX🔥,8000013,842706,34,29
34,#PVLJVL0G,SuPeR ToPeRs,8000008,838810,35,30
35,#2C9GP0C82,Бойцовский клуб,8000029,829840,36,30
36,#29LCVGUUQ,NAVI*|Family*,8000029,829186,37,30
37,#2JCPCY2VP,IzVinner Tea🌪️,8000022,824415,38,30
38,#2GUG8UU2C,ways team,8000057,818079,39,30
39,#2CQUYC8RC,🔱✵Eternity✵🔱,8000029,810966,40,30
40,#QG282JPP,Alians_Venom,8000033,808529,41,30
41,#29R2PPYGJ,Летучие 🦇Мыши,8000021,805142,42,30
42,#20VPGQ9QV,ExceLLence_Club,8000041,805055,43,29
43,#QRGY290Q,CRX|invincible),8000041,797643,44,30
44,#2RC90LGV8,ALWAYS1FORWARD,8000053,797178,45,30
45,#VPY80CCV,Пуки Спуки,8000013,765375,46,30
46,#LCRCR90G,METALL,8000004,763101,47,30
47,#JLRQJQUG,Я тут батя,8000026,761357,48,29
48,#2Y999UPYY,Дарвин,8000037,757538,49,30
49,#29GQ9CVQP,Купить,8000055,757497,50,29
50,#QC00L80Y,Teams|Faster🦋,8000011,750973,51,30
51,#2G9RVCCY8,ZXC_:,8000041,750283,52,30
52,#2Q92PQUGL,{Star platinum},8000007,747042,53,30
53,#29LCQQ9UR,Berlin 1945💥,8000034,739297,54,30
54,#2C9QYY9G0,чача моча,8000041,737285,55,30
55,#20RGG9CVP,Kyrgyz Fighting,8000027,736060,56,30
56,#2YV2Q22R2,Ware_Paradise,8000043,733861,57,26
57,#CJ009UUU,Друзья по всему,8000023,730470,58,29
58,#CUCGCVJP,⚔×ºLEGIONº×⚔,8000006,722526,59,30
59,#QCQ9C0CC,legion Z,8000054,720939,60,30
60,#29JYYQRGC,8а,8000023,719059,61,29
61,#2C8CU00CL,СПОДЖ,8000040,715832,62,30
62,#29PJRP8P,КОНОХА,8000006,712471,63,30
63,#28UGQG22V,𝙺𝙶|𝚃𝙴𝙰𝙼,8000029,706391,64,30
64,#QRJJ8C88,NAVI|>BRAWL,8000018,706205,65,28
65,#2JUL08U8Y,STAR.FAMILY,8000007,705721,66,30
66,#22JL0G9VC,KG|B ZONE,8000007,701546,67,30
67,#2QCVQJJ8J,svoiludi,8000041,697855,68,30
68,#2JUV0Y9VR,Люблю её ❤️,8000034,696506,69,28
69,#2JPRVR9J0,CTRL|CopyPaste,8000057,695215,70,27
70,#29R80LJJ8,Tu7PbI|Academy,8000037,694128,71,29
71,#QRLVCVQC,klan UCHIHA,8000036,693020,72,30
72,#28P800U89,Elite⚡️,8000029,685576,73,30
73,#8RCQRPPR,EXT Storm,8000003,685386,74,30
74,#29GQPGYCP,ROAR,8000034,682358,75,30
75,#29928LGQY,Shelly Gang 💯,8000039,679195,76,30
76,#2J80RVUG2,Союз геев,8000039,678479,77,30
77,#2JGUJVQ9J,anime,8000013,676075,78,27
78,#2C8GYCQQC,KG|BRAWLERS,8000013,675514,79,20
79,#2JRCUYLP0,XeR1k_Sw,8000055,671283,80,28
80,#22RQ9CP0L,☠D☠,8000023,667025,81,30
81,#299RUP0YV,OLD PLAYERS KGZ,8000055,664791,82,30
82,#2CGLPPYL0,🌌ЗВЁЗДОЧКИ🌠,8000002,659067,83,28
83,#28UVPVCUC,CROATIA,8000023,655567,84,28
84,#2CLGV009U,Monkey D Jompes,8000027,653951,85,30
85,#2C98982CJ,legends,8000037,649177,86,30
86,#GL90LVCL,Türkiye'Esports,8000029,648802,87,30
87,#2C2UVU2J2,영차클럽,8000004,648221,88,30
88,#2G9UV9LP9,ЛЕГЕНДЫ,8000055,645755,89,29
89,#RR0PPRY0,Женя Ветеран,8000037,645473,90,30
90,#2899JPYQ2,SDuds,8000032,641164,91,30
91,#29GGUUU00,мативация🔥🔥💪,8000037,639474,92,30
92,#2JYQ2UQC8,대복이,8000055,638653,93,30
93,#2CP0P908Y,Акацуки,8000004,635091,94,30
94,#2GLY2J8LP,GuC|OP team,8000049,634047,95,30
95,#2G90PP098,gou/монстры,8000034,631680,96,30
96,#2LV82GP99,⚽real|brolbol,8000055,631395,97,29
97,#2JYGCGYR2,ARGENTINA,8000055,625843,98,22
98,#R2GJJ9P8,(ПОТ)ПУПООЗИ,8000038,625314,99,30
99,#RPR2VJJQ,Б_И_Ш_К_Е_К,8000019,622128,100,30
100,#L2QCLUGP,BRAWLER X,8000059,621764,101,30
101,#RRQQYRYY,ХулаЭпик,8000021,617464,102,30
102,#2GCUG2YUV,N1ger,8000037,609978,103,30
103,#2LY0CUC20,romoceku,8000050,608173,104,30
104,#29Q0PQVJG,экооо,8000051,603466,105,30
105,#2928R2PP2,ILYEO,8000033,602887,106,25
106,#2JUULQ08P,BARA-squad,8000036,602714,107,30
107,#290C22G0U,Closed,8000037,602318,108,30
108,#2JC9V9CPL,-48 | Pushers✨,8000029,601210,109,30
109,#LULUY9P0,bee hive,8000047,600406,110,30
110,#VCVPPJU2,ЯКУДЗА-77,8000037,599964,111,30
111,#Q8RVCVJ0,клуб натуралов,8000018,599829,112,30
112,#2JRQRQP00,Sky_team,8000033,599519,113,30
113,#900992G9,YukiStar,8000029,597401,114,30
114,#2902GRQLG,_NAVI_CLUB_,8000059,597241,115,28
115,#LYGRUL28,"☆《""KG~GAMER""》☆",8000037,596205,116,28
116,#L2QQ88YC,клуб любителей,8000023,593691,117,30
117,#2LGVPL2YC,❄️ŌPÌ MÃÑ🥀,8000013,591001,118,26
118,#2JR99GRL2,BS | TEAM,8000007,589589,119,29
119,#2C2R2QJCQ,HS|Team,8000013,587951,120,30
120,#2C9RURUGU,КЫРГЫЗЫ ТОП🇰🇬,8000023,587823,121,30
121,#YJYRLUCU,🇰🇬КЫРГЫЗДАР🥇,8000023,586255,122,30
122,#C2U8V929,банда актана2.0,8000009,582822,123,30
123,#2C9UULG2P,Sunset~STEM,8000059,579925,124,29
124,#2C9LUL0G2,МЕГА. КОПИЛКА.,8000057,574108,125,30
125,#2QYV2G2YR,Адамчики,8000023,573875,126,30
126,#29RUYQYU9,Клуб:  #29RUYQYU9,8000037,572169,127,30
127,#C2RRY8V9,DELİYİZ BİZ,8000023,571132,128,17
128,#2L20J2Q2G,balykchi007,8000059,571050,129,30
129,#8L8Q02CC,QWE|juicy 💗,8000013,566870,130,30
130,#2CG9RCQ2Q,Reiji's,8000049,566063,131,30
131,#2CRPVCYP9,[BAN] HOUSE,8000021,564893,132,27
132,#2CG88YCCC,KNIGHT CLUB,8000031,564080,133,30
133,#28RU88L9P,Brawlschool#1,8000021,562510,134,29
134,#2C02CUVQ2,Kyrgyzstan hero,8000049,559235,135,30
135,#VYG8LUUR,DESPERATION E,8000006,558939,136,21
136,#28ULLLJG8,friends,8000023,557488,137,27
137,#298QRLLGV,ミ⁠●⁠﹏⁠☉⁠ミ,8000004,556645,138,30
138,#2JQG90JQL,КРУТЫЕ ЛЮДИ,8000041,555031,139,29
139,#2CGJUVVVQ,хз,8000023,554844,140,30
140,#29CL8C9PC,Hyra🌖,8000041,553778,141,29
141,#Y8QU2RJJ,Ищите пару🔥❤,8000013,552885,142,30
142,#QJ2Y0QJ9,ГРИША ЗАДАНАЙТ,8000021,544012,143,28
143,#2CPLGQ9GP,сельский клуб,8000037,541537,144,29
144,#2RQ8GYQJQ,ТЫ РОМАШКА,8000047,540392,145,30
145,#YP9YYV82,Nani's Club,8000023,539234,146,30
146,#2902P8V08,La Jungle PL,8000027,539146,147,30
147,#QYJRVCY0,отряд нави,8000011,535390,148,29
148,#2QVPQQRQU,TOP TEAM,8000029,534053,149,30
149,#PYVPGQ88,TeamHard,8000025,533652,150,29
150,#292Q9QQC9,Red Devils|MU,8000037,533339,151,22
151,#2G0GQYCJC,MONSTERS : 😈,8000041,531390,152,30
152,#22LU8Q0LC,ИСКО YT,8000004,530532,153,30
153,#2C9LVYQVG,предатель 😡,8000000,530252,154,30
154,#29LL00CQR,WST|TEAM,8000037,529937,155,22
155,#RYQ899JQ,звёздный старс,8000029,526617,156,29
156,#29QGQ0U9J,Kyrgyzstan ❤️🤫,8000046,525855,157,30
157,#2QGQ0UGU8,The Tempo Vox™,8000009,522860,158,30
158,#2JPCP2UP8,👑Royal Famile,8000007,522490,159,30
159,#2GCCJQJYJ,Sky Band|🌋,8000033,521949,160,29
160,#J80RVPCY,<c7>LEGENDA</c>,8000049,520674,161,30
161,#2C2QV0G9J,Muxa,8000038,520524,162,28
162,#2P2PUCLR,КЛУБ #65,8000018,517294,163,30
163,#LYLGCJRJ,_GGG_SBAI,8000003,515470,164,30
164,#VGQ8Y0VQ,🇰🇬KG TOP🇰🇬,8000055,513840,165,29
165,#YJJLPLQG,KG_777,8000021,512892,166,28
166,#2C9CUGRVJ,Cup Hunters,8000058,512329,167,30
167,#P8LQJJ28,гарем асем,8000054,510147,168,29
168,#2C28PRCLU,Blaze Club,8000046,508951,169,27
169,#20CJCYRLL,BrawlStars Club,8000057,508268,170,30
170,#QYVUC90R,FIRE WIZARDS,8000041,508012,171,30
171,#2GC20QGP2,IP,8000025,506961,172,29
172,#UCPGC0P,ДРУЗЯ,8000055,506862,173,30
173,#Q8G8JCLG,[BTF] Family,8000044,504939,174,27
174,#Q9GQ8V0Y,Yff kefteme,8000037,503879,175,30
175,#29J9Y9Y90,Достор,8000037,503805,176,30
176,#LQGYQJLQ,NAVI,8000048,501889,177,30
177,#2GYQCY92U,kawasakii,8000025,501351,178,30
178,#20V0PJPPU,IcE_Kingdom,8000011,501049,179,30
179,#QPRU2P9C,Гигачады,8000029,498925,180,30
180,#2G28VPG9R,сканара,8000038,498715,181,27
181,#2L29LVRJ8,5А РеФаЛ,8000055,497438,182,30
182,#2PVPC2LPR,ПУШКА,8000018,495830,183,26
183,#28YLGPVPC,WASTED💋,8000004,495741,184,30
184,#22LY890Q2,🇰🇬KGZ-ТОП,8000029,495310,185,29
185,#Q92QP0U9,АГРО ПУПСИКИ,8000049,492851,186,30
186,#29G82UJGU,Na1lmy squad🌪,8000007,492175,187,30
187,#288QU8LUY,MMA|UFC,8000037,490928,188,28
188,#2R0QCCPVR,⭐Stars Team⭐,8000029,489554,189,21
189,#QJ0LQURL,Hiso.cluB,8000023,488646,190,25
190,#2L89JLJYG,3987,8000021,487358,191,30
191,#2LU8L80GV,NoName,8000053,485994,192,20
192,#V8QLRR8U,красапчик,8000006,485993,193,30
193,#29C9Q2LGL,DFE (12345),8000023,485721,194,28
194,#2C999CV2L,N1GA,8000029,484163,195,29
195,#29JQLV2GC,51_kg,8000010,483708,196,30
196,#LCC88P2J,Death Gun,8000044,483398,197,30
197,#JJCQC828,Anteiku.,8000007,482049,198,28
198,#2GP90L2LY,kyrgyz time,8000037,481627,199,23
199,#2CJQRYL8C,капибары,8000037,475700,200,30
