,tag,name,badgeId,trophies,rank,memberCount
0,#2PCC0P0VU,·.·★ ᴋɪɴɢ ★·.·,8000004,1250477,1,21
1,#29R8CUG8G,Squad Place,8000023,698008,2,29
2,#QG2GGVQC,Мужики рулят,8000012,685570,3,29
3,#29GJLVLRP,les saucissons,8000016,667159,4,30
4,#29U8Y8P0L,Kirov Team,8000050,650414,5,30
5,#2GQJP9YY0,TurtleTurtles,8000047,649630,6,29
6,#CGJUUPLY,Los primos,8000057,568525,7,30
7,#C99L9VU0,みずみょん,8000047,523124,8,26
8,#2G8LLLL0Y,Футбол и Дино,8000015,486397,9,30
9,#2Q0928RRC,LyzoxYT,8000043,485939,10,23
10,#8UJCUL2,блейдеры,8000010,462111,11,30
11,#2QLCQRYUR,Monkeys_Only,8000047,444345,12,30
12,#U820LRGV,🌹❤️KANKİLER❤️,8000027,435596,13,27
13,#2PYQL2GQR,초강력브롤,8000018,434336,14,29
14,#2JRYRUVPY,Бибика🚙,8000054,433445,15,30
15,#2JPLRPG9L,재주클랜 농구,8000007,428467,16,28
16,#2G0JCJ989,모티스연맹,8000006,427623,17,30
17,#2CCYPU0RG,Alliance,8000048,418673,18,10
18,#29L8V0YUG,KİLLER,8000037,415686,19,27
19,#U2CYUYQY,GLOW,8000017,415639,20,20
20,#29YVRPGQP,Cactos Sortudos,8000038,414808,21,30
21,#2C8J90R9P,lesBG76,8000049,385501,22,30
22,#28RQ08RLU,BOMBLES❤️‍🔥,8000059,375431,23,25
23,#2CJJ9JY29,kolobky🧪,8000015,375311,24,28
24,#G8JG2UQ0,матвей друзья,8000025,357979,25,29
25,#Q2YG90L0,попа тика,8000041,353682,26,30
26,#29R9UJ0VC,Adam larrr,8000058,344530,27,28
27,#2Q2QQL2U0,clubs Ronaldo,8000057,336896,28,27
28,#2CPCC02QU,MGCOIN,8000016,335069,29,30
29,#2LC99P9YG,💖💖💖,8000057,320253,30,20
30,#2RYLLPJ89,Mantel's team,8000013,319063,31,21
31,#2Y20RCJ98,j'aime le 🍞,8000055,312706,32,28
32,#2QLQP88UC,muck,8000010,309194,33,30
33,#8J890VUC,OSTROŁĘKA,8000012,304374,34,30
34,#2L29URJYG,Лайм и мята,8000049,294121,35,11
35,#2JR0CQ2Y2,Spasskie,8000014,293772,36,30
36,#2JUPVLRRL,규태잦이,8000027,290984,37,30
37,#2C2982L9G,KRS|BROLSTARS,8000029,288780,38,28
38,#2JRRPPGCQ,семья гп,8000051,285896,39,16
39,#282V988PG,Utopique Brawl,8000023,274976,40,17
40,#U02UYGU,3RAB PROS,8000016,274435,41,24
41,#2GR0CY2VY,zxc,8000004,273457,42,15
42,#2L9QVPRJ8,BM3,8000007,255767,43,28
43,#CCRQJYG0,THE LEGENDS,8000022,254174,44,27
44,#2Y29P8Y88,✨Brawleroschek✨,8000006,247100,45,30
45,#2LV82RGQ2,отчимы егора👎,8000037,243820,46,30
46,#2JJ9LLG2Q,USSR,8000023,239640,47,16
47,#VQ9VRCR0,Банда БеЗуМцЕв,8000008,239524,48,24
48,#2980RPUQV,Wisdom,8000049,237172,49,26
49,#LY0VVVVL,MACİTLER,8000004,235051,50,26
50,#2CJ09C290,ו3 ניצנים,8000011,234732,51,17
51,#2R8QLV2QP,AFGM|God Mortis,8000037,230629,52,11
52,#2CP8JLJ9P,최강대광,8000034,228011,53,28
53,#2YC9Q9C90,Laxury,8000035,226861,54,11
54,#29QRRJP2Y,гуль,8000004,222803,55,19
55,#2G9V2VGQ0,ком Анд калл,8000057,222535,56,30
56,#28QR9Y9YG,I❤️corvo,8000057,221682,57,20
57,#2JGVCCJQY,Areks|ELITE,8000023,220697,58,12
58,#JGGC2PCP,SY/SYR MBS♥🇸🇾,8000023,219254,59,30
59,#2QLUJQCGL,Les TR,8000005,218693,60,15
60,#28Q0Y80J2,mat ren ame,8000027,218311,61,29
61,#LLLVP822,給食団,8000029,215864,62,29
