,tag,name,badgeId,trophies,rank,memberCount
0,#RVUURC9G,🔥Red Dragons🔥,8000029,2566544,1,1
1,#2R02GUVJY,Synergy Latvia,8000032,1307789,2,28
2,#UL090CQ,Averdly,8000055,1287760,3,29
3,#2GR229VUV,CyberSport LV,8000023,1253771,4,30
4,#2L0V80Q98,Ананд,8000057,1215233,5,30
5,#2L98998UY,🏆Brawl Stars🏆,8000029,1153184,6,30
6,#29VJ8V8RQ,~BLACK HEROES~,8000041,1148225,7,30
7,#8PGG8V,Latvia,8000023,1130944,8,30
8,#282P2GVJ2,pipele,8000025,1045721,9,30
9,#YJQVQRPQ,play clubleague,8000008,1014698,10,30
10,#2CRL8VC8R,Imperial🔮,8000025,1001798,11,30
11,#2PY9U2QYR,L.A.T.V.I.A,8000023,990720,12,30
12,#2GCVJUL0G,HS Riga 2013,8000025,975890,13,30
13,#2QG00Q2VG,Клуб: #2QG00Q2VG,8000008,960150,14,30
14,#2LL9VYC2G,☠️LV|SQUAD☠️,8000004,927771,15,29
15,#29Q98VQL8,Ultimate Penny,8000025,925939,16,27
16,#2Q28YYVUQ,WW TV,8000002,921910,17,30
17,#2QGL2LUVY,Warriors,8000025,889835,18,30
18,#2C8GVGRJP,Synergy Latvia2,8000032,886033,19,30
19,#29YGPQ8RY,Mighty Brawlers,8000023,866885,20,30
20,#9CYRQGU9,KAPĀTĀJI,8000023,865911,21,30
21,#2CRCLQ2GJ,ZXC МАШИНЫ,8000037,850595,22,30
22,#2RV29G998,Legend pelmeni,8000034,842603,23,30
23,#2G2YQGU0J,morarox,8000007,828305,24,28
24,#2G92YPVY9,Плюшевая армия,8000052,815393,25,30
25,#2Q2P2Q9Q0,Lost paradise:),8000039,808626,26,30
26,#28U0Q9UYY,Niki,8000018,804005,27,30
27,#28GLYU9JG,Toxic Brawl,8000053,796062,28,30
28,#29QRVCVY0,BrawlBozos,8000029,793662,29,27
29,#2JVCUQ0LG,Venom💙TeAm🍧,8000047,790397,30,30
30,#2CGL8JR2Y,Latvian Navi,8000029,788707,31,30
31,#2CC299PGV,Orphanage,8000016,780951,32,24
32,#2R889002L,McMz,8000059,763392,33,29
33,#UUL99GYR,NEJAUKAIS ES.LV,8000023,762556,34,30
34,#29JPPUGJY,LATVIA TEAM,8000059,762460,35,29
35,#29RQPG8U9,MS|SQUAD,8000029,759040,36,30
36,#20YJ9RVGQ,BRAWL BEASTS,8000023,754639,37,30
37,#2C2LCJG09,BS|MoonTeam,8000023,748930,38,30
38,#28YVRYYGJ,🗡🛡|Defenders,8000037,747367,39,30
39,#2GGL8CGC8,Jackdaw,8000023,747068,40,30
40,#2JR8Q9YJU,viнибухич,8000013,740259,41,30
41,#2CGLJGUV8,poxuipoxuimne🤓,8000047,739753,42,30
42,#209928LC9,миру-мир,8000018,736649,43,30
43,#LUGY28GJ,Riga,8000023,727891,44,30
44,#P99UCCCV,бабабуй,8000029,726248,45,30
45,#2C9RLVJRC,AzamatBS,8000057,724606,46,30
46,#2CR00CGPG,☠winners club☠️,8000053,722012,47,30
47,#QL2YRC0Y,VOID CLAN|VC,8000017,719356,48,29
48,#JY2QRLQ9,berst frands,8000045,715287,49,29
49,#22YVYYCCY,Чёрный бабиджон,8000054,714369,50,30
50,#PJU98VGY,BrowlzBoiz,8000023,714352,51,30
51,#2P8RPCYUG,ГРИМЛЯНЫ,8000029,703520,52,29
52,#2C829R0GG,VP Abasralis,8000013,702126,53,30
53,#G920Q0QQ,Latvija,8000036,699146,54,30
54,#PQURCLUJ,ICE CREAM TEAM,8000013,681399,55,30
55,#CC890CQC,Nerātnie,8000057,675262,56,30
56,#C209Q9VG,LatvianElite,8000023,674344,57,30
57,#2R9C0R28,Latvia Rus,8000023,673838,58,30
58,#2JYJJ20V,Nova I Latvija,8000010,673063,59,30
59,#2GYLU202Q,RA TA TUI🐀,8000047,670617,60,30
60,#QJGUQU8G,SK Team,8000059,669312,61,30
61,#QR9PPC98,LV bros✌️🇱🇻,8000052,668902,62,30
62,#29YYUVLPR,League,8000029,666551,63,30
63,#2G920VJQC,Sargi LV,8000035,666465,64,30
64,#2QULC9VR0,The Chilly Band,8000013,663776,65,29
65,#29YJ20GQ9,No nacist,8000055,656399,66,30
66,#2CYQVUGJC,Яичко🍳,8000039,656073,67,30
67,#GGLQQRQG,Lociki,8000029,652202,68,30
68,#8PQ08VJV,крутые бобы,8000047,650432,69,30
69,#2C2P9V8V8,Sheixx2,8000025,637150,70,30
70,#2RVGQ8YJG,Mario&Luigi,8000004,634931,71,30
71,#QYYC98C2,LATVIA,8000023,633726,72,30
72,#8GVP00GV,ЭЛЬ НИГО,8000037,633481,73,30
73,#QLJRRLVQ,_KINGS_TEAM_,8000029,628192,74,30
74,#2JCYQY8LP,Тульский пряник,8000035,625700,75,29
75,#20GU9LY9R,RAREZ,8000055,622387,76,25
76,#9QGVYGG,Latvia,8000023,622112,77,30
77,#2G9Y2PR29,babi,8000035,619973,78,30
78,#29LVVRUP8,LvAstro,8000037,618588,79,28
79,#2JJJURYV8,GG|Team🤫,8000050,617273,80,24
80,#2JYLCYU0C,Strong Power,8000039,613039,81,20
81,#2C9JRV02V,Synergy Jurmala,8000021,612135,82,29
82,#GL00QGJ,MST,8000039,610065,83,30
83,#200QYV0YL,🍓BIG stars🍓,8000057,605370,84,30
84,#2RCPVPC92,Brawl_Legacy,8000018,605217,85,30
85,#2QQU98PC0,Big fupelis,8000059,604741,86,30
86,#20Y9C802L,Team | LV,8000029,603483,87,30
87,#2PUQ0GGQ,Gambit Latvia,8000035,603423,88,30
88,#2RJ2JPVUQ,nakshura’s club,8000023,603326,89,29
89,#2RUPL8U09,2xv_uzis,8000057,599947,90,29
90,#2PYR999PG,TOP LATVIJA#1,8000018,596857,91,29
91,#2PCRLUVQC,Whats updog?,8000039,591814,92,30
92,#29G99LUPR,BY_family,8000017,590438,93,28
93,#L2C88PR9,Убийцы Кланов,8000023,587737,94,30
94,#2R9GGV9CC,super spoki,8000037,587225,95,30
95,#2GG9R2V8C,POUPOULE FC,8000048,585395,96,30
96,#20V2UJ00L,Navi,8000049,585279,97,23
97,#22G90CQU0,blaze of darkne,8000029,585136,98,30
98,#JL2V8UPG,BIG FAMILY,8000023,581670,99,29
99,#G0GC8JP9,Team Latvia BS,8000023,579488,100,30
100,#RURPJYLV,юрас,8000001,578937,101,30
101,#QCG882QC,WU TANG-CLAN,8000023,577308,102,30
102,#Q9P8C2RY,LatvianHomiees,8000029,577067,103,29
103,#28J9PR2QY,Killer | Play,8000029,571457,104,30
104,#89JPUL28,Etuberi,8000035,568134,105,29
105,#2JUGGYJPU,Latvia🇱🇻,8000023,567567,106,30
106,#QPJ82008,MM#TOMA ™,8000010,566852,107,30
107,#2Q99CCULQ,лесные уроды,8000004,566835,108,30
108,#28U99G998,КЛУБ ЛЕОНА,8000023,566317,109,30
109,#2YL28CJGP,nilsvo,8000037,564693,110,30
110,#LQVG2PUC,Electrolux,8000004,558561,111,30
111,#2RVLJLQVY,BRAWLSTARS,8000006,556879,112,30
112,#2G9PYRQU0,schoolts,8000017,555827,113,30
113,#29L2QG00L,Brabus,8000055,554114,114,30
114,#29RGUYLQY,Killer club,8000004,553315,115,30
115,#9PUR2Y02,.ПОпуасы.,8000023,552589,116,30
116,#29CJUPVG9,lv turtles,8000025,551436,117,28
117,#2JLGCQCLG,MimikKLUB,8000001,550706,118,27
118,#2J88PPC9V,Neon4ik Team,8000043,547516,119,24
119,#28VQYRY0C,kriks kroks,8000037,547112,120,30
120,#20JC2CJYR,нога бегемота,8000029,546077,121,30
121,#QC0UU2V2,LATVIA🇱🇻,8000007,544600,122,30
122,#2JQ9JY0G0,Tuzin,8000027,543313,123,15
