,tag,name,badgeId,trophies,rank,memberCount
0,#9RQ9Y0LL,New Lebanon,8000024,1526155,1,29
1,#22V90Q82P,Phenomenon,8000045,1328850,2,30
2,#2J28YYCUJ,LEB TV,8000056,1303777,3,29
3,#2PUJ9U0GG,New Lebanon 2,8000024,1273426,4,29
4,#2C0GPJJQR,New Lebanon 3,8000024,1230505,5,30
5,#2J2YPYC88,Lebanon lions,8000013,1178116,6,30
6,#CLY0VRQJ,LEB Masters,8000018,1163029,7,30
7,#29JLU2Q09,LEBANON🫀🇱🇧,8000037,1150489,8,30
8,#2QVG92Q0R,LEBANON BOYS,8000029,1085410,9,30
9,#29QUUPVVR,Only|Win Gaming,8000018,1057570,10,28
10,#29U00P9L,LEB GANG,8000028,1042780,11,30
11,#2CGRLU0U2,New Lebanon 5,8000024,1025360,12,30
12,#QRG2Y9QQ,New Lebanon 4,8000024,1019279,13,27
13,#29Q9YGRP9,.YONKO.,8000013,1014267,14,28
14,#QJR2RCY8,New Lebanon 6,8000024,968962,15,29
15,#2G2JGGGUY,Brawl kings,8000027,915796,16,26
16,#LGCYRQ,In 2 Reality,8000013,900568,17,30
17,#2CRPJRQYC,Old Bloods,8000004,899324,18,30
18,#2JVYPJLLL,ITSWEYEN 🔥,8000023,883484,19,29
19,#28RPQ9J0Q,SilentKillers☠️,8000000,880105,20,24
20,#R0P8JPCU,ZE zizi,8000006,874613,21,30
21,#2R0QPCYQJ,Highly Educated,8000058,867928,22,30
22,#GJ0LJJYY,kings,8000029,852158,23,29
23,#22Q9CPQPP,Prankstars,8000018,848809,24,30
24,#2GL9LJLVQ,MOBS,8000057,845790,25,29
25,#GVC0CRC,lebanon,8000005,841978,26,30
26,#2CJQGYCQ2,New Lebanon A,8000024,836227,27,29
27,#U288VGGL,DARK BOOMERS,8000034,835561,28,30
28,#2R8L22JL2,420Zone,8000023,822171,29,24
29,#2YUCJ8Y0J,Apple Team,8000037,820441,30,30
30,#20JVR9YCR,family club ♥️,8000056,815893,31,29
31,#QQJ9U8VC,F2P Bandits,8000037,805353,32,30
32,#J2YJPCRV,the king friend,8000055,802136,33,22
33,#28C9RGRGU,do club league,8000029,793952,34,30
34,#2LPV2LU80,BRAWL IN,8000019,793023,35,30
35,#2J8RVL2VJ,super League,8000035,779972,36,30
36,#2L0Y8QC28,Club Of Brawler,8000048,779694,37,24
37,#2LP09QCLC,THE BAD BOYS 😈,8000034,778002,38,29
38,#28RUUVG80,THE PROS,8000023,776751,39,29
39,#2GUR0YVC2,Dark Storm,8000053,769561,40,30
40,#2G0PU0QQY,Manegel,8000000,767865,41,30
41,#2CRL02U82,Bad Boys L AIS,8000049,756961,42,29
42,#2G000JCQU,Tiktok world,8000059,755084,43,30
43,#2GP0C88LP,JR 🔋POWER,8000047,748357,44,30
44,#2GRQ08RYU,shugubugula,8000037,748155,45,30
45,#J02YGV8R,BRAWL KINGS,8000037,737174,46,30
46,#29L02CLR2,Bs|Goats🍷,8000035,735110,47,29
47,#QYRP29,Jnoon,8000023,733330,48,30
48,#2JLQPLLPP,LEGENDERIES+,8000033,729564,49,30
49,#2C28YQP82,fanar on top,8000037,727050,50,29
50,#29J0Y8PY2,LEBANON 2024,8000023,717387,51,30
51,#909C29PV,Revolution 1,8000033,716322,52,30
52,#2G29GVPPU,el gang,8000023,716092,53,30
53,#29GG9RGV9,only online,8000057,714053,54,30
54,#QQJP8YJG,D̸a̸ H̸o̸o̸d̸🍷,8000023,708502,55,30
55,#2JULRV22Q,The Beasts,8000048,699717,56,30
56,#29YJP282Q,adrean gamer,8000021,696088,57,30
57,#2CYYUC8V0,THE SPEARTONS,8000046,694960,58,30
58,#2GVU8JY8Q,NORA CLAN,8000000,690799,59,30
59,#CULUUY8P,THE FIGHTERS,8000018,672974,60,30
60,#2C22J2Y9C,Lebanon Stars,8000037,670992,61,27
61,#2CGGYPJV,opiopiu,8000022,668444,62,30
62,#2JV2UY0RJ,Sweetest Dreams,8000059,664476,63,30
63,#2GL8U98L0,RT CLAN,8000023,661702,64,29
64,#2C8J2YPRC,lebanon♥️,8000057,659972,65,28
65,#2YR8PRGUV,FORGOTTEN IK,8000007,658453,66,30
