,tag,name,badgeId,trophies,rank,memberCount
0,#28URP8Q8R,Glushnik Army,8000004,852045,1,30
1,#QC2RRY82,~Volki°bs{TT}~,8000021,739551,2,30
2,#29L8JUR9L,OWNER #1,8000049,639727,3,30
3,#28L22UY9P,лига теней,8000039,602722,4,30
4,#J8U02YGP,иллка топ,8000029,564184,5,25
5,#299U8CVYV,Luci YT,8000025,523144,6,29
6,#2GP09YRLJ,Club_Francais.2,8000025,506819,7,29
7,#2CRPRCG9L,TRW,8000004,486829,8,30
8,#2QQ020J28,🐯Dead Leons,8000059,455472,9,27
9,#2G2RVUC29,ПУТЬ 500 К,8000048,445152,10,20
10,#29QVCRJCJ,Pitulice,8000037,431527,11,30
11,#2C9LRQLYJ,Bambusy,8000013,430926,12,30
12,#22PQY9QJ,GARDA DE FIER,8000009,403696,13,30
13,#20P8PGLUL,Львів,8000012,400271,14,30
14,#2282VP0G,STD,8000008,363758,15,28
15,#PGG098LG,Boxer#der Nita,8000055,356398,16,30
16,#2G8UCCP,лол кек,8000005,333728,17,17
17,#CYGLYG9L,anakardos,8000004,333358,18,26
18,#RU0GVQYG,CROW ARMY YT,8000007,326969,19,29
19,#2LVGQJRYP,Gänsgassen Gang,8000031,288045,20,29
20,#2PQPC9UVC,BS MAFIA,8000006,282799,21,30
21,#29PJY92JR,BTT,8000004,275097,22,11
22,#2YYYLP9LJ,A FeW CoOd MeN,8000057,265489,23,30
23,#2JCLG9YJ0,Ping Zone,8000023,263311,24,10
24,#2VGRC0V,losdeportistas,8000036,261863,25,25
25,#LUQGYUUY,Magic Académie,8000029,260230,26,22
26,#2R220VYP2,RUSSIAN ELITE,8000016,255529,27,13
27,#222RCUG09,Nine_Esports🥀,8000037,254830,28,11
28,#2CRLCCC0Y,이수초 최강클럽,8000037,254450,29,29
29,#28JQY0V89,SILOÉ_BRAWL,8000037,237632,30,30
30,#2QVR8QJJG,profi_bez_skila,8000052,230367,31,18
31,#2RUCRQ2RC,EL MUCHACHOS,8000049,227402,32,14
32,#22LV9Q0G8,FETAKSING,8000004,225740,33,23
33,#YV90GJYJ,Чечня_95,8000023,220590,34,12
34,#2JYUVVCUY,пик бог,8000048,218058,35,26
35,#2J89CJR89,OR-L x Rakko,8000025,217753,36,29
36,#VJUJPJQJ,"5 ""Г""",8000004,211668,37,18
37,#208UGRJG8,Львів,8000012,209475,38,25
