,tag,name,badgeId,trophies,rank,memberCount
0,#2CY29R8P0,Хантеры,8000053,906054,1,30
1,#29G9QC82Y,Lb | Push,8000029,896959,2,28
2,#29YYR89CU,⚔️K̶l̶a̶n̶⚔️,8000023,786523,3,30
3,#202RL0UQ8,無課玩家的避風港,8000057,749764,4,30
4,#J0Q0QJPL,iubiti😘,8000029,747321,5,28
5,#2JV0P0Q98,КАМЧАТКА,8000039,742199,6,30
6,#2QPGJGYLL,Brotish,8000015,627215,7,27
7,#2YR0JY8RP,GG X GEMS X,8000049,575261,8,27
8,#2CPQU92VL,一群死馬仔亂降職,8000016,533054,9,30
9,#2JRQVYG89,BsL Team,8000021,518566,10,29
10,#2C2RVYJL0,Monkeys,8000047,507747,11,30
11,#2GGLC9UVL,Shadow_Team,8000014,453255,12,29
12,#2JQLGYY2Q,Italia-_-,8000034,409850,13,30
13,#2J80UG2PU,[sansqere]team,8000059,378118,14,26
14,#2R09CJ8GV,АО МММ,8000025,376690,15,18
15,#UG29QR29,☠️popok Elita😈,8000007,365843,16,26
16,#29LUCG8C0,Compot и нана,8000005,341733,17,28
17,#2JG2L982Y,128,8000029,330025,18,19
18,#2P8RLR8Y8,LEON,8000037,326042,19,18
19,#LYQYCUYG,💛En iyiler💛,8000029,266624,20,4
20,#2JPPV99PQ,КОМИЛЬФО,8000002,261832,21,18
21,#R0Q82RCU,Avokado,8000017,258501,22,17
22,#PYVR988J,крупные крутые,8000023,247713,23,30
23,#2CPLL9QQ2,브롤스타도현,8000049,231866,24,30
24,#2RGRV28JG,カラキタ,8000057,222811,25,30
25,#UV8JJYG0,TR❤AZ,8000038,219144,26,26
26,#2PV0V09U2,愛しのプランクトン,8000008,216667,27,18
27,#2PU9CVYJ8,Lebery,8000036,210570,28,28
28,#LU299UCU,ZrS |EsPorSt,8000023,205049,29,29
29,#28VUCL90C,🌵Буйена-диез🤠,8000005,203907,30,30
30,#2GYR2C8LU,Sad Demons,8000035,203462,31,28
31,#2PGJ22QC,Tr Dostlar,8000023,202123,32,16
32,#2C0P2L0U0,TÜRKİYE,8000023,191773,33,29
33,#L89V0V9J,DaworeSports,8000039,190569,34,9
34,#2JULJ8PCL,Ran_ger.club,8000057,189636,35,30
35,#2QC9QRVYL,türkiyem,8000023,182099,36,30
36,#GQJVJ9YY,132099,8000029,178850,37,29
37,#20CVV99U9,психоkids,8000050,174109,38,28
38,#V99LRVR,mat2009,8000018,169960,39,29
39,#UP2RVVYU,норка,8000057,166571,40,21
40,#2Q2R8CRR2,AQM ZETA☔,8000059,165875,41,12
41,#2J2LCPR0U,샤크랜드,8000059,162423,42,30
42,#2C8UJRGY8,שיפודי רעות,8000049,161281,43,30
43,#29P8VG2GL,witaj,8000029,158844,44,26
44,#2C9L9QPPG,고펭긴,8000047,158668,45,30
45,#Q29J9V02,Brawl_Kingdom,8000029,158068,46,28
46,#QJYGCPPV,bumbat gang,8000046,157575,47,27
47,#2RGV0RJ2,앙기모노,8000029,157169,48,27
48,#28R920CCU,ד2,8000002,155944,49,27
49,#2909P2QJQ,Соник бум,8000011,155212,50,27
50,#2LUV29RJP,Black Cat Team,8000006,155081,51,9
51,#U0JQQ22G,KrumDino,8000042,154901,52,30
52,#PVJJVLG9,FAKER,8000010,154652,53,29
53,#2RG920220,북한잼민이,8000049,149446,54,30
54,#200UJ0U9,MONDO CAREVI,8000007,143869,55,27
55,#GUY9CGQU,AUDA LABĀKĀ,8000028,143501,56,27
56,#2JP9PGPL8,Fa Clan,8000044,139691,57,5
57,#2GVC0UYUU,홀린군단,8000039,137278,58,30
58,#2LQ8CLC89,🕊️|Dïøs|™️,8000039,137160,59,16
59,#J20G8UV0,BABA OLGA,8000004,136034,60,19
60,#29YYG9RLL,228к,8000027,131986,61,27
61,#28VG9RP0C,Вравлеры,8000006,129858,62,28
62,#2G0UL9R2C,39 squad,8000056,129024,63,10
63,#2Q288PQ9P,HS PRO:),8000023,126546,64,25
64,#UP0RL098,PANA FOQUETA,8000029,123512,65,29
65,#QPRLUQLY,LongBag|eSports,8000004,121524,66,30
66,#2RYVRRVP,전설얻는클럽,8000016,119991,67,28
67,#28V8VRL9C,red time🧨,8000005,119924,68,25
68,#2YUYV92QR,кс топ,8000000,119267,69,22
69,#2J2GL8R29,20700,8000047,118913,70,26
70,#22VG88PCV,4G BRAWL STARS,8000027,116592,71,14
71,#2J8LQGQVQ,Хата Ярича 😍,8000057,116188,72,7
72,#2898VJC8L,<c5>GECE </c>,8000057,114978,73,25
73,#28GP8P9PR,ПРО АКОП,8000009,114776,74,27
74,#2JQY0PQU0,НУСЯ ГУСЯ,8000035,114514,75,14
75,#22QLR2RLG,PRO LEGENDARY,8000027,112627,76,28
76,#2JVY9V8YU,Kankalar05|🇹🇷,8000055,112343,77,21
77,#2CPQV0VCP,NEGRO,8000009,110028,78,8
78,#Q8L9PCLJ,brawlcoolclub,8000016,109764,79,13
79,#R928GV2U,18686,8000013,109184,80,30
80,#V9U8J9UY,Carantin days,8000023,108703,81,29
81,#2Q8Y22UUV,Про Акоп,8000008,108383,82,30
82,#202LP0G9L,Ломтики,8000059,108214,83,29
83,#28LVJU8QQ,canavarkral,8000029,107594,84,29
84,#2J288UYG2,amici sus,8000048,105588,85,16
85,#2Q2YGLYYP,мортис топ,8000059,105450,86,30
86,#2P8Y22JV0,го как,8000029,105266,87,28
87,#2CYJLUC82,녹색연필,8000013,105142,88,6
88,#2R2CRGG9C,검도,8000011,104939,89,11
89,#29UVLGCCG,фнктрж,8000057,104541,90,30
90,#2QVG82VGC,Клуб персиков33,8000035,103983,91,14
91,#QRLCUGCU,חקמון,8000021,103046,92,27
92,#2V882L2Q,양고기 앙~,8000007,102444,93,10
93,#QR8JYU8V,вадпр,8000058,102174,94,28
94,#20JUG9RRL,KUZENLER❣,8000003,102062,95,8
95,#YCVYRGJ8,Всех повышаю,8000029,100795,96,24
96,#88UC92GV,старый клуб,8000029,100442,97,29
