,tag,name,badgeId,trophies,rank,memberCount
0,#2QRGPL0VY,Los Amigos🇱🇹,8000023,1603786,1,30
1,#2LLCG0PL2,E X T R E M E ⚔,8000059,1428699,2,30
2,#2GJJ829CC,Humble Grinders,8000033,1408231,3,29
3,#28JCUG0G9,imperial/smail,8000029,1305877,4,30
4,#2YQ9GUJLQ,合作抖蕊咪,8000034,1220748,5,30
5,#2CQJRPC8V,YT|PARAMOD,8000023,1216393,6,30
6,#29QU8CPP9,TXV|Toxsv,8000033,1162487,7,30
7,#2G0Y0G9JV,Žvaigždės,8000018,1130563,8,30
8,#20CPPCVUV,Spygliai,8000013,1108432,9,30
9,#2C2URPPPC,Bambukai LTU,8000025,1103356,10,29
10,#2C2P8U2PJ,Not Alone,8000049,1085049,11,28
11,#LRCQ8G8Q,LT united,8000037,1077553,12,29
12,#2G82L8CG8,🌪️LT|e-sports☁,8000058,1075837,13,28
13,#9L2VLQVG,I Like Dinos,8000025,1069294,14,27
14,#2G2LU2P0P,LT| Kebabai,8000025,1065819,15,30
15,#2C8JUQYCC,⚔️BAJORAI⚔️,8000023,1046771,16,29
16,#GULGRGU,Freezing Fire,8000059,1044558,17,30
17,#2L20YLJR8,Legend Chebra,8000037,1018235,18,30
18,#2JCCLLCRR,LTU ŽVAIGŽDĖS,8000052,979372,19,30
19,#VVJ0CUG8,LIETUVOS LYGA,8000037,971176,20,30
20,#JLYL2V8Q,🎊DOSTLAR🎊,8000029,964221,21,30
21,#2LL9RGVU8,ClubLeaguePower,8000044,963538,22,30
22,#Q09V0LJQ,INVINCIBLE CLUB,8000000,948050,23,30
23,#29LQ8U2QR,Lietuva,8000036,933282,24,30
24,#2QQG2RU2G,Kaunas brawlers,8000029,932225,25,30
25,#2GYR0RC0J,ŽVAIGŽDĖS,8000002,915232,26,29
26,#29GLYYRRL,DosBrosAmigos🔥,8000037,914726,27,26
27,#QJPY2UQ0,NinjaTeam,8000035,910419,28,29
28,#G2P0U88C,LT,8000047,907569,29,29
29,#2P9GU2CQQ,Burtininkai,8000059,902267,30,30
30,#29JYL8JP2,Lietuva🇱🇹,8000017,901412,31,29
31,#2GQ8RRQ82,一起抖蕊咪,8000046,900214,32,30
32,#2GJG9R9JR,ToTheTop!,8000029,896631,33,30
33,#28GVGCYG9,BroliaiLT,8000021,887109,34,30
34,#9QL9GUGR,Lithuania Stars,8000006,876262,35,30
35,#2CR92VVYL,gym,8000025,874391,36,30
36,#2CQGUY2U9,ragen1,8000005,859502,37,30
37,#2J8LQPR20,Brawl House 🏠,8000007,852340,38,28
38,#2Y9LLGPYU,hellohello,8000027,840692,39,30
39,#2V9J0QVY,Brawl Gang,8000034,837627,40,30
40,#2GP8U88JR,MiniLosAmigos❤️,8000055,831314,41,29
41,#20GQRJRYR,BrawlStarsPlus+,8000059,829602,42,29
42,#2C8Y8P0CR,Vilkai,8000057,822445,43,28
43,#2CGQ8CU9P,Движемся в топы,8000033,821531,44,30
44,#29R2LP09Y,Legendos LT,8000042,808732,45,30
45,#2RQ0YLCUV,Pui Pui Pui,8000022,805993,46,29
46,#RCVLGVQ0,Lietuvos legend,8000019,790136,47,30
47,#2JCYVQYP9,Road to 40k,8000052,788784,48,30
48,#29QCU2URR,LT|Lords,8000053,788553,49,30
49,#22GRR2Q0R,SKULL BREAKERS,8000004,784570,50,30
50,#2PP9U2QJC,MesValdom!!!😎,8000055,784332,51,28
51,#2JLQ8Q0P8,MINTIES VERGAS,8000049,783035,52,30
52,#V28PV29G,pro2008,8000055,781884,53,28
53,#2920YGJJV,⛩️|LEGENDS|⛩️,8000037,775928,54,30
54,#2C220J8U2,Aktyvus,8000023,774656,55,30
55,#2G2JR0RC0,ŽALIAI BALTI,8000014,773634,56,30
56,#2QYV2G2L8,Ltu botai,8000049,771341,57,29
57,#2C9LQ0JQG,Pomidoriukai2.0,8000022,768177,58,30
58,#2G29QYCV8,viezbutukaz,8000056,766485,59,30
59,#299CJQYV9,Monsters👾,8000035,761458,60,30
60,#2J2RJRPVY,Bazaras,8000054,761048,61,30
61,#2CG2L8UU0,bad boys,8000039,760070,62,30
62,#2R08GGYUU,sus movement,8000042,758154,63,30
63,#YY8UR0LC,lietuva gang,8000007,755713,64,30
64,#2C08VQLYC,Beavers🥀🦫,8000056,751112,65,30
65,#2RUVYCY2J,Team of friends,8000030,749394,66,30
66,#2JCQ92JJV,Frmz|🤡,8000023,749316,67,30
67,#2CRUL9U22,Marozai,8000029,747546,68,30
68,#UY0PL2R0,speneliai,8000008,739869,69,30
69,#2GL20PCLG,Žali Pomidorai,8000045,734958,70,30
70,#28RP98L0G,mama a,8000011,730324,71,29
71,#29RUCJCRV,PowerLeague,8000041,729679,72,30
72,#YPYQJRUY,LTU,8000046,726320,73,30
73,#2JY9GUCC8,Atšvietimas,8000049,726119,74,30
74,#2C90VU90Y,Burger🍔🥙🍞,8000035,725695,75,27
75,#2PPL8YV8Y,Aktyvus,8000045,723937,76,28
76,#2G8Q2JG0C,team|ʕ•ᴥ•ʔ,8000039,719838,77,30
77,#QGVYJ89L,lietuviu banda,8000029,718356,78,30
78,#2C90RJCJU,zjbs,8000037,717380,79,30
79,#208888P9Q,Kaimai VALDO!!!,8000027,711784,80,28
80,#2CRLYGCJ0,🗑>Tomyko,8000037,708458,81,30
81,#2CYQ0PU2Q,sausainiai,8000059,708095,82,30
82,#28Q9JQLG9,Over 9000,8000059,697566,83,30
83,#22C8U280,VILNIUS,8000027,692577,84,30
84,#2P8QJRU8R,lietuvaiciai,8000058,691615,85,30
85,#2G0G92V9Q,Scary nights,8000030,690530,86,24
86,#UJC0UYQJ,GreatMaster,8000000,686651,87,29
87,#29J8VYR0J,champions,8000059,684315,88,30
88,#29Y28QPPQ,<c5>Žaibas</c>,8000053,683460,89,29
89,#29GJ92JPR,raiga>>>>,8000029,681334,90,30
90,#UV0VY0LU,Kaktusiukai,8000013,680740,91,30
91,#2CLGUCU9P,LTU | Abraomas,8000037,679075,92,30
92,#R22L99JP,LITHUANIA CLUB,8000029,674245,93,30
93,#29R9VU0P9,Forum Cinemas,8000057,671741,94,30
94,#QJLR8Y0R,BALTAI,8000059,670473,95,29
95,#L9UPG22R,behind you,8000021,670073,96,30
96,#ULYYYRQQ,Leny hasse dich,8000029,668687,97,30
97,#2PLRPCPQL,Club Poco,8000013,660947,98,30
98,#2C9J2ULVP,LTUONLINE,8000059,657971,99,27
99,#29GV2V20P,Mega Pig grind,8000029,655382,100,30
100,#2LCU8088L,TornadaiValdo⚡,8000019,653861,101,26
101,#2CR2P20QC,Torpeda☢️,8000035,649341,102,30
102,#2GR22QGU2,hakeriu klubas,8000058,647241,103,28
103,#29Y800YVG,QVR,8000059,646472,104,29
104,#2LQPLUUC9,profas,8000018,646414,105,24
105,#2G9PR902G,6 unstopables,8000037,645953,106,30
106,#LRYQ0YV,THE BOYS,8000023,645582,107,30
107,#QPP8VPJR,Braliukai,8000059,642382,108,30
108,#22VC0JUL9,Banana Studios,8000016,641020,109,30
109,#2G9CR0YY0,GBE,8000023,637347,110,30
110,#QQRVVCQ9,Ltu|gang'as🇱🇹,8000046,637199,111,30
111,#2Y0288P20,Brawl Kingai👑,8000029,633468,112,28
112,#29LGVCGPL,ltu,8000037,628458,113,28
113,#2GG8YYLVV,AcTechai,8000059,625011,114,30
114,#2QUC9QJ0U,LDK,8000027,623704,115,30
115,#2CRRU0UGG,Teniso sajunga,8000055,623499,116,30
116,#2RRRVGGUR,AMFI LEGENDS,8000055,623403,117,30
117,#2QP9YJUP9,Čipolinai,8000057,621728,118,30
118,#QPV2CP9J,cyberkotletai,8000057,620490,119,30
119,#2L9VR20C8,Lietuva,8000057,619578,120,30
120,#2JCJQRUQU,PSGS,8000035,618064,121,30
121,#2CG00QC29,Žaros team,8000000,617822,122,30
122,#2R0L2YPJP,Watch OUT Noobs,8000022,616241,123,30
123,#2PJCRQLUJ,fingyrdas,8000016,615036,124,30
124,#YJ9QU0QR,kepti prof'ai,8000059,613781,125,30
125,#2G99UVGG8,Fuliorai,8000057,609700,126,30
126,#2C8R8CJGP,klases bahūrai,8000004,609528,127,30
127,#2C8CPUPG0,OGLIETUVA,8000004,609064,128,30
128,#2CGL0LQC9,5 B-otai,8000036,608243,129,29
129,#2JRR0GYL0,LTU,8000029,608212,130,29
130,#2YYR22QY9,Lietuva_000,8000059,606992,131,30
131,#2CGRL0G8R,MafioZi,8000033,604504,132,27
132,#2CGGURRQC,Kašiorai🏀🏀,8000037,601779,133,30
133,#2C00YQG0G,ZYPRA,8000025,601515,134,30
134,#29P00808Y,GT|Garažas,8000013,600558,135,21
135,#2RU8Q8Y2P,darzas,8000039,600214,136,30
136,#2QLVC99RP,England,8000007,599383,137,29
137,#2JQVJU9LG,- Club Delta -,8000013,597074,138,30
138,#2J9QJPL0C,RKS LTU,8000059,593835,139,30
139,#29RPRV8Q2,Mini TXV|Toxsv,8000030,593396,140,30
140,#2920QQY0G,CB*|ToKo,8000023,593073,141,30
141,#QC89JGC0,krabu lazdeles,8000006,585092,142,30
142,#2JJGCGQVL,Dauzomynas,8000012,583982,143,29
143,#2JGGUL9CU,free potato,8000006,583391,144,29
144,#28Q9VGLJ0,say gg early,8000055,582491,145,30
145,#28VJP9J0Q,AMM,8000025,581149,146,28
146,#2G2G8YLGU,Draugystė Valdo,8000013,580627,147,19
147,#2C9PJY8R9,Mokesčių tėvas,8000041,579655,148,30
148,#29C0PQQ99,mesku saika🇱🇹,8000045,578903,149,26
149,#2LJ9GY8YY,Zxc_UwU,8000029,576250,150,30
150,#2GGPRVC9Y,Bazaras,8000035,573056,151,30
151,#2LRPQLVJV,пельмени,8000023,572971,152,30
152,#2C9V9Q8CQ,VGP Vilnius,8000059,570636,153,30
153,#QPRVLPRU,tikrai ne nubas,8000029,569312,154,30
154,#28JCUJY92,7c profai,8000029,565062,155,30
155,#2GLJURPGJ,don't ask,8000034,563926,156,30
156,#2YVPJC2R9,Profu klubas,8000030,563535,157,30
157,#L8CV8L8P,Trombonas,8000059,563447,158,30
158,#RGU0PYYV,proseniai,8000001,562741,159,30
159,#2C0PG00RY,Shaika,8000015,561993,160,28
160,#2LPQ0JQLV,GhosT GanG LTU,8000035,561723,161,30
161,#220VGL2C,Lietuvos lyga,8000018,560839,162,23
162,#QLJ9UGQL,Honored Ones,8000052,558297,163,30
163,#JJ00P9QQ,dead inside,8000039,557397,164,30
164,#L28GQGG9,klasiokai,8000056,554092,165,30
165,#29LPU8GPJ,Lietuviai pro,8000025,554001,166,30
166,#2UYLG00R,BrawlStarsLt,8000013,553812,167,28
167,#2QGUCQJU9,the Brawl Kings,8000036,552748,168,30
168,#2C88GP8LG,Lietuvaiciai,8000001,552732,169,27
169,#UVQVPV28,LTU gamer,8000029,552150,170,23
170,#QGYGQ0UJ,2EZ,8000058,551830,171,30
171,#2G2QYJRY9,Žalgiris🔛🔝🔥,8000045,551713,172,30
172,#2RR0Y2YQJ,VAIDUOKLIUKAI,8000043,549895,173,28
173,#2CYVLU9C8,BroliųŽvaigždės,8000006,545234,174,30
174,#RLCYCV9J,oskar51,8000036,544582,175,30
175,#89RJ892Y,Kaktusai LT,8000017,540272,176,30
176,#20082GGL8,Lietuva Power,8000004,540206,177,25
177,#2CL9CU02J,The champions,8000037,539226,178,30
178,#29YGU9UPY,ltu,8000029,538943,179,30
179,#2C2L8JQL9,Kentauras,8000016,537803,180,29
180,#20L9V8QL0,LTU,8000010,534903,181,30
181,#UGCRP8GQ,vilkaslikas,8000036,531721,182,30
182,#8LGRPJRL,LTU FRIENDS,8000023,531570,183,29
183,#2CY0Y9CQ0,bambukai,8000041,531517,184,27
184,#2C9RLCUQJ,Panevėžys2.0,8000031,530622,185,30
185,#2PCL0UGPU,Žalgiris,8000027,530453,186,30
186,#PJPG8YPQ,Team ZLOY,8000006,528672,187,25
187,#29L0JVG0,LT KINGS,8000027,527910,188,30
188,#2GYG0Y09G,AKA,8000040,527246,189,30
189,#2C8YPGC9V,Kibinai,8000013,526922,190,30
190,#2GP8QV2VC,LTU Vyrai🇱🇹,8000002,525882,191,30
191,#2P89JUL0R,golden dawn,8000018,524222,192,30
192,#V88U0GQY,TANK CLUB LT,8000007,523098,193,30
193,#QGVV2898,Only Good Vibes,8000057,522396,194,30
194,#2G00UPC02,Brolija,8000021,519374,195,24
195,#GGJ2V,LietuvaSS,8000031,517727,196,25
196,#2C80QLP9Q,Goats🐐🐐🐐🇱🇹,8000041,511781,197,30
197,#2JR9L2JQ2,LT Gang,8000057,510537,198,30
198,#22UV0298U,Sapnas,8000057,508147,199,30
199,#22LUP02RC,bananai PRO,8000046,506425,200,30
