,tag,name,badgeId,trophies,rank,memberCount
0,#VCG28LV,LUXEMBURG,8000029,1709612,1,30
1,#29PLY8VCY,Etti💫EmzBS,8000029,1261955,2,30
2,#2GUUYPRG2,❄ICE GHOST❄,8000057,1249545,3,30
3,#2RLYYRUUG,The Irrationals,8000055,1216584,4,29
4,#Q9CCJJUJ,WWW,8000023,1152709,5,30
5,#298R9LV2,Nova Luxembourg,8000021,1117031,6,30
6,#VL8RUG02,China中国,8000006,1109925,7,30
7,#QGGJ2YG0,🔥Fire Galaxy💫,8000037,971209,8,30
8,#280QVR9Q0,<c2>Carnage</c>,8000023,970240,9,29
9,#2G0RR2CGQ,EntenandieMacht,8000059,967499,10,30
10,#JGYJ8RUC,Taco Stars,8000029,948806,11,29
11,#9V809Q2J,🍀🍀🍀,8000018,938756,12,30
12,#JGL2LJVP,The Pros,8000029,924694,13,28
13,#2PGJYV0JU,En<c4>X</c>Štar,8000002,828344,14,30
14,#JJ92GVQ,LamaPorc,8000007,823416,15,30
15,#2CR8QPJJ9,Żurab,8000033,815708,16,30
16,#2G8UPJL08,🐉brawl Kings🥀,8000029,809957,17,30
17,#298R8PYLJ,best skiller,8000026,790844,18,30
18,#2GP9R9PCU,✤E-SPORTⱢ℧ﾒ🇱🇺,8000030,786218,19,28
19,#8J89Q0CR,Doudouman,8000037,773525,20,30
20,#2QVJJ8UYQ,snicker,8000055,764814,21,30
21,#2JJJVUYRP,Locco Bloods,8000048,760194,22,28
22,#QLYVCCR0,Bralw stars,8000001,734648,23,30
23,#2LU9QUGPP,Leon,8000029,732412,24,25
24,#9L9CCJP2,Some good guys,8000035,728659,25,30
25,#29ULYGU2G,Team Brawl,8000029,719313,26,30
26,#2G9ULC9P2,In keinem Club,8000031,715085,27,23
27,#20LLP8UG8,LUXEMBOURG,8000059,702239,28,30
28,#2GJL9PRYL,TheBoyz,8000050,697905,29,30
29,#82LR22GY,Canach,8000000,683404,30,30
30,#28CC8RJGL,Brawl gang🟧⬛️,8000037,680828,31,30
31,#29LP88Y9Y,🔥The Titans🔥,8000037,662816,32,26
32,#LCJRR9Y8,tryhards/amis,8000037,659146,33,30
33,#2PUVR9Y2L,MARVEL,8000037,618286,34,30
34,#2JPUYU80G,Revenge E-Sport,8000048,598436,35,29
35,#29Q00R2JR,Luxembourg,8000053,588017,36,21
36,#2QLP02GUU,pablos,8000029,586763,37,29
37,#2QPLCJRRC,X76Clan,8000029,584318,38,29
38,#2GU2R2V9,Гордые славяне,8000023,572451,39,30
39,#2QCR9PCG2,The Gees,8000057,565049,40,30
40,#RUCVGU8Q,team touille,8000033,561907,41,22
41,#2C2G9LL90,online,8000037,558491,42,22
42,#20V8R2CYC,epikusaikunani,8000025,551409,43,27
43,#2C0CJ2800,Lux-Push,8000031,542536,44,28
44,#Q8LJ8CLJ,Lux (Capellen),8000013,535332,45,30
45,#28Q90YQVQ,GANDA AZUL 🐉,8000008,533685,46,30
46,#2LQPQCGYP,MEGAPROBRAWLERI,8000009,533402,47,30
47,#2CQLQCU02,bamboo munchers,8000013,529168,48,30
48,#20JL8QCUC,Team Gale,8000000,525870,49,20
49,#28VQUQUVQ,PRO GAMING,8000037,525706,50,30
50,#29Q92Q02U,Ort|family,8000049,523570,51,21
51,#U8JG9CVY,zxc community,8000035,511475,52,24
52,#22YQ8,Mega Luxembourg,8000018,508414,53,29
53,#2R2PQ8CGP,❄️Ice Ghost 2❄️,8000057,503254,54,30
