,tag,name,badgeId,trophies,rank,memberCount
0,#2L0UU2022,Mo̶rtis Gᴀɴɢ,8000007,1755276,1,30
1,#Y828CYYJ,澳門只攻乳防,8000037,1054781,2,30
2,#2P9QCVP0R,澳門搗蛋鬼兵團,8000047,1047662,3,30
3,#29GJVGG2J,泡菜仔沒有一個是無辜的,8000043,967359,4,30
4,#G9GLQ9C,澳門手榴彈兵團,8000039,964974,5,28
5,#20P8G2R9C,Troll,8000035,916744,6,30
6,#2J09VCGRJ,黑暗騎士團,8000013,870092,7,30
7,#2J0UU2JQ9,🈲荒野瑟瑟群🈲,8000028,849411,8,30
8,#GV0Y82YY,🌋ITA|CLUB🌋,8000029,847827,9,30
9,#2JVCPQCQV,UnToxic Team,8000016,834602,10,30
10,#2LRYUP8P,有汗出沒糧出,8000018,814658,11,30
11,#2J0PG8ULV,打不死的超級澳門隊,8000031,809323,12,30
12,#2PJ02JLV,澳門豬隊友學院,8000027,775658,13,30
13,#2QVQ0U800,ababa,8000018,760300,14,30
14,#2JCCLPJVJ,los imbalidos,8000028,739852,15,29
15,#QUPU0RG8,+3Д+,8000029,724429,16,30
16,#RG8GQRL,炮打自來水,8000001,682040,17,30
17,#2PG0P0L9J,澳門小隊,8000049,657188,18,29
18,#2JQ8RU90L,McDoNo,8000050,643582,19,30
19,#2JP92908U,正義之拳,8000008,627087,20,30
20,#2RU9L2UJV,K1 Family,8000003,623029,21,30
21,#22YQ2J8LP,MACAU CELLS,8000057,611427,22,28
22,#28UP9YUJU,進攻把gamers,8000002,598104,23,28
23,#2L20GR229,Arceus,8000029,579371,24,30
24,#PQ8GJJ99,adddxx,8000029,569885,25,29
25,#2C29ULC8G,중간놀이,8000042,567843,26,30
26,#UP20UVJ9,Cactus Club :P,8000013,566179,27,30
27,#2CRUGJ8J2,棉花軍團,8000004,566155,28,30
28,#2LGCVYCJL,麥溝軍團,8000028,556074,29,30
29,#2R8G9PQJJ,DE JUN,8000028,555305,30,30
30,#298QGJ09J,Ay Işığı,8000018,545398,31,1
31,#YY88QRJ0,小雫戰隊,8000031,540062,32,30
32,#2CJVV8LR,哥哥與弟弟 HO,8000000,539565,33,30
33,#PGQ0899V,單身狗管理委員會,8000057,521989,34,30
34,#G9CV8PYJ,人達精射有限公司,8000048,511752,35,30
35,#2RUJGRCQ0,Mortis's Club,8000002,505637,36,30
36,#JVQG80VV,荒野屁孩團_主戰隊,8000021,494710,37,30
37,#28V9G9C2L,🚫UYUMSUZLAR🚫,8000024,491555,38,2
38,#YUGUUP98,吃麥片,8000057,483644,39,30
39,#2L99Q2YUJ,傳奇級戰隊,8000003,481656,40,30
40,#209P9LG9G,gebrunny,8000029,480780,41,26
41,#29JP99LCL,EU MEGA PIG🥀,8000004,480459,42,30
42,#U89LUY88,Ａｌｌ ｉ Ｋｎｏｗ💔,8000021,479054,43,2
43,#2GGQVPU09,澳門佛系學院,8000018,476611,44,29
44,#2R0L9YGLQ,HKP,8000059,474640,45,30
45,#R0UU9V9U,達里爾闖關,8000056,474115,46,30
46,#CCR8YYQP,澳門亂鬥總戰隊,8000052,445829,47,29
