,tag,name,badgeId,trophies,rank,memberCount
0,#2C290P202,ᵖᵉᵃᶜᵉ ᵒᶠ ᵐⁱⁿᵈ🫀,8000041,1096780,1,30
1,#C9000GCL,LaPaz Empire,8000024,794237,2,29
2,#28PPPJV99,Club cub,8000023,771987,3,30
3,#8U8CP0V8,Dream Team,8000013,717727,4,30
4,#2RJPVRVY9,Gasy tafaray💥,8000035,711327,5,29
5,#Y9YYCRYG,Madagasy War,8000005,708443,6,28
6,#29QJGVP98,МАЛЕ ВЕРПЧЕ Укр,8000054,696618,7,30
7,#8YUQRGYQ,les potes,8000007,691518,8,29
8,#VVLJV020,MADAGASCAR,8000033,667844,9,30
9,#G80J2YL,MADA BRAWL STAR,8000021,659708,10,29
10,#YQVGRC22,İYİLERİN GÜCÜ😇,8000009,635746,11,12
11,#29YRVPJ80,BLACK BRIGADE,8000000,634211,12,30
12,#29QRRUCL0,TANA Brawlers,8000047,590400,13,30
13,#2J9JG0QCJ,NAVI/TEAM,8000037,581887,14,30
14,#RYCYCUG,le brawler,8000023,567157,15,28
15,#2PVY28Y0V,Ndao Ary,8000012,566274,16,21
16,#29PJRRQQC,TEAM SHARK🦈🦈,8000059,539499,17,30
17,#29GU8LUG0,Das Team,8000054,516254,18,30
18,#2GP2RCVVJ,hungry game,8000007,480198,19,29
19,#UJ02QC0Y,ブロスタ好きな人,8000037,425499,20,30
20,#9VLJRY2V,Malagasy aho,8000033,411779,21,22
21,#229YJGL,Gasy Brawlers,8000021,410189,22,29
22,#2CP2JU92Q,włocławianka,8000056,408722,23,28
23,#2LYQURPQ0,🇲🇬Boutary🇲🇬,8000005,408423,24,18
24,#J9QPQJ9J,АМТЭК,8000013,402276,25,21
25,#2JLLQ892L,WCB/ms team,8000008,393376,26,21
26,#209LG2CQV,БГАТУшный Сквад,8000045,350941,27,17
27,#2QRRYGJV,Brawl Corps,8000016,346357,28,30
28,#292RJC290,Les gamers🏀🎮,8000031,338180,29,30
29,#2G2RCGC0P,GayCom,8000057,335123,30,25
30,#28YCGRVP8,Brawl's MADA,8000016,333712,31,28
31,#QRRGG2GP,oshee zero v2,8000004,297872,32,30
32,#2RY2RVUYJ,family''R'',8000019,295275,33,23
33,#2QRRJ890J,URIGOD🐀💎,8000018,285340,34,29
34,#Q0RGGRJG,Fr club,8000023,282428,35,30
35,#2L9G0JP0C,Good like,8000052,274221,36,17
36,#QU2P9LCU,schieß Boxer,8000029,257870,37,16
37,#UY0JRCPC,Les MVP,8000023,256471,38,19
38,#CVL8JCPU,☆\\ARG-MG//☆,8000007,255550,39,12
39,#YVCG9LQG,AAIA,8000033,250149,40,23
40,#C89CUC,Gun Gun Gasy,8000028,245878,41,28
41,#2CPPJCUYL,ESR,8000057,243784,42,16
42,#28L8RGGLV,Отряд Пупсиков,8000047,241629,43,29
43,#2JV98J9RV,Гильдия Африки,8000017,240974,44,11
44,#2Q2GUVVP0,Yarik120 (:,8000031,234536,45,26
45,#LPP9UPU9,мы крутые люди,8000023,233973,46,28
46,#2LY8UUUGU,7Г без учителя,8000043,231852,47,14
47,#UJ288YYR,ШАБИЛОВСКОЕ ОПГ,8000025,227439,48,16
48,#22JL8JC20,otaku landia,8000021,225672,49,27
49,#89YRR8LP,ROYALITY,8000029,225286,50,15
50,#8R0QV2YC,tafaray,8000005,222891,51,30
51,#L9V2R2JJ,les joueur pro,8000018,219682,52,27
52,#9CLCYG8Y,Paraíso 502,8000028,213972,53,29
53,#GYQ0GLY9,ATP Academy FR,8000007,213521,54,18
54,#2P2UQULCU,Light of glory,8000003,212413,55,29
55,#Q9YVPL9R,FÜR FÖRTNITE,8000047,211608,56,18
56,#28PCCYP2Q,team barea🇲🇬,8000037,211396,57,30
57,#2JQ00CRGP,sharkos,8000017,211028,58,30
58,#2JY20GRPL,Два пупсика,8000006,210173,59,14
59,#VUVPVC8,MADAGASCAR GANG,8000006,205665,60,20
60,#P9QCL2G0,WGF😜😜,8000018,205495,61,30
61,#Y2QG0PU9,RockenWise,8000012,204042,62,13
62,#209GVUQGL,LOS BLOQUES,8000037,202821,63,28
63,#CPP8VVCP,chile stars,8000029,198306,64,28
64,#2RJ200CVQ,CALFS Club,8000059,197512,65,12
65,#2R90LC0GV,ЛеоноСтан,8000059,194248,66,12
66,#2U9LVP9G,TANA.COUSIN 2.0,8000058,194247,67,28
67,#2L2P0LJYL,les ultras,8000013,194105,68,30
68,#2QJ8G8JUC,Carlitos🍌,8000021,192831,69,11
69,#99P8Y80P,장하태권도,8000029,190685,70,28
