,tag,name,badgeId,trophies,rank,memberCount
0,#2G9JV089R,LR|LightRed,8000023,1216109,1,29
1,#80P0YUVG,Zodiac's Law,8000019,1080047,2,29
2,#2QYQVRCQJ,OP|Figther,8000055,1051981,3,30
3,#2GJ0PJJQQ,Fr West Indies☀,8000049,913007,4,30
4,#VVPUL89P,Les Champions,8000001,874271,5,29
5,#2G0JQ28JY,CHILL ZONE🏖,8000010,797505,6,28
6,#2GPQCVJ9L,Akz Klan,8000018,795974,7,30
7,#2G9PPQR0,972,8000031,676781,8,30
8,#QLRPRVJ0,Team Bakuśa,8000037,669997,9,30
9,#2C0V980RP,Españoles🇪🇸,8000029,666726,10,28
10,#2LLYRGLPV,우리 모두 바보,8000034,660340,11,30
11,#2GU0UPL8,FELM E-Sport,8000021,649011,12,28
12,#29R2Q8C8C,<c2>BewSQ</c>,8000007,628796,13,23
13,#2J98PRUJV,O.T.F,8000022,624370,14,25
14,#QQ8LJRCJ,Duo Showdown🌟,8000019,605170,15,30
15,#LPRQ8YRQ,ДИКИЕ ПЕЛЬМЕНИ,8000057,590046,16,30
16,#2QVVGGQYG,ミ★ GodLegacy ★彡,8000011,577063,17,19
17,#2CLPQ8PJC,🔥Intocables🔥,8000043,575881,18,30
18,#JQ2LQ2PJ,RIDER TORNADO,8000035,555272,19,30
19,#2CRG0GC2V,clan de clase,8000043,548695,20,30
20,#2C8C2V29U,🗡️bankai🗡️,8000049,525407,21,20
21,#JGYPYGV,Mighty Mitches,8000035,523232,22,22
22,#29J9RYYGJ,Baracuda972,8000023,487883,23,30
23,#2QC0J8CYJ,BlogerHouse,8000035,477135,24,30
24,#Q22RUJJC,I’m Love L.M,8000053,474466,25,25
25,#Y9Y90YGR,$SUPER ПУДЖ$,8000011,472938,26,2
26,#2GYYY8PJG,Brume,8000032,457330,27,29
27,#200UP828L,mack 972,8000034,456993,28,30
28,#2JYRG0YC,ALLGAMING,8000029,444498,29,23
29,#VJ8U88RU,les légendaires,8000016,419908,30,28
30,#VY8VQ890,🤑V.I.P|TEAM🤑,8000029,419232,31,30
31,#Q9RGRV22,VX|Family*,8000041,413313,32,30
32,#QRGGV9Q,Mugiwara,8000004,412350,33,20
33,#2JGQQ9U8Y,MQ|FAMILY ♧,8000029,409281,34,30
34,#2G2U09P0V,sous'les'tropik,8000037,395108,35,22
35,#2LJLUGUC2,Berry Valley,8000003,393450,36,28
36,#2YV2P29P,manoir 32,8000004,370904,37,30
37,#9RVV0YPP,ScGanG972,8000029,365101,38,17
38,#QUCRPYCR,간지,8000018,355268,39,30
39,#2GGU9YURC,Fr West Indies⛱,8000029,352470,40,16
40,#2JU9UYCCL,lesbrawlboss,8000025,336373,41,28
41,#28CLLJ9P2,...❤️❤️❤️🇨🇵,8000049,326526,42,30
42,#Q2VVUVRL,I love this,8000007,326128,43,22
43,#20U00LPUG,SDsquad,8000037,323740,44,17
44,#VPY98Y0,Green Gold Kush,8000029,320127,45,20
45,#QG2YQYJP,Mifa 972,8000041,306670,46,28
46,#UYJ08C9V,team C.T,8000017,299810,47,23
47,#G0GPYU00,@PLOTS_,8000056,296753,48,12
48,#U8JPYQJJ,chacals,8000015,293406,49,21
49,#Q28LUGGJ,ВОЛЬТ ТОП,8000059,276993,50,17
50,#2JCCJU92Q,ChickenCrew,8000011,274117,51,30
51,#QPGVQJ0C,PANDALARIN GÜCÜ,8000046,270873,52,18
52,#CC0Y098C,team 97231,8000036,267208,53,17
53,#29UJP8J,<c2>MADA</c>,8000029,262371,54,28
54,#2GGGP90C8,бебра,8000047,261492,55,30
55,#20Q9QUL09,Martinique972,8000029,247261,56,30
56,#208UJ8008,FELM E-Sport,8000021,242941,57,14
57,#2R80Q9RRC,Improve,8000057,241135,58,15
58,#GV9VCGLC,Les Pro 972 😎,8000029,240207,59,30
59,#P8V0J8R8,<c2>Carnage</c>,8000023,237744,60,30
60,#89VR0PYV,Les snippers,8000057,235932,61,30
61,#28J99UCU0,best coconuts,8000029,235475,62,30
62,#2YPU8JPCV,9.7.2.,8000023,234317,63,18
63,#20L29Y8YV,II-BOB_DYDY-II,8000018,231215,64,28
64,#82RCQYQV,jojo,8000007,230461,65,25
65,#20V8URGV,Fpt Brawlers,8000005,228581,66,27
66,#22PPUV9UP,français,8000052,226721,67,30
67,#2PVV8CPYQ,Team Raptor2.0,8000019,225704,68,30
68,#29PCPGJY2,a night’s Club,8000041,221726,69,29
69,#2JRR80CLQ,9.7.2.,8000034,219514,70,13
70,#VP2VG2YC,Top Bleue,8000032,218334,71,16
71,#2Y28220VU,Gang,8000018,217814,72,12
72,#PL8QQRR9,..French,8000002,217278,73,15
73,#228CQPJGR,Barons.Team,8000059,214352,74,12
74,#2020VYPLQ,Brawl STar,8000045,213608,75,13
75,#2L2U0PYV,les thug du 972,8000004,212052,76,24
76,#2R0Y2J2,Yes Sir,8000004,210251,77,27
77,#U2JJCYV8,YOP,8000007,210234,78,30
78,#28JLLCJL0,~$DROKO972$~,8000023,209681,79,30
79,#2GQJCJ0CC,isaacFC,8000000,208541,80,29
80,#JUGVQCVU,shozette.zip,8000004,205621,81,29
81,#2JR9JGL9L,Team pro,8000023,202286,82,30
82,#2JUUYLU9,M*A * V,8000033,202133,83,30
83,#2YPGL89G2,no mat gio 972,8000058,201682,84,27
84,#2Q2PLU8Q,the best,8000005,201604,85,24
