,tag,name,badgeId,trophies,rank,memberCount
0,#2R8PQV9GY,日本舐めんなよ,8000029,1098057,1,30
1,#29RCQVQJ2,☆Shiyni↯Club❦,8000018,1044011,2,29
2,#QC8P8982,BRAWL KINGS,8000055,1012059,3,29
3,#2G8LLVRU8,Lost Gods,8000047,943011,4,30
4,#2G8UCCYC2,genshin stars🍻,8000018,902145,5,29
5,#L92RJUU,Synergy™,8000015,890363,6,30
6,#2J880JUQ0,All Stars,8000059,872689,7,30
7,#2CJUY2C2P,THUNDER VOLTS⚡,8000019,872668,8,29
8,#29QRQ82YC,MU ㅣGAMING 🇲🇺,8000037,840613,9,30
9,#2Q28LQ080,спуйки милашки❤,8000013,778900,10,29
10,#2G8CJLCRL,secret fantasy,8000023,738430,11,30
11,#20UV99VQ2,Vinland Fate,8000055,727979,12,30
12,#2QG80VPLC,ELAX,8000037,717574,13,27
13,#22V9CVUQU,Lost Titans,8000043,684443,14,26
14,#2R92QV2L0,Legends Star,8000019,682407,15,30
15,#2QVYLPCP0,lost lagoon,8000035,682369,16,29
16,#2G20C8PC0,sneakys,8000039,664711,17,30
17,#2G9RY9CR2,Lost Champions,8000043,648564,18,27
18,#9QQ8RLJ2,STAR WARS 🌟,8000052,630114,19,30
19,#2Y9L82QL8,<c3>Łēğēňd§</c>,8000059,626406,20,30
20,#2LQGQYRLR,MRU BRAWLERS!,8000023,620145,21,30
21,#L2V8CC0Q,CHAOS LEAGUE,8000004,615667,22,28
22,#UGJP89YU,legend303,8000019,612565,23,30
23,#2Y22QU2J9,Lost Villains,8000039,564252,24,28
24,#2GL9C8CL2,Dragon King🐉,8000023,548910,25,17
25,#20URJ9VQY,Le Wessex,8000049,540312,26,30
26,#2RRPLGQYQ,Royal clash,8000002,535455,27,19
27,#2G82CRQ8U,THE HEADHUNTERS,8000037,503888,28,20
28,#2Q08U8VCP,Rodrig,8000037,480183,29,26
29,#2GJPGRY9J,bebra gang,8000037,458190,30,24
30,#208LRCRL,BrawlMasters_MU,8000005,401207,31,30
31,#28JYJRCUJ,Best friends,8000029,397067,32,28
32,#2P2Q0CJ2J,CODEMAGIC MU,8000055,389605,33,21
33,#2LQ0YJCLY,The Avengers,8000004,372281,34,29
34,#2Y0PJ0PLJ,Lost Wolves,8000057,371507,35,30
35,#LPYLPYJ,WARLORDS,8000018,363800,36,27
36,#2C08Q9LJC,haru,8000006,356762,37,13
37,#20PC8GRUJ,Maurice,8000045,348470,38,29
38,#L928JVY,CACAFESSE,8000029,342413,39,24
39,#28Q9P9U82,les superzero,8000034,326130,40,30
40,#290G8UCL,Mauritius Clan,8000037,323187,41,30
41,#P90VCCJ,CONGRAT,8000037,319901,42,30
42,#Y99ULLGC,TEAM MU 1#,8000029,314703,43,23
43,#LG9Q0UVC,HDMA,8000029,304570,44,29
44,#UYR2G2Q2,Golden shoot,8000048,291452,45,29
45,#2J8CJ29PQ,De brothers,8000023,286749,46,17
46,#J0LVPQV8,Undefeated❤,8000023,283256,47,28
47,#80QURJ0,SANTAKA BRAWL,8000013,282964,48,28
48,#2YQPCV8VP,Prawn Stars,8000035,274800,49,9
49,#90Q9QLU,Legendary kings,8000003,265395,50,25
50,#Q8RGCLP0,Laetitia famil,8000039,261460,51,27
51,#RRGVRCJP,RΣSURRΣCTIΩΠ,8000004,259202,52,10
52,#UUYYQY2,Les patron,8000025,257068,53,29
53,#VGJLJG2U,CHCE KRUKA,8000017,251919,54,30
54,#2GY2QG9QY,Lost Wizards,8000057,250311,55,12
55,#QJVQPJVV,YAANSH,8000055,247629,56,21
56,#2YYG98RVJ,최인성,8000029,246387,57,30
57,#209VGUUCG,Bad Brawl,8000035,245274,58,19
58,#2JJ2V0GV9,KING [2],8000029,242669,59,10
59,#28CJGGJC8,CGS III,8000036,238263,60,14
60,#2LQQ2YPQG,vic et noah,8000021,235718,61,27
61,#QVCCP2LL,Brawl e—sporT,8000029,232180,62,24
