,tag,name,badgeId,trophies,rank,memberCount
0,#UVLLLLYQ,Legio X Victrix,8000049,1649418,1,30
1,#898292CL,Legion Inferior,8000049,1617017,2,30
2,#8JJPRP2L,Legion Dacia,8000029,1499081,3,29
3,#2J2YC8VYL,TOP LEGEND,8000021,1447570,4,29
4,#299GVL0V2,Legio X Gemina,8000029,1356933,5,29
5,#29URVL9YP,The Immortals,8000029,1343372,6,28
6,#2JQJU08P2,Tribe Moldova,8000037,1295990,7,25
7,#2L0UV2QCU,<c6>Red</c>Bull,8000025,1268026,8,30
8,#2GPYYU0VL,Legion Traiana,8000029,1263218,9,29
9,#2RJ80VR0V,<c3>Slayer</c>D,8000055,1260045,10,30
10,#2RCYYPU09,Summery Lagoon,8000052,1254366,11,30
11,#22UVURQJL,Tribe Dynasty,8000025,1219087,12,30
12,#29Q9UYGVR,The Immortals 2,8000029,1213281,13,29
13,#2CGL2RQQ9,topi,8000041,1201563,14,30
14,#2CP8PPL28,IMBA | SQUAD,8000029,1180441,15,30
15,#JPU0V8CC,Bogdan Brawl,8000018,1107478,16,29
16,#2829GUYPY,МАСТЕР В КВ,8000055,1097269,17,30
17,#2J0CJLGL8,⚡Paradise Club⚡,8000019,1086646,18,30
18,#2G2GRUVU8,Legiøn Legends,8000018,1084901,19,30
19,#299VPGGYU,GACCI MUCHI,8000025,1073191,20,30
20,#2LL282QG9,YT: Baby Marius,8000023,1065687,21,30
21,#2G8928UPY,Dan BroYT,8000036,1062525,22,26
22,#29YPVQY8C,TheElites❤️‍🔥,8000053,1061231,23,30
23,#29QJY8YR9,NeverLose,8000004,1044186,24,29
24,#2CQGYQVGC,Legio Fretensis,8000029,1043100,25,29
25,#2Y8PQJJPJ,Firing Power,8000059,1026754,26,27
26,#2QGPCQU8Q,✨Good|players🥀,8000049,1016666,27,29
27,#QRQ82Q0G,⚽AMAZON⚽,8000023,1007609,28,28
28,#2QRRRCR29,Moldova,8000057,1007231,29,30
29,#2RG0UUG02,lfedn,8000023,999924,30,30
30,#2JUP8GVUQ,<c5>Ice</c>Gem,8000056,986177,31,28
31,#2Y8U8G0CJ,(СН) ЭЛИТА,8000029,981680,32,24
32,#29CRY0PJC,🇲🇩Md|Espada☣️,8000037,962956,33,30
33,#2C2L22LCJ,OG|Moldovan🇲🇩,8000027,952393,34,30
34,#2GGRULV89,Pensionarii,8000023,931135,35,30
35,#2G82GYUQ9,Ełite Famiły 👑,8000029,927158,36,29
36,#2J8VQ9Q9L,CH|Team,8000037,925922,37,29
37,#9LPUVVJP,Moldavian bool$,8000036,921804,38,30
38,#2GPQ9CQGR,THE WARRIORS ⚡️,8000029,917468,39,30
39,#202GPPRVQ,Moldova £lite™️,8000004,917416,40,28
40,#2CGJU02PU,MD✓Hunters,8000035,916729,41,28
41,#J9QRVG2J,Daun Elite,8000023,906801,42,30
42,#2JGU0PCPY,MOLDOVAN|YOU,8000039,905441,43,30
43,#2G9RGGLJL,pvp zZz,8000025,893594,44,29
44,#2CGVVCUPG,<c9>FuryX</c>,8000006,890313,45,28
45,#2QU8QUPUY,💉CEMF💉,8000048,889619,46,30
46,#QQP8Y82J,Liders,8000055,875499,47,30
47,#2QV8VPY0J,Anteiku,8000025,870594,48,30
48,#2Q2GQ208Q,Дэйн Team,8000057,864982,49,30
49,#2C80J90P8,Clanul Minge,8000057,864203,50,30
50,#2YC08P9GQ,Rose Wonder,8000003,863697,51,30
51,#28QJ0JPL8,NewAge,8000005,848724,52,30
52,#290099VY9,<c4>Light|S</c>,8000003,848596,53,30
53,#2JQ0UPVUL,мемные типы,8000029,843409,54,30
54,#QYCQP2CV,Supremacy💫,8000049,839375,55,30
55,#2L9PC292U,BBT,8000004,830735,56,30
56,#9L9L8J02,Drag S,8000013,827926,57,30
57,#QJP292C8,Cyber Rescuers,8000023,820316,58,30
58,#2CRYUV9R9,cactus mucegait,8000013,815242,59,29
59,#2YVQPRRJL,🇲🇩MOLDOVA🇲🇩,8000021,813828,60,29
60,#2JLQL2JU2,<c8>Re</c>vō,8000041,790889,61,30
61,#29GYUC80L,CK|Cereal Kiler,8000047,789029,62,30
62,#2J2CR8P2Y,BRAWL|BOOS,8000011,787852,63,30
63,#2Q9GYGJ0U,Faimoși,8000023,785901,64,30
64,#2C98RCULL,Banda Bomjâlor,8000059,780579,65,27
65,#20U22Q02C,🖤ЧЁРНАЯ.СИЛА🖤,8000047,774919,66,30
66,#2G922U0VG,Tribe|Moldova,8000037,761150,67,27
67,#2GGG2CV2U,ŊRG|Brawl stars,8000059,760190,68,30
68,#8RQQJCUQ,короли бравчика,8000023,758493,69,30
69,#28LJRQU0U,Struț MD,8000057,755939,70,29
70,#2GPP0PPCP,Camp Club🇲🇩,8000037,754502,71,30
71,#2JUQGCVRL,ia sigma crutoi,8000025,754066,72,28
72,#2C9QVV2UU,MD|TUR🌘,8000055,753873,73,27
73,#2QU2L8Y0Q,Рись дикий,8000049,751182,74,29
74,#2CLJVQ2UY,Soul💔,8000037,747197,75,30
75,#2QJLUPVP0,BS|√kinGs🤟,8000013,741680,76,30
76,#28C08GUY0,Vlad,8000057,740092,77,30
77,#2J0UVYLR8,Despicable Me💣,8000059,738114,78,30
78,#2QVVLLVY9,SkyDecay👾,8000039,735661,79,30
79,#2QJJRYLJ2,Brigada|MD,8000023,735402,80,29
80,#29GRR8UR2,BGS|TEAM,8000032,732246,81,30
81,#22RPCYQ89,Power of MD🥇🥇,8000059,730525,82,30
82,#29RUYY9CY,"ОПГ ""7-А🙄🥊🦇""",8000050,729594,83,29
83,#2882LL9VP,Luv..,8000055,729141,84,30
84,#P8R9YY2Q,Moldova Friends,8000001,725871,85,30
85,#29GQLVJ28,⚡DPB|eSports ⚡,8000019,724786,86,29
86,#2P9GJYR8J,ПРИТОН,8000025,721593,87,30
87,#VQRJRGU8,LoL sorpresa❤❤❤,8000004,718744,88,30
88,#2CRLPYG22,Moldova Elite,8000019,712537,89,22
89,#2G2L2UUU2,Ghost Gang,8000057,710508,90,30
90,#2G0GUPYJV,FANTOM,8000045,705957,91,30
91,#2CLPPJ2L0,штурма команда,8000034,704583,92,28
92,#2G09UYR99,NaVi | MD,8000059,703655,93,30
93,#29Q0VGLUY,Road to 30 rank,8000034,703464,94,30
94,#29QL9GL0J,MD FAMILY✓🇲🇩,8000037,703247,95,30
95,#2C8UJULU9,UnicornCLUB🦄,8000029,702697,96,26
96,#2CJGCU89P,Ro|League🇷🇴,8000037,688736,97,30
97,#2CR0288PQ,MoldovaClub,8000029,688012,98,30
98,#2JLVV02JY,clami.club|cc,8000034,687250,99,30
99,#28CVVJ8QG,<c7>Pablo</c>,8000017,686186,100,30
100,#2JJ0RYPYR,PL COMPANY,8000029,685303,101,30
101,#28CYQYJPR,>>СУДНАЯ_НОЧИ<<,8000025,684325,102,30
102,#2CGQUYR99,<c9>Thrasher☝🏿,8000045,682895,103,28
103,#2CRCGJ9U9,MoldovaPlay,8000037,682232,104,30
104,#2CGQ08JYJ,C-113,8000025,680602,105,30
105,#2R2QJQC28,Haiduci,8000045,674448,106,30
106,#2G9LC8CGJ,🇲🇩TRAPHATA,8000046,674415,107,30
107,#2CQRR828R,⛩️OurFamily⛩️,8000021,674009,108,30
108,#28QQQGQC2,ШинобиХрустовой,8000008,671770,109,30
109,#28G2UQ92C,Агро школьники,8000059,665981,110,24
110,#2RL288GG2,Moldova’s Kings,8000023,664773,111,30
111,#LYR9P9CP,Senaleks,8000047,663815,112,30
