,tag,name,badgeId,trophies,rank,memberCount
0,#2RP02QC00,Chairmania,8000021,994578,1,27
1,#2C99LLC0Y,FeniKS Dynasty,8000037,950265,2,30
2,#CYGVY22Q,Mongol Falcons,8000007,929713,3,30
3,#2JQCRQV2G,sᴜɴɴʏ ɴɪɢʜᴛ,8000025,848361,4,30
4,#20QVR8JP,Genesis,8000029,789011,5,25
5,#U0CGPRL,frfrttfr,8000021,776241,6,30
6,#20RPVGUR8,Provocation KZ,8000023,741200,7,29
7,#2JJRRU998,Психо кидс 8,8000006,725806,8,30
8,#2RUGQLJ8Y,Fake Club,8000017,704714,9,30
9,#2C9PRR0PY,mongol empire,8000057,525427,10,28
10,#2YG2PRJYP,dark playz,8000029,512988,11,30
11,#2CGLQYVY9,7c,8000046,507981,12,30
12,#28V99C8J9,manai club😆,8000004,504324,13,29
13,#28RVYY2VC,The BOIZ,8000027,500197,14,28
14,#VRUG0U8R,ЛОГОВО ИГАРЬКА,8000013,499476,15,21
15,#Q2VC2QP2,Chocolate balls,8000037,499048,16,30
16,#22L0C288Y,страшные киллер,8000013,495132,17,30
17,#2CG88UQUP,Rokaku,8000037,474032,18,30
18,#2UP8GCV0,Dubs_W,8000007,460729,19,23
19,#2JCY9VRGU,니얼굴,8000023,436754,20,30
20,#QGY9LL89,Arkadaş kulübü,8000017,424829,21,30
21,#2G9Y0CLQJ,Paises Sovieti,8000036,415407,22,28
22,#2P229PUCR,Assassin's Crew,8000004,407478,23,30
23,#2QUQ9VY29,Les amis,8000029,401997,24,28
24,#2QRVCY9LL,White Bird,8000055,385262,25,16
25,#QG0QY9Y9,FRIENDS,8000021,351526,26,29
26,#P002QQCC,apple,8000057,338165,27,30
27,#2GPL2QL80,миша-петя-пига,8000004,335615,28,19
28,#29QGP0C8G,the 1st,8000037,333046,29,30
29,#2C9VY99C8,FC Mokre Bąki,8000042,328650,30,28
30,#2PC0Q8GPU,Esport mongolia,8000023,323056,31,30
31,#280J2PQ09,Лицейское ОПГ,8000004,317187,32,24
32,#28QUJQYL2,PINKUBOB,8000038,314989,33,29
33,#20QJQRRV0,sushilover,8000059,313560,34,26
34,#2GG9RRGP0,FlezBoy gang,8000057,313140,35,25
35,#2YP8JV9GU,Ahan_duus,8000021,297760,36,30
36,#2JPV20ULU,Шляпончик <3,8000016,296315,37,30
37,#2YCCL0PVQ,Аварга Монгол,8000055,288025,38,29
38,#2L0YJC2L,SPAP,8000011,288007,39,16
39,#YLL0JGG,Mongolia,8000019,286849,40,26
40,#28J8UCLRY,브롤러 킹,8000021,285080,41,30
41,#2C02VVVRU,King®️xmat,8000023,283847,42,20
42,#9GLP8889,кото прыг,8000025,282067,43,19
43,#2YY8YRUJJ,нисэ,8000059,280239,44,30
44,#90VG99PU,Club league mgl,8000040,275103,45,27
45,#2C2LPC22L,Klub MATEX,8000000,272069,46,23
46,#2JUCYGU8U,лиги бс,8000008,270409,47,28
47,#L0YYQ8VV,Отряд Мандарина,8000047,268567,48,25
48,#GGGPU099,сыны,8000023,254797,49,29
49,#29G22YR8V,PizdaNeMataia,8000038,253652,50,30
50,#99Q89YC8,🖤ShadowSquad🖤,8000008,249305,51,30
51,#29G99VRRU,Альвов,8000050,245092,52,30
52,#22Q2RUURC,STクラン,8000013,236365,53,30
53,#UYL2802,Tikshals,8000029,231005,54,28
54,#22GQQUGY0,MONGOL,8000010,229843,55,30
55,#QCYGQ280,Mongol Brawl,8000016,229628,56,30
56,#2R80C8R08,дед інсайди,8000023,226767,57,30
57,#29LP2VLJR,монгол дайчид,8000019,226267,58,30
