,tag,name,badgeId,trophies,rank,memberCount
0,#R8G0VJ2,Furia Catalana,8000037,1238693,1,30
1,#2C92G8JYP,jupa de caballo,8000013,1028898,2,29
2,#QQ2C0YGG,Mc Patos²,8000029,1000755,3,30
3,#2C8LV8Q99,ResaMarselos,8000004,1000260,4,30
4,#GRCGQJ,The Trollers,8000037,948821,5,30
5,#209VC98JJ,Furia Catalana,8000049,861426,6,30
6,#GJQ9UGG,Catalunya,8000029,783015,7,28
7,#Y9YC8U98,Never Die,8000058,767100,8,30
8,#LL9J0U29,Ira Catalana,8000041,616467,9,30
9,#PV99YGL,PRADES,8000008,612358,10,21
10,#CRLGVYR,brawler felican,8000013,583895,11,30
11,#2CRQ0P2R9,BRAWL TAYFA KOC,8000042,581967,12,30
12,#28YRV0LR8,Monfu Skills 🐜,8000004,571704,13,23
13,#8GUPV2P0,CATALUNYA,8000006,560347,14,30
14,#29QRL2Y0Y,RGNT | Ecsports,8000037,559640,15,21
15,#9RPR9JQL,VacuNation,8000028,552036,16,29
16,#2JR9PRPLG,Team pollo 🐔,8000023,551944,17,30
17,#UVUJ8VYR,Костя боба,8000048,536411,18,30
18,#QG9PGJL0,Mc Patitos,8000025,526636,19,28
19,#UCJCPY,FlaquiWarriors,8000025,526052,20,30
20,#20J929U,Almogavers IV,8000018,523577,21,30
21,#22YC9V2L,Lleida PONENT,8000005,493442,22,29
22,#VYYC2Q92,Esplai XiXi,8000058,473879,23,24
23,#RL08R98,TheKúytz,8000008,452085,24,30
24,#2GUVY0JU8,THE AXOLOTES,8000018,440134,25,30
25,#928L89QR,catalans,8000016,431877,26,30
26,#RRC2GLP,BrawlOlo,8000028,426551,27,28
27,#2JGC8C0LL,SALFUMANT,8000055,419356,28,30
28,#GRRJQ0Y,VenenoTeam,8000022,409925,29,26
29,#229U0L8GC,REAL FAUND|AIR|,8000023,409644,30,18
30,#2ULGRLUJ,TeamKyrons,8000007,402292,31,30
31,#PGRPG2LJ,FURIATEAM,8000019,397823,32,28
32,#299QL92L2,FALDUT’S STARS,8000013,391425,33,29
33,#2QYLVL28J,ОТЧИМ,8000037,374413,34,21
34,#2JCJY80VJ,eng quimica,8000029,372904,35,16
35,#20J0C9QLP,Клуб тимма,8000017,364479,36,28
36,#8VRP0UC,The Sopranos,8000018,363733,37,23
37,#UJPG8CU8,ERESTATULES,8000004,355300,38,18
38,#8RQRVPUU,ILuminaty,8000029,350448,39,30
39,#2022QY9CQ,hard full hard,8000006,339302,40,30
40,#2GR9V9P88,AMICIPERSEMPRE,8000053,335929,41,30
41,#8YQY9V9J,GgEz,8000029,328157,42,29
42,#28UYPYGV,Independencia,8000018,318781,43,16
43,#220GGY98,TERRA LLIURE,8000028,306972,44,23
44,#89LJGC9C,Borracheros,8000004,300162,45,20
45,#2C2RLCJGY,Los diarios😎,8000037,285032,46,12
46,#8V22P9CJ,SINCH,8000021,278544,47,23
47,#GLR090,PEDJUDO,8000017,272535,48,26
48,#8GUGRYV2,catalans //*//,8000018,266519,49,28
49,#2R0JY20VJ,ELITE ZH⚡️,8000057,260982,50,25
50,#2JGU9G9PU,Pingüinoides,8000031,258913,51,13
51,#2VG9VGJV,iMadnes,8000029,255934,52,25
52,#98CC299,patinant fort,8000011,254327,53,30
53,#GGU20PLV,Catalunya,8000005,248968,54,30
54,#2GGJRCCLG,spanish office,8000004,245926,55,29
55,#22YGRCGU,Wu-Tang Clan,8000029,242446,56,28
56,#2L90Y09CU,uncly,8000029,242079,57,30
57,#8VCVC9,Capsigranys,8000018,240743,58,19
58,#J20LGUGV,ЛОГОВО БОБРА,8000015,217452,59,24
59,#22QUC8LJY,LOS CINCO,8000059,214690,60,21
60,#J90R890J,Банда блогеров,8000037,211756,61,28
61,#2C00UVVGP,Espies Veritat,8000039,211660,62,30
62,#29G9URGC9,앙기모찡,8000034,204237,63,30
63,#Q8CLJLYC,the boys,8000037,203108,64,30
64,#2Q8YC0LLL,nnnnmmg,8000059,201952,65,20
65,#280C2R8Q2,amber y su club,8000034,199657,66,30
66,#29PPC2UGR,R8,8000007,199328,67,8
67,#29LYG80V9,LOS PLIDRONES,8000029,198521,68,30
68,#RLRJJ0LP,bad buny,8000029,197710,69,29
69,#22089R8C8,топ А1,8000029,197480,70,26
70,#VP9JUURL,los simples,8000029,194587,71,19
71,#2YGPUGQ8U,OPV,8000004,193388,72,21
72,#YY2RQJC,LOVESMAMIS,8000015,191643,73,12
73,#2RGGCLUYJ,les llufes😜,8000057,191010,74,11
74,#2CRRRCQJY,jans,8000057,189901,75,30
75,#20VLJQJ9R,SWURGen,8000057,188157,76,30
76,#20LVP9UJU,cat cool gg,8000029,186381,77,30
77,#89P28QY,Pur Amor,8000024,184396,78,23
78,#QL08Y2CY,Ich bins Tim,8000031,182829,79,23
79,#2G0QPLU8,PauMartí,8000013,180975,80,27
80,#UJU08880,ÜTÜ BACASI 7,8000037,180765,81,25
81,#PCVQ0J0,oms i de prat,8000014,180393,82,28
82,#2PLG2Q2,joves guerrers,8000017,179424,83,28
83,#8QPRGGL0,almogàvers 4.0,8000018,178988,84,25
84,#JUUL0U02,Club  #JUUL0U02,8000003,178061,85,30
85,#8JLJULQL,curuyo lejendar,8000057,177951,86,22
86,#2C20RJ2VQ,Staying Eagle🦅,8000037,172851,87,13
87,#CJL0G8,Vila de Gràcia,8000002,170623,88,29
88,#JYQRVGJU,HOY ES VIERNES,8000013,163061,89,28
89,#RPRU2VP0,HISPAÑA,8000018,156233,90,20
90,#20PQPVLVG,los æ,8000019,155450,91,30
91,#22U8LGCP9,Black Star,8000018,155124,92,30
92,#9LJPV9GY,prosy,8000047,151160,93,22
93,#VUGVC2Q,Україна,8000022,151011,94,29
94,#2JGPRC2YQ,PGOTIP,8000013,149202,95,30
95,#22P8UQ9V2,G(TEAM)P,8000008,148854,96,29
96,#92GVPVC8,ELS REIS,8000029,147678,97,24
97,#RVQC8P0P,LOS RATAS,8000006,146794,98,30
98,#2QURPGQYU,Клуб: #2QURPGQYU,8000029,146518,99,29
99,#209PU2U92,Zilverked,8000029,145969,100,29
100,#2YJ90PQ8C,김창준잘생김,8000029,143604,101,30
101,#2YUUUYJ08,ins sarria😈,8000057,143008,102,14
102,#QGJ8YLG,Los reals,8000029,142420,103,28
103,#29YJ9UL99,BC | FAMILY 🐐,8000029,140170,104,30
104,#YRRGJGJL,CATALUNYALLIURE,8000002,139969,105,12
105,#2G280922C,Reguisol,8000011,139859,106,29
106,#2029GPPVV,82убийца,8000004,138933,107,29
107,#RVC0GUV9,emmascarados,8000041,136154,108,30
108,#2GYQC0R2U,Brawler Kingdom,8000029,136114,109,8
109,#9RG2RL8V,CATALUNYA INDEP,8000004,135535,110,23
110,#2VPCVPVY,яой,8000004,134645,111,29
111,#29PUY2LG0,BSCİLER,8000028,133999,112,29
112,#VG8YRCCL,Бабл Квасеры,8000039,133436,113,21
113,#2RVL0LJ0U,ВЕЗУНЧИКИ,8000013,133407,114,12
114,#209G2LQC2,пнарод,8000044,133286,115,21
115,#2JGUQU98U,Torxa eSports,8000037,130183,116,9
116,#2RPGUYLJJ,Team ERA,8000035,129644,117,8
117,#28Y89VPGU,Ralex Army 3,8000037,129422,118,26
118,#2CQ22PLLJ,aliançaCATALANA,8000023,126246,119,7
119,#CUY8VPCQ,Vilassar de Mar,8000015,123234,120,30
120,#200Q8L0G,Marunt,8000008,123068,121,27
121,#29JCLUJVV,codigo pro,8000007,122156,122,17
122,#LJ0QUJ8,HUUUUUUULIO,8000017,121393,123,29
123,#2C2GYCV2Q,Hayrulloh1Uzb,8000046,118309,124,27
124,#2C2LRLLJ8,La Família🕊️,8000013,118231,125,8
125,#LRJVVV9,Carrasco Fails,8000013,115570,126,27
126,#2Q809PJYP,T3aM GKME,8000057,115296,127,11
127,#28UJVYVL,BOONK,8000003,114556,128,26
128,#2GV009QPV,gatoyes,8000019,113958,129,26
129,#29LVR008R,SGxCREW,8000053,113454,130,6
130,#2JGC99LG2,<c5>Łøřđ</c>,8000053,113197,131,14
131,#RRGQGC,Ulgxuroth,8000007,112191,132,19
132,#2L9R9VLYY,фортнайт топ,8000010,111097,133,15
133,#29RU8QUGY,profix,8000007,111091,134,30
134,#UPLJJYJ,La Nació,8000007,109585,135,29
135,#22GYR228P,полис хакер,8000037,109522,136,19
136,#2YJLPR8RQ,ОЛЕГ И МАКСИМ,8000057,108306,137,28
137,#282JUYPU0,WolfShy✌🏻👿,8000029,107157,138,7
138,#2GRLRV0C8,PUTAESPANYA,8000034,105143,139,6
139,#Q2GPV9Q8,rod,8000003,104317,140,8
140,#2YU2YLQUJ,Rassian Elite,8000032,104204,141,26
141,#28QGPP2QU,MüttefikTP,8000018,103595,142,17
142,#VL2L28R9,BFF 2020,8000013,101485,143,27
143,#29J8CUJLP,Mopsiki🐶,8000027,101210,144,9
144,#20UCYCJRG,clan Català,8000029,101048,145,18
145,#LVQ9VU0P,🖤рыцарь🖤,8000037,100725,146,12
146,#2RYV8CCG8,Tragic Week,8000057,99788,147,9
147,#UL8RLLLP,все твинки,8000013,99168,148,30
148,#2JPYYLJLL,10A BLACK MAMMA,8000001,98595,149,5
149,#92RPY,PeTa clan,8000017,98178,150,29
150,#LY2UP2J8,hak. pro,8000025,97897,151,25
151,#29L9LJ288,Primokos,8000049,97374,152,5
152,#2QGY08VVQ,роап,8000003,96428,153,29
153,#RJVPUPVQ,Maléfia Empire,8000035,94766,154,6
154,#2JR9YPY8L,braianeitor,8000054,94748,155,28
155,#C99VR22V,XX|ROGER,8000013,93561,156,28
156,#U08VJ2GU,as,8000025,92479,157,20
157,#ULJYQYCC,(БАН) АРТУР,8000029,91964,158,24
158,#2G08GU8CY,Tapo4ek Brawler,8000050,91293,159,28
159,#GC8PJRPQ,golin,8000029,91234,160,14
160,#9UGJYPQ,Cheese Squad,8000029,91191,161,11
161,#2PRC98VJJ,Хатажукай,8000023,90624,162,29
162,#2RQLP9CUV,zorras,8000039,90066,163,4
163,#2Q2009JR0,KUZİLER,8000018,90034,164,28
164,#28QUPLP8J,CATALUNYA,8000029,89949,165,30
165,#VCPVRCC,Ribes Team,8000029,88712,166,22
166,#20GR2RQYV,BANDA|VP,8000025,88146,167,10
167,#JPQ9LPLG,дурак и молния,8000007,86918,168,29
168,#VJ90Q0Q2,леоны с ящика е,8000029,86355,169,21
169,#2YYLLPJ8L,ТиПо Бс,8000044,86167,170,6
170,#29JV0UJQG,los calvos,8000044,86089,171,3
171,#2G9Y2CGV,dhdhrh,8000004,85063,172,29
172,#20Y0RCRQ8,Reach people,8000029,84182,173,6
173,#8JJP0800,Catalunya union,8000028,83708,174,7
174,#2Y2R8JV8,C.D.A.,8000016,83638,175,26
175,#28V98QY9L,Sushi <3,8000014,82987,176,29
176,#QRYV2VGY,team Nike,8000019,82981,177,8
177,#29R08GVG2,B i què posem,8000001,82899,178,10
178,#9YURJQ,Joventudes ST,8000012,82785,179,11
179,#CVJQ2UPL,20k wette,8000016,81968,180,23
180,#2JVUL0R00,afm fakelegends,8000048,80459,181,22
181,#2LUQGRCR9,бравл топ мира,8000015,79902,182,29
182,#PJ2JVPJV,ваня рома,8000016,78259,183,28
183,#28LCP8U0J,80232,8000015,76302,184,30
184,#928VQL2G,장민석,8000029,75444,185,23
185,#CPQG80G,CATALUNYALLIURE,8000017,75346,186,24
186,#CCQLP2UY,даю акаунты,8000059,75021,187,22
187,#Q0QPGYCY,Brawlers de 5è,8000018,74858,188,22
188,#9R22QPL,BarallaStrelles,8000006,74477,189,15
189,#JQJJUJCG,ITALIA❤️,8000029,74372,190,19
190,#VL00UJVP,BRU Team,8000018,73824,191,7
191,#2JU09VRJV,Империя ДНР,8000029,73059,192,4
192,#QRYYRJG,+MSP,8000023,72698,193,17
193,#8QCYYUJ8,Leprosa's,8000013,70852,194,4
194,#2R8GP0GCJ,сбор аутистов,8000039,70822,195,4
195,#YGQPLCGG,Uygar Can Uğur,8000055,70793,196,16
196,#UQQVCUG,mynameisjeff,8000012,70566,197,19
197,#Q9RGR8GU,тип500,8000015,70246,198,30
198,#29RYJVY8J,BİZİM MAHALLE😈,8000005,69871,199,23
199,#2RQRVUGLY,NEWSGENERATION,8000037,69847,200,4
