,tag,name,badgeId,trophies,rank,memberCount
0,#2PLRLLUVC,MA Team ⚡,8000006,1317485,1,26
1,#2C2Q98C2Q,MA Team ⚡II,8000006,1294403,2,30
2,#9LP0LG8U,OTAKU,8000057,1263961,3,30
3,#20G22UGQ8,Los Pollos,8000034,1212767,4,30
4,#QJVRQ08Q,LAST LEGACY 🔱,8000014,1193110,5,30
5,#2C2GR229V,PEW-PEW❤️‍🔥,8000028,1190326,6,30
6,#2YVRVQQ9L,اساطير,8000004,1182524,7,30
7,#2PPGCVCJ2,✊OVER POWERED👌,8000037,1170670,8,30
8,#98YC,Code RADICAL,8000020,1155197,9,30
9,#QCQY9U2Q,就| DRAGONS🐉,8000027,1146548,10,29
10,#2JVR8QGC0,BARBECUE GANG,8000030,1086296,11,28
11,#20GPU9J,MOROCCAN GAMERS,8000006,1076018,12,30
12,#2C9RCQRY8,MA | SQUAD,8000037,1071781,13,29
13,#29CG9GQRQ,YT |RTI fox,8000029,1068400,14,30
14,#JLQG2JJL,Moroccans Noobs,8000029,1066277,15,29
15,#2JUYUY2RL,Infinity club,8000047,1000043,16,30
16,#2C22Y2GPY,اتحاد العرب💪,8000037,981887,17,29
17,#RCPQ22L,maroccan brawl,8000037,970934,18,30
18,#8CJ8QU9Y,Morocco Academy,8000021,967950,19,30
19,#9YJUCUVV,chami and akram,8000049,953142,20,30
20,#28CJPVQC2,TZ | LEGENDS,8000039,941759,21,30
21,#280VRYC8P,بيت البوم,8000047,928690,22,30
22,#29JJ20P9U,Ruch|Chill👻,8000027,928248,23,30
23,#2Q8UJ8UYQ,المغرب,8000052,910399,24,30
24,#P990UR98,مرحبا بالعرب,8000055,908375,25,30
25,#299LU9CP9,MOROCCO CLANS,8000004,898640,26,30
26,#2QC08U2Y2,Tryharders GANG,8000021,888585,27,30
27,#2CRQ2LL9Y,DARK LIGHT,8000003,884627,28,21
28,#QRCUPV8J,ＤＡＲＫ ＳＩＤＥ,8000029,879610,29,28
29,#JV8PLRJ,Casa Blanca,8000029,872238,30,30
30,#2JJUL8VPP,👑ملوك_القوة👑,8000023,872057,31,30
31,#2LY82U0LP,MOROCCO TEAM,8000023,868611,32,30
32,#29UGUUYYG,By Morrocan,8000027,849043,33,30
33,#2JCUCC2QY,KingCard 💧,8000043,840052,34,30
34,#2CGLQVPG2,🇲🇦Morocco🇲🇦,8000036,838838,35,30
35,#QRCLCQ2J,Morocco Mortis,8000037,825346,36,29
36,#2PQC20L00,Akatsuki's team,8000034,820287,37,21
37,#2C20VVV8U,ملوك🕶العرب🇮🇶,8000023,813653,38,30
38,#QL2GV92J,أبناء سوريا,8000033,808138,39,29
39,#2GP9QLUGC,🇲🇦MOROCCO🇲🇦,8000006,805999,40,30
40,#2CJ9RG8J8,9hiiiiiwa team,8000050,803544,41,29
41,#2C20U0ULY,The Undefeated,8000048,799487,42,30
42,#2JQU8QUQL,⚜️الْأشّداء⚜️,8000023,788917,43,29
43,#29CRY0C9C,QLZ|《Đäřķ Śøűł》,8000059,786569,44,29
44,#2CR9Q22VY,FES GANG,8000049,785416,45,25
45,#29YJR2YGP,MT✨GANG,8000057,776058,46,30
46,#LUV0J992,⌛️Time Travel⌛️,8000057,772207,47,30
47,#2GPL0RU8J,Brawl Source,8000046,760436,48,30
48,#2CYQ8GG8C,أبطال العرب,8000029,758522,49,30
49,#2C8GLCL8Q,HS HEROES,8000053,727994,50,28
50,#2JVC2LL8V,✎ⓁⒼⒽⒺⒹⒶⓇⒶ™,8000055,724068,51,29
51,#PLYP8VJR,rejoins bg,8000043,719974,52,30
52,#2CLJP2YGV,Ｍｏｒｒｏｃｏ🇲🇦,8000059,719402,53,30
53,#2CPQVCUR2,9lu9lu9lan,8000004,711129,54,30
54,#2C0809UQQ,ar|•gang™,8000047,710569,55,29
55,#29QG22QUG,🖤꧁࿇ÐɑʀҟƑîʀɛ࿇🖤,8000025,703778,56,29
56,#2CJ8LL0JJ,Aqua Regia 🌬,8000055,695631,57,30
57,#QC9GYJGC,MA🇲🇦|TEAM ll|,8000023,691182,58,26
58,#299QP8V20,REAL MADRID,8000029,690038,59,30
59,#2PJQQQQJU,Rijal,8000037,684039,60,28
60,#29Y9G0JRR,Akatsuki💫🎴,8000029,682335,61,30
61,#209G90089,NINJA,8000029,678758,62,30
62,#2GYPP0CCL,BC🦋| FAMILY 🦋,8000010,671509,63,29
63,#QG89L2JG,The_Toxics👑,8000023,667646,64,30
64,#QQ28QUCC,<c8>Mortis</c>,8000040,646636,65,30
65,#2JCQVLLQQ,HC Brawlers,8000023,646013,66,30
66,#QQRJ0GP0,سكواد بالعربي,8000027,639882,67,27
67,#2QL9R08YY,⛩|ESPORT|🎋,8000046,630515,68,30
68,#U08UVVPL,Khaisma's Commu,8000037,627882,69,27
69,#82V2JYLC,les yassamin,8000045,623382,70,30
70,#Y2PPQVRJ,LEGENDRY ARABE,8000018,623028,71,29
71,#VUCQ9PP2,Peaky Blinders,8000004,607221,72,29
72,#2CRUV82VV,Mrocoo for ever,8000029,606282,73,30
73,#2G2908J2P,LEGEND OF BRAWL,8000037,599746,74,30
74,#2G2L0GCLC,المغامرون🇲🇦,8000027,599721,75,30
75,#2J28V0VPL,LIONS KINGDOM,8000037,597500,76,25
76,#2G0RYPR2G,المغاربة,8000006,592371,77,30
77,#Q0CJQJCP,أبطال المغرب,8000023,581667,78,27
78,#28QYGUGUJ,المتوحد الاكبر,8000034,581617,79,29
79,#29GRQC0LL,™ Morocco ™,8000011,579979,80,30
80,#2JQRJ0QQR,Ro❤️legendary,8000037,578109,81,30
81,#29L0UGVCP,MAROCAINE,8000016,577495,82,30
82,#GVQJ22JL,Belkarim,8000029,574418,83,30
83,#UU2QYLRJ,TEAM ISLAM,8000029,574036,84,30
84,#29LVQ92L9,OP | LEGENDS,8000029,569063,85,30
85,#2290C20Q,MOROCCO,8000023,567638,86,30
86,#28QGQ0JP0,the legends💯💯,8000029,559934,87,29
87,#PJUV9QUL,Open Bar,8000023,558438,88,26
88,#2QVYJYJ0C,💀THE MAFIA💀,8000039,556807,89,30
89,#29ULJGV08,Fɪɴᴀʟ乂Sᴛʀɪᴋᴇ,8000029,553172,90,29
90,#J0J09U9,A S S A,8000035,552144,91,29
91,#VYGQQY0C,BAD FRIENDS⚡️,8000003,543462,92,30
92,#22LQL2PV8,Sparta Family,8000014,537266,93,30
93,#QRVGGURV,z3tre🇵🇸🇲🇦,8000059,537025,94,27
94,#2990LQ0QR,TryHard,8000023,536802,95,13
95,#V9L09929,namaho,8000019,528582,96,30
96,#2YQJJJ0PP,sad,8000035,528313,97,30
97,#U92YJLYY,SSG|Morroco,8000029,522268,98,30
98,#8LR0GV0R,A Few Nice Man,8000029,520414,99,30
99,#YLVYYL9,XT|Morroco,8000018,514984,100,28
100,#29Q8V98JQ,مدمر الاتحادات,8000033,513951,101,29
101,#28QJGUPQP,MAROC,8000006,511697,102,30
102,#Y0G090LY,Red Pirates 06,8000004,508765,103,18
103,#2JGP2QRRR,Island Explorer,8000023,506883,104,30
104,#GQUQCUP,Boys du Maroc,8000000,506072,105,29
105,#220JJU9Y9,not∆clan,8000036,504208,106,30
106,#29C0RJV89,moroc🇲🇦,8000036,497044,107,29
107,#2JJ8RJY9Q,７Ｈ ＡＲＡＢＥ,8000041,494722,108,25
108,#2Q9P8PQQ,Rabat branlers,8000054,490501,109,30
109,#2G80VRJC9,أبطال العرب,8000022,487936,110,30
110,#QR2YQP2L,اساطير العرب🔥,8000037,487682,111,30
111,#8ULU8C8V,CheckItUp,8000006,487082,112,30
112,#28RGRRUC2,نسور الصحراء,8000013,485582,113,27
113,#QCPUCURQ,GAME🇲🇦OVER,8000007,475526,114,30
114,#2L9QPLUQR,maroc,8000022,474292,115,30
115,#28L9YC9QU,КЛУБНАЯ ЛИГА,8000023,474015,116,30
116,#2RQJ80CGC,👑XD |KINGS👑,8000029,471029,117,30
117,#2QGLG8LVC,المغربي القوي,8000057,470387,118,29
118,#28VJQPCYJ,club des pros,8000014,466503,119,30
119,#2PJ8V98YL,white1488brawl,8000047,464533,120,17
120,#VC0RQ8UR,Arabs gamers🎮,8000055,464313,121,29
121,#2CR9R0P0G,جيش الأساطير,8000018,463555,122,30
122,#2GL8VVUQU,Friendlies,8000035,461694,123,30
123,#2CYU8QC9G,1vs3|Winners,8000037,461505,124,22
124,#2QGVRPQLV,Morrocan Club,8000035,458389,125,30
125,#YVRQQR2Y,TeamRockstar2,8000018,451965,126,25
126,#29GQ2V008,《MAROC _MAX》☆,8000055,451950,127,28
127,#2G02YVQ8U,BS.AKRAM|YT,8000029,451337,128,26
128,#QGR8VRLU,أبطال المغرب🇲,8000059,450952,129,30
129,#2C8VG80UU,🇲🇦MAROC🇲🇦,8000039,450004,130,30
130,#QC822U8Y,ملوك الحرب,8000023,449641,131,29
131,#2CLRG8P8U,BlackRock,8000025,434315,132,27
132,#28LUPQCLC,LIONS,8000023,434077,133,30
133,#8PQLJQ20,جيش السرسرية,8000037,434009,134,30
134,#29P9YVYGL,Targaryens,8000037,432061,135,30
135,#29J8JPLP2,Berribicci Club,8000051,428819,136,30
136,#2L0LJPG8C,tagymza,8000000,428503,137,30
137,#292VP0CY8,BASKOTA,8000029,427992,138,28
138,#20GJ9LPVJ,BIG|Holi|,8000007,424245,139,23
139,#2JU2QGQJR,li ch ga nd a,8000036,424195,140,30
140,#29QLJ0UVC,صيادوا الكؤوس,8000041,422868,141,30
141,#2JGLGCRGG,meroganbang,8000037,417105,142,20
142,#20V9YRVGL,OVER VITIKAL,8000037,410336,143,28
143,#28JR2RCVG,Warrior$,8000006,410093,144,25
144,#QP8JQU0P,Badidi,8000029,409478,145,30
145,#2CQP8YYVP,أوتــ🍜ــاكو✨.,8000046,405700,146,30
146,#2G80RQLLL,1V1|•MoroClub•,8000016,401410,147,17
147,#29YQJL8VR,Joestar’ Clan,8000010,401171,148,30
148,#QPUP0L9R,Evolution X,8000058,397394,149,29
149,#JVG8PPV8,جيل بلادي,8000015,397221,150,30
150,#2C20LQGVY,the forest lion,8000037,397173,151,30
151,#2J8V0UYUG,hellboys,8000016,391995,152,27
152,#2QGGRJUC0,Massignon club,8000042,390744,153,30
153,#29P82UJQL,DARKFAMILY,8000018,388961,154,30
154,#8P8VRLQQ,moroco,8000006,388622,155,26
155,#QLCCVVR9,『ᴺᴼᵀ』ｈａｃｋｅｒｓ™,8000035,388402,156,29
156,#VUJ0GP0P,LIGHT MOROCCANS,8000053,381643,157,29
157,#2RR82YJ9G,ONE PIECE,8000029,381005,158,16
158,#QC289GR2,6°F,8000058,379382,159,30
159,#298LYLP8P,Slayer Corp,8000025,377837,160,30
160,#2JQJP2YV0,Le Renard Jaune,8000023,375229,161,30
161,#2C9P8PRLR,babapirolar,8000004,373759,162,30
162,#UQQLP2L,do you play hh!,8000036,370278,163,30
163,#2CPPY8RLU,Morocco team,8000036,368931,164,30
164,#2RUJGGRCG,NOVA MORTIS,8000025,367286,165,30
165,#UC998V0U,LYAUTEY,8000021,366610,166,29
166,#28LUY8G9L,ولاد الدرب,8000058,366506,167,30
167,#2G2QQYL0V,Knockout Club,8000048,364983,168,30
168,#VV9U029Y,Team Morocco,8000037,362819,169,10
169,#228GVJQVY,SPL,8000007,362789,170,29
170,#2QCLYJQUQ,гоасу,8000029,361420,171,30
171,#2Q88PUGYG,JILALA,8000032,360410,172,17
172,#299C0VLPC,⚔️H.A.S.H.I.RA⚔,8000037,358303,173,29
173,#VUQG8RJ,l’equipe,8000006,356588,174,14
174,#LJGJ80GY,BS PROS HEROS,8000057,356270,175,18
175,#2GJ8VVRV8,YOROZUYA,8000059,356236,176,28
176,#2QPPG8CUJ,RX TEAM,8000043,355863,177,30
177,#9U2GYQY9,Mr. P's Club,8000049,350176,178,27
178,#L0ULVQRR,otchiha,8000046,347470,179,28
179,#29G2Q8CQQ,MR.P,8000023,345010,180,30
180,#20GLLYUC0,LOS MEJORES AMI,8000029,343337,181,30
181,#2GU2L28RJ,maroc,8000030,342440,182,17
182,#2092CL2UL,maroc,8000053,342211,183,30
183,#2CCYYG0L8,Morocco,8000055,340990,184,30
184,#2C8Q8PLYP,lm9awdin,8000037,340256,185,29
185,#29UYGQ0UL,『TG』ϻᴀƑɪᴀツ☂,8000022,339353,186,30
186,#2Y29V2P0R,g(old),8000004,337532,187,28
187,#2Y008GCPG,hackertello999,8000049,335381,188,25
188,#2P89VPU0U,esteglal,8000021,332245,189,30
189,#29YVQY8Q9,L'ÉQUIPE NTE,8000029,330379,190,16
190,#2QPG0CGGC,les diouri v2,8000026,329221,191,30
191,#2RYJC0J99,أبطال المغرب,8000052,328220,192,19
192,#2GPPURPPC,MOROCCOالمغرب🇲,8000037,328190,193,30
193,#2C2LJ9YQ8,louayogamer,8000037,321312,194,30
194,#2RGVJRQUP,BULLSEYES,8000058,320764,195,30
195,#2L0UYU82Q,Trebor,8000037,318635,196,30
196,#Q0R28VP8,THE NOOB,8000021,317678,197,24
197,#QR28UGC2,BT|TEAM 🔥,8000059,317108,198,26
198,#29Q8V280Y,NUMBERS,8000049,316636,199,30
199,#29GQCCUU8,億|oxt,8000029,315539,200,30
