,tag,name,badgeId,trophies,rank,memberCount
0,#VLJRPLYL,DownfallLegends,8000025,1056162,1,30
1,#2RYU2UP0R,Burma Brawlers,8000006,974653,2,30
2,#29GUQL2J0,Cement Squeak,8000057,738734,3,28
3,#2CLV2GGV9,Питекантропы,8000003,718697,4,30
4,#2LPYCVL0P,Nemesis Legends,8000003,678331,5,30
5,#2CG9V8QYL,SoosenGang,8000013,673891,6,30
6,#2LUYQP89,WarZone,8000019,594279,7,29
7,#2JU9UUQCJ,✨BELICOS👻,8000018,561380,8,30
8,#2J8LCQQ9Q,ваникострайк,8000022,540257,9,30
9,#882QGRJ2,DoresDelAno,8000024,534740,10,30
10,#QJ2U2J2U,BB Burma,8000006,530161,11,30
11,#2JLU90UCC,tr`fred_1,8000041,517009,12,19
12,#2PRY22PRC,Коледа bg,8000013,488119,13,1
13,#2YCCGRP8Y,Miraculum🐞,8000029,446531,14,13
14,#Q8LYUCQ9,ЙОЙ,8000039,440797,15,30
15,#2GQRJJQP8,qiuet's,8000031,402135,16,28
16,#29RG0PPLC,Kirikou Gang,8000037,374440,17,30
17,#2VQQPR08,Best Killer,8000009,369859,18,22
18,#CRG08QGR,RENEGADO,8000007,368265,19,30
19,#2CYP090C9,CR7 Mesi30,8000049,362932,20,24
20,#L9L8C2Y2,나이킥,8000037,358071,21,23
21,#28UQVCYQ,Myanmar T+H,8000028,358006,22,29
22,#200LPGPVR,ДОЛГОСТРОЙ,8000035,347194,23,16
23,#2GPCVUY8U,哥倫布的邪惡牙齦,8000027,346854,24,30
24,#2Q98L0GRR,The Friends,8000017,343857,25,20
25,#2QYVJCGPG,тапком в рожу😊,8000013,339530,26,28
26,#JGQ0028,Burma Numba Wan,8000027,335011,27,17
27,#QJP9QYGG,Beste Freunde 2,8000000,330642,28,19
28,#QYPJPQ2,Gary Glitter,8000025,309801,29,30
29,#2QQ2LCQY9,kizik,8000037,298086,30,14
30,#292LUYCYC,Navi/grundschoo,8000048,285877,31,30
31,#QG8G9G02,Роскошь,8000055,283880,32,16
32,#2JU8YGLCQ,Pros,8000004,254186,33,21
33,#RGGGQ92,Spirits of Sea,8000059,253949,34,22
34,#2QLR9V9L2,WiN OR wIn,8000054,252495,35,29
35,#CLYPQRR2,FBI,8000036,251372,36,20
36,#8G2Y8LY,Supercalifrag,8000055,241308,37,23
37,#PU9VL0L0,brawl star Perú,8000029,241107,38,30
38,#VV08PPPL,건희짱,8000057,234346,39,23
39,#290PQ09LQ,MELIODAS,8000010,231086,40,26
40,#2029LJGR0,Schweine Gang,8000029,228917,41,25
41,#229YGG2Q0,TEAM barbara❤,8000019,228171,42,29
42,#2PU8JQJ,KNIGHTSOFNOVA,8000001,224651,43,17
43,#2P8YYUG28,Winners,8000029,218964,44,28
44,#UCVQ800,Nova Myanmar,8000010,218446,45,25
45,#20RVL0JQL,картон мартон,8000055,216849,46,15
46,#20JPUC2C8,Miracles,8000002,216348,47,25
47,#VUCRV8R2,ЭЛИТА,8000023,215759,48,14
48,#2P22J9LJ0,ROYAL G.H.O.S.T,8000035,212733,49,30
49,#2YCJ0L890,Myanmar,8000029,207917,50,30
50,#2882YUGJQ,HEROIC FIGHTER,8000033,207446,51,11
51,#UQLQG9JU,makdya sukdya,8000024,200657,52,28
52,#V2R2QGP9,Crab's domain,8000017,200496,53,28
53,#2GY2GV8J8,Navi|Team,8000015,196998,54,30
54,#L8VG980R,COD Team,8000023,196376,55,29
55,#CGLJJYCL,behmiboy yt,8000004,195984,56,22
56,#LJ8R88L2,OhioFinalBosses,8000039,195245,57,30
57,#2C0J082J9,L33 kg myarr,8000047,194343,58,30
58,#22QUQV0RU,Mini BB,8000037,193064,59,30
59,#29QGR0RQ2,ArQu,8000029,192487,60,12
60,#YJUQLY0L,OWN_FANS,8000027,192041,61,30
61,#2G20CVL98,Stg Clan,8000047,191601,62,8
62,#20PJRY02C,Leon Bros,8000021,189667,63,25
63,#2R29CU90G,Mytharrow,8000023,187947,64,30
64,#R0UVYJ0Q,m9yyy,8000019,187821,65,27
65,#2JRY29099,Myanmar,8000048,187768,66,30
66,#22RJ829Q9,CLAW & FANG,8000057,184174,67,20
67,#YG2P8V2Y,ко педафилы,8000050,184032,68,30
68,#PQC0JQ99,Burmese Blood,8000023,182944,69,24
69,#GJQ9GRJ,Myanmar Team3×3,8000037,182881,70,7
70,#Q2002UG0,Making friends,8000004,182797,71,29
71,#Q2QJLYQC,God Brawlers,8000007,182575,72,27
72,#YC8PU2Q2,Чёрный Медведь,8000023,181280,73,15
