,tag,name,badgeId,trophies,rank,memberCount
0,#28U982,RealDutch,8000029,1914065,1,30
1,#QJUJ0JYJ,BN|Family💘,8000008,1697692,2,30
2,#2QCVQVGRL,BP|<c5>GANG</c>,8000057,1688915,3,30
3,#2GCGPLJ22,SHIELD NL,8000004,1667119,4,30
4,#2GLGLPVYJ,Bawz Army,8000023,1616510,5,30
5,#2CRCC2G8Y,Real Ones,8000037,1600062,6,29
6,#RR9QUUQP,Killer Service,8000011,1592576,7,29
7,#G9U8R8U0,Dutch Leaders,8000018,1589987,8,30
8,#2R28PR20R,Help2Attack,8000057,1580726,9,29
9,#2RPVVVR2Q,<c5>P</c>halanx,8000056,1580444,10,30
10,#2G2YLGPPY,Skill issue NL,8000029,1567135,11,30
11,#2RC0R22VY,<c0>P</c>halanx,8000007,1558730,12,29
12,#20QGP08R0,RealDutch II,8000029,1552426,13,29
13,#2GQU92GV8,RealDutch Elite,8000029,1532237,14,29
14,#2C9RV8PJP,Invincible,8000037,1528025,15,30
15,#2009GPY9V,NL Leaders,8000057,1475518,16,30
16,#208VGU8RU,The Unicorns 🦄,8000008,1472809,17,30
17,#20RL9YGU9,🍀De Gangsters☘,8000037,1457012,18,28
18,#20JVLLVJP,Kings Area,8000029,1447111,19,30
19,#2C0GG08GR,Kknokkers,8000055,1446282,20,30
20,#2Q9Y2VLQ2,ApeX Legacy,8000052,1441945,21,29
21,#98J8RU,NL KINGS,8000029,1428411,22,30
22,#2GP9Q2VY8,Flying Dutchmen,8000029,1426841,23,30
23,#2RJJ9GYRL,<c8>P</c>halanx,8000038,1405648,24,30
24,#2J0RU0JVJ,De Oude Eik🌳,8000027,1379455,25,30
25,#2JRPCGQGU,Sniekels Leger!,8000014,1375579,26,30
26,#2C8JVJRLJ,WeDominate,8000021,1375286,27,30
27,#QGJJJ0,Legendaddy,8000009,1374921,28,30
28,#2CL00G2RL,H1 |Hollandia,8000021,1362974,29,29
29,#2L02YCR0Y,WeDominate II,8000010,1357043,30,30
30,#2GGY02QJ8,De Panda's,8000005,1354946,31,30
31,#2C2PCYUYR,<c5>XI <c<c</c>,8000057,1353728,32,30
32,#2C09YVG88,SHIELD BE,8000004,1342052,33,30
33,#2JCCJY0QJ,DutchBrawlForce,8000016,1325336,34,30
34,#2008QRUP0,RealDutch Force,8000029,1311696,35,30
35,#2QLVP8JYV,de brawlers😎,8000049,1309085,36,27
36,#20P9URLCV,De knokploeg,8000037,1302451,37,30
37,#U8CL0C2Q,Diamond Dynasty,8000018,1298928,38,30
38,#2R0U8C9UV,Dutch Warclan,8000012,1298890,39,30
39,#LPPUP8Q8,Dutch Stars,8000018,1298469,40,29
40,#2R2J2V2LL,Team serieus NL,8000034,1297687,41,30
41,#29YYGC0RU,Dark Ghosts,8000035,1294873,42,30
42,#8JQ28JYY,TheBlackWizards,8000007,1294161,43,30
43,#2CGY2PJJP,The Big Pig,8000011,1293638,44,30
44,#2QJ00UVGQ,Zero Gaming™️,8000058,1282997,45,30
45,#208YJ9UP8,kom uit de hood,8000023,1275608,46,30
46,#2CCQRQLGL,Tokyo❤️‍🔥Bruno,8000004,1274809,47,29
47,#2GPRY9UGG,TheDarkDragons,8000037,1265957,48,29
48,#2RRQQCPVC,Dutch Carry🔥,8000037,1265665,49,30
49,#2CPYUPPGQ,meetthemoon,8000018,1261706,50,30
50,#2GU8VJVYU,RealDutch Glory,8000029,1261133,51,30
51,#2J0VVJRVQ,LowLandLions HH,8000004,1260722,52,29
52,#2QL9R82CV,Never Give Up,8000059,1258667,53,30
53,#222UUR9YQ,<c6>P</c>halanx,8000038,1256132,54,29
54,#2CYULL2L0,🔥battle-kill🔥,8000018,1252362,55,30
55,#2G9QUVP0P,Skaffacity,8000045,1252199,56,30
56,#VGJRRL9R,Costo For Ever,8000059,1250877,57,30
57,#2CYRU28QY,new netherlands,8000023,1248060,58,30
58,#PJULVRQQ,Tilly,8000018,1236906,59,30
59,#2CJJPU0QY,FireBallz,8000041,1234207,60,30
60,#29Y0JRP9P,dutch wolves 🐺,8000037,1233275,61,30
61,#2C0YUPRCJ,Dutch |poison 2,8000027,1232670,62,30
62,#2JJP0CLRC,NON-STOP-ON-TOP,8000059,1229092,63,28
63,#20VUPGG9U,Club Stars,8000018,1227984,64,30
64,#2C0G82VV9,JoJa BrawlKings,8000029,1227740,65,30
65,#2809QPP2Q,Shippudeangu,8000049,1223119,66,30
66,#2RCCL8U8L,Yellow Star,8000018,1221644,67,30
67,#20GP8VJQ8,Typical Dutch™,8000029,1211009,68,30
68,#2YCPYUU8C,TBB2,8000029,1206730,69,30
69,#89JCGR,BIJ DE CLUB,8000019,1202941,70,30
70,#2J0V990YP,FORMIDABLES,8000029,1202846,71,30
71,#29JQLCJ09,『DutchMatrix🦋』,8000037,1201006,72,29
72,#YQLRPG0Y,LangeFrikandel,8000029,1199525,73,30
73,#CJ8092V,the brawl bro’s,8000022,1194665,74,30
74,#2G8JL0UP8,kapelle gang,8000034,1186929,75,30
75,#2Q8QG8V0J,HunterZ,8000033,1185025,76,30
76,#2R2GV8V22,Dutch Pirates⚔️,8000016,1184345,77,30
77,#2C8YG9CJ0,<c7>THUNDER</c>,8000019,1180656,78,30
78,#2GJULQ829,Black Thunder,8000019,1180253,79,30
79,#299RRJRYJ,dutch warriors,8000049,1179798,80,29
80,#VP2JY9R,Nederland,8000006,1177257,81,30
81,#8VLUVRCL,Low Lands Lions,8000049,1173286,82,30
82,#2CQJYUQVP,Dutch lightning,8000019,1172413,83,30
83,#2G9JYQYLU,brawlboys,8000002,1168624,84,29
84,#292G2GYUR,Mystic Witch,8000025,1167755,85,30
85,#2PPG02YGC,dutch warriors,8000029,1164338,86,30
86,#2YVL0UVGL,ZwareJongensBV,8000023,1163414,87,30
