,tag,name,badgeId,trophies,rank,memberCount
0,#29UQJYJRY,Ténébreux,8000041,1379376,1,30
1,#2GV8C0PY9,ToxicWals✨,8000037,1016152,2,30
2,#2G90V2J2U,ꜱᴅ💘ᴘʟᴀʏᴇʀꜱ,8000049,893271,3,27
3,#QPQGP02U,les vrais amis,8000029,840762,4,27
4,#882CCYP8,burrito baddies,8000003,801687,5,29
5,#29RQL0UCQ,AK/ASPIS,8000034,793150,6,29
6,#2LJ92QUCP,projet bloubim,8000017,705294,7,30
7,#CPVG00CJ,Océanie Esports,8000021,640815,8,30
8,#Q20V8QVQ,Ténébreux 2.0,8000059,591346,9,28
9,#2QUPJGPC0,LACCETTI,8000039,524923,10,29
10,#29G2P8YL,CobraX,8000005,484036,11,29
11,#282JLPCQ8,BRAWL FAN🧠,8000055,477625,12,26
12,#29GL98L82,♦️AL TEAM ♦️,8000029,465625,13,30
13,#2R2R92999,Monffvengers,8000025,398390,14,28
14,#2GUGUGGLU,study,8000007,377899,15,27
15,#L2RPJPGG,Fan de naruto,8000033,372477,16,25
16,#200PP89JC,GameHouseBS,8000029,365719,17,15
17,#2JRQ8JPY0,Crazy Eagles,8000053,354305,18,17
18,#2JVYC2V0P,SixTeenNC,8000039,348179,19,30
19,#9VPL89,AXIOME,8000023,301985,20,28
20,#2JRGPU8LU,kalapla,8000022,299763,21,11
21,#C9JV0V,GameurNC,8000019,294670,22,27
22,#29QVU8P8L,<c3>NG</c>S,8000015,292419,23,23
23,#QCLGJ8LV,bolossapayete,8000016,270613,24,20
24,#2CY99UJ9Q,POLSKI NIGER,8000007,263849,25,24
25,#28JCU8J82,achraf hakimi,8000023,263809,26,30
26,#J00Q9Y0,N C Lunder !,8000012,258593,27,30
27,#2LG2CULP9,вица-призиденты,8000029,251009,28,13
28,#28UJG2R9U,MERCENAIRE2.0,8000049,243072,29,30
29,#JGG8GYL8,les poto du 29,8000007,240803,30,29
30,#289VGGPCV,It's Werey? 💔,8000023,239326,31,20
31,#2R08JJ8QC,дод,8000055,234636,32,24
32,#2RLL0J0JV,coole sukkels,8000003,233085,33,16
33,#YV22RQGU,new cal,8000027,231757,34,29
34,#P2PPRVCP,les yolo's,8000000,222383,35,17
35,#2R9YQVQPG,lesplusforts,8000050,220816,36,26
36,#QVU2YRPL,ВИЦЕ ПРИЗЕДЕНТЫ,8000029,219428,37,30
37,#2GYY20GPL,6ю,8000013,219277,38,29
38,#20QUC9LQ8,king le vrais,8000023,214941,39,21
39,#2QPV998YQ,Monsters Summer,8000023,214404,40,16
40,#22R0QYU0C,~KingS°,8000023,207101,41,30
41,#9GR82J8R,6학년,8000057,206058,42,30
42,#82Q9JLU2,Hermanos g.?,8000029,204441,43,12
43,#22YLJRUVC,Brawl Royal,8000006,202392,44,29
44,#2R2PQ2QPY,гитара топ,8000037,199530,45,30
45,#YQCRR2L8,Fun Gaming,8000017,196827,46,27
46,#VVRLGP9Q,Искатели Лег,8000013,196186,47,29
47,#28P2RV8VU,corbac,8000049,191680,48,30
48,#22PGV2CCQ,les amis,8000019,183651,49,30
49,#20PQ8CCG8,new_cal_gaing,8000049,183404,50,30
50,#2YU0PVQJ9,x7,8000059,179687,51,10
51,#2L8J9RCUY,Team NK,8000013,178337,52,13
52,#PP9QJPV0,LesProBranleurs,8000007,177735,53,25
53,#2JUPG8GG8,one piece,8000039,169661,54,30
54,#LJYVYCQ9,YT|evolution💯,8000004,168253,55,30
55,#R8YGYPRG,пуля к леге,8000028,158385,56,22
56,#VG92Q22C,A Few Good Men,8000059,155971,57,12
57,#2G9UQVR2U,🖤BMB🖤,8000059,155926,58,15
58,#VCUQL0R9,БРАВЫЙ СТРАУС,8000023,155483,59,16
59,#2PU90G88R,4ж,8000037,153871,60,29
60,#222LLJQ8G,глозарни,8000049,153158,61,20
61,#299VG2G0V,ооолаг##$,8000013,152563,62,28
62,#PLJR8PUC,païta,8000007,152281,63,28
63,#2GJ9RQJCL,d0g,8000029,151405,64,8
64,#2LUUUUG0Q,bibi a bibi,8000029,150984,65,12
65,#LLRQLQC9,ДОД И РОБ СТАР,8000045,150033,66,24
66,#2LU8CY29J,Els gekken,8000003,149656,67,30
67,#2PCJ9L2PP,Visual Steam,8000029,149018,68,30
68,#C90L0Q2C,котики,8000032,148762,69,29
69,#LQV299LJ,invencibles,8000023,148372,70,11
70,#2G8QC9UQ9,sfq,8000041,147885,71,10
71,#2JP8V89VP,la tomi famili,8000013,147854,72,11
72,#2LYPRRLCR,de geheimpjes,8000017,146410,73,30
73,#2G9JGCLRP,Familly.NC,8000057,145434,74,10
74,#LR9Y90V9,翊人被峰狂打,8000057,145094,75,30
75,#9CGG282L,сшпш,8000022,144898,76,27
76,#2LCY0PLGY,cookie best 🍪,8000043,143487,77,16
77,#2Q28PQ0P0,LongNightSquads,8000018,141615,78,6
78,#Q2P8QL2U,PIQUE MOI ÇA!,8000048,140555,79,7
79,#2QG2YY89J,Evo,8000017,140546,80,14
80,#2P9889LCU,GaMeRLoRd,8000029,139684,81,28
81,#20QY0GP2J,전설~~~~~,8000029,139580,82,30
82,#22VU0VVRQ,миринда32,8000034,138689,83,23
83,#LJPR9JVP,club legendaire,8000016,135386,84,30
84,#2LR8C282R,NéoCal,8000023,134640,85,14
85,#U9VJRY0Q,Лунтик,8000018,133236,86,23
86,#28C8VLRJ9,Kiwi.NC,8000059,133218,87,8
87,#28CG8LQRC,gnocchi,8000054,133161,88,23
88,#2GVVGP2PU,😭😭😭😭,8000041,132366,89,26
89,#2Q2YPY8J0,mister mortis,8000032,131975,90,30
90,#28RLC2JR9,Teddyteam🐻,8000018,131444,91,16
91,#8Y8VLY8J,NEWCAL,8000037,129672,92,29
92,#C0CLPL2J,крутые пацы,8000019,129501,93,30
93,#QYUUYC2Q,Les meuf,8000059,129260,94,22
94,#LGRLCCRC,monkey's rule,8000036,128860,95,14
95,#2CLGQVVYL,Brawl S. M. K.,8000029,128787,96,30
96,#UYY9VJ9G,雑魚たちの復讐,8000016,128194,97,16
97,#2QLRPYVLU,the best,8000049,126957,98,19
98,#2PJ0YYUQU,SHIBILIBABOUE,8000059,126219,99,27
99,#2Q2G8CG8Y,Tryhard.NC🏹,8000029,125905,100,28
100,#RUJY02VL,(ZVERI).,8000047,125234,101,25
101,#LCJJ89PY,Tokyo manjii,8000050,123971,102,30
102,#2L8G9UJ2P,cinar bugra,8000033,122002,103,29
103,#29YJUJ888,ЭСТЕТИК,8000008,121424,104,28
104,#29P0PRY09,WXR1,8000018,120990,105,26
105,#LU9J9L2U,megabox,8000016,120977,106,15
106,#2R89G2P88,DBLS POWER,8000049,120253,107,27
107,#2L8P98U9C,Мирный вирус,8000015,120223,108,17
108,#2YQ002JQ8,la chance,8000025,120213,109,30
109,#UP8GJGGJ,бахамут,8000004,119244,110,27
110,#QUQRR0QJ,les 78,8000013,118370,111,20
111,#2C0RQ2UY8,Firedown,8000037,118018,112,29
112,#2QUJ0RYGY,375б,8000022,117568,113,29
113,#2RUVCQGYQ,5А мамонты,8000027,117455,114,22
114,#P9Y8G8J8,BBB Team,8000013,117356,115,7
115,#PCCPUCQ,nc all-stars,8000023,116608,116,15
116,#VQLVL92U,מוסקטרים,8000006,116423,117,20
117,#Q2C8QUQ2,exterminatore63,8000040,116403,118,18
118,#Q9CCRCU2,frères brawlers,8000049,115099,119,17
119,#29VQ8GG8P,НЮХАЙ БЭБРУ🗿🗿,8000004,113440,120,24
120,#2PQY0G8CP,snowloic,8000016,113150,121,30
121,#28GURGG8R,𝕧𝕠𝕝𝕗___𝟛𝟛,8000023,113090,122,5
122,#2LGLRQ2QY,J'ai pas d'insp,8000004,112230,123,25
123,#29QCVPJ2,RIMAP-NC,8000022,112019,124,30
124,#29JY2R8C0,Банда Адольфа,8000016,111549,125,13
125,#2P2QUVVJV,БАНДА LEMON4IK,8000029,111481,126,30
126,#2PYPVL8CQ,победа228,8000004,110738,127,27
127,#2928JYGP8,PmbT,8000023,110592,128,30
128,#28V09080C,TROPY STRIKE🎃,8000020,110341,129,28
129,#29R9Y9U02,ОФНИКИ,8000004,109733,130,30
130,#202CPJQQR,KK CLAN,8000039,109351,131,13
131,#8PLU8CPQ,aofal 234,8000056,108818,132,30
132,#2JG9VQL,i-Raka,8000023,107993,133,28
133,#22LU0QPGC,дикая бимба,8000057,106926,134,9
134,#29CRG02UC,TR7 KİNG,8000023,106153,135,7
135,#28L20JC2L,Даня И Мухамед,8000046,105156,136,28
136,#8G900PQL,team kuke,8000055,104333,137,16
137,#29LQVCG2R,les potos,8000049,103576,138,12
138,#2YUGCVYU8,Les 6ème6,8000017,103505,139,18
139,#29C8R9LVC,Abaolympiquenat,8000053,101902,140,14
140,#G08LCR2V,lurox,8000005,101606,141,28
141,#Q0JY220C,ми команда 4,8000029,101493,142,30
142,#2RYYL0VJ2,おで部,8000020,100933,143,10
143,#28YJ8LGRQ,king770,8000049,100187,144,29
144,#PYVPUVC,Vieux Dawa,8000017,99595,145,24
145,#20LQY98QY,NC BRAWL,8000004,98672,146,13
146,#8P22JCGC,mbappe,8000023,98018,147,26
147,#22VGG9UR2,bour_maman,8000037,96231,148,19
148,#LRP8CRQG,CLUNY_ANTI-COPI,8000004,95484,149,18
149,#2Q0L0GYU,украинские коты,8000023,95292,150,29
150,#2L8U9GCCV,Renouveau,8000019,94531,151,9
151,#2PVY0UVP,bib,8000023,93000,152,30
152,#QQLJUQ9,El Clan,8000028,91972,153,24
153,#22Q8QRRPR,jackitutu,8000022,91785,154,30
154,#UPQRGUGP,BBFMTV,8000029,91729,155,9
155,#2G2RV292L,الأساطير,8000039,91719,156,30
156,#L9RRGYL0,просто член,8000039,91427,157,26
157,#2QLCY8L2L,NC|Esport,8000025,91025,158,5
158,#29Q0U9292,пацаны топ СЖВ,8000000,90897,159,30
159,#2G8RU028L,Salut.nc.2,8000041,90601,160,29
160,#8V9UQJVU,cailloux pointu,8000011,89629,161,30
161,#LUP9UPV8,R25 GANG,8000029,88741,162,10
162,#8QC9GG0,I am GROOT,8000012,88668,163,19
163,#22URJL9GL,TFLTEAM,8000018,88649,164,15
164,#2JUJVVYY8,Smesh,8000021,88595,165,7
165,#UG0009UU,СТАРЫЕ,8000029,88469,166,8
166,#2YYVQJYGL,les riders,8000049,88220,167,13
167,#R0GQV0VY,Ванги про лол,8000013,87717,168,27
168,#RQL92QV,TR Oyunda,8000021,87394,169,15
169,#JJQVYPQ,KING,8000029,86493,170,19
170,#2V9PCQ9G,אסא,8000029,86445,171,29
171,#828Y80PR,N-C warden,8000016,85919,172,10
172,#VUC82P20,jaja123,8000036,85476,173,10
173,#UV8UQLUQ,рдл,8000037,85357,174,28
174,#2G8LV8LG2,YT | WOLF,8000023,85101,175,23
175,#2QUVPGP2R,team xs,8000017,85093,176,21
176,#2QGG9CC0Y,team 502,8000004,85005,177,20
177,#2L90R8YGQ,_Artiki_22890,8000037,84630,178,28
178,#2R2Q2QCC9,Клуб Читеров,8000039,84474,179,9
179,#2JJLVLP2C,Vive la Pignouf,8000037,84396,180,14
180,#2JLUGRQUY,KANAKY,8000024,83659,181,6
181,#9GPJGL8P,貓貓,8000036,83345,182,23
182,#29YGQUUP,B Slayers,8000013,82892,183,8
183,#2JYG0JVCL,<c5>Lexus</c>,8000055,82771,184,7
184,#UGLCJLL0,Братани,8000042,82358,185,15
185,#2QQ2PLQ00,cristiano,8000026,82160,186,6
186,#LV2GVV8U,Over Nc,8000007,81998,187,30
187,#QCP2QG8L,PMBK PROD,8000059,81641,188,8
188,#G0RCGQG,Foreing,8000018,81251,189,10
189,#R899280Y,***,8000000,80792,190,11
190,#2QJVPRY2R,remat gang,8000006,79763,191,19
191,#QG0YLR2Q,revanche,8000013,79750,192,5
192,#VJRRR8CY,фывапол,8000037,79630,193,29
193,#2L208Y9VL,푸딩클럽,8000023,79116,194,6
194,#2QPQU8JJL,Peashweer,8000029,78447,195,9
195,#22J09RJVQ,koutio bxdrel,8000023,78307,196,26
196,#V0L2P92Q,sami king,8000035,78277,197,30
197,#VGQ80YGV,дет садовцы,8000017,77505,198,5
198,#UPLPQGQR,ZX|Family,8000023,77104,199,8
199,#2R988GYYU,🌴 cocotiers,8000047,77091,200,6
