,tag,name,badgeId,trophies,rank,memberCount
0,#2QG09UJ2P,The Kiwis,8000031,1233499,1,30
1,#2GJPJU9GR,Sunspire,8000018,1230734,2,30
2,#29GJRP0YU,Everblast,8000046,1201404,3,30
3,#VUCL9JUU,Bivariate Data,8000039,1196661,4,30
4,#2YCVPG2CU,Volcanic heat,8000037,1185451,5,30
5,#PCQ9PV8L,Memes,8000049,1181244,6,30
6,#VJRV0YRC,NZ PlayerZ,8000019,1117688,7,30
7,#2GUCVYLQL,Goated Goats,8000029,1108559,8,30
8,#RQL92L0,New Zealand,8000029,1079009,9,30
9,#2RQQ9C,The Crazy Folks,8000057,1011152,10,30
10,#2QUPQQ0JY,True Asians NZ,8000013,971243,11,30
11,#2902VVULP,BobaStars,8000010,944652,12,30
12,#290LYG0PC,Kiwi Kings 👑,8000029,929857,13,27
13,#UJVJQVJ0,Booty Call,8000011,925568,14,29
14,#29G8J9CC9,bc*|famous,8000023,897881,15,27
15,#Q9YPY882,B-r@wL,8000051,892205,16,30
16,#2GVURGY8L,Da Boys (NZ),8000029,875045,17,30
17,#29PV0YGGR,SN|CLAN,8000056,869027,18,30
18,#200VVYVL8,Smileツ,8000023,866865,19,30
19,#89U0CUU,NZ Knights,8000029,819549,20,26
20,#2GQJCGJG0,Dark Eclipse,8000039,778694,21,30
21,#Q2GQCLYJ,纵横,8000029,776155,22,27
22,#2Q9VVCCPR,Across the Sea,8000049,752009,23,30
23,#QGY8QR90,🦄Gece😇,8000023,715799,24,3
24,#299ULUG9V,ELITE GAMING,8000058,714585,25,30
25,#28JQV28Q0,Wonder Wizards,8000041,704996,26,30
26,#2JU2UYCLU,ᴇǫᴜɪᴘᴏ ʜɪsᴛᴏʀɪᴀ,8000059,700070,27,30
27,#2JRUY2U0J,New Zealand,8000002,692227,28,30
28,#29QYVQ0RU,🐼PANDAS🐼,8000025,692215,29,28
29,#2JJLJG288,Fateless NZ,8000057,680529,30,24
30,#PJYRC0U,NZ Brawlers,8000013,666076,31,30
31,#2QG8VYQ0J,panda express,8000033,665783,32,30
32,#PGUPUQY9,dead meat 2009,8000013,663070,33,30
33,#2YQ2CLLYR,Da stinky bois,8000002,660366,34,30
34,#2PCYJ0G8P,BWEAKFAST BROS,8000023,653947,35,28
35,#2LUU8JYQQ,DaBoyz,8000007,630820,36,29
36,#2P0JLCV0R,Brawl'n'Blitz,8000047,615863,37,30
37,#209VRPVJQ,New Zealand #1,8000053,614292,38,30
38,#2J9V08YC9,Lunar Gaming,8000018,607712,39,30
39,#29QGCPRQ0,bunda claps,8000029,604055,40,30
40,#2LPGULR2G,Elite reaper💖,8000007,602696,41,30
41,#98YGYC9G,BEST NZ,8000007,594279,42,30
42,#22J0C2QYR,뉴질랜드 교민,8000046,587440,43,30
43,#998GCC9V,мабаель,8000008,584283,44,29
44,#289UUP2LV,SouL Predators,8000025,571038,45,25
45,#2JU0CLY9L,NZ Brawl,8000029,570888,46,26
46,#9PR0089R,CocanasClub,8000007,569924,47,30
47,#2YP88JGLQ,NI|Brawl<3,8000044,565081,48,30
48,#20PPP00YC,New Zealand,8000050,563865,49,30
49,#2JLYGRRY2,Invers Brawlers,8000059,556011,50,30
50,#2YU0JJCYG,New Zealand,8000041,550558,51,30
51,#2L2C0JR0V,Alaska,8000057,545886,52,30
52,#LCRQ8VJ,All Blacks,8000021,541852,53,30
53,#2RLRPJJ0G,bb.squad😴🦇,8000023,541014,54,23
54,#LQVUPPYP,thaddeus and j,8000028,535765,55,23
55,#U08R80L0,randoms are bad,8000012,532125,56,30
56,#QLC98Y0P,BSOT Club,8000018,526521,57,30
57,#2QU9P9C2U,pichislaya,8000052,523117,58,29
