,tag,name,badgeId,trophies,rank,memberCount
0,#2QGYP9PUR,-.-,8000013,2057377,1,5
1,#20G09VPQQ,The SG dudes,8000023,1388026,2,27
2,#2QYUCL9GC,liquified,8000031,1385441,3,29
3,#28PQU22VP,Пешки Supercell,8000013,1318622,4,28
4,#2CP8990QC,Escapism.,8000055,1293771,5,28
5,#2L0QL8QV0,THE PRIDE,8000021,1247613,6,30
6,#JUGC0VQ0,Brawl Stars,8000007,1193268,7,30
7,#2CP2Y282P,Toxic Fiasco,8000040,1136635,8,30
8,#2GQPPVP2V,МодныеСпайкучки,8000013,1050793,9,30
9,#LU0LL2CV,Brawl stars,8000050,917934,10,30
10,#2C2GUPC9V,Sky Stars,8000041,885113,11,30
11,#2JRUL2P88,BRAWLSTARS4eVer,8000041,880773,12,29
12,#2920L0CRG,T𝚑𝚎F𝚊𝚝𝚊l,8000019,858626,13,30
13,#29Y8PCYJG,snakes in grass,8000039,857714,14,30
14,#2QVCU0Y2U,Moonlight🌓✨,8000010,853446,15,30
15,#2GQU29C9,Legends Killers,8000034,841905,16,27
16,#CV8LC8V9,Half-Baked,8000013,839757,17,30
17,#2C0QQQR0C,śmigło,8000029,825386,18,30
18,#2CQ9J28Y9,Лес Шайлушая,8000051,798015,19,30
19,#2J9YCPYR8,[Чарончик]😈,8000038,784635,20,29
20,#20PR822RJ,Друзья Макс,8000019,776972,21,30
21,#29G8U9CR2,NUMCUK FAN CLUB,8000029,773696,22,30
22,#2J208G288,ишишька,8000010,771762,23,30
23,#2JRUQ0LY,Panda HQ,8000055,769253,24,30
24,#200J0LYP,Nova Russia,8000023,762775,25,6
25,#2J908CVY8,Club #2J908CVY8,8000047,747503,26,30
26,#28CRVC88Y,<c9>IN</c>ferno,8000037,746482,27,25
27,#9JLVCQUC,Black Bet,8000031,736090,28,30
28,#9GQJLQ8G,Dawgos,8000024,733768,29,30
29,#2JRPGJ0JR,BAZLAYTER's,8000027,708701,30,30
30,#289Q9GVYQ,Союз Хомячьих,8000008,706150,31,30
31,#200VCPYYQ,Goated n Golden,8000029,697859,32,30
32,#20YC080P,Чикивинь,8000057,697220,33,30
33,#2QRLJCUL0,mintcherybanana,8000035,675811,34,30
34,#2G9PPJ0YV,Blue Fire,8000033,669968,35,1
35,#QR0GJVCP,вонючаямуха,8000023,666264,36,30
36,#2GGQP9VRJ,Mystic TYLERS,8000002,659130,37,30
37,#8RG2G9VC,мишкфредди,8000002,653992,38,30
38,#QLVPVRPG,team. pin,8000057,651324,39,30
39,#GPYGURCR,эмодзи драйв,8000049,645098,40,9
40,#2JGUVGLLL,ОПГ ЧУПИК+,8000036,644342,41,28
41,#2QVJVRG8G,Три матроса,8000037,640567,42,30
42,#2R9GVU2JY,ФИЗТЕХ🔢,8000059,636146,43,30
43,#2C8PYY9YC,Heavysnipers,8000036,626789,44,30
44,#2PCQ9UPY8,гей клуб,8000045,624589,45,27
45,#2CGCRJV9C,absolut v potok,8000041,616859,46,27
46,#2J2QGRQYQ,"гараж ""Джекпот""",8000036,615151,47,30
