,tag,name,badgeId,trophies,rank,memberCount
0,#2GGVP0PYU,I Feel Like God,8000007,1317014,1,28
1,#8CGG8Q0L,Naija Warriors,8000029,1299937,2,30
2,#2GLV9PCUP,RR | RandomRage,8000037,1197859,3,30
3,#29Y2QLUG2,Jaune et soleil,8000037,1160550,4,30
4,#2JUGVQCVG,AK 247,8000036,1040250,5,30
5,#20YP9CLCL,CRANKY TANKS,8000037,955522,6,30
6,#2P2PPCQVQ,Naija Demigods,8000057,934954,7,26
7,#RCQ0VVR,Naija Ninja,8000036,907246,8,28
8,#VYCJ0LQU,AOA|champion,8000057,903834,9,30
9,#2C2LVL28Q,Pawns Squad,8000045,902216,10,30
10,#22CCR998,Naija All Starz,8000014,854501,11,30
11,#PC0Q8PLQ,荒野敢死队,8000047,851664,12,22
12,#2JUYUJPU0,ATOKIRINA,8000035,830923,13,30
13,#2CP0R8PGL,Bothub,8000036,827817,14,30
14,#29P08LJGV,CURAPROX,8000029,818214,15,30
15,#880PGRV8,ANIMEVERSE,8000057,813876,16,25
16,#2GJYGQUQQ,Naija Squad,8000025,810988,17,30
17,#298YLU0UU,PIRATE CREW,8000037,796173,18,30
18,#2GULQJ2Q0,TKE|| NEXUS,8000058,778805,19,29
19,#LPQQG,Naija Squad,8000006,774196,20,30
20,#28VRPU2YL,The Order,8000002,761634,21,29
21,#2GGGU29PP,Naija Bosses,8000047,744063,22,27
22,#PLUVQLUY,Sin of Wrath,8000037,740830,23,30
23,#89U0V0QQ,THE NEW DAWN,8000056,726572,24,27
24,#28GGV9YY2,Nigerian kings,8000023,707367,25,29
25,#2JUP8GRVL,A Few Good Men,8000023,692023,26,28
26,#LPRVCUC,The Luminaries,8000044,690402,27,30
27,#UQCGPP9U,FearLess,8000037,688730,28,30
28,#GY8YLL9,KnackSteady,8000059,677438,29,30
29,#PQLJUCL0,Toomaten,8000005,663693,30,7
30,#299LJ029L,Fun Squad,8000029,645762,31,30
31,#Q0QPY,Flaming Knights,8000020,643585,32,30
32,#299LVRG8V,AOA|challenge,8000053,636349,33,30
33,#G2UG8LVQ,LIL GLADIATORS,8000027,634085,34,30
34,#2C0JJLLPG,обалдуи🥵🥵🥵,8000039,595672,35,28
35,#28Y9RQGGQ,dior nation,8000051,573394,36,30
36,#QRJCPQUY,гнойникиии,8000047,561233,37,30
37,#P90Q8YJ8,warreal,8000029,543963,38,30
38,#209VQQ0GQ,8Б(ОТЫ),8000045,521710,39,30
39,#R99CRJQY,AOA|Champ,8000003,515178,40,25
40,#8UYYG0U0,Truthseekers,8000025,507450,41,30
41,#292RGGV,ALL STARS!,8000018,504371,42,29
42,#GV90CG82,WOFS CLUB,8000057,504050,43,25
43,#QRLLQVVR,Pidorasi,8000037,500747,44,30
44,#20RRPLQ0P,Naija crusaders,8000025,491117,45,20
45,#228CQV9LC,Fierce Squad,8000059,488332,46,19
46,#2JP9P8PCU,Банька-парилка,8000013,481845,47,23
47,#2R2QUY9RP,The Inactives,8000043,481423,48,28
48,#2LC2CPJ9G,Cruise,8000037,479125,49,20
49,#LV82GG8G,Кыргызы топы,8000023,470317,50,30
50,#20J8928Q0,≠Rezurrection≠,8000035,469164,51,24
51,#2C8VUQ9J0,DieFrittenrench,8000047,462167,52,30
52,#2J8GJJL8Y,<c8>FIX</c>|TM,8000047,459466,53,30
53,#29C809Y2Q,тикток или лайк,8000001,442272,54,25
54,#V98GV098,✌Ultimate Team✌,8000019,440062,55,28
55,#LVQQJ9,Naija Blazers,8000045,436099,56,16
56,#2C0CLJVQ8,PFL E-SpoRts,8000027,435434,57,30
57,#CVJL9R8U,🏮🏮LEGENDS🏮🏮,8000036,435430,58,15
58,#2J90PUQ0Q,Club313,8000033,428300,59,23
59,#2CPUGCRV9,fried fish,8000056,408229,60,30
60,#28RVU9QG,EMPIRE UNITED,8000037,401348,61,26
61,#200QP2QJ9,AsapMob☢,8000023,393471,62,24
62,#P8GYRLP2,asgas,8000025,370767,63,30
63,#9VUQY0VL,XxCOOL GANGXx,8000017,366548,64,30
64,#2JCVQG0UC,полоскуны,8000019,352783,65,18
65,#22JLYULV,trozos,8000024,350101,66,30
66,#20L88CL9Q,МОУ СОШ 9 ПЕЧОР,8000023,346027,67,27
67,#2JRLY9YP0,Феменизм Клуб,8000025,341655,68,22
68,#2GY0R88P0,Gods Of Brawl,8000036,333912,69,30
69,#YGRYR8QR,BVB,8000028,333740,70,29
70,#2CRYQGCY9,Fortza T.S.S🔥,8000037,333109,71,30
