,tag,name,badgeId,trophies,rank,memberCount
0,#2LQVVGVLR,꧁鬼殺隊➪⚔️劍士⚔️,8000043,2091058,1,30
1,#20YR8QQLG,Instinct,8000058,1409504,2,26
2,#2G99LCYJ9,Kazakhstan,8000059,986041,3,30
3,#292J2YJPU,LOS GoDeik,8000029,671809,4,30
4,#VJVVRRRQ,ASTRO GAMES,8000037,661843,5,21
5,#2G0QQU8YL,XC |Brawl,8000033,643749,6,23
6,#2GPPG9Y20,BıQ&Fucido,8000043,641191,7,29
7,#2GP2J2228,BABOLİPROLAR,8000056,571181,8,29
8,#QJY8QC2Y,Mlaskáči,8000003,553317,9,29
9,#29LP8Y8YV,Логово Мертвых.,8000031,547151,10,29
10,#229UYPL0,the goats,8000023,538411,11,28
11,#QYLGGJ2C,Laval X клуб.,8000029,524697,12,27
12,#2LQUL88G0,SADECE DAVETLE,8000006,471151,13,5
13,#UPLG2GQU,ПОТ,8000021,449580,14,7
14,#28J8QV8R2,Bananki Lets Go,8000055,421269,15,18
15,#JUPYL8QU,кошатина228,8000003,415363,16,30
16,#2C00JJ9Q8,Dskts,8000039,409669,17,22
17,#J9QUJYQ0,Team Food,8000009,385468,18,25
18,#28RRVC099,LİDERLER,8000012,378592,19,3
19,#9LC90G8V,SilentDeath,8000027,370682,20,25
20,#YRJJQJYY,BROODJE POEP,8000028,360278,21,29
21,#Q02000UU,Ice|Clan💙,8000020,343824,22,26
22,#2Q9L8U20L,Chapiony,8000049,343017,23,18
23,#208GQQ2L2,МИ_СИЛА_BS🇺🇦,8000002,339891,24,30
24,#Q8CL0CJG,anti_vax clan,8000013,335348,25,29
25,#2JPLQR8YC,Energy_family,8000053,309542,26,12
26,#YLQP09L,wezebi-joden,8000029,309213,27,30
27,#29RLLVVQY,sexy tem,8000000,302926,28,30
28,#2C928LGYV,egg äldre,8000002,300585,29,27
29,#28LYJ8QVC,Team Flow,8000015,292946,30,28
30,#2PC08UYUP,BEST OF BEE,8000029,283942,31,29
31,#2029LG2YQ,FFK (2),8000059,280518,32,19
32,#YY2YJJL0,We eat Kids 2.0,8000032,269827,33,18
33,#2GLL298RC,ABOBA,8000037,264935,34,18
34,#2J8C0CR80,big farte,8000057,255618,35,30
35,#29GYLRLV9,Brawlerz670,8000016,251458,36,29
36,#YUC2GR99,BDBrawlers,8000037,246043,37,30
37,#2GYLQQR9L,Łyse Pały,8000000,244841,38,21
38,#2RGLR09Q9,gli sgabelli,8000013,244008,39,30
39,#2QGR829RY,おおとぅか,8000024,241572,40,15
40,#290LJCJ8Q,bobik | team,8000059,237040,41,12
