,tag,name,badgeId,trophies,rank,memberCount
0,#2JUQ2LPG8,ժҽαժ íղsíժҽ 💔,8000045,1352334,1,30
1,#2G800YJPV,Pakistan,8000027,1341789,2,27
2,#PUJGQ0VP,AllTimeMaster,8000004,1298068,3,30
3,#2YLUGP2Q0,Battle Brawlers,8000057,1207584,4,29
4,#228QUL8LL,GriffinGrinders,8000033,1207414,5,30
5,#8RUJCGC8,Zero Gravity,8000029,1188479,6,30
6,#28R2LC88L,BRAWL CHAMPIONS,8000023,1146375,7,30
7,#20QJCPCRQ,Relics B.O.E.S,8000033,1126244,8,29
8,#CCY9CGPQ,LR Gaming,8000055,1070928,9,30
9,#282QVLQ8V,PAK TIGERS,8000027,1028050,10,26
10,#QC2UY8G,Asian Vikings,8000059,1025737,11,30
11,#2G82QQG0U,ABY•LEGENDS,8000033,971258,12,30
12,#220UVJR80,Xtreme Legends,8000059,964730,13,27
13,#29PRGP90C,CôCs,8000055,960840,14,30
14,#29L20YVCR,Black Vipers,8000000,959243,15,30
15,#28QV0L0CV,PETALS (⁠✿),8000041,951271,16,30
16,#28VVGULV2,SHADOW GARDEN,8000005,945456,17,30
17,#VYVLGGUV,LEGENDS,8000018,941480,18,28
18,#2JU9GPLQG,LR Aqua,8000055,938230,19,29
19,#G0PYJ2YR,⭐GALAXY STARS⭐,8000052,932584,20,28
20,#YLP8L08L,lets rock,8000012,927065,21,30
21,#20CCV2JGQ,Double Dragon,8000007,926971,22,30
22,#2GQPGUL29,Team Pro 仙,8000049,920646,23,30
23,#29JV28VPL,PAK CHAMPS,8000045,916723,24,22
24,#Y992RR,Pak Nova,8000027,915866,25,30
25,#PPR8GYGU,Pakistani boys,8000045,895309,26,30
26,#Q9YVJPQL,Legend's,8000023,871725,27,30
27,#J9Y2VJ,BOOM bashers,8000042,868985,28,30
28,#2829CUCQG,Pakistan,8000014,863904,29,30
29,#2G808U9GL,No Mercy,8000046,853942,30,30
30,#2GP88RQLL,YOWIE WOWIE YT,8000018,843040,31,30
31,#2QGY9VL0U,Ainz Ooal Gown,8000027,840913,32,30
32,#R2J0R02G,Brawlies.PK,8000027,836887,33,30
33,#2YY8JYLVY,Club league,8000022,835857,34,30
34,#2R8PCVQ8,EMPIRE OF ROMAN,8000021,833056,35,24
35,#2QVCQJCCP,Team Titans 2,8000014,828481,36,25
36,#2CPGU0L9Q,¥XEN|ESPORTS¥,8000023,826563,37,30
37,#VVP9CURU,Pak Legends,8000023,803371,38,30
38,#2P8J98P2P,Pakistan,8000014,779801,39,30
39,#29YJY8UJR,Tika fam,8000037,774143,40,27
40,#299P90JGG,Galaxerz,8000003,770955,41,29
41,#2GC29J00G,light star,8000006,759563,42,30
42,#2CYLCPVRL,God Of War #2,8000016,756927,43,26
43,#228CQPVY,FEAD us TROPYS,8000013,752908,44,29
44,#28LR0GUVJ,Brawl League 🪄,8000057,745231,45,30
45,#2G2LLJ8GP,Only LEGENDS,8000037,745197,46,30
46,#880GVL8C,pakistan,8000014,738202,47,30
47,#VC9R29CL,ᴀᴄᴇ™,8000035,733452,48,30
48,#VL8UVJR9,SBORZ CLAN,8000005,732276,49,30
49,#28R8GPUG2,Pak rules,8000045,728819,50,30
50,#2CLU2QPLR,Northern GO@t5,8000059,719858,51,30
51,#2LVCCPC8V,Warriors,8000053,710218,52,29
52,#JYGUP,50 stars pk™,8000014,698322,53,28
53,#20RJRRCC,Pak rules,8000057,684196,54,23
54,#V2YRRUV9,Spike's Empire,8000013,678058,55,29
55,#YYRPPVLJ,PHOENIX'S ZONE,8000048,674533,56,30
56,#2QQQ2UCRG,Thunder team,8000053,673244,57,30
57,#282QC20Y8,DARK|WOLVES,8000055,659677,58,30
58,#2JUP09YRQ,🇵🇰Pak On Top,8000027,652908,59,30
59,#2QULCQYVC,Last Club:(,8000006,651609,60,25
60,#R0PQQPGR,dashers clash,8000037,650875,61,30
61,#2R9UPR9PJ,Pakistan 🇵🇰,8000014,634528,62,30
62,#2LUCYYC2J,Cheese Burgers,8000049,634497,63,30
63,#2R90CRL0Y,Best Friends,8000033,634252,64,30
64,#2CP2VYVYL,Legends,8000041,627188,65,28
65,#29Q28QL8Q,kun club,8000053,626456,66,30
66,#CY28QYGQ,Evil KillerZ,8000000,617155,67,30
67,#292CPRJL8,Wifeless LLC,8000031,616059,68,25
68,#2JP0RULPY,༆Hʸᵖᵉʳ᭄Ｔｏｘｉｃ☠︎꧂,8000034,605821,69,30
69,#2C0QU8RYQ,EXTREME BRO,8000027,585051,70,30
70,#2CJ8CYY92,ULTRA DANGERS,8000004,584275,71,30
71,#2C0VPQY0R,Mughal Empire,8000037,581952,72,25
72,#299RCYGRJ,Sava,8000055,579080,73,30
73,#2QJP0R2YR,BS_PROS,8000029,574592,74,30
74,#290QUVGPY,dark heroes,8000003,572289,75,30
75,#2GPJCUV0P,Barb Crew,8000018,571872,76,30
76,#29GQC2YP9,MALIK ARMY,8000053,571173,77,30
77,#299Q9GCLQ,brawl gaming 💖,8000018,568297,78,30
78,#29CPJ2Y2J,Пакистан сила,8000004,565903,79,27
79,#2C0VLRLUJ,LightEmBold,8000028,565647,80,30
80,#2JRJQULLJ,LEAF MEMBERS,8000057,562772,81,30
81,#29YPRV292,LR ELITES,8000003,561905,82,29
82,#2JGUUCUU2,69 LOVERS💖,8000041,557789,83,30
83,#LYJ9RGY,AllTimeLegends,8000055,556777,84,29
84,#PY82RVRC,Da Bombz,8000014,555535,85,30
85,#2G0QJPC08,Hacker,8000048,549694,86,30
86,#28RY08LQJ,DEAD-ARMY,8000037,540497,87,30
87,#29PCP9PQU,<c9>моои</c>|sн,8000006,538868,88,30
88,#QLCVY8J2,Brawl Stars,8000036,537525,89,24
89,#290JJRL8G,AT BROS,8000014,535879,90,30
90,#QC299Y,Pakistan Clan!,8000014,534220,91,21
91,#28QQVVR8Q,Hated Clanv2,8000037,530547,92,29
92,#PL22Q82L,Pindi awam,8000059,525366,93,23
93,#29200YJ0R,PAK ELITE SQUAD,8000055,524273,94,29
94,#2JUQ9P229,New Era,8000049,519478,95,30
95,#2JY22PCRQ,REVOLTING BOLTS,8000053,516162,96,29
96,#PY9L2G0P,XxDestructorxX,8000023,514922,97,30
97,#22PLL9PVQ,Poco's Club,8000037,513994,98,30
