,tag,name,badgeId,trophies,rank,memberCount
0,#2RQVJVUPY,BelieverFever,8000029,1129013,1,30
1,#2QL92QJU9,Fily Duck 2.0,8000057,850614,2,30
2,#Q8UPGGGJ,Dark Night,8000031,747963,3,30
3,#2GRP9CP2V,⚡ONLY ⚡,8000055,652800,4,30
4,#2C9YR2LR9,NG | ESPORTS 🏆,8000029,607089,5,29
5,#UCJ22PUP,鳳凰會戰隊,8000057,603204,6,26
6,#2J9GRPPVJ,Team,8000059,537184,7,29
7,#29GRL0VLQ,kaktusiki,8000013,532381,8,30
8,#299L9RQRV,The Jade Bullet,8000026,448513,9,30
9,#298R2YULL,Ziqwaak,8000007,441985,10,30
10,#GRCPC8R0,I MITICI PRO 5,8000019,410528,11,30
11,#2G8UVUGGL,Deez Balls,8000048,401551,12,29
12,#299GCPYG0,najlepsi koledz,8000019,381353,13,30
13,#2RG82LRR0,мафия 90 стых,8000004,375540,14,24
14,#V0GCY0YY,KRALLAR,8000006,373760,15,29
15,#29C2G2UJ9,Fily Duck 3.0,8000057,356956,16,27
16,#2Y8JQL0RV,Cats Top: Elite,8000036,353155,17,24
17,#LY0JJ00C,українці,8000013,335144,18,28
18,#9JYLC92J,Omas mögen GET5,8000029,272822,19,21
19,#2JR9JUCGQ,sei in multa,8000046,267016,20,30
20,#28P82R9GR,AMOGUS🦄,8000039,251566,21,12
21,#28LCUC902,маникены,8000039,250089,22,13
22,#29G8PYLQY,fire Man only,8000044,236471,23,30
23,#2G82QJQUL,AZERBAIJAN,8000037,230043,24,25
24,#RYRVVRL0,Loan La TePu,8000029,230011,25,23
25,#2P898GCJC,Brawl House 🏡,8000025,227687,26,22
26,#2RPP2JQQY,🏔️Урицкое 🏙️,8000057,225864,27,27
27,#LYCJ0RUP,Gozilla,8000018,225664,28,17
28,#29YPRPVQC,『AZ』LERİK亗,8000023,222336,29,13
29,#LRGC0G0Y,ESPAÑA🇪🇦🇪🇦,8000023,221857,30,30
30,#2C89JUP29,İT OLAN AYILAR,8000034,216223,31,30
31,#UPGLU00V,каегор,8000009,214915,32,27
32,#RQ2JGQ99,ɱɑɲɠ‿ɠɑ,8000007,213327,33,30
33,#L2CQ0PVY,SaRqwe,8000016,211694,34,10
34,#2YVU22QCR,бравлеры,8000057,208657,35,29
35,#90QJRRQ8,Quintessential,8000027,203651,36,29
36,#29R80UUVU,Zxc,8000059,202763,37,24
37,#2Y929JRCQ,독삼재,8000058,196110,38,30
38,#2QVQP8RJC,УКРАЇНА,8000037,195716,39,28
39,#J808YJ99,виталюр,8000022,193851,40,30
40,#2VLJGCPV,krasse ranser,8000023,184936,41,29
41,#28PPV2JLG,prolar gelsin,8000029,183688,42,21
42,#28PU8V2Y0,TeamWariorsXtra,8000008,183446,43,17
43,#229QJP08C,COSTA MAGNA,8000007,180893,44,10
44,#UG29J9GY,Meliskus clan,8000018,178540,45,10
45,#QYV2YG98,жодо,8000002,178518,46,30
46,#UUYLR8PG,brawl_life_medi,8000015,176503,47,29
