,tag,name,badgeId,trophies,rank,memberCount
0,#2C9Q0LPPG,Ocean Waves,8000052,1592699,1,30
1,#8Q2UCURC,Magnifico,8000027,1322840,2,30
2,#V9QJV0VG,PHoenixStrikerz,8000037,1315409,3,30
3,#2C2VPVYGV,Cross Guild,8000004,1243097,4,30
4,#20PJY880R,UNITE LEGENDS,8000033,1234597,5,30
5,#2P89P0L0G,Coup D'État,8000023,1210581,6,29
6,#2R82J0VJL,SA1NTS,8000016,1204097,7,30
7,#29QPYLPCR,Metamorphosis⚔️,8000039,1185541,8,30
8,#2Y9CC20VU,⚡philippines,8000059,1153846,9,30
9,#2G8RQJ8GV,Team|Magnifico,8000027,1124065,10,30
10,#2PVU9YPGP,AC|Armyclub🇵🇭,8000035,1104668,11,30
11,#G9UP9GL,PH Brawler,8000023,1103980,12,30
12,#YJQY8J,Brawl Stars PH,8000052,1084624,13,30
13,#2GR9LGR89,PH BRAWL,8000036,1083336,14,30
14,#RVJJR2CU,"Hello,Sayonara",8000004,1070892,15,30
15,#2QRQ2Y0,Pinoy Brawlers,8000050,1063515,16,30
16,#CJLUC2QP,Friends United,8000018,1028879,17,27
17,#QP0QVGUQ,THUNDERSPHERE!!,8000019,1022872,18,30
18,#VJQ0JPUU,PINOY,8000008,1020348,19,30
19,#28VGQ0GPC,White Corpse,8000008,1016991,20,30
20,#2C09GVYPP,UNITE MAVERICKS,8000037,1013779,21,29
21,#2R9LGVCPG,Golden Age,8000018,1010584,22,30
22,#9GVLRPR,The Diamonds,8000052,989368,23,30
23,#2J8J0GJLC,UNITE WARRIORS,8000045,988147,24,30
24,#YVYC2C2V,Electric Rage,8000053,971284,25,30
25,#2QR89PQ89,Action Academy,8000041,963629,26,30
26,#282JCY89G,LIGA FILIPINAS,8000021,952339,27,30
27,#298PJVRV2,CYCLOPS,8000018,948897,28,30
28,#2R0JJQRP2,PHILIPPINES,8000057,946830,29,30
29,#29QC28898,For The Victory,8000025,939049,30,30
30,#2P22VLVQ,CIPHER DORITOS,8000035,929132,31,30
31,#RYPCU2Y,Mobile Brawlers,8000023,920807,32,30
32,#8J9JJQVP,HACKSPACE,8000048,911920,33,30
33,#GPPCRYJL,Lance&Friends,8000057,910223,34,30
34,#2Y0GV90JQ,BRAWL WARS,8000016,902919,35,30
35,#YC820R8C,PH|Brawlers,8000052,902877,36,29
36,#2QQ8R2CLL,Alpha Units 2,8000032,893876,37,30
37,#8LU88YUV,Peçùliår Søüls,8000035,882233,38,30
38,#90CVLQGU,Philippines,8000018,874193,39,30
39,#2L9L0C8C2,pInoy™,8000041,873111,40,30
40,#2PP2RG8YG,PH|Brawlers🇵🇭,8000037,872814,41,30
41,#J82Q2VJ8,MASTERS PH,8000029,868752,42,30
42,#2QJGJP0RP,NeoFIGHTS_PhII,8000029,859043,43,22
43,#2JYLG0CJU,Caltex PH,8000040,853057,44,30
44,#2G089VL8G,Glazing Prismax,8000059,852000,45,30
45,#228CJ9L2Q,PHoenixStriker2,8000037,847643,46,29
46,#YJ92QU2J,PHILIPPINES,8000006,834536,47,30
47,#8Y8UYV,PINOY BRAWLERS,8000018,833337,48,30
