,tag,name,badgeId,trophies,rank,memberCount
0,#2CJ8URV2V,ŚrednioNaPsa,8000008,1830137,1,30
1,#29CJY22PV,Bloody Kings,8000023,1766247,2,30
2,#2GGLC22C0,NO RISKnoFun PL,8000029,1706482,3,30
3,#2LGYPUPV0,Poland Esports,8000053,1680896,4,29
4,#VC90YRV0,TeamHard,8000045,1677827,5,30
5,#2CRRCCPVC,UNDERDOG 🇵🇱,8000007,1612056,6,30
6,#2G2ULV0J8,BlackWarriors,8000055,1607739,7,30
7,#2J090GVUY,Wojownicy Mocy,8000059,1584512,8,30
8,#29V2JRLVQ,Ziomki Oliwiera,8000043,1582930,9,30
9,#2G0P2RY9Q,Waffle House 🏠,8000027,1579865,10,30
10,#2RQ9YGP0R,Ttv: boltadik,8000055,1574429,11,30
11,#282Q2RLJP,<c7>P</c>halanx,8000029,1555338,12,30
12,#20YPVR9VQ,POLNISH ARMY,8000037,1553469,13,29
13,#2GRGJ80V9,Polish Power,8000037,1534276,14,30
14,#2L9LL2UVV,:),8000057,1524362,15,30
15,#2GGYLLY89,HotDogs,8000020,1520761,16,30
16,#2RCG8U00R,🇵🇱Justice🇵🇱,8000003,1517417,17,30
17,#YRUY8JLC,PERŁA,8000002,1494603,18,30
18,#RV9LVLL2,Królestwo BS,8000023,1494423,19,30
19,#2QCUYRVJ8,DarkWork™,8000011,1479672,20,30
20,#2LQUU8C90,TheEaglesPL,8000041,1476816,21,30
21,#2LQ9PQGV,KOLCE SPAJKA,8000013,1474913,22,30
22,#2G2LQYQ8,NeverCry™,8000037,1463791,23,29
23,#29UUGCGGU,Gold Team B,8000018,1442528,24,28
24,#2C8QQ2QQ8,✨️wrzos✨️,8000049,1423946,25,30
25,#229RUPQQ,PoLski DywiZjoN,8000023,1422753,26,30
26,#2LLYC0UY9,magia_propsa,8000027,1414327,27,30
27,#2J8P9R2JU,CMG Poland,8000029,1413658,28,30
28,#GCGPVJ00,Korzenie Spajka,8000013,1383408,29,30
29,#2GYC0RPC0,⚔Clan Wars⚔,8000037,1373235,30,30
30,#29QQUPR9,CheetosBanditos,8000047,1372769,31,30
31,#29YPLUJ8V,Poland Energy™,8000007,1370737,32,29
32,#2C9P208UP,<c5>Angels</c>,8000059,1365350,33,29
33,#29R8VP8L9,God Damn Brawl,8000023,1364542,34,29
34,#29C02PUUR,RETIRED STARS,8000029,1352239,35,30
35,#2CP9Y29J2,DarkZone🖤,8000055,1349638,36,30
36,#29LY2LJUL,🐐GOATS🐐,8000014,1343660,37,29
37,#2G0JCJUP8,Wojownicy Mocy2,8000014,1337438,38,29
38,#2QUYP2YQ0,Simba Legends💘,8000023,1331767,39,29
39,#2RCU2R0VL,Śmieszki Miłka,8000041,1331401,40,30
40,#2GQJ2UGV9,AkademiaZiomki,8000023,1329979,41,30
41,#2JYGUQ2P8,'N3X,8000050,1329287,42,30
42,#UJR22Y0V,Polish Gamers,8000002,1319363,43,30
43,#2CGQ2YUJP,Only Win ❤️‍🔥,8000037,1317940,44,28
44,#2G9RY08J8,The VideK Team,8000058,1316923,45,27
45,#2CJJPLJ0V,Cynamonki,8000045,1315471,46,30
46,#R2PP0802,FAME PL,8000004,1315357,47,30
47,#2J2J9RLVU,PastPower💙,8000055,1314698,48,29
48,#8LJJUGLV,IGŁY SPAJKA,8000013,1313305,49,30
49,#2QQCGG9C8,Brave Angels,8000029,1311869,50,30
50,#99Q0RYLL,Cactus Family,8000009,1311276,51,30
51,#QL20J2PV,ProGamingGames,8000029,1310772,52,30
52,#2QCQ9R8G0,Brawl Poland,8000038,1309295,53,27
53,#2C8VJ2VLP,Omega Stars,8000002,1309015,54,30
54,#2Y0GQ8UGV,Top Poland👑,8000029,1304758,55,28
55,#2J2QVVRJG,⭐STAR TEAM⭐,8000018,1304299,56,30
56,#29UJQUGJR,⭐Elita Team⭐,8000018,1303562,57,30
57,#28R08J2Q,NAJLEPSI,8000034,1302077,58,30
58,#PQVLYQJ9,Polish Zone,8000017,1295600,59,30
59,#QGJ9QL0V,BailaEllaRecord,8000010,1290849,60,30
60,#2J0Y2998P,Play league,8000029,1287398,61,29
61,#2L2LYV8L8,jeszcze polska,8000048,1279946,62,28
62,#PLQP9QUP,Los Hombres,8000037,1279897,63,29
63,#2J80C0GUG,Green Bull's,8000045,1278310,64,30
64,#LCCJYQ8G,Vvolnyy team,8000039,1278045,65,30
65,#2CYRVUY8Y,Black<c8>ex</c>,8000041,1271544,66,30
66,#2YLLUGRLR,Code: Panda,8000021,1266433,67,30
67,#2GCVJ8J9Q,30BwK 🌪️,8000023,1266002,68,30
68,#2RLJVY9JL,Elita Brawla,8000018,1264089,69,30
69,#QYJGUYCC,*GR*|ACADEMY*,8000052,1261103,70,27
70,#GJC2YLCJ,GreenTigers,8000026,1255672,71,30
71,#VQ28CCR9,PL WARIORS 2,8000023,1255551,72,30
72,#2LRU99Y8P,No More Idiots,8000024,1253866,73,30
73,#L92LPG2Y,Nikikiti Games,8000025,1253241,74,29
74,#J09YRUQG,Pałki Bibi,8000025,1249824,75,30
75,#2G9VJ92Q0,Gang Misia v2,8000023,1249644,76,30
76,#LG8PVVVQ,Safe Zone PL,8000018,1242638,77,30
77,#288JC9LLC,🌵Kaktusiki🌵,8000009,1242499,78,30
78,#2R28C8U9U,Quality Poland,8000027,1242496,79,30
79,#2G0GCYQQQ,Polish Energy,8000050,1239266,80,25
80,#8CUUQ9Y,Super You,8000059,1238748,81,29
81,#2C80LY9VG,TheWarriors PL⚔,8000025,1236845,82,30
82,#2JV0Q8QRQ,乂ㄚ乙NICEᵗᵉᵃᵐ®,8000027,1236124,83,30
83,#2C0CV02YG,YT|MrOpBs,8000019,1233930,84,30
84,#2GRVGLQ9C,Tribe Juice,8000023,1233833,85,29
85,#2JCL2LUG0,CROWS DAGGERS⚔️,8000016,1232531,86,30
86,#2J229YR9C,AllStarsPoland,8000029,1231838,87,30
87,#2CG0CPR29,Aerodynamic🥶,8000043,1231687,88,30
88,#2882LRLY2,Red Snake Tribe,8000036,1230156,89,28
89,#2JQ02JV20,Team Kula,8000012,1226661,90,30
90,#2J8GL0JGC,🇵🇱Polska🇵🇱,8000023,1224228,91,29
91,#P8008V9Q,<c2>Legendy</c>,8000007,1223381,92,29
92,#L8PR9PYC,Mordeczki,8000037,1220487,93,30
93,#29YL8G09L,Królowie Legend,8000029,1218665,94,30
94,#8LV9Q2PR,leśne lisy 02,8000025,1216935,95,30
95,#2LUGJR9CP,Klubik Olisia❤,8000022,1214047,96,27
96,#22J920RGU,KLUB MINIONKÓW,8000023,1213358,97,29
97,#2G9RUJRJU,🕊OnlyEnergy🕊,8000031,1209411,98,30
98,#JURPLQP8,Active E-Sport,8000027,1209366,99,29
99,#2R9LGJ228,Royal Tigers,8000059,1208680,100,29
100,#2C0LUULYP,Polish Power,8000023,1208488,101,30
101,#29L0YG8GJ,Golden icons,8000007,1205876,102,29
102,#292PPLU00,Królowie Życia,8000029,1205426,103,30
103,#2GGY2JGPR,NetWars Academy,8000050,1204501,104,30
104,#2CLVVRGPQ,Poland Masters,8000023,1204421,105,28
105,#QGVUR8Q9,gryfonik,8000023,1203351,106,30
106,#G2R2P9UV,PT Squad,8000004,1201878,107,30
107,#2P0QR8LYV,Brave Recruits,8000023,1201059,108,30
108,#2J9C2ULLP,Podgrodzie,8000059,1198356,109,30
109,#9LPRV0UL,TEAM BURZA⚡,8000019,1197955,110,30
110,#2J0U9P2UJ,Wataha,8000027,1197838,111,30
111,#29CR8RU88,TryHardPL,8000036,1197645,112,30
112,#QGUJCUQ2,Wintraders🚮,8000022,1196967,113,30
113,#VPC9GQC2,Poko jest Spoco,8000012,1195077,114,30
114,#2CGL222VQ,♡NightMare♡,8000025,1195017,115,30
115,#2G2VG22QV,Brawls Legends,8000050,1194696,116,30
116,#Q0VC8V0U,VCR TEAM,8000010,1193554,117,30
117,#29RVQRQUP,Śnieżek Gale,8000052,1193466,118,30
118,#29Y9LYPU8,X-Moon,8000006,1190258,119,28
119,#PULRJ00Y,<c9>K.</c>O.,8000036,1190257,120,29
120,#2CQGJ2VGR,SIGMA KINGDOM,8000055,1187427,121,29
121,#2JR28PCGJ,PolandGamers,8000029,1187405,122,30
122,#JGG0CC0,The Farell Team,8000023,1187098,123,30
123,#P8QUG9JC,Titans League,8000041,1186553,124,29
124,#VUCG9JCR,Ice Team,8000021,1184512,125,27
125,#2GG99P90R,TheEaglesPl 2,8000008,1181661,126,30
126,#29R2PCYGQ,Fani Pharaona💥,8000034,1180580,127,30
127,#22RY9UQVY,ᴛᴇᴀᴍ ᴏғ ᴘᴏʟᴀɴᴅ,8000021,1180448,128,30
128,#20V2YR8CL,TEAM QR,8000033,1178366,129,30
129,#2CLVG9000,JW |Team,8000029,1178155,130,29
130,#2CQL2QPLU,𝓝𝓲𝓽𝓮𝓞𝔀𝓵,8000018,1177871,131,30
131,#Q29PQ0G9,⚡Team Thunder⚡,8000019,1177537,132,30
132,#2GPJ9PU0C,Primosy RedziXa,8000050,1177037,133,30
133,#2P2V9GQ2Q,PingWINy DaMian,8000049,1176709,134,30
134,#2C8G0JUCL,Cooking Friends,8000023,1175826,135,28
135,#Q0V9U0QC,szefy!,8000037,1175468,136,30
136,#2CR9LVCRP,Polish Division,8000017,1174487,137,30
137,#2JV0GUGRP,SniperPro™🦹,8000041,1172448,138,30
138,#29JCY80UJ,Hounters Hour™,8000019,1170936,139,29
139,#2CL8GUG0L,Polish🇵🇱Fame⚔,8000021,1168865,140,30
140,#29YR8Y9G0,Pro Koksy💎,8000055,1168113,141,30
141,#UVLRJPY,elita supercell,8000012,1165410,142,30
142,#2LVJ0RGG0,Polish League,8000053,1164599,143,29
143,#UVLRRUYQ,THE BRAWLERS PL,8000025,1164153,144,30
144,#2LCJ8RJPG,🇵🇱POLACY🇵🇱,8000035,1163256,145,30
145,#2JVYURVPY,Bananki BS,8000049,1162265,146,30
146,#292Q2VCLQ,Polish Empire,8000023,1161869,147,27
147,#2C08YQRRR,Brave Dutch,8000029,1160335,148,30
148,#2008QGYYY,CheetosBandito2,8000047,1159940,149,30
149,#QLLL8CC8,Infinity,8000037,1158577,150,30
150,#2PYV9UC8J,PolskaTarcza,8000023,1158554,151,30
151,#29QPQY2RY,Team|Poland🇵🇱,8000055,1158503,152,30
152,#2JUQUJLLL,💥NeOn TEAM💥,8000047,1158142,153,30
153,#2R9C222JU,Brawl Team🇵🇱,8000023,1157389,154,30
154,#2JRCVUCY0,Kaktusy Spajka,8000013,1156533,155,30
155,#RCGV2RL,United Power,8000006,1156203,156,30
156,#2C0GVUVC,BRAWL SQUAD PL,8000037,1156133,157,30
157,#2G8QJVC0J,BARYŁKI|DARYLA,8000039,1155755,158,29
158,#2GYQVR920,TEAM HUSARIA,8000023,1153250,159,30
159,#RRJCC292,Ekipa Martyny,8000025,1152366,160,30
160,#2J92R8YJG,Polska Armia,8000023,1150768,161,30
161,#2JV2J8UCC,<c5>PRO™</c>,8000059,1149218,162,28
162,#2YLUPYQL9,Brav3 B3bziu,8000027,1146695,163,28
163,#Y9GYGQLR,Team Na Drzewie,8000029,1146446,164,29
164,#20VGULVVG,ZIOMY PL,8000029,1145500,165,30
165,#2R2RC0CY0,™kaczki™2,8000047,1143716,166,30
166,#22PUG88JQ,🖤CM|CURIUM,8000055,1143619,167,30
167,#2CY0VJG8J,💟Friendsy💟,8000010,1143244,168,30
168,#2RYCL8GUV,Złote Duchy🛵🏖,8000047,1143227,169,30
169,#2GRG9YQC8,PolishWarrior,8000035,1141476,170,30
170,#2JU92U0UU,Mistrzunie😀,8000059,1140997,171,28
171,#LR98GLVP,Mistrzowie,8000029,1139723,172,28
172,#2QUGUG9VU,Project18+,8000037,1139513,173,30
173,#2C28QJ8LU,ProTryHardTeam,8000003,1139122,174,30
174,#L2029ULU,polskapl,8000005,1138576,175,30
175,#2GVQRRUG0,ZIOMECZKI pl,8000003,1137043,176,30
176,#2RUCCVLY8,Alternatywa,8000039,1135985,177,30
177,#2CRGGJGGG,Polish Knife,8000016,1135259,178,30
178,#229G0U8U9,❤Dziewczyny❤,8000046,1133990,179,30
179,#2CG80LRJY,dla sigmymarka,8000047,1133669,180,29
180,#YCRU8GJC,LTX TEAM,8000043,1132759,181,30
181,#QGJLQ2UG,Hero Invaders,8000053,1132312,182,29
182,#2C8GGLU00,Varen,8000011,1131972,183,29
183,#2R00YGUY8,NO:ONE: Gaming,8000037,1131958,184,30
184,#QL98G2VC,tribe poland,8000007,1131789,185,30
185,#20V9U92GU,Game Over,8000050,1131599,186,30
186,#2P0CVV0P8,POLSKA TEAM,8000059,1130915,187,30
187,#2C8RQQPC2,WrzućNaLuz,8000023,1129565,188,30
188,#PQPVGPQ,Alkohole,8000019,1128526,189,30
189,#29P2PPGGY,👻Duszki Gusa,8000057,1128517,190,30
190,#2C9YYY0GU,<c7>Beeer</c>s,8000019,1126804,191,30
191,#2RJ2CC0J8,Brave Smurfs,8000025,1125644,192,30
192,#YV2P9JLY,WariatyHarrego,8000012,1125192,193,30
193,#2QLP8UJ80,Polski_Dym,8000029,1125117,194,28
194,#VC9CR9VC,Poland Army,8000023,1123172,195,30
195,#CR0GJPJ8,PG Academy,8000021,1122579,196,30
196,#29GGQVL9V,Team Janka,8000018,1121604,197,30
197,#2GRP22Q88,Królewicze,8000055,1121300,198,30
198,#2CGRLPGPV,GAMER STAR,8000023,1119008,199,30
199,#2G28GQUYY,Królestwo KBS,8000055,1118934,200,30
