,tag,name,badgeId,trophies,rank,memberCount
0,#2CRLPLVRQ,The Real World,8000023,1706702,1,30
1,#20Q8JCR89,King,8000027,1665608,2,29
2,#2JC8QPP8P,Team Alpha,8000020,1583050,3,30
3,#YR9G8PCL,Orgulho Candal,8000029,1548079,4,30
4,#22CLR8RC9,LA Portugal,8000027,1452033,5,30
5,#2C9LRR2VP,THE BRAVOS,8000022,1441119,6,30
6,#2CPU8PY9C,Only friends🔥,8000059,1424793,7,30
7,#28R8JP0RJ,Caes k respira,8000023,1409865,8,28
8,#9QYJ9L22,💯txorada,8000004,1371094,9,30
9,#2PGC0GVG,ABF Sports,8000025,1366534,10,29
10,#PG9QLP2,PTBR,8000004,1365291,11,30
11,#Y020V2J2,Team Horizon,8000055,1338417,12,30
12,#2G2LQ2YJ2,PT legends,8000023,1329857,13,30
13,#2GY8QP0UC,⛩️PT_Stars🇵🇹⛩,8000023,1313936,14,30
14,#28RVLJCG9,TheGøds,8000025,1308930,15,30
15,#C0VQ0GJU,Trambolhos,8000029,1291325,16,30
16,#2JQYY9C08,P#T,8000053,1286730,17,30
17,#2CPPUL8QQ,Game House,8000037,1260127,18,22
18,#2PJLG0CU,Tuga Brawls,8000014,1259700,19,30
19,#2RYV9JGQY,MindSetGaming,8000023,1244494,20,30
20,#290VV0VQV,Stars of Brawl,8000018,1236789,21,30
21,#22LCR0UUY,RUNE | ™✨🌹,8000037,1236016,22,30
22,#2CR2292QQ,Nexus Endeavors,8000029,1233912,23,28
23,#2RRQU9JJJ,King2,8000027,1233818,24,30
24,#2C0VVC0QJ,Ice Players,8000057,1229560,25,29
25,#2QYG8UGQP,OS PROS 😎,8000037,1224183,26,30
26,#2QJ2UYCLV,BrawlNation🇵🇹,8000035,1202821,27,30
27,#2RV89R8L9,weRaise,8000037,1194942,28,30
28,#2GCULC2V9,Blaze It,8000045,1189775,29,30
29,#2G9GCQPR0,Lendas Brawl,8000006,1183029,30,30
30,#VRURPPYV,RESSURECTION,8000003,1175373,31,30
31,#2GG8UQGLP,LA Gold,8000027,1167731,32,30
32,#2J8GR98PJ,Os Pistoleiros,8000022,1156894,33,30
33,#2G2L92J,PT EXPERTS,8000037,1154761,34,30
34,#2JYJY0890,SL Benfica,8000023,1154314,35,30
35,#2G8929L88,Prós do Brawl,8000055,1152902,36,30
36,#2CYRJVGYR,PT |Players 😎⚔,8000048,1145218,37,30
37,#22JRCQ2UP,Os tropas,8000004,1141547,38,30
38,#2JUGPL2UP,PT SPORTS,8000037,1136540,39,30
39,#2JU0RJRLV,Brawl_PT,8000004,1133640,40,30
40,#29L009LYU,Tugas,8000025,1133056,41,28
41,#200G98GL0,OnBrawlTugas,8000017,1125608,42,30
42,#22JR9R99Q,Fallen Gods,8000023,1109065,43,29
43,#LP9Q8QPG,[BIG]BIG PRO,8000029,1107313,44,30
44,#2CRQ2GG9V,fire🔥,8000037,1106951,45,30
45,#2LCV0JVVC,Time MM,8000019,1106756,46,30
46,#2RJ29Y922,SpicyDorito,8000037,1106648,47,30
47,#29YQ2PP9Y,Os 2 Tugas|YT,8000023,1098145,48,29
48,#2R9PY0JYL,Mais um sucesso,8000004,1094618,49,30
49,#Y8RL9L0Q,PT Especial,8000037,1093574,50,30
50,#2C8U8P2VC,TUGAS POWER,8000036,1085125,51,30
51,#2LJ9LGCQ,LUSOWAR,8000012,1076038,52,30
52,#29QLP2RUC,OS MAFIOSOS :),8000037,1075198,53,27
53,#2JYJLRV9J,ColdBlood,8000036,1070898,54,30
54,#U8YJJ92P,Zezinhos,8000016,1068982,55,29
55,#2C8CGC9UG,Tugas PT,8000023,1066331,56,30
56,#P8CRGL0J,brawl Portugal,8000003,1065756,57,30
57,#LQJ08LGC,PT MVPs,8000037,1063876,58,30
58,#2JLUQCUGG,TDW Esports,8000011,1055582,59,30
59,#2CGRQ0LCQ,Neon Enygma,8000025,1054245,60,29
60,#2R2PYY22G,BS LEGENDS,8000059,1049003,61,30
61,#29U98VVR8,BOSS TUGAS,8000037,1044181,62,30
62,#29GJ990R2,THUNDEROUS,8000003,1043125,63,30
63,#29QPVRJQ9,Nitro Oxygen,8000027,1035129,64,30
64,#2YG082CPR,Gera No Flex,8000037,1031802,65,30
65,#298R2YPGJ,Siga Ciga,8000034,1029034,66,30
66,#2C92YLYQU,FOCAS PRO,8000029,1026857,67,30
67,#29Q90L8LL,EpikWhale7x,8000027,1020206,68,30
68,#L2G9GLYC,NUVEM VERMELHA,8000034,1015154,69,30
69,#2J8GY22V9,HardCore,8000037,1013341,70,30
70,#2C0PQ9JVJ,Gelados,8000018,1013307,71,30
71,#22JU8UQG0,Mustas,8000053,1011464,72,30
72,#QJUYGYCR,Chupem noobs,8000029,1009490,73,30
73,#2CRU8JUY9,zorlakinhos 🍁,8000031,1006621,74,30
74,#2CP9U8QLP,Supernova,8000033,999319,75,29
75,#2GP90YUCJ,Portugal Team™️,8000029,989206,76,29
76,#2CG9LLVPV,MARIADICES 💸,8000028,987699,77,30
77,#2YPRCPQVG,Tuga wars,8000055,987236,78,30
78,#2G88990GL,Top 1 World,8000055,987215,79,30
79,#29QUPCP2V,🇵🇹PT_STARS.2⛩,8000007,986034,80,30
80,#C9LRGLCQ,melhores amigos,8000059,984765,81,29
81,#2JU08PQCJ,Knights BS,8000023,983863,82,30
82,#YLJ8URV2,malvadões😈,8000037,981167,83,30
83,#28YPCVG8U,PEPSICOS,8000019,974576,84,30
84,#Q9LVGR8R,Burlas PT⛩️,8000029,974149,85,30
85,#2G9RY2GPC,BS|LAZ,8000029,973277,86,29
86,#29QPVCGGJ,Não sei,8000029,966359,87,30
