,tag,name,badgeId,trophies,rank,memberCount
0,#2PL28P0CQ,Tribe Gaming NA,8000023,1486989,1,30
1,#22GLVVCUY,MNX<c5>DARK</c>,8000055,1388295,2,30
2,#2QVRQ9GV,ENDGAME PR,8000057,1359750,3,30
3,#2R0GU2CC8,Los Bijus,8000037,1275809,4,30
4,#29YY0YLVV,HeavenReachers,8000055,1232907,5,29
5,#2200Q0V9G,Pro Players,8000035,1213130,6,30
6,#28CUCC8CJ,Team Heroico,8000037,1198681,7,30
7,#2JJJ9U8QV,CAPITANES,8000057,1166409,8,30
8,#2G08U29R0,♕BrawlKings🇵🇷,8000029,1164583,9,28
9,#2JPCLLQL9,🏯F. DORADA🏅🏯,8000049,1130711,10,30
10,#2989PCVL0,Los Intocables,8000023,1114521,11,30
11,#20R82J8P,P.R.Brawlers,8000041,1106378,12,30
12,#22QR9LPQ8,On Full Blast,8000034,1086598,13,29
13,#2R0V8YUPP,Avengers,8000002,1001898,14,30
14,#L9J9QVQ,Puerto Rico #1,8000021,999598,15,29
15,#29QYYCYQ2,Elite|Defenders,8000037,971477,16,28
16,#28298L0VQ,ULTRA CLUB,8000053,937968,17,30
17,#L2U2YJ0C,ROYALS STARS ⚔️,8000021,930521,18,30
18,#20PUVJRCC,PR Lions,8000037,916208,19,24
19,#2C89YCP2C,ᴛᴇᴀᴍ ᴏɢ👺,8000034,908562,20,28
20,#28L9C88YR,King's of Gold,8000029,902586,21,30
21,#2CLYCP8JY,TM|TEAM MORTIS,8000025,882193,22,30
22,#28CV0Y92Y,SayanBrawl,8000004,878375,23,30
23,#2JP2UC2V8,Among us 👍,8000031,869117,24,30
24,#YUP099CV,Leal Legend🎖,8000037,858017,25,30
25,#2RVJJCR2G,⚡BrawL|HUNTERS⚡,8000019,847642,26,30
26,#2P92P900P,THE 10 LEGENDS,8000029,847470,27,30
27,#2LGQCGYCJ,THE AKATSUKI,8000034,843612,28,30
28,#2J2P99QJG,Losinmortals💨,8000029,836961,29,30
29,#2PV09VLU2,♡TEAM DARK♡,8000029,833472,30,30
30,#U209RG20,Los Titiadores,8000003,830851,31,30
31,#UCQVC9Q,⚡️upu Gamer⚡️,8000007,827519,32,30
32,#2JCYYGQGQ,FOR_GOD,8000029,818800,33,30
33,#2C09PUV22,The cave,8000059,816515,34,29
34,#299LLVRY,SHADOW STORM,8000055,792043,35,30
35,#29202L8QR,Los Toys👹,8000004,785836,36,29
36,#P998QGQV,Los mutzes,8000053,780479,37,30
37,#9LRLJ9YC,Puerto Rico,8000013,780312,38,30
38,#2JQP09829,VR$ACE🐐,8000021,779189,39,30
39,#LP0LY08G,🐲mongolitos🐲,8000043,755945,40,23
40,#2JPG9P29L,CAPITANES 2,8000057,735371,41,30
41,#2C98CRGVY,INDESTRUCTIBLES,8000029,717833,42,26
42,#2C0JC2LVU,AS,8000035,708456,43,30
43,#2JL2J2RQC,StrawberryKiwi,8000011,701417,44,27
44,#2GVVG2YLR,Puerto Rico #1,8000023,701065,45,28
