,tag,name,badgeId,trophies,rank,memberCount
0,#2QCCPJVVJ,QTR,8000052,1192698,1,30
1,#C9R8VUP,Thousand Lakes,8000003,982140,2,14
2,#2C90J2PLU,Lêòñēl Mëssì,8000057,904167,3,30
3,#CCYUVVL,Qatar-2022,8000047,810263,4,30
4,#2PVRVLPVQ,<c4>ENFØRCE</c>,8000033,793248,5,30
5,#YRP9ULGP,« Top crazy » ★,8000036,771732,6,30
6,#2QQ0U8YVL,رصاصة الرحمة®¶,8000004,769384,7,28
7,#2GYYJ99LL,TXLR_Q,8000023,761506,8,30
8,#CR090YPG,Max Light,8000003,743433,9,29
9,#29GJGGC89,❤💙les amis 💙❤,8000033,734393,10,30
10,#2QVRQ2P9G,The Arab Nation,8000059,720583,11,29
11,#29GGGGRG2,| KILLER|,8000023,679307,12,30
12,#9LUVC9JQ,Nobody beats us,8000002,596950,13,25
13,#8G2GR0PG,attakers,8000023,541456,14,22
14,#2RQ299GG0,CM|GAMING,8000045,540898,15,30
15,#UQUG0JUY,FreePalestine,8000034,479851,16,23
16,#29RQY9PU0,Olemionnerer,8000054,478982,17,22
17,#2GVJCJJR2,Fc black,8000027,456616,18,29
18,#2C0U0G2R8,TEAM PONCZEK😎,8000029,432810,19,30
19,#2GYG0LGYJ,FNN,8000029,421446,20,30
20,#P8YJGCQ,Royal Dark,8000029,420037,21,15
21,#2RP90PCC0,Brawlers,8000029,417920,22,20
22,#LYULPQVJ,Три мушкетёра,8000048,411695,23,30
23,#2GJ0290YJ,Srk,8000017,409859,24,24
24,#2JQQ0RVUU,STX Esports,8000021,393923,25,29
25,#2LCGJ2CR0,A.M,8000037,378908,26,30
26,#2C9VCQVVL,EKMEK Spor💯💣,8000055,374550,27,15
27,#9GJ9QG,Black List,8000007,356097,28,20
28,#9R8JP2L8,vappe,8000043,330877,29,21
29,#2G9Q9PRP0,حرب المروج ✌️,8000006,330240,30,26
30,#2R28CCCR9,ربع الكرك,8000037,327291,31,13
31,#2LQG2UPJ8,kamchatkaElite,8000027,320535,32,13
32,#29Q22CLLV,NsG•RIZSHAH✓,8000022,317507,33,18
33,#LCRJGCUQ,⚜️فهد الشمري ⚜️,8000021,313856,34,30
34,#22U2CPYYG,ZeRow,8000018,313219,35,30
35,#Q0LLGRP,Just4Fun,8000027,302615,36,18
