,tag,name,badgeId,trophies,rank,memberCount
0,#ULPJCGQY,SRR| club,8000059,2161824,1,30
1,#2GY0QJP88,Quant ESports🐾,8000023,1967117,2,29
2,#2G98G9CQC,Импрессив,8000045,1903832,3,30
3,#2RCRUQRP9,Purple Wave,8000041,1901805,4,30
4,#2C8Q8PUUR,Anteiku☕,8000025,1861658,5,30
5,#2G9CY2VCC,RofloSt4ck,8000037,1827217,6,30
6,#2GYRYYQU0,HolyPower,8000018,1787374,7,29
7,#2GUL00CLY,LaWs Controll,8000058,1759288,8,30
8,#2JR88LRUG,Wild Heartz💔,8000037,1733100,9,30
9,#2QCQCUJUP,<c6>Axolotl</c>,8000041,1732907,10,30
10,#VG8PVU22,LEGION🎴LEGEND,8000023,1725679,11,30
11,#2GCULC99C,House Greyjoy,8000025,1723785,12,30
12,#2RJVR20LU,★Art of War★,8000036,1716827,13,30
13,#GJG20RJP,House Tully,8000021,1715756,14,30
14,#20VJGCUGQ,Unreal_Fate🥀,8000059,1705968,15,30
15,#2QVRYQR9P,★Art of War★,8000032,1702722,16,30
16,#2GP8899V8,Talents,8000037,1698892,17,29
17,#YRCV8LY,DarkMasters,8000059,1698011,18,30
18,#2Y9VCJVJV,<c7>NeOnシ︎</c>,8000029,1694200,19,30
19,#280RUJ8VR,Kremenets City,8000023,1693305,20,29
20,#2G9VUVUCJ,Хижина Снайпов,8000043,1679896,21,30
21,#2JVRP0PJP,<c8>Lafkkお</c>,8000041,1679761,22,29
22,#2C9VL8Q9J,TRIBUNVL,8000023,1671145,23,29
23,#LYVCJRCG,ЮТУб РУЛИТ,8000057,1659393,24,30
24,#22UVPQUUR,Hydronica,8000027,1655944,25,30
25,#2RGPPQCYV,WinnerTeam,8000029,1654930,26,29
26,#2RRVLPCP2,Nice for game,8000059,1653522,27,30
27,#2QYQPQQRJ,龙?<c5>zeNts</c>,8000059,1635951,28,29
28,#2R2JQU0GQ,Revaible 💗,8000039,1630342,29,28
29,#U0UVR0Y8,DragonArmy,8000059,1627276,30,30
30,#898292CL,Legion Inferior,8000049,1623419,31,30
31,#VUUUGC8Q,Woman Moment♿️,8000029,1622030,32,29
32,#299GVL0V2,Legio X Gemina,8000029,1621593,33,29
33,#2C28UVQ0U,Exclusive,8000004,1620166,34,30
34,#LLP8G8CU,Чай с Печеньем,8000025,1615093,35,30
35,#2GPYYU0VL,Legion Traiana,8000029,1611069,36,29
36,#8JJPRP2L,Legion Dacia,8000029,1606363,37,29
37,#2PUGVGRJL,Legion I Flavia,8000029,1605556,38,29
38,#2CQGYQVGC,Legio Fretensis,8000029,1603091,39,29
39,#UVLLLLYQ,Legio X Victrix,8000049,1601329,40,30
40,#2GGRP8Q2G,Walther Smooth,8000036,1594920,41,30
41,#229J9YPPP,Mental Illness,8000021,1594840,42,30
42,#2CR8GCCUC,BRAWL HOUSE,8000023,1591542,43,29
43,#2CJLY9902,🌔Last Wish🌔,8000029,1590871,44,30
44,#229QP9RQ9,✨️PARADISE✨️,8000018,1584239,45,30
45,#2RPPG2J8L,APRIORI,8000023,1574509,46,30
46,#YCGQ0VGQ,You can 🏆,8000029,1567635,47,30
47,#2CLLY9909,♠️FLASH ROYAL♠️,8000027,1557460,48,30
48,#2JPVCVGR9,BOBR gaming,8000021,1554625,49,30
49,#VVQLGCCL,<c0>Shine</c>S,8000041,1554298,50,30
50,#2R8UGPV9R,PRO,8000029,1550935,51,30
51,#L28909CP,DS | Dark Souls,8000023,1550930,52,28
52,#P00JQUPC,MāgīcEclipšīš🔮,8000010,1550612,53,30
53,#220J8GUVV,SoW,8000029,1548912,54,29
54,#2G28G080P,ZamoroZka,8000037,1540935,55,29
55,#2GVLVYCUU,CF TM,8000055,1529831,56,30
56,#2YP8R2GLP,Regions Team,8000049,1529277,57,30
57,#2GYY8CVG8,Good|tea☂️,8000023,1526300,58,30
58,#2JP9GGYYU,ReqNord SquaD,8000037,1523205,59,29
59,#2QQ2J2RUG,⭐Star Gang⭐,8000010,1521749,60,28
60,#28U82UGGV,baobab🌱,8000024,1519195,61,29
61,#28LVC02UU,ZEUS YT,8000053,1518528,62,30
62,#2GQRUCCYL,The Invicibles,8000039,1512802,63,30
63,#208ULPY08,⚔️ВАРВАРЫ⚔️,8000004,1509365,64,29
64,#G8GP2PJ8,TikTok_House,8000029,1504150,65,30
65,#22P909Y2,Россия,8000023,1503376,66,30
66,#2QUVQG9UG,Ягодное Поле🍓,8000057,1502742,67,30
67,#29L2U8R82,whyliebel🐣,8000035,1501263,68,30
68,#2RRJPLY82,The best clan,8000003,1499363,69,30
69,#2YVGVVRPJ,Lord dragon,8000033,1494088,70,30
70,#2Q0LJRLJG,House Tyrell,8000027,1493890,71,30
71,#2GU92CUPY,Zabelyator_Team,8000035,1487175,72,30
72,#2CPQYYUYQ,Paraiso moon🦋,8000021,1485240,73,28
73,#2QU8VGYQP,Ghost Hunters,8000047,1480660,74,29
74,#2GLCU2RRL,nkB,8000029,1480471,75,29
75,#2QYCRC098,KingdomRush,8000053,1478449,76,30
76,#2RPYYCLYJ,Mystery Killers,8000023,1477191,77,30
77,#28RQQPRGC,ICE Gamers,8000055,1476823,78,30
78,#VVGCVVYL,No Name,8000025,1474696,79,30
79,#VQRQLVPC,Chi<c2>ll</c>🍓,8000004,1472734,80,30
80,#29LPVCLPP,YT|YAGUAR 2,8000006,1470612,81,30
81,#2R2LR0Q2Q,NightRaid 🌌,8000007,1466753,82,30
82,#8R028JUR,Salty Spinners,8000055,1462576,83,30
83,#2JJRVGCU8,🔥Swordsmen🧊,8000059,1457879,84,29
84,#2CRCLCQ0P,Star Kingdom ✨,8000018,1457804,85,29
85,#29JQPPCQG,Хата Пипла,8000025,1457560,86,29
86,#2JJV8RVJR,<c0>PWNZ</c>,8000021,1452937,87,30
87,#2G9882QYQ,New Grand,8000055,1448836,88,30
88,#2C9VCUR9L,Repulse squad,8000006,1445245,89,30
89,#2GRUCJGPG,🥀GF|GeForce🥀,8000008,1445193,90,30
90,#QRQC90Q9,★Art of War★,8000048,1443816,91,30
91,#20UJCPPUG,Bull's Team,8000004,1442500,92,30
92,#2JQ0CRV98,Brother Force,8000019,1441656,93,30
93,#2JU02RC29,House Bronn's,8000037,1440658,94,29
94,#2P9PLG9L2,Tayron team,8000048,1439691,95,30
95,#29YLY80YV,♨️FBR|RelaX♠️,8000059,1435800,96,29
96,#Q9J820PU,Warriors Way,8000034,1433827,97,30
97,#2QY8QPU0J,<c3>Killers</c>,8000012,1433055,98,30
98,#LPLRCLV9,KB presents,8000004,1432353,99,30
99,#QJRRRVPQ,OneUp,8000012,1429071,100,30
100,#QCYU90JP,Utopia🏹,8000014,1424973,101,30
101,#2J2JPL0G0,botiha club,8000011,1423678,102,29
102,#2YY2PLGVQ,folga,8000057,1422383,103,30
103,#QJRVUPVY,One Question?,8000023,1419080,104,30
104,#2J98RY920,University 🪐,8000057,1415507,105,30
105,#R9RYV0YP,ChillOut,8000025,1414535,106,29
106,#2CR98CVU2,Zero Balanced,8000044,1414346,107,30
107,#289GCLLVQ,Короли,8000029,1413732,108,30
108,#28C989988,Memories World,8000053,1413019,109,29
109,#CYJYJJQC,❤️LeDi_LoVe❤️,8000006,1410097,110,29
110,#2RRLP22YY,Coffe Team✨☕️,8000029,1410059,111,30
111,#288VC09P0,картошки,8000005,1410026,112,30
112,#2GCCPQ2JG,<c7>РАССВЕТ</c>,8000029,1407332,113,30
113,#8URQL999,GreenGo,8000021,1406880,114,27
114,#2YJQUVLP8,Wendetta Sqd♿,8000057,1405789,115,29
115,#2RVRQQ28V,трезвый фикус,8000013,1404266,116,30
116,#2CQY9PU8J,Ggs💗,8000035,1402533,117,29
117,#2JY9LLRJR,X Legion,8000029,1402056,118,29
118,#2JLV0Y0RU,SBS Family,8000055,1401046,119,30
