,tag,name,badgeId,trophies,rank,memberCount
0,#L28UJRP9,HUNTERS CABIN,8000059,1244117,1,30
1,#29Q9YR2CJ,Bakers Union|Fr,8000029,1040738,2,30
2,#2GRJ88VGU,BRAWLISLAND,8000038,996242,3,30
3,#29LUL2GLC,|BZH|,8000055,988543,4,30
4,#2QUQV8YLL,<c2>Run⁹⁷⁴</c>,8000023,949393,5,30
5,#2QVPJVCQL,FR | NABUTO🗯️〽,8000059,934194,6,30
6,#CVLU2R,Brawl Run,8000023,933040,7,30
7,#VR8VLJVL,Assimilation,8000000,904485,8,29
8,#2G28GCVUJ,Warforce,8000059,852198,9,30
9,#2G9CYG0C9,TheBigTrhee|FR,8000001,822199,10,29
10,#2YP29GPU9,les lions,8000013,794307,11,30
11,#Q2VUYRVJ,Only Win,8000022,776614,12,30
12,#2JGLLCQ8P,J ❤️ Hyra,8000037,763253,13,30
13,#229LVYP22,ישראל האלופה,8000055,763027,14,28
14,#UR9GRYQ,Cornichonhua,8000013,761811,15,30
15,#GUVJPP2J,DoomResurection,8000019,744860,16,30
16,#292PRR20L,974Verse,8000037,736152,17,26
17,#2C9CVJP2Q,🇷🇪974 team,8000055,725356,18,30
18,#29QCVGPJP,<c7>Royal</c>,8000037,723288,19,30
19,#2L2GUV88V,Réunion,8000036,687445,20,30
20,#Q8CY0LJY,JDE Collège,8000013,677954,21,30
21,#2YUCGPC89,Axian,8000023,654905,22,30
22,#9GQ2RY82,LEGENDARY BRAWL,8000029,654396,23,30
23,#2RLRVQJCG,Kaboom 974,8000049,625447,24,30
24,#2288GVUP2,❄️SNOWSTORM❄️,8000057,611116,25,30
25,#28VRJLV22,team animé 🥶,8000046,604861,26,30
26,#9908CUCR,FR,8000034,595407,27,30
27,#2QUQCQURP,Royalty,8000055,586629,28,30
28,#2JGRRYLQ0,copains 974,8000035,582828,29,30
29,#29ULJVLUR,lesmegaraciste,8000008,570781,30,30
30,#JY09Y8G2,RC4BRAWL,8000055,560520,31,23
31,#2YJUVL2CV,Cousin Gang,8000035,553559,32,30
32,#LPQCLQC9,FRANÇAIS,8000005,522626,33,30
33,#C08P92CL,la Tim Alan,8000059,516645,34,29
34,#LJ29CUQV,bubllegum 974,8000021,509767,35,30
35,#2CYVP2R0J,GG'S GANG,8000036,491461,36,30
36,#22GQR0LY,team DLH,8000033,489738,37,29
37,#QG2Y9G8P,La Réunion 🇷🇪,8000021,484519,38,30
38,#2J8VCJP9C,974clan,8000029,476613,39,30
39,#2GP9G09CQ,🇷🇪974|TEAM,8000032,476046,40,30
40,#80LLYL9L,respetiña!,8000012,475943,41,29
41,#2JJLCC0U8,CALIN 2026,8000023,465771,42,30
42,#29PJRRL9G,petit club 974,8000034,461025,43,28
43,#20C2JVVGG,*ЛИГА ЛЕГЕНД*,8000024,460083,44,28
44,#20UPJUP9J,mane gaming,8000025,459101,45,30
45,#V2V20UU2,LA HARIBO TEAM,8000023,456656,46,30
46,#2922LRC98,jaimelabit€,8000033,450107,47,18
47,#P0G9L0RC,Ti Casa Run,8000018,447871,48,23
48,#80LRCLV9,fairy tail,8000013,447566,49,29
49,#LVGRYGJR,Les Rusher,8000025,445030,50,30
