,tag,name,badgeId,trophies,rank,memberCount
0,#UGRL90C0,Ultimate Team™,8000015,1884342,1,9
1,#GURRCCYQ,Perfect Clube,8000000,952053,2,8
2,#2L2Q8JPY9,🌃 GECE,8000003,947101,3,30
3,#2JRULP2PL,LOS AÑAPRO,8000053,771498,4,30
4,#22GYVQLV2,Omen Moldova,8000021,684273,5,29
5,#2998VYL09,es una ganga,8000059,505499,6,30
6,#2RY8U9RUV,bois wit food,8000057,498562,7,30
7,#2GPR90LLJ,Borcův Team!💥,8000034,480564,8,4
8,#28YYQG8V,BRISEUR DE CUL,8000007,463761,9,30
9,#QJ089CQQ,RED TEAM,8000022,443527,10,27
10,#V9GJCVY2,Клуб України,8000004,418986,11,27
11,#2YLLCVGC8,La Confrérie,8000053,385733,12,21
12,#QR88JVLP,Sorry|family,8000011,383390,13,30
13,#2QP989GGU,ebem,8000013,363170,14,17
14,#2RCUC9GYC,ㅁㅊ스타즈,8000059,361699,15,30
15,#2V2R9JP,谷口の会,8000017,353645,16,28
16,#QJ8PL9R2,Artur,8000033,335722,17,30
17,#QPCQCRCJ,BS America ofi,8000023,306450,18,27
18,#RQJ8028R,Mafiozniku,8000004,298352,19,18
19,#8LY00U0G,Ata 5'leri,8000055,293541,20,22
20,#2PLPJPUYU,.exe,8000057,276957,21,12
21,#29GP8GJR0,Fake accounts,8000022,263371,22,30
22,#UGPG8PJR,Vitamineclub,8000007,259046,23,30
23,#VJ2GUR9P,QC brawl,8000057,255662,24,26
24,#2G8LVJG8L,топерчки,8000034,239983,25,17
25,#QPUUP0QL,HTCGANG,8000022,229134,26,23
26,#2JJQYURJR,db|clan,8000023,228707,27,20
27,#2LURCJG90,Кто за Рассию!,8000057,228536,28,27
28,#2CQCGCGCL,kürdistan,8000034,202598,29,30
29,#22V8QJ9JG,유정준준,8000029,200456,30,25
30,#20QYCYGGG,Tost ekmeği,8000008,198229,31,21
31,#VJ2RJ92C,Evolution,8000023,194649,32,30
32,#2Y2GJ9Q8J,СовгаваньТоп,8000057,193456,33,29
33,#22GU88C2U,Phnxclub,8000037,191575,34,7
34,#2JJCULPVJ,4a,8000035,190657,35,30
35,#2LR0VL0CL,KUZENTeaM,8000007,188179,36,28
36,#R28VGQCU,YOKO,8000019,187786,37,30
37,#2QQQY00LG,😎Pro Bros😎,8000059,187714,38,30
38,#2QQ2U98G0,L’atackDesGitan,8000059,186649,39,20
39,#298RUGQYL,madalin22,8000020,179824,40,28
40,#UC90JRJJ,딸기사랑,8000018,175106,41,21
41,#2G8L2QJRV,Даники,8000040,174023,42,30
