,tag,name,badgeId,trophies,rank,memberCount
0,#2G2V9Y0CU,Dragonasaurus,8000007,880987,1,29
1,#UGQ98YQJ,BCB Ultimate ⭐️,8000018,809002,2,7
2,#2C0UPJ80C,Kartoffelmänner,8000017,614726,3,26
3,#2G80CYYQV,братья📺👑,8000023,590934,4,30
4,#2CYGCG22Q,MenemenSpor,8000023,573745,5,28
5,#2QJPLQ8C2,࿓ᴮᴴᴬᴳ Restarts❤,8000023,555911,6,30
6,#29QCQULJ2,Türk_Esports,8000006,537849,7,28
7,#2CLQJ20JP,SpeedGame,8000029,483990,8,30
8,#29PQJ9L2L,АИД✨️🏆,8000012,443517,9,22
9,#VRRCGV20,Многокупковые,8000004,435507,10,29
10,#P92L929Y,nekra,8000009,414757,11,17
11,#L9RGQR20,swerr,8000025,408275,12,26
12,#YLRCUUUV,🧱⚒нюхай бедру⚒,8000031,325425,13,30
13,#UVCYU9P,tribe NiNO,8000025,302474,14,16
14,#2C9UQGP0Y,팽팽이,8000058,298756,15,30
15,#29YU29UQJ,NFRxEsport,8000033,286725,16,14
16,#GJC89GRV,ANT 789 BOSS 99,8000029,264997,17,30
17,#2JG2VPRJG,J타이거 팬클럽,8000057,250785,18,24
18,#28C9RRPJJ,🌵zona,8000013,245111,19,13
19,#29PUQUV22,сигмы богини,8000056,243600,20,13
20,#2PCVQ0PQQ,LVRN STARS,8000023,230524,21,13
21,#292C99PY2,клан вары 2,8000056,223845,22,11
22,#2QV2L80JP,bape dаgestan,8000023,216285,23,10
23,#2RRJQUYCY,UNİTY,8000057,212817,24,17
24,#VGPUY2Q,AlbertoAngelini,8000007,197799,25,16
25,#2YYLPR0L0,op po,8000037,195904,26,17
26,#CRLUYCPJ,О.М.Б.,8000019,195117,27,29
27,#222U2VQ09,Real Monsters,8000005,190942,28,29
28,#2LV88JJ2P,поднятиедоалмаз,8000047,188581,29,10
29,#208JVJUCJ,клан вары,8000034,186686,30,10
30,#2928LYVCU,EIuYYR,8000055,185645,31,17
31,#2C9VRJVUL,COLDENT⛄️❄️,8000053,181204,32,30
32,#29YY8G00L,БИМ БИМ 2,8000010,180881,33,27
33,#2290G20JV,Dark Tom,8000031,179180,34,30
34,#2C8R90CRC,Джин сквад,8000006,177020,35,8
35,#L9LYRJ,Б - Банда,8000014,176164,36,30
36,#Q2GJ0L8G,shiny Cheese,8000047,173376,37,30
37,#LPRCGCYU,Бобтара,8000021,170504,38,28
38,#2C9JGYQJP,sigma club,8000037,166655,39,15
39,#Q80YJPRC,ПОПА ТИКА,8000033,166496,40,29
40,#CVR092RL,kızgın asiler,8000018,158797,41,23
41,#29CL8CRCL,Я Денис и я топ,8000057,157770,42,29
42,#LU2VJ8UJ,paella 🐓,8000054,155918,43,12
43,#UUQRPQ92,💔Lol Kek💔,8000055,152450,44,30
44,#QPYRCQLY,227,8000023,149992,45,29
45,#U9LC9P8L,аллероец,8000016,149773,46,29
46,#2QVQGVJCG,айф2232,8000049,148089,47,24
47,#2QP009VQU,Чвыбрик,8000057,147314,48,30
48,#QLUGJUV8,The cool kids,8000015,145456,49,30
49,#2LGU2LJRP,_Ded|ince_,8000047,143869,50,11
50,#VLRV98UV,🤖БОТНЫЕ БОТЫ🤖,8000056,143505,51,29
51,#QQVV2Y2Y,кукулёнок,8000004,143372,52,22
52,#2YGCJP2CL,whiskas-няма,8000009,141948,53,12
53,#2RYC2RYY8,шлёпы,8000057,141504,54,29
54,#URRVY0GU,про чингиз,8000057,140292,55,27
55,#2C8GQU9CV,BARIS ALPErkral,8000055,139655,56,20
56,#200GCRQJ2,демоны баси,8000037,139586,57,11
57,#8JQRVPG0,<c9>にっけるす</c>,8000007,139173,58,30
58,#U0002JUU,юа,8000009,139014,59,29
59,#2CLQPYCCG,pls join,8000049,138192,60,30
60,#2GY09PGJU,I muglioni,8000049,134679,61,29
61,#28L02CL0L,Зоркий глаз,8000029,134637,62,24
62,#2JQQCUCQP,GermanLadder*,8000017,134047,63,15
63,#P99G0U,FN,8000009,132488,64,25
64,#22Q9PC00V,Les 3 Thugs,8000054,131618,65,26
65,#GPG9PV0L,монстр БИБИ,8000026,131122,66,21
66,#28UQ0UU82,"САМБО""БОЕЦ""",8000013,130701,67,29
67,#2PR8890VU,Локси,8000044,130492,68,8
68,#28GY89RRJ,Клуб: #28GY89RRJ,8000029,130221,69,8
69,#UJJVUVQ9,박박추TV,8000004,126935,70,26
70,#2CPLL989G,bombowcy,8000046,126830,71,10
71,#2JYRQV02C,1C Inf,8000050,125538,72,9
72,#PG9LRQ9J,문구,8000003,125502,73,27
73,#2PUVYGUQC,шоо,8000058,124470,74,24
74,#2Y2UQLQUR,Мать своих зай,8000029,123989,75,28
75,#20RYJ2V8U,BKING,8000025,123045,76,6
76,#VV2YC8UU,ATMS,8000027,122929,77,13
77,#20U802C9G,TOPROP,8000045,122585,78,28
78,#CPUCYJ82,бан робзи,8000029,121568,79,12
79,#2JC80LRL2,лайкииии,8000039,121231,80,12
80,#2LGJRGR0U,звёзды дд,8000029,120571,81,19
81,#20VY8QG2V,pandice,8000006,120425,82,30
82,#2R0VRQUY,Армия Егорика,8000049,119674,83,27
83,#2PCYY28LL,евгенбро крутой,8000034,119029,84,30
84,#2CJP0QGLJ,mike×master,8000055,118113,85,8
85,#2G2LQ0YY2,армия еврей гей,8000047,117042,86,30
86,#V0YY8990,ТОПЫ МИРА,8000039,116207,87,28
87,#V0YJ0GQ2,AuRuM TOP,8000012,114874,88,28
88,#2QG89VG8J,мой клуб,8000057,113487,89,23
89,#2LC8G9CGL,⛈лига клуба,8000059,113196,90,14
90,#28GU0GUJC,하루루루,8000028,112128,91,8
91,#29CQ9Y9C9,Str Allies,8000029,111166,92,23
92,#2QQLGGYQC,GA,8000029,107713,93,30
93,#20C8GYGLP,шупари,8000045,107381,94,16
94,#22CJUJ2LC,zxc207,8000050,106755,95,30
95,#28RLYLQJR,про клуб 321,8000049,106022,96,29
96,#28JR0LRR0,КРУТАЯ ШКОЛА,8000014,106007,97,23
97,#2GY990LQ9,P0P0,8000057,105601,98,7
98,#2Y2ULJU0C,Рома и Макар,8000037,105240,99,25
99,#202PCRP82,Tik|Tok|Family,8000021,104143,100,6
100,#290CJG9PJ,荒野協會,8000057,103856,101,25
101,#UYPLPR9P,заброшки😡😈❤️,8000029,103611,102,29
102,#2J80Y00P2,Команда крутых,8000057,103464,103,13
103,#LVJVJ00L,БАН!!!,8000021,103346,104,26
104,#CRP2U8JL,гора 05,8000003,103254,105,29
105,#20QV2JUG9,급식클,8000029,102908,106,16
106,#2888RP0Q8,Дырявый НОСОК,8000013,102643,107,28
107,#2PYC8J8L8,клуб ганстеров,8000043,102579,108,14
108,#2QG29PUQC,ARMY BEAR,8000017,100325,109,6
109,#29QY2LCJU,los andradas,8000024,99302,110,27
110,#VJVJ8QYY,никита и макс,8000059,98199,111,29
111,#LJUYRVLU,:Reebokk1,8000035,97770,112,9
112,#2J8PYULGR,RustMe,8000056,97160,113,5
113,#YCJYU028,banana pro,8000013,97050,114,25
114,#UVUQ28CL,итальянцы,8000024,95711,115,29
115,#LJYJ0PR8,симба умер 😭😭,8000029,95665,116,28
116,#QGCPVVQY,журка,8000013,95416,117,27
117,#JUUV9UQP,Айфоны📱📱📱📱,8000023,95005,118,25
118,#29C0GUVUQ,лучшие др,8000023,94977,119,27
119,#UG9QVVV0,❤TÜRKİYE❤,8000037,94346,120,30
120,#QJVLL00V,Мои твинки,8000037,92857,121,19
121,#QYVR2L80,Trouble,8000038,92788,122,30
122,#2QV29LY22,саня А4,8000047,92320,123,29
123,#UUYY0YRG,vika leon,8000024,91754,124,27
124,#2889QLG0V,|<НАРУТО>|,8000030,91154,125,10
125,#2GYQJ8GGL,пабаг,8000032,90539,126,18
126,#2RGRQGVRQ,love stage,8000039,90428,127,5
127,#92LQ28QJ,Los pros,8000029,88972,128,5
128,#2QC8GGPVQ,⚡BRAWI KINGS⚡,8000029,88813,129,7
129,#RVJ0RLGU,бро1,8000009,88613,130,25
130,#288CGC0RV,Plague Docs,8000002,88545,131,30
131,#PLRYL9UU,решка,8000016,88436,132,27
132,#29PUL9PGU,winstreak,8000037,87893,133,10
133,#9ULPPP2V,Гопники 8,8000023,86962,134,12
134,#UGV2PL2J,ББФ. Закарпаття,8000004,86648,135,8
135,#2GPYCQ299,AQUA TEAM,8000057,86580,136,23
136,#2L8JPCQY8,БАБА ЗИНА,8000029,86066,137,10
137,#229Y2CVRR,гогого гет апс,8000059,86000,138,5
138,#2RVGP0CJC,всем пака🤩,8000003,85561,139,30
139,#2G99P8CJ9,50K Lets go,8000009,84566,140,9
140,#20Q0PRGR0,spıke ver,8000059,84478,141,21
141,#2Q9R2C8QR,путь алан.,8000019,84414,142,8
142,#UC8GPG0J,манай,8000013,83789,143,30
143,#20G0PRVL0,А4,8000019,82749,144,29
144,#2RVJC8YJ8,bebra,8000015,82162,145,5
145,#2LGGJPQ8J,Socials,8000019,81696,146,26
146,#22292RJGY,Team Z Krzaka,8000008,81624,147,26
147,#29GJ8VJU2,арэ666,8000007,81264,148,25
148,#2LP88V20L,4학년3반 모여라!,8000013,80477,149,21
149,#2QYV9LVG2,브롤망겜,8000057,80219,150,26
150,#2LVRCYRUV,бс_пени_тт,8000002,79560,151,30
151,#2828PY8UV,АКУЛА,8000053,79241,152,7
152,#V89QRULC,maksim 1 2 3,8000022,79054,153,11
153,#G2VR08LQ,друзья❤,8000002,78853,154,24
154,#2G99C2P9J,RHM,8000029,78748,155,30
155,#9CL8PULR,Spaker,8000011,78094,156,28
156,#2YLV0YLGQ,AKATSUKI,8000004,77991,157,3
157,#2LVU99JYG,(☠️Бравлеры☠️),8000036,77976,158,7
158,#9Y82R000,Team couscous,8000007,77432,159,9
159,#YR0UULLP,Just Eliteシ,8000029,76597,160,27
160,#8Q0C8VY9,99981737к3663,8000045,75508,161,27
161,#2JJVGQVU9,prohki337,8000042,74613,162,4
162,#CC2ULQRQ,123АПА,8000019,73547,163,22
163,#2PUGVJJLR,блоблокс,8000005,73546,164,22
164,#LPGJPPRC,клуб 17,8000025,73477,165,24
165,#292CYCQ0U,ДичьСигиПивас,8000050,73414,166,4
166,#V0URVVP9,ника123,8000006,73244,167,9
167,#YLRL82JQ,도도클럽,8000019,72688,168,28
168,#2LJGULUY8,клуб:>,8000025,72084,169,27
169,#20JJ8YR9L,КАБРИОЛЕТ,8000028,71075,170,10
170,#2C9VG2G0J,오늘싼모닝똥들,8000034,69681,171,10
171,#2LY20P2YP,Бублики Bs🥨,8000047,69599,172,3
172,#29Q0UCV8U,РОЛТОН ТВ,8000015,68686,173,23
173,#20GPYV9J2,куби,8000000,68422,174,28
174,#2CRYJGPGQ,Metdi Fk,8000018,67881,175,7
175,#U0J9PLCP,YTZLATASANDY,8000029,67456,176,27
176,#9PQV0GJ0,бамбарарам,8000037,67446,177,12
177,#LYCPURQY,дерские бананы,8000022,66740,178,14
178,#9LVPC0JL,All Star,8000043,66576,179,6
179,#2J9YQC80R,SK|Legion🧡,8000043,66296,180,13
180,#29VUQPC0R,гедро,8000011,64243,181,30
181,#QCGPCCY8,joinbutnotbot1,8000046,63817,182,6
182,#2J8J2GUVC,Awengerst,8000047,63549,183,9
183,#2LQ2YGG9U,Эдгар,8000019,62875,184,8
184,#YU8C9R82,цук😰,8000057,61600,185,22
185,#2UJ80QLQ,Гурген 777,8000003,61403,186,29
186,#29YRQL0UG,ban[murka$],8000038,61171,187,4
187,#VJLJGUP8,просто денис...,8000022,61142,188,27
188,#8JLY0CJL,GGA,8000020,61122,189,19
189,#20VQRJ29P,ДОБЕРМАНИЯ,8000057,60457,190,7
190,#RC0G98C2,Изи Бро Чарь,8000023,59402,191,14
191,#28J0UUP8R,Роща у профи,8000045,58755,192,5
192,#VC9V20U2,для фильма 82,8000033,58206,193,27
193,#2RP8YVYY2,학교=퇴물,8000057,57268,194,9
194,#2JPVLV298,...,8000005,57023,195,3
195,#299G0YVPQ,UP master,8000004,56678,196,6
196,#2J29LVQ0V,крутые типы,8000057,56627,197,11
197,#QP88UR8U,ЛеОнЧиК_ТоПчИк,8000000,56202,198,25
198,#2JUUP20JY,Save World,8000041,55892,199,5
199,#JCVG2J2G,<c2>СЛИПЕРЫ</c>,8000009,55088,200,10
