,tag,name,badgeId,trophies,rank,memberCount
0,#2CGJC8CP2,Nexus🪐,8000055,1156570,1,30
1,#2JL0LU2VR,mini miracle,8000034,1053147,2,30
2,#29JYRL8YY,devxssted19うぇっ,8000055,935141,3,29
3,#CLCVJ92C,CoRRuBeDo,8000056,765499,4,30
4,#299RJUURY,<c8>❖ＬＩＯＮ❖</c>,8000025,706457,5,30
5,#29JR9YYJC,help ranks,8000057,662611,6,29
6,#QG2CP099,Colegii🤡,8000041,641995,7,30
7,#29PJLU20C,C.D.TENERIFE D⚽,8000018,530650,8,29
8,#GGVVG8C2,istediğin olur❤,8000029,490596,9,7
9,#QRCVQJPP,мегакопилка,8000007,486076,10,30
10,#2C88PJGUC,Sigmy,8000039,476871,11,29
11,#P2YQ2P8U,TONY,8000022,455811,12,24
12,#22GJ8LCQ,tac guapos,8000013,421878,13,28
13,#2CRUG0G8U,Идем в топ 1,8000007,420048,14,30
14,#2982L08YP,капчо,8000005,411135,15,30
15,#L8UG0Y2,United Smokers,8000013,410327,16,28
16,#2JCUP8029,Клуб:  #2JCUP8029,8000059,408149,17,29
17,#8C228GVV,Brettes paysage,8000009,406248,18,21
18,#2C8CYPYLG,TV |wengay😈☝,8000023,404799,19,16
19,#2R29V9PJV,"ОПГ""Чирончик""",8000045,393159,20,23
20,#2L8V98PG2,snake eyes,8000022,317477,21,28
21,#JP0JV00J,xv 34,8000037,311482,22,16
22,#2CJ0UL9U9,i neg ri,8000058,304109,23,30
23,#JQLV0LU9,adert,8000041,299775,24,19
24,#PY8828UL,big noob 2,8000023,299594,25,20
25,#290C2LVJ8,THOR,8000007,277065,26,14
26,#RU2QL0,Aroused Gamers,8000020,274231,27,30
27,#2L8YGVJUP,ANGEL TEAM💎,8000029,273247,28,24
28,#Q9LG0JG9,мы в ЭЛИТУ,8000011,269756,29,27
29,#LYQR8QY9,아무나 들어와줘요,8000029,254937,30,28
30,#UP08P08,Aggressors,8000011,254114,31,19
31,#9JCV9YCQ,ХК Тамбов 2011,8000004,252339,32,30
32,#2L2UQ2CUJ,les frères 2.00,8000019,248972,33,30
33,#2L8GJG099,макнаггетс. со,8000004,240492,34,12
34,#QJUY29Y0,✪🇱 🇮 🇲 🇧 ✪,8000052,240121,35,30
35,#28RPUPUR8,не убиваемые,8000043,228782,36,17
36,#2LG2U9YQJ,(Bs) CYBERSPORT,8000016,227443,37,10
37,#2YQ0Q2C9R,PIKA PIKA,8000019,218393,38,30
38,#2GRCGLYGV,антихайп,8000037,217672,39,29
39,#2JUJ8PG8R,RU|Gaming Team,8000013,215644,40,10
40,#PP8RU8J2,윤서준,8000004,212947,41,29
