,tag,name,badgeId,trophies,rank,memberCount
0,#8LPQ9RCP,Jungle stupide,8000013,798039,1,27
1,#29YQRYCCY,Клуб:  #29YQRYCCY,8000023,740031,2,30
2,#28CPJ80VU,pizzaioloak,8000011,622846,3,24
3,#29R2GG2QR,AK-E Sports,8000023,607720,4,30
4,#29Y09PRQ2,Лига😎,8000041,576828,5,30
5,#2GPGRUY0Q,лутшие,8000026,558519,6,30
6,#2YCGL8YC,HARD SMOOTHIES,8000055,427233,7,30
7,#2YLVVCV08,The Last Sound,8000000,345156,8,10
8,#2C88CGUCL,MRMCLOVIN,8000046,328199,9,28
9,#280G0RQPR,Cancelo Best,8000001,297944,10,30
10,#29QJ8VULQ,мини игры,8000029,281386,11,30
11,#2C98Q0RUQ,TiToYEye,8000041,273178,12,15
12,#28VPC28QP,KING|ELITE💎,8000059,261919,13,13
13,#QGL9R9LV,мясо,8000047,246645,14,26
14,#28UQQUJP2,SPARTAK,8000007,243594,15,30
15,#2C9Y0PGQ8,판타스틱한 한사랑 산악회,8000004,230978,16,18
16,#2L2RG0Q28,БРАТЕЕВО М,8000059,206639,17,27
17,#90LJL90Y,ANO PELOSO,8000028,199648,18,24
18,#2LLYQRRLG,ALFAPHOENIX,8000021,194244,19,22
19,#2GP9U8G29,김밥천국,8000034,191240,20,22
20,#URCVV8GG,охотники на лег,8000019,189343,21,22
21,#2QY0VJ2RC,ZimAzlk,8000056,188729,22,27
22,#220YRQGGG,🔥ЛОЛИКС🔥,8000049,186706,23,10
23,#2P9QQQPC9,я мигор,8000049,186447,24,30
24,#20JVY989P,🤖ROBO-MIKE🤖,8000025,185179,25,19
25,#J2YR0CQR,максималочка,8000013,183075,26,29
26,#2Q28QU2V2,Гей клуб🧔🏿,8000057,182834,27,13
27,#29RVC8QGL,гансеры,8000057,181354,28,12
28,#C0P8URQG,ONE|SCORPION,8000024,177835,29,29
29,#9PRG8GU8,паркур мастер,8000034,176023,30,15
30,#J8QRJ89P,Los proasos,8000004,175314,31,24
31,#2GY8RCGG9,fazegshert,8000013,171095,32,30
32,#JY9JU9JR,foot football,8000020,162714,33,29
33,#2JRUVCQ9J,|<RMA>|,8000021,160440,34,22
34,#2P2LR2J,winner,8000022,159867,35,30
35,#2CG2VLUL8,Cuguli Totoro,8000053,152365,36,21
36,#G9PYLP29,BULUK BULUK,8000023,149190,37,14
37,#29CV9PU8Q,ержанты,8000029,146601,38,27
38,#QU9JGYUY,csöcskalács,8000037,145028,39,16
39,#9GJQGRVV,(TR)Türkiye!!!,8000029,144112,40,28
40,#28L82UP2Q,ScarFace,8000023,143220,41,21
41,#209920VU9,⚡BORN⚡,8000010,137856,42,27
42,#LGLPJC2,MG911,8000029,137362,43,29
43,#LU0LU8RY,Brawl Клуб,8000059,135942,44,12
44,#JLRUPYPG,TEAM STARS,8000018,133472,45,13
45,#J2YJQCLU,данил8745,8000022,133292,46,29
46,#2CGG8YPVC,광철초,8000047,132734,47,24
47,#ULPUC980,🍭КАРАМЕЛЬКА🍭,8000028,131992,48,18
48,#QC29LQ80,[БАН]РОБЗИ,8000004,130295,49,30
49,#20J2LQJJQ,SEMPRE 5A,8000018,129416,50,25
50,#2QU2GVGUL,랭단,8000057,129316,51,27
51,#2LGLVP02L,태스건민이들,8000006,127428,52,19
52,#2P9VGY9R2,TR B,8000012,127160,53,28
53,#2R0C2GV8Y,🍭КАРАМЕЛЬКА🍭,8000028,126868,54,20
54,#2GGJU8R9C,CEMAL1,8000037,126861,55,30
55,#C9P8GVRP,GG,8000011,125546,56,24
56,#2P0R99J8R,пдыдт,8000007,121298,57,24
57,#8UG0YVRV,DARKNETBRAWL,8000005,119405,58,27
58,#29PQPUYVU,bs Дичь,8000049,118326,59,30
59,#29CUC9GYG,바보들 모여라,8000058,114597,60,17
60,#QV2URL8,GODZİLLA,8000037,113267,61,24
61,#2YPCJVUVV,Qwerty’s team,8000050,112536,62,8
62,#29RQUY9J9,SK|SikhLa,8000046,112429,63,9
63,#282U892YY,candy choco pie,8000027,111194,64,23
64,#2GLLYUPY8,олб12345,8000036,110621,65,29
65,#URQULRVC,MEHMET VE EREN,8000029,108263,66,29
66,#QY0822VQ,🍹|FAMILY|🍀🌺,8000048,107515,67,4
67,#29CVVVVYY,эдд,8000022,106361,68,15
68,#GUUVQGJP,스파이크 도훈,8000013,105456,69,28
69,#RVJG08J9,[MMC]CLUB,8000001,105183,70,29
70,#GLYUV02R,леон рон,8000005,103323,71,26
71,#8P9Y0P2G,Team Difool,8000029,103273,72,26
72,#JYPRGL8,Pro Legends,8000019,102849,73,29
