,tag,name,badgeId,trophies,rank,memberCount
0,#28VR8VQ20,YGF |DARKNES,8000016,1827595,1,9
1,#2PUYJQY8U,JS×HP,8000029,1220510,2,1
2,#2PQ9V8YC,The Wild,8000013,874656,3,30
3,#CCCC0RCL,;-; amigos ;-;,8000025,846536,4,4
4,#LP29YPQ0,CZOŁG🍒🍑,8000029,791726,5,30
5,#2299U89V8,RO PRO,8000057,678969,6,30
6,#YJYQUVU9,@Skull_Ticklers,8000050,646796,7,30
7,#29PQ0R8G8,LOS MACHOS,8000049,581903,8,30
8,#R82JYV0J,GO2DAMOON,8000016,573946,9,30
9,#2JGUCPL2,Umbrella,8000006,568365,10,28
10,#200Q8RU8J,🇰🇿KZ•TEAM🖤,8000029,550075,11,2
11,#2YR828LG0,GIZEMLI PRENSYT,8000023,548437,12,2
12,#2GP929P8Y,판다⭐️,8000000,516269,13,30
13,#GVJU2C8L,AUTO5 CLUB,8000013,435302,14,30
14,#V8RPGRYL,Korzhik GG,8000049,416923,15,27
15,#2RRRRVYU8,Sigma Bar Hat,8000004,413965,16,30
16,#L8VRUY8,Brawl Beasts,8000012,412230,17,30
17,#JLYLJPRJ,Clube da china,8000006,404151,18,30
18,#29J2CC82P,ÄhmDings,8000046,390412,19,26
19,#JCYVG0YJ,aHeaD's Hub,8000029,357736,20,28
20,#2GQ8JR9G,BERENJENASALVJE,8000017,355062,21,30
21,#28CJ200R9,1B Fowi,8000041,342287,22,21
22,#L0JYYRJ8,etömbombasi,8000035,315493,23,26
23,#2QUYLVGY9,KO組,8000036,315438,24,24
24,#CVR0LP22,рсота,8000021,305783,25,18
25,#2JLP8PR8G,いき下手,8000058,301350,26,23
26,#L8P0C09C,Kotak,8000059,299683,27,15
27,#PRULRGL2,kontakt power,8000017,288614,28,28
28,#292QPYYRJ,колтуны рустама,8000059,282176,29,30
29,#9882LLLU,目指せ最強クラブ,8000035,282019,30,27
30,#VV2JYVPP,chałupy,8000029,278867,31,30
31,#VLJ0LQCU,🔥braze🔥,8000037,277926,32,12
32,#22QQU9QLC,8+8=3,8000019,276978,33,29
33,#28GJLCCCY,санина,8000034,266658,34,30
34,#LUL8P20V,şiki şiki baba,8000023,266165,35,29
35,#2PCQPJCY9,dominators,8000006,253231,36,21
36,#VRL2VQYY,C&N Gaming YT,8000006,250339,37,19
37,#299L8PPG,ESG CLAN,8000004,248484,38,29
38,#VRQCU8LG,ШДШЕРЫ,8000025,239947,39,16
39,#2LRP8RPJU,BS Gamer,8000045,237429,40,27
40,#2JRRYJQ0R,APOLO💙🖤💙,8000032,234556,41,20
41,#JG9RLPV,Cavani,8000004,234343,42,28
42,#2RGVG90R8,Deadly Squad🐣,8000018,234003,43,10
