,tag,name,badgeId,trophies,rank,memberCount
0,#280YGC2RC,Trust Alliance,8000019,1090816,1,30
1,#8CVRCQ28,Raptlantis,8000018,858513,2,25
2,#2QYUCVL98,Adult League 5,8000050,774146,3,30
3,#LV9CP88L,OMG|CLUB,8000036,618601,4,29
4,#QJ082P9R,Team KSA,8000005,616949,5,29
5,#2CRRR99Q2,good mans,8000029,595284,6,30
6,#RG8Y00R,PingPong Table,8000004,564441,7,30
7,#2JUV2QPGR,s4ntana s3ason,8000023,521649,8,26
8,#2R0YUJ8U9,احرار ارشاف,8000056,485652,9,28
9,#VLPPRJ8V,Der Nita Boss,8000023,414220,10,27
10,#2GP29QJPU,Crawli Team,8000053,394286,11,18
11,#2JYLY2RJU,OLDBLOOD 2,8000023,382773,12,18
12,#2G8V08CY8,BestBoys YT,8000059,342223,13,16
13,#2RCJVVCGY,АБАБУСЫ,8000037,329421,14,25
14,#2GQLP2CCY,napimci agalar,8000003,315170,15,23
15,#2QJVRURC0,PROsolennыe,8000013,302225,16,13
16,#QRVUCLCQ,I WINNERS,8000029,288217,17,24
17,#CVVG8JYJ,Lazzy geim,8000055,283746,18,30
18,#20P8CY2Y0,3км за котлетой,8000017,281744,19,16
19,#20Y8809U8,Смена-2 2009⚽️,8000033,270911,20,16
20,#G2GCJ2G,Babas et Roro,8000009,262922,21,17
21,#YC8VVCGU,Друзья,8000007,257977,22,28
22,#28GQ0YVQ8,Burgrieden,8000049,251147,23,30
23,#2PG9RGP0G,аруум,8000006,245809,24,30
24,#28J0V2Y9R,х-х,8000037,244337,25,30
25,#2RPU8YPP8,전설 있는 사람만 와,8000003,235758,26,30
26,#290R2JPQY,TXS|team,8000045,234573,27,14
27,#2QU08PYV9,בן לולו,8000043,229706,28,30
28,#220PQ998V,03451,8000059,213622,29,26
29,#CRL0UVRY,Тарзан,8000038,211623,30,28
30,#V8L2YJRR,кольт лошпек,8000014,211278,31,9
31,#2RJC8CU9Y,Skar4ik squad,8000059,206969,32,30
32,#V8G2CQV8,We ArE BeSt,8000057,204196,33,22
33,#P8G9QYR,트와이스,8000010,201598,34,30
34,#LP28P8UJ,МИНИ ИГРЫ,8000055,200486,35,16
35,#2LUVCVCP0,кукуруза,8000009,198249,36,14
36,#22GRYPGLQ,DarkDragons,8000039,194550,37,13
37,#28820Y029,İNFAZ TİMİ,8000048,190261,38,27
38,#29P0PU88Y,Ксай,8000016,187043,39,30
39,#22RVQV8JJ,k40...,8000027,179006,40,24
