,tag,name,badgeId,trophies,rank,memberCount
0,#2CGV08CYQ,Ranks Farmer,8000029,932547,1,30
1,#2QUCGG88G,SOLAR BEARS,8000059,895253,2,27
2,#29GQ2VR8U,I BOSS ITALIANI,8000005,879465,3,29
3,#G9LQ9U,Italia_pro,8000037,824204,4,30
4,#2CPQGPR8G,LOS MNJ,8000037,717459,5,30
5,#20VCRYCJ8,Feudo 2,8000019,650392,6,30
6,#28JQ800L2,Stars⭐,8000014,575569,7,30
7,#2G2Y2UPCV,KiDY OBOZOWE.PL,8000019,568088,8,30
8,#29LP9L02Q,🌋Vesuvio 🌋,8000034,561241,9,30
9,#2GPYL89JY,Team CR7,8000037,561011,10,30
10,#2G2LCYRLU,Клуб:  #2G2LCYRLU,8000038,557101,11,29
11,#2QPV9VVU8,il mio club,8000057,522189,12,30
12,#2Y020LVQP,il KEBAB,8000037,492216,13,29
13,#UQQCYJP8,НОРМАЛЬНЫЕ ЛЮДИ,8000057,483405,14,28
14,#2GP220YYP,eierbammel,8000059,447595,15,30
15,#L08VQ9,sas club,8000005,440742,16,30
16,#28QJP9P82,Skillovichki,8000043,432099,17,19
17,#28CCRU0RR,ВиСиЛуХа,8000029,424617,18,30
18,#2JUGGLP8C,grittifricio,8000009,424434,19,22
19,#2RU9LQC22,porco del prete,8000034,407685,20,23
20,#2Y8UCCCRQ,Dream Team,8000029,383208,21,29
21,#GV92JY8Y,les morts,8000033,382433,22,21
22,#VRVY0PJC,СБ,8000043,381426,23,23
23,#2GYR08VRC,İCARDİİ,8000025,370699,24,24
24,#2JC0U9GP,TossicH Band☣️,8000016,349850,25,23
25,#2J0LRPYRP,Ndattoscrrr,8000055,347087,26,28
26,#2G880GJQP,תחנה מרכזית,8000051,346844,27,4
27,#29G8U98LV,IL CLUB DEI BRO,8000008,340710,28,30
28,#GVRRGPR9,Autism,8000018,339684,29,30
29,#2JJ2RJ8LU,pattylove,8000010,330049,30,30
30,#29GG80PQ9,сигмы everyday,8000025,322661,31,30
31,#2RJCQPP08,AVVOFATTO4LIFE,8000037,318386,32,30
32,#28LURQGL9,TIGER,8000029,307553,33,28
33,#22RC99U9Y,ABA BOYS,8000003,296911,34,25
34,#Q9CP02Y,ICANGURI,8000003,296860,35,25
35,#2GQVP9QR,FehlerSuche,8000029,294905,36,24
36,#VUR2CJP,ConQuer Team,8000016,285883,37,22
37,#UCJJLRUJ,NX LEGGENDE,8000029,283280,38,18
38,#22U0RY0QJ,🌟BizimAgalar🌟,8000032,281737,39,30
39,#2JYRCP0YJ,PSborgo,8000059,275851,40,29
40,#2CPLQ0J9L,SuPrEmE,8000018,274399,41,30
41,#J09CPY20,Hodenkrebs 2,8000034,271001,42,30
42,#U0RLGQ,BJT T1,8000002,265325,43,15
43,#2LC8RY92P,AFinox,8000055,258377,44,30
44,#28JP0G90R,туалет шрека,8000043,256926,45,30
45,#Q00CLC98,Mortis Enjoyerz,8000025,255162,46,29
46,#UGV2LRQY,DIEGO LEO ALE,8000029,253470,47,30
47,#RPGYYG,desert raider,8000004,251043,48,30
48,#28J9LGCQ8,Aceto di ferro,8000026,250569,49,30
49,#Y8LGL8QL,BRA CLUB,8000013,236714,50,30
50,#2CJQJ89RV,Agalar9,8000029,235591,51,21
51,#90C2V0GR,Esenpene,8000017,229870,52,29
52,#29GRLLLQJ,Randoms,8000057,229669,53,29
53,#QRPPCVVR,i tik toker,8000058,228752,54,17
54,#29U2JRRU0,Друзья АСЫЛ ТАУ,8000021,228626,55,29
55,#JJLJVVLR,SAQ| OFFICIAL_,8000023,226897,56,11
56,#V2Y9GCRU,SM2,8000025,224658,57,10
57,#2C8U20PQQ,ASD Ponderano,8000037,221276,58,11
58,#JY98RQPC,галовастик,8000023,214356,59,27
59,#20ULCPLCV,Zio pinguino,8000001,210567,60,30
60,#2YV2VPGJU,Die Gamer gang,8000003,203116,61,18
61,#VGQ9JY98,MegaClub,8000029,196252,62,23
62,#C88LV8L,Moschitòs,8000024,195495,63,22
63,#8L2YLLQG,vale cesare,8000029,194084,64,30
64,#V0RQQJJL,waysers butnice,8000053,193762,65,24
65,#UC00JQVR,the fishy,8000013,192982,66,21
66,#2C0VQUR99,GOST RIDER09,8000057,191933,67,30
67,#CLP92L0P,BRAWL DIE,8000027,190676,68,29
68,#2J09LJUCL,Shark_YT,8000034,189493,69,23
69,#22CJ9CG2,Quelli di Brawl,8000019,185269,70,13
70,#QP2JCJRU,le drip,8000037,183610,71,29
71,#RRQ0U0RY,4BForever,8000018,180104,72,24
72,#QVCPQQ2P,Aşk♥️,8000000,178322,73,4
73,#2Q0J82CRJ,LEVADA,8000027,177137,74,30
74,#2YJGJ0PYV,RÓWNE GOŚCIE,8000018,177125,75,29
75,#299RYCGC0,siamo i best,8000047,176383,76,29
76,#28LP0RYUU,Vile YT,8000025,175682,77,29
77,#298L22LLU,invorniti,8000003,175557,78,30
78,#289PGRCQJ,pycha ser xd,8000047,175011,79,30
79,#28JY099UC,mare e rnt,8000004,174040,80,29
80,#2PPLRU0JR,LA GANG SUPREMA,8000009,171411,81,21
81,#2LLP2P8JL,Los amigüitos,8000013,171172,82,22
82,#2LQ2C00V9,HUKUKKOKUYORUM,8000054,169629,83,10
83,#2208U02YJ,Mrówkojad,8000058,167335,84,19
84,#2LCQ299U2,Mamall,8000018,166133,85,30
85,#28R8G0VJU,мсам,8000011,164395,86,27
86,#29LVLCGYQ,رجال طرق,8000057,163139,87,28
87,#2QU2JYGYU,<c3>D1</c>,8000009,162611,88,11
88,#8P9J08P0,affarra gemme,8000008,162198,89,28
89,#20VRYJQ0Q,isb,8000023,159289,90,30
90,#2PCLR92J9,LAIM,8000059,159206,91,13
91,#2JCQRQYV2,умвауа,8000034,158252,92,30
92,#28VJ2PP2L,HAVI/MAMA,8000015,157555,93,15
93,#2QGLJY8RC,아들컴온,8000015,157499,94,28
94,#2G09J9QY0,fantasmino,8000039,156974,95,30
95,#J80JY908,i gattini pucci,8000029,156460,96,27
96,#VJQL808C,Бесконечная уль,8000056,155724,97,9
97,#2Q8GUGYV9,AZIZ du 49150,8000043,155280,98,30
98,#209URCPYY,<c3>Proclub</c>,8000044,154849,99,29
99,#G809YCLC,Бов мастер,8000022,154601,100,14
100,#R9822LUG,the LEGEND 2.0,8000037,154457,101,16
101,#PUGPQL8Y,Pega,8000004,154354,102,28
102,#2PYV8PRR0,PETISUISES,8000056,154199,103,30
103,#2QRVGG0UL,Alcara's Clan,8000037,152175,104,6
104,#PYJ8RRRL,Juvenes12,8000024,149334,105,27
