,tag,name,badgeId,trophies,rank,memberCount
0,#Q9JY9C8U,Tribe Tropical,8000013,828380,1,30
1,#2RLQJPPL0,xkorvi,8000015,683492,2,28
2,#2G9YURVVU,PRO SZPIKULCE!,8000053,675997,3,30
3,#2JVVPVL9R,Carbajal Jr's,8000040,643060,4,30
4,#G88PVG2Q,OS MELHØRES☆,8000049,584581,5,23
5,#2JP8002GU,<c6>Purple</c>,8000011,569669,6,30
6,#2GR00GLQG,Defensas de Oro,8000028,519377,7,28
7,#UQ2YCCVC,Ehren Brüder,8000029,510353,8,29
8,#P8VC0C0Q,furioso,8000003,506142,9,28
9,#VJL8LG9Q,Marco Family,8000021,505174,10,4
10,#GU9UL2V,Nederland,8000029,499661,11,2
11,#QQJR8028,Dios vive,8000033,485547,12,30
12,#2G2VL8QPL,茜珊寶寶,8000057,462346,13,26
13,#2L0J8CP9R,Путь команды,8000008,462272,14,30
14,#29C2JL8GR,JOLIX,8000037,427930,15,29
15,#PJCJJ082,X-Force Gaming,8000026,414540,16,27
16,#C998RYVC,🍞ХЛЕБ🍞,8000047,404869,17,20
17,#Y9RU8G8,Для лахов,8000025,376530,18,22
18,#8P0Q2JY9,bbrx squad,8000057,372458,19,27
19,#UCPYCPGJ,Rpx16035,8000004,355510,20,18
20,#20CGL2YL,comunims,8000013,346569,21,25
21,#VVPYJRQV,EliTe|BrawLers✨,8000000,342645,22,30
22,#2GPGJR28R,VirtusPro,8000059,339117,23,27
23,#2JU88P0PG,The Brawl Bros,8000013,336872,24,30
24,#2QRLY9VCY,NightMare,8000039,322621,25,18
25,#VQ08RYL,mecatronicos,8000009,320503,26,24
26,#2C9UJYJQP,⚡️,8000007,303336,27,29
27,#Q0RLLLLG,양근이와 당파들,8000004,298509,28,26
28,#YVY0VVU0,[T|Ü|R|K|L|E|R],8000006,289222,29,15
29,#2LYUYR99Y,pt otakus,8000037,277337,30,18
30,#290URG208,Sheat man?Gravi,8000055,276140,31,17
31,#2YUGQ89LV,пипупу,8000031,268179,32,24
32,#90P9URQ8,Magyarok klubja,8000048,262046,33,19
33,#2G2Y2CPQ8,alfredo,8000055,260508,34,30
34,#2C90JJV00,6b,8000047,259515,35,16
35,#2YR9CUVLG,サンセットカラス,8000041,254908,36,29
36,#L0C9V,べちょみのたまきん,8000012,248145,37,28
37,#U00P2V2L,Crazy Tashers,8000023,245516,38,15
38,#QP98QLP9,👑KORKUSUZLAR👑,8000059,244722,39,24
39,#2LVJL28QL,les BOSSES,8000029,243092,40,20
40,#28UY9GGC0,オマンマンズ,8000038,238347,41,24
41,#R08CRCPR,✡DARK⚡G☯️DS✡,8000037,237012,42,15
42,#PYVQQJYG,((ПОКО РЕДКИЙ)),8000012,234834,43,30
43,#RQC2YYU2,дрявый носок,8000024,233582,44,28
44,#UU0CUURV,АКАЦУКИ,8000059,230381,45,30
45,#88LVYUVG,sevgili,8000009,226709,46,30
46,#YPYCPULV,Bizim uşaklar,8000005,223674,47,30
47,#29L2CC82R,HED,8000032,222966,48,26
48,#2GQUVG2G0,дед инсайды,8000004,221326,49,13
49,#GR2C8CQ2,scomikaso,8000006,216288,50,13
50,#22G28GGCJ,:.,8000023,214131,51,13
51,#Q8JVPPC8,kesaq,8000006,212976,52,30
52,#G0G99CYR,Z3N SQUAD,8000004,211428,53,30
53,#QYJP8CGU,Os melhores,8000033,209059,54,30
54,#292CURRJP,Hexagon,8000023,208658,55,14
55,#2GRQ88LGV,Wawa |Brawl,8000039,208183,56,27
56,#9JQRUUJQ,2 PRO KANKA1224,8000051,204785,57,28
57,#2QUGU22PU,Sv|Pushifrudo🐍,8000043,201968,58,11
58,#CV0LCLLV,BRAWL BOYS,8000027,200771,59,29
59,#JC2VYCU,C4MP-_-CLAN,8000041,200692,60,29
60,#2YY20VLGV,slush gang,8000025,200378,61,20
61,#22PJ8UR90,Wave | SNIPER,8000023,199755,62,16
62,#UQGJ2V0R,ERKA SPORTS,8000023,197547,63,30
63,#2JR89LC82,Re-FlexBack♡,8000007,197480,64,10
64,#2C82JCUQJ,⚡️(Raimbow)🌈💫,8000007,197291,65,8
65,#28GGQ9PLP,MERCY | KG,8000006,196521,66,22
66,#2GYQPLPG,Er Ma Gad,8000035,196053,67,29
67,#VYV8UG0G,Mr. P Fanclub,8000001,194878,68,28
68,#2PURL0QQC,foxynvy-game,8000059,190712,69,30
69,#2022JYJ0,DANIELISAFROOT,8000009,190179,70,26
70,#2QJ0CGC8G,LIL'ы,8000059,189921,71,9
71,#2JLLL09JG,AMIN,8000059,189060,72,17
72,#2JG8LYG9Y,FunPay,8000029,188855,73,10
73,#GPR8L9GR,los mancos,8000057,188101,74,27
74,#2808VCQ,Canadian Eh! v2,8000025,187073,75,21
75,#C0V2VQLR,FORREAL,8000009,186908,76,14
76,#L0UPJ2YL,gamers play evo,8000014,185331,77,28
77,#2LRGLPQ8U,호신아,8000011,182626,78,29
78,#29CY98GCQ,DropiX🚀,8000007,182016,79,27
79,#29LRVCGYP,Bay of Bengal,8000057,181898,80,8
80,#2GC9RQCCG,An ALL🦸‍♂️,8000059,180410,81,9
81,#GJYPYG9Q,kocurki wiki,8000029,177287,82,30
82,#20QL2JCQ0,CM| JIBLETS,8000014,176918,83,30
83,#282L0CL0L,i pro,8000017,171287,84,30
84,#2JL0RPR99,STEFANUKE,8000057,167591,85,8
85,#UQ2RQ9J0,DONT LOOK AT ME,8000027,165816,86,9
86,#J88L8000,Moffel,8000021,164666,87,15
87,#RY2YV0VL,イキイキした毎日,8000051,162383,88,9
88,#VULGL2V0,ŞANSLI,8000018,161945,89,28
89,#RV9GRGJC,😁😁😁😁,8000018,161122,90,21
90,#928JP02R,KING of LEGEND,8000021,160472,91,30
91,#CL9JRVLJ,Демидовы,8000037,160322,92,13
92,#LVYLQ000,ЯВЫР,8000029,158602,93,14
93,#2PC989JVG,Октаграмма,8000037,158210,94,29
94,#QJCCG8RP,пем 123456789,8000036,156717,95,29
95,#2R02RVQQ2,Clube Osisi,8000052,156432,96,8
96,#2PRGLGUG8,gb+ss and folks,8000031,152185,97,30
97,#29JVP88GP,198maktab,8000021,149573,98,13
98,#YGJRUC9P,гробики,8000000,148739,99,29
99,#LCR0QU9P,torneo KoniK,8000020,148131,100,28
100,#9QR9L0QU,Братва Бравл,8000017,146332,101,29
101,#J9RJJCP8,BRAWL_HAUSE777,8000028,145586,102,19
102,#89GP0082,VL22green,8000057,144726,103,6
103,#222Y9RLCR,САНЁЧЕК_YT,8000018,144103,104,28
104,#LYGV02PU,Darki.tjk,8000000,144046,105,9
105,#299LCYP9G,electrisidad,8000000,143755,106,30
106,#2JLGQJJPQ,попокопопо,8000018,143159,107,10
107,#2R0PQ8P2R,shadow squadron,8000059,142421,108,9
108,#VCR0C8GQ,кокоронат,8000017,140970,109,20
109,#QPYU0JVC,Specki der Wal,8000009,140713,110,21
110,#2JRVG90VR,CAN ARKADAŞLAR,8000055,140608,111,30
111,#UPV0Q829,YOU PANDA CROW,8000029,137711,112,27
112,#RP0R2LCQ,من من,8000006,135774,113,30
113,#QLP28CCY,STARS 2.0,8000003,135345,114,21
114,#CY9YLCU8,Great War,8000007,131178,115,30
115,#29Y9GC0PU,toutou club,8000016,130228,116,30
116,#282RJCJVR,😎KANKALAR😎,8000007,130221,117,3
117,#2GQ0C222R,수민이쓰레기,8000047,129983,118,30
118,#2LQVQ92J8,LegoFlow,8000040,129291,119,9
119,#22YUL0PQP,the batman,8000007,126806,120,20
120,#R2CYYQG2,BEŞİKTAŞ 1903,8000029,126601,121,16
121,#28L9G2L8R,עציון,8000055,124827,122,16
122,#28URY8PYC,los primos,8000004,123518,123,26
123,#QQUYLGJV,EF DA EM NE,8000040,123392,124,17
124,#QCJL8RQP,europe🇪🇺,8000055,121192,125,29
125,#82GJQ088,ForeverAllone,8000017,121103,126,30
126,#LLGGR9PR,Ghost Rider,8000011,120983,127,26
127,#20Q8JJL9Y,🎮_Team_BS_🎮,8000059,120408,128,5
128,#290PRR2Y8,Dragon,8000039,119302,129,30
129,#299J2UPY0,2+3=9,8000016,118290,130,27
130,#2PRJ0JGVY,полупоперы,8000041,118164,131,7
131,#2GGR8RQ9P,🐞ELİF🇹🇷EMİR,8000055,118063,132,17
132,#UQQ88VCG,100日後に死ぬクラブ2,8000021,117702,133,26
133,#QP0QJJL0,Destroyers,8000037,116876,134,5
134,#UUQC98RR,агресивний школ,8000029,115463,135,24
135,#209U92LYP,flesc,8000011,114919,136,30
136,#2CQVGV0J8,сигма эщкере,8000036,114442,137,9
137,#2G8PGLVYP,النضيف نرحب به,8000052,113616,138,29
138,#2QLLQG80J,irfanı necati,8000037,113453,139,21
139,#GLYLV0R0,алан и пук,8000008,112526,140,27
140,#222Q2CU0G,Nico Gang,8000021,111583,141,15
141,#VCGCJR29,Жас и Амир,8000057,110593,142,26
142,#2QCJ8PCC2,слава бро,8000031,110271,143,29
143,#UQJY8PVV,аджарагуджууу,8000028,109438,144,30
144,#YPUQGLYY,ггггссс,8000029,109266,145,27
145,#2RGUULV0P,Велизар и Кенан,8000045,108930,146,30
146,#20JU8QY28,Tr[SQLLS]☠️,8000007,108715,147,16
147,#2Y8LRQYQ0,ТОПЧИКИ228,8000055,108713,148,6
148,#2YJC9G0GP,дусьман,8000007,108342,149,25
149,#2G8YYVUYP,team cuprien,8000055,107842,150,28
150,#JYR2L9PL,الدمار ٥٥٥,8000029,107046,151,28
151,#V828UQ2L,В Пуш 30К,8000006,106716,152,29
152,#LY0VRUQ2,M4sterbu5h,8000056,106532,153,28
153,#U020JCJJ,sevgi,8000010,105469,154,30
154,#2Y2YYUCRG,NIKIL TYI|YT,8000007,105433,155,23
155,#2QL020R2G,Monster,8000050,105115,156,24
156,#220LLC9UL,DragonSlayers,8000036,103855,157,13
157,#2JVLGR800,Диз гуны😈🫡,8000035,103616,158,7
158,#9L28PLJ8,『ES』TeAm,8000021,103271,159,10
159,#2RPVLPLY9,küfür edenler,8000034,103209,160,27
160,#20V2G8V2P,NAPİM,8000057,102758,161,30
161,#2YC22YJJU,Augsburger Gang,8000013,102428,162,25
162,#2LJQ8YGJL,tzt easy,8000025,102310,163,9
163,#2GPLRUPRU,5d Sp81,8000037,102113,164,17
164,#2L8G9PGLQ,ХК Рязань,8000027,102060,165,11
165,#VYY8PJYY,MAYDN,8000035,101973,166,30
166,#JVQUV8G,Zia Anza,8000023,100685,167,25
167,#GL0YUVUR,Go|Friends|Stɑr,8000023,100447,168,30
168,#CGGP28L,los cerinos,8000037,99811,169,14
169,#2Q9LVCCQP,Dark Presents👾,8000033,99718,170,4
170,#2C908YR8C,RivaDied,8000006,99206,171,10
171,#V92GLV89,modatul,8000008,97994,172,30
172,#200ULRPC9,Лузерхуй,8000006,97610,173,28
173,#2LRGQCGYY,Sus Gang,8000051,97271,174,11
174,#R8C8PPQ2,Алкаши,8000021,97140,175,28
175,#2229QJV8Y,ertürt:keskin,8000029,96509,176,30
176,#2QR8YU9YJ,TÜRKLER,8000023,96429,177,27
177,#GPL0UJRP,Banda_Finrela,8000004,95151,178,28
178,#2CRVL8PY,Porto do Son,8000029,93602,179,8
179,#RGUVV28V,159156,8000025,91970,180,30
180,#22YG8Q02J,125андрей,8000029,91100,181,14
181,#2JYPJ9UYL,ATMACA,8000057,90846,182,3
182,#2LV98GPP8,негер,8000057,90529,183,12
183,#2GLYUJ8U0,Бебра,8000022,90171,184,11
184,#80V9G8PG,🍅ПОМИДОРЧИКИ🍅,8000037,89650,185,27
185,#JYQQ2Q8Y,Finrel_off,8000004,89473,186,6
186,#2GQJUG8GC,Пузата Хата,8000046,88866,187,5
187,#2RP9Q20VR,Mad Lads,8000029,86980,188,17
188,#2JL2VYYQJ,Ukraine_Brawl,8000051,86879,189,5
189,#VY2VLJU2,nikitahh9,8000005,83827,190,28
190,#Q8PCCLQL,🥔|Club papa,8000037,83145,191,12
191,#8RPQPR80,كفوك القبه1😎😎,8000029,82462,192,29
192,#2JLGGY982,Тосва,8000055,82201,193,11
193,#URCUQC09,BALIKLI ŞAKİZE,8000027,81822,194,20
194,#VGQ8J2L0,Häcker_21,8000000,80602,195,28
195,#2PP02Y928,нип,8000023,80194,196,10
196,#2PPRULV8G,aardbollen xxl,8000013,80172,197,11
197,#90P9Y2JP,EF|Eternal Fire,8000039,79982,198,7
198,#90YYRYC2,Звёзды,8000018,79968,199,8
199,#2GVYRGLR2,Мишк Фрд,8000039,79176,200,7
