,tag,name,badgeId,trophies,rank,memberCount
0,#2YVQYG028,OG Mute,8000003,1880465,1,28
1,#2G2PCPGCP,<c5>OG Mute</c>,8000053,1777228,2,30
2,#URVY0CUQ,weird gamers,8000027,1754767,3,30
3,#2JR9LQCYL,D_FOX,8000055,1689448,4,29
4,#2YJV02QC0,THE NEW RULERS,8000037,1572423,5,29
5,#29CJV8CQG,Payzen looks up,8000001,1568216,6,29
6,#28C92GUCQ,d_fox,8000055,1514623,7,29
7,#2CRRJYP8P,Gg|My Clan🥀🖤,8000011,1506481,8,29
8,#2JQ00CU9P,Skills4Life,8000002,1446926,9,30
9,#29PJRPRG8,<c9>Dragon</c>✨,8000023,1445895,10,30
10,#QRRLGVQ8,Blazing Light⚡️,8000003,1442665,11,28
11,#2RGPV8J89,arab kings,8000057,1427986,12,29
12,#2Y2VQJVYQ,الصقور,8000036,1419166,13,30
13,#2J9829YGV,The rise,8000037,1408793,14,30
14,#YY09G2C,F.S.T,8000027,1360564,15,30
15,#2CGV9PR9C,Reality,8000055,1357776,16,30
16,#2C0V0J29Q,‏☬_❂𝒯❂ℛ𝒩𝒜𝒟✰,8000029,1347855,17,29
17,#29JU9V9VQ,Max is gone,8000027,1339400,18,27
18,#LV9PYPY,Arab Legacy,8000021,1320438,19,30
19,#2RGLL8YCP,[DMR~TOB>,8000004,1298621,20,29
20,#2RRVYVRL9,العزبه,8000007,1292869,21,30
21,#2JP9YCRY0,A FEW GOOD OPs,8000053,1287448,22,30
22,#2UCQULYL,فرسان السعوديه,8000027,1274774,23,30
23,#2L8G9JVP0,『Arab』LEGENDS,8000029,1272929,24,30
24,#2RVG80G00,YT:STORY,8000046,1269209,25,30
25,#2JVU90P09,YT:RW KING❤️‍🔥,8000037,1253171,26,30
26,#2GGP29U88,Spéconda|🐉,8000027,1244389,27,30
27,#2C0PLY020,The Musketeers,8000023,1244016,28,30
28,#VV9UPQV2,🔥FIRE🔥TEAM🔥,8000037,1233979,29,30
29,#2929JRPRR,🔥TEAM 7ARQ🔥,8000037,1210085,30,30
30,#29JUGPG2,KILLERS CLOWNS,8000029,1207721,31,30
31,#QLPG2GPJ,Ace❦𝓜𝓲𝓼𝓼⋆,8000010,1201518,32,29
32,#2GV828Q8V,L.O.A,8000005,1189948,33,30
33,#2P8JVRC2Y,محترفين براول,8000049,1182117,34,30
34,#2QC02JC88,TEAM GHOST,8000057,1177429,35,30
35,#2GUV2UQC2,L.O.A II,8000030,1177150,36,30
36,#2RGL8LGV9,F.B.I,8000041,1168472,37,30
37,#2GQJ9PGL9,RAX,8000055,1168278,38,29
38,#YURJUUY8,أساطير العرب,8000027,1161117,39,30
39,#2RPUQU9U2,مسعري الحروب♙♟,8000021,1160020,40,30
40,#29CVY89QR,🎖️STAR|PARK⭐,8000029,1157838,41,29
41,#29LPCVGQJ,ToMaN |あ,8000059,1148854,42,27
42,#2JYYCP8YC,⛵the pirates⚓,8000039,1142382,43,30
43,#2QYP9PQLY,SAUDI BRAWLERS,8000027,1141865,44,30
44,#2CC2V0YPR,Max is gone II,8000025,1139171,45,28
45,#2G02CVYYU,sun💛✨.,8000055,1138691,46,30
46,#2JVUPV88C,TE|Team,8000039,1137795,47,29
47,#2C90QLY9P,Soul Reapers,8000008,1133187,48,29
48,#2CRCGPVYU,SA🦇|NR*,8000055,1129505,49,30
49,#22RUQ2UGV,🖤DEMONSヅ,8000023,1125199,50,28
50,#29R9GL8LY,🦋🌝,8000037,1116194,51,30
51,#28YCYY909,black over,8000037,1113739,52,29
52,#2QJLYJ0YP,🦁اسود براول🦁,8000029,1108237,53,30
53,#PJ0JC8J0,A.K.A,8000055,1107175,54,29
54,#28YYLV9G8,ثيران السوداء,8000037,1101379,55,30
55,#8GGQQCC,jeddah,8000029,1097984,56,30
56,#R0Q9QCVC,sabo G,8000021,1096994,57,29
57,#29Y0J8P9R,<c4>Spa</c>ce🪐,8000002,1095384,58,28
58,#2J8GV0URY,the king EY,8000029,1095305,59,29
59,#2CL0CYPUL,تحدي الملوك(👑),8000023,1094182,60,27
60,#2G99L88YV,coffee skrh 2✨,8000010,1091435,61,29
61,#202988UGY,Fire of power🔥,8000029,1090704,62,30
62,#208J0YG88,AAA,8000027,1088673,63,30
63,#29RQYGRPC,『𝕂𝕀ℕ𝔾|𝔾_𝕆』,8000029,1086005,64,30
64,#LCLLQ9QP,💚السعودية💚,8000027,1082514,65,27
65,#2GR0QYQQ0,SY KINGS,8000029,1081409,66,30
66,#2C8YPJLC2,Just|Justice,8000000,1077531,67,30
67,#28LV9QR29,الجبابرة,8000029,1075071,68,29
68,#2L20QGC9Y,Legends Of IG,8000059,1074048,69,30
69,#2C9PR8PP0,the best👑,8000023,1073300,70,29
70,#2CGRLC0LV,𝖘𝖎𝖑𝖊𝖓𝖙❦︎,8000020,1072905,71,30
71,#29YY2C2P0,STAR-CLUB,8000014,1065606,72,29
72,#2G2PRP22Y,ابطال براول 💪,8000004,1064540,73,29
73,#L8C8Q8YY,HUNTER KILLER,8000058,1061034,74,30
74,#29Y29YPJC,KSA|Carven✨,8000027,1058598,75,30
75,#22RPJ98RY,ما يفرق,8000047,1057778,76,29
76,#29J8Y0R82,あ|𝐁𝐎S̸S̸𝐄𝐒♕,8000021,1056726,77,30
77,#29L22YC2V,تميس 🥖,8000038,1056577,78,30
78,#29R2UVU8V,<c8>L7N<c</c>🩵,8000053,1054400,79,30
79,#8800UQJ0,VIRUS,8000034,1040907,80,29
80,#2GYQURRJL,M4^␈,8000056,1039929,81,26
81,#2CPVUUJ82,SKA,8000027,1036778,82,30
82,#LPPJPRY,اتحاد سكايزر,8000007,1033720,83,29
83,#Q2UP2QRL,KS|🇸🇦,8000023,1030119,84,30
84,#2JLQ8YJ0Y,Fullmetal 114,8000023,1024995,85,30
85,#2G8CULQR0,Nø|1,8000027,1022234,86,30
86,#Q8U08VP0,GOD of WAR,8000007,1008472,87,30
87,#QJGJ2PUG,🆁🄴🆅🄴🅽🄶🤌,8000036,1004202,88,30
88,#2YJGVUL0L,بان كيك بالعسل,8000037,1001865,89,30
89,#2RYJ9JCUV,powerful heroes,8000049,1001252,90,30
90,#2UJVRQG,the heroes,8000003,999506,91,30
91,#QGCLYY9Q,اساطير ناروتو,8000037,999054,92,30
92,#QLCVCCL9,☛₭ł₦₲₴ ملوك☚,8000033,990807,93,29
93,#QJUVUJR8,Showdown & 3vs3,8000052,989613,94,24
94,#29VQPV0J9,KSA_Brawl Stars,8000027,987336,95,29
95,#QYCCC8C0,شطة☢ حاره🔥,8000049,987118,96,30
96,#2YV9G9QCR,<c0>Dark</c>Age,8000001,985291,97,30
97,#29JUG8VUY,🪄𝒮ℋℛ🎩,8000037,982570,98,30
98,#20VC0Y82P,The legends,8000023,979306,99,29
99,#29YG8U822,KKD|BOOOM💣,8000034,979161,100,30
100,#29J2PC8R9,Girls World 💕,8000010,978777,101,30
101,#YLYG0RU,العمالقة,8000023,976735,102,29
102,#29U89JUY0,THE NEW BLOOD,8000018,972999,103,29
103,#2JC88C0R2,قبعة القش👒,8000004,972409,104,30
104,#2JVJPJC8J,الاقزام 🔥,8000037,972069,105,30
105,#2GY0CLCLJ,A K A T S U K I,8000007,970935,106,29
106,#2C0UCL2PY,꧁🎆𝟑𝐞𝐯𝐞👾꧂,8000039,968024,107,30
107,#2P2QGQCUV,M7MD YT,8000029,966787,108,30
108,#UVVLPJR2,Thunder,8000007,964142,109,30
109,#QGP20R8C,ICE | coffee❄️,8000055,963498,110,30
110,#Q8PGJLY2,حكمة٠٠,8000055,961833,111,30
111,#22PCL9VGC,عبقور,8000016,961277,112,30
112,#2C9UQQJ8V,𝑀𝑂𝑁𝑆𝑇𝐸𝑅ś,8000023,957972,113,30
113,#2QCYV808J,KSA ON TOP 1,8000002,957746,114,25
114,#QCP8R8P8,T.A.S,8000004,957183,115,27
115,#G02VLG,Saudi,8000033,956469,116,30
116,#2QC90V8PG,White Demons,8000027,956086,117,30
117,#JL9990RV,هلا هلا,8000023,955990,118,30
118,#280UPY88P,جيش الكفو,8000018,953503,119,30
119,#2CGGV0J22,꧁☬༒💎Sa̶d̶B∆Y💎,8000023,949428,120,30
120,#2C220LV,Dream Team,8000034,948656,121,30
121,#QRRULJVV,FRK Fang ✨,8000018,948553,122,28
122,#2C0Q22L09,Demon KSA💚,8000029,945698,123,30
123,#UVGRQLCG,الزمالك,8000023,945654,124,30
124,#2C2YG9G82,KSA🇸🇦,8000027,943065,125,30
125,#2C9JV20GU,المحنكين☕️,8000014,939357,126,29
126,#2R2P9LG8P,"<c5>Dragon</c>""",8000057,939193,127,30
127,#QRLP9PCL,Free Palestine,8000036,939097,128,30
128,#22RJ82J2Q,مملكه الظلام🖤,8000037,938238,129,30
129,#2LUPPGVJV,لوو الكوني,8000021,927982,130,30
130,#2C2QJV8CR,Gin | Team,8000034,927519,131,29
131,#29RUUUVGU,The Arabian,8000037,922849,132,30
132,#2JLLJLU8Y,اساطير ومعرقين⛩,8000023,922371,133,29
133,#Y9UYQQJ,الاشقر,8000006,921672,134,30
134,#2GQRLY989,Ghosts 👻,8000031,918607,135,30
135,#QCPYGJCC,مقهى العظماء🖤⛓,8000027,918276,136,29
136,#2CYYRGGGQ,شفيك ಠ_ಠ,8000059,916678,137,30
137,#Q2V92P0P,𝑅𝑂𝑌𝐴𝐿𝑆♕︎,8000055,914818,138,30
138,#2JC8Y0P8C,𝐇𝐮𝐧𝐭𝐞𝐫𝐬☠,8000004,913668,139,30
139,#2CPQ0L8J9,Greats | Arab,8000003,911832,140,30
140,#2L800LRL2,كرو الأسطورة👑,8000029,911012,141,30
141,#QYGCG28C,سبوكي🖤🧤,8000023,903208,142,30
142,#2CQ2Y2LY0,DUTUH INDUSTRY,8000011,903207,143,28
143,#2YY9QRJ28,EL-STARS 🌟,8000018,900919,144,30
144,#28LLPRRUU,ك؟,8000029,898468,145,29
145,#QY80U8G0,Apex legend,8000023,886819,146,30
146,#29LRQYVP9,Brawl champions,8000023,881155,147,30
