,tag,name,badgeId,trophies,rank,memberCount
0,#222CVL9YY,otaku game club,8000034,998882,1,29
1,#2R9QRRC9J,barbakoa,8000059,926539,2,30
2,#2889YR09Y,LIL MEDZZO,8000058,879189,3,30
3,#2VPY8CCQ,GÜVELİOĞLUcocuk,8000029,762997,4,30
4,#2C8VLCJUV,Сталкрафтеры,8000000,758159,5,29
5,#2PPLUVQYU,Galsen legends,8000004,709123,6,27
6,#2JRU0YJ09,OGC 2🇸🇳🇸🇳🇸,8000023,652099,7,29
7,#L8CYP20P,FND|TOP 1,8000055,651790,8,30
8,#2RYVJCPYY,One Dream,8000034,519717,9,20
9,#QPGRLURV,Les légendaires,8000049,508289,10,30
10,#2JURUCGLL,69,8000005,503618,11,30
11,#2G8CG9U2Q,⚜️corsair guild,8000029,490945,12,30
12,#2JVVYGG9L,Wonderland,8000041,488777,13,26
13,#UR2PL2JJ,мечта: топы,8000007,488353,14,30
14,#2QCU2V9C0,UWU CLUB,8000046,469946,15,30
15,#2R2QGPCLL,гей на френке,8000039,411079,16,21
16,#2C0VRL8V8,Gelişigüzel,8000039,399786,17,29
17,#Y9ULCCJR,dark club fr,8000006,391358,18,26
18,#29JLQ2RVV,TEAM|ESPORT,8000023,381283,19,23
19,#2PPJ08CQU,les Sénégalais,8000059,379986,20,30
20,#2JRLQ8GRG,Лицей Машерова,8000038,379319,21,23
21,#2JV09GQ8,TÜRKİYE ESPORTS,8000016,340923,22,29
22,#QG8JQYY9,מלכי המשחק,8000029,338661,23,30
23,#292LPJ9YV,wallid,8000032,315578,24,30
24,#GQUUUC0C,La khess,8000055,304675,25,20
25,#2J092CQ28,🏅Hydra 🏅,8000023,294880,26,16
26,#2JLY0PU2R,Valkyrie Evolve,8000029,284707,27,30
27,#L2R9UYYL,red т и м,8000023,267579,28,15
28,#UP8PUUP2,banana killers,8000019,263139,29,21
29,#8GV0999P,후기가,8000017,256479,30,29
30,#VJCLQV0V,fc. balophetdak,8000021,256177,31,28
31,#2J98QUPQY,PF|Perfect five,8000058,249606,32,12
32,#22RYC8Y02,КиБоРгИ,8000023,248319,33,26
33,#28VRU0JJ8,les best,8000029,240147,34,29
34,#VYJUYLJJ,ALGORTEÑOS,8000025,239851,35,25
35,#J29VGUQV,weraz1 team,8000009,234028,36,30
36,#Y9LR0YP,nosbotters,8000028,233740,37,15
37,#CPPP2V8V,univers one,8000058,233138,38,24
38,#2JYR0P8GC,mbambaeğimde1.,8000031,229382,39,29
39,#28VRLU9C2,😈POBEDITELI😈,8000041,224025,40,15
40,#VC2G2VVQ,●Nova I Gamers●,8000027,223830,41,20
41,#2Q200J8J8,SENEGALAIS ⚽️,8000058,222156,42,22
42,#2Y2CUUJCQ,BNYONTOP,8000017,217204,43,29
43,#2CL982C8Y,Wazza,8000058,215030,44,30
44,#28GGLG29G,A vs D,8000037,214276,45,11
45,#8PQPJYCR,pantec,8000029,207332,46,28
46,#2QL8P20YU,les tonnerres,8000019,205548,47,30
47,#C9PQCLYJ,Oyun Avcıları,8000011,205321,48,24
48,#VGUPGLGY,LEON/CROW,8000017,203861,49,29
49,#2GL02P0JU,я одинок(,8000056,201229,50,20
50,#J002R2,Hijos del EDTA,8000008,192951,51,23
51,#290J0P28,Brawler stars.C,8000034,191166,52,10
52,#RLUCLPU,Die Pupskissen,8000029,188441,53,30
53,#2CGGVC8PV,les sénégalais,8000033,183477,54,30
54,#QRJ0U8G2,team radin $,8000008,181494,55,8
55,#8RUJVU2C,ヨウスケマン,8000004,179677,56,22
56,#20RU29V2J,club ultime,8000037,179659,57,28
57,#GVV2JP2C,F.c charo,8000007,178152,58,30
58,#8QYCGC0Q,Senegalese_boy,8000000,177607,59,30
59,#QCLC8UY8,Brawl|sen,8000004,177206,60,9
60,#22CJUPJVY,senegal mafia,8000004,176319,61,30
61,#R0092GRJ,га ро гу,8000059,176006,62,16
62,#UYCU90PP,Фонари,8000014,175728,63,27
63,#29892P2VV,MUGIWARA🐐,8000029,170322,64,30
64,#28CR22CPG,Notte,8000004,166703,65,8
65,#L2JUL00G,Bff,8000008,166326,66,29
66,#VVRGPQVP,the killers,8000057,165568,67,26
67,#2CY920820,bebeler,8000038,161870,68,30
68,#YRY9CGVU,8-bit's Club,8000059,159099,69,30
69,#28UVPV8JQ,les cousins,8000016,158477,70,30
70,#2CYRGVRU8,Brawl team,8000037,158003,71,30
71,#2R98LLRG9,BC|CNDL,8000004,155412,72,15
72,#2RRQUCQ88,jojoclan,8000038,155007,73,28
73,#298JPVL8P,ligue SN-FR,8000006,153779,74,11
74,#2JRG9UR0V,SOUL_KING,8000004,153084,75,22
75,#2GYVVY29J,Điop E-Sport,8000052,152042,76,7
76,#UUYLPRJ0,KORKUSUZ AİLE 1,8000029,151859,77,20
77,#2C88GGR8R,다시 만나자,8000036,151695,78,29
78,#2RJ22Q9VC,redwolf,8000029,150767,79,27
79,#29PGQGQ0C,Реал Барса,8000049,150606,80,20
80,#2Q0VUL02J,شلة الاساطير,8000057,147932,81,22
81,#Y8G8JGCR,бравостарс,8000005,146804,82,30
82,#YJ88YQPU,Usos,8000000,146583,83,30
83,#LL9P8U82,MEGA CLUB OP,8000023,146143,84,30
84,#YJ9P22U2,L&B,8000005,145533,85,30
85,#2PV8L89Y,I TRE SPARTANI,8000004,145489,86,30
86,#UYVULJVY,SUPER KIDS,8000017,140098,87,26
87,#2LGYCUU8Q,The Méca Heroes,8000049,138409,88,30
88,#2808208V8,Doluca,8000049,136267,89,28
89,#28YRRQ922,chilling,8000021,135525,90,26
90,#2JCP2ULR9,안대원 ㅅㅊㅎ범,8000046,135318,91,23
91,#28YYY8VVJ,kel malik,8000033,133700,92,30
92,#2L2J0JUCV,GOLDENCREW,8000007,133526,93,29
93,#2CJP80GY9,Galáctico FC,8000017,133378,94,15
94,#VRVQ8QV2,CANDOSTLAR 0025,8000012,133186,95,28
95,#JYR2LVCY,генезе,8000029,132790,96,29
96,#22PC8C292,feudal lord,8000029,132659,97,8
97,#290CQJLV2,🥀KSA/ON/TOP🎋,8000000,131195,98,6
98,#GYY8GGQV,YK PROLAR,8000004,130599,99,28
99,#2G9YVPU02,Brawler Stars.L,8000039,130509,100,15
100,#22PJ9YCJL,ECF,8000029,129958,101,30
101,#20RGLP9PC,ЛК☀️,8000055,129047,102,12
102,#2PYVCLGYL,👽Black Brawl👽,8000059,127266,103,30
103,#YVR8UPCU,white night tkb,8000029,126835,104,30
104,#282GGQVYG,EMPIREsénégalai,8000013,125151,105,30
105,#98VYP99R,Famille SYLLA,8000000,125091,106,21
106,#JYUR0QQY,Les Flammes,8000049,122390,107,13
107,#22CCJ28YR,STAR BRAWL✌✌,8000016,121047,108,30
108,#CYV90PUQ,herbre,8000020,121011,109,22
109,#2YPYUGUGR,Matar Pro,8000042,120045,110,27
110,#2YRY8J9YY,анимэ7778,8000023,118734,111,20
111,#RPVJ908,verdecito90,8000013,118014,112,30
112,#29P8UJLPU,KNK KİNG,8000059,117074,113,27
113,#CYQG0PC9,TurkishUltras,8000007,115019,114,23
114,#2QQJ8VQ9R,Child Soldier,8000005,114619,115,8
115,#RJYGV9J0,БЛУМ,8000025,113599,116,21
116,#2Y2QV8LYU,le royaume,8000059,112883,117,26
117,#2YLP8V022,HIRONDELLE POTE,8000003,111670,118,30
118,#2C92LRR90,monkey🐒club,8000047,110481,119,5
119,#VJQR8CGL,1108,8000004,109311,120,29
120,#LL22QYV0,les bahababas,8000017,108979,121,15
121,#8RYJ9GJL,PGE CESAG,8000023,108551,122,4
122,#JGPG82Q,BLACK_PANTHER™,8000029,106946,123,30
123,#RUVVV9UU,призраки идут,8000029,106852,124,27
124,#8G9VRP2R,Stop corona,8000023,106485,125,30
125,#V2LV08V2,Sénégal,8000029,106408,126,12
126,#LGCVGLYJ,les météores,8000014,106348,127,26
127,#9JG00R99,SURGES,8000004,105903,128,10
128,#YUJ9VYR2,team mystère,8000016,105863,129,27
129,#J9UUVGJR,топ леоны,8000029,104691,130,28
130,#22PJ92YC,zoldig voltaire,8000018,104620,131,30
131,#28RQ2GGVU,danger sénégal,8000038,104522,132,10
132,#2Q29LJCUQ,les boss,8000004,103148,133,8
133,#2G2UQ988L,БАНДА220,8000057,102978,134,28
134,#Q288VJGR,les 4d,8000029,102824,135,19
135,#2G2UG8PY8,alberto bs,8000023,101622,136,15
136,#9JUPPC29,koksy pl.,8000031,101249,137,16
137,#20LCCVY2J,gwerS,8000047,101209,138,30
138,#2R8V0J0GP,4816,8000031,100886,139,27
139,#P0CVJPL8,SnBrawl,8000027,100732,140,30
140,#J2GYG0VQ,HC1000,8000006,100101,141,24
141,#29YJQ9JL8,FC CLACHEURS,8000047,99920,142,30
142,#2Q92CYGGG,kone,8000000,99162,143,29
143,#2YUQVCQL8,les pro,8000037,98530,144,7
144,#YVUQYCLL,GL ARWY PRO,8000014,98183,145,26
145,#2CY9V99Q9,CENTRALEZZ-ZFR,8000037,98074,146,30
146,#RJCR2P20,FRATII,8000014,97322,147,22
147,#2JVP00G8Q,lennoob,8000033,96560,148,30
148,#2LCVRYQLJ,Region team,8000007,96505,149,14
149,#LCC22UUQ,i senegalesi,8000027,95414,150,27
150,#UY8C0PYP,Банда верфикса,8000005,95253,151,12
151,#22G9VLPUU,Thunder e-Sport,8000003,94860,152,7
152,#22LPCGRPP,lune démoniaque,8000001,94678,153,30
153,#CQQ0YV8L,brawl galsen,8000002,94425,154,19
154,#UR909Y8G,Ninja origine,8000029,92334,155,24
155,#2899P2QYU,M&C,8000012,92328,156,27
156,#V9JG20P,TEAM PALMA,8000019,92224,157,30
157,#V9PPL9Q9,one pièce,8000023,92185,158,29
158,#JUQ0R2U2,60леон,8000012,91606,159,9
159,#29QJRC80C,fou du clan,8000035,91347,160,30
160,#QJYJPVPQ,never lose,8000002,91282,161,11
161,#Y29JR9L2,taureau noir🐃,8000032,90767,162,30
162,#2GQRP2UPP,𝑨𝒓𝒕𝒆,8000057,90699,163,6
163,#2G0LCYUYY,FC BRAWL STARS,8000037,90373,164,10
164,#8GU9CQ8U,nani,8000020,90290,165,23
165,#LJUUC0G0,Tf azertiquivi,8000043,90267,166,12
166,#JCCQGUYG,les amis du pc,8000035,89876,167,27
167,#2YU9CPU8J,3CO,8000018,87777,168,4
168,#28JCGG9Q9,SNG_Mermoz,8000055,87774,169,9
169,#RCGG0LU9,c pas facile,8000004,87713,170,29
170,#2JJ8VQR0C,zencig0t,8000034,87663,171,10
171,#298U2CQP9,المهابيل,8000043,86224,172,9
172,#28UGY9UQ0,les jumelles,8000010,86111,173,29
173,#2CJUVGQC2,장인들,8000035,85429,174,5
174,#P289GCCV,ВОРОБЬИНЫЙ ДОМ,8000023,84188,175,24
175,#8QYP8V,NFDkr,8000025,84120,176,4
176,#8VCYL9YJ,про100нубики,8000057,83923,177,29
177,#2202900G2,mbayefamily,8000025,83856,178,23
178,#2CGVJR2Y9,kyan BS,8000029,83630,179,9
179,#LL90PQUG,нубы (нет),8000059,82778,180,26
180,#2JP2J099C,Продвигаем,8000049,82525,181,5
181,#2LYR02P8R,эдгар,8000003,82450,182,18
182,#2YVGYYYRU,team des king,8000008,81161,183,28
183,#2Q8UQ002Y,Fc Brawl Stars,8000059,81085,184,17
184,#Y0Q98QR2,Ash's Club,8000025,77988,185,24
185,#CV9RU2VV,MDLR (DE CALLE),8000006,77204,186,7
186,#82R9YV9P,raph,8000022,76878,187,28
187,#UVRJ2QPJ,BrawlerSuperCon,8000029,76233,188,18
188,#LQRUUQUY,les léon,8000027,75266,189,29
189,#8RY0JRQL,LES TALOUZ,8000050,73841,190,23
190,#Y2JLRJ0P,Palete,8000023,72691,191,28
191,#28GJ2VUU9,Les Victorieux,8000019,72604,192,13
192,#20VV09RQL,⛩️BLACKDRAGON.C,8000033,71861,193,13
193,#9PQ292QJ,профффиии,8000029,71822,194,16
194,#22G09UPUG,𝕂𝕚𝕟𝕘,8000055,71713,195,3
195,#G9CCPCU8,КОЛА 228,8000004,71677,196,27
196,#289LP0J8P,AKD,8000000,71179,197,10
197,#2YV2UL0LL,kulüp kass,8000037,70769,198,13
198,#20QG8LUCV,les Emmaüs,8000029,70757,199,23
199,#PJ2RR88U,NOEMA,8000043,70755,200,9
