,tag,name,badgeId,trophies,rank,memberCount
0,#2CGPRQVGR,QLASH Serbia,8000023,1701512,1,30
1,#QL9CR0P,Crna ruka,8000057,1575858,2,30
2,#2R8JRULGU,HORDE,8000012,1532934,3,30
3,#288RUVC9Q,Self Respect🖤,8000023,1480529,4,30
4,#2JJLGY2QP,OG|Players🔥,8000037,1420078,5,29
5,#2C9VJVC00,øgtєค๓🐙,8000036,1301589,6,30
6,#QPY00G,50 ludih Srba,8000059,1295354,7,30
7,#UJ880L20,Immortal Souls,8000037,1289572,8,30
8,#2GGQQ8009,ATREIDES,8000005,1220132,9,30
9,#2CR89VJL8,3v3|Gods™,8000018,1216607,10,30
10,#22GQPGVQC,Paparazzo,8000014,1208206,11,30
11,#2Q0PPPQJ8,pungas,8000020,1197866,12,30
12,#PLYRLRQP,Profinac35i,8000058,1190695,13,30
13,#29LQLGY00,SeaEmpire🌊,8000047,1150801,14,29
14,#20U8R99YV,Ivanjica 🇷🇸,8000053,1144538,15,30
15,#L8JLPC98,Raccoon's,8000023,1142131,16,30
16,#PQPU8PJU,vip brawlers 👑,8000052,1132963,17,30
17,#200LLPUL2,Džoni Beer,8000028,1120235,18,30
18,#28J22J2UP,Balkanci,8000034,1100987,19,30
19,#8C2J2LGR,Kukavice,8000019,1095232,20,30
20,#2RLR2002Q,Brawl team.,8000033,1082907,21,29
21,#2CJYPL8J9,💯💯,8000059,1082799,22,30
22,#29YLL0CY9,JOGURT,8000042,1064313,23,30
23,#2YQL0J90J,JAŠI MAJMUNE,8000013,1056963,24,30
24,#9GJPC0UG,predatori,8000004,1053789,25,30
25,#2RG0PU0U0,Cool Gamery,8000041,1045862,26,29
26,#29R0VYJPJ,MasterClass🐐,8000057,1039727,27,29
27,#2J92L0R8Q,HYBRID,8000037,1038699,28,30
28,#JQLULJLQ,Slovenija,8000023,1034609,29,30
29,#2C2U08U8G,Bakrena banda,8000031,1026970,30,30
30,#QY8GVUJL,Dark Elite,8000006,1004262,31,29
31,#QQLP2QPV,jovan89jovan,8000029,1004216,32,30
32,#2RCJPJL02,ZADRUGA,8000035,1001808,33,30
33,#29UR8L2RP,COLD 🥶❄️,8000021,999143,34,28
34,#2GY9QUR9U,PIG HUNTERS,8000049,984875,35,30
35,#29RQUUCQ2,SCBR,8000055,973264,36,30
36,#GP8LQUV,SRBIJA,8000018,966700,37,30
37,#UPY2V8V0,Djoksi Army,8000019,965951,38,30
38,#QGJ82R80,Grind Masters,8000019,958750,39,26
39,#2CRVUCP9Q,banana man,8000041,952184,40,29
40,#29QYUQ0UY,1000 🪙,8000001,944522,41,29
41,#22CGYLLJC,Zeleni majmuni,8000043,943082,42,30
42,#2GCG2JLQQ,X-Force,8000049,942592,43,30
43,#29L9U0URP,👑BrawlKings👑,8000029,934461,44,29
44,#2LLRPJG2R,MECAVINA,8000007,932255,45,30
45,#YP0C2V8R,Plavi lavovi,8000003,930939,46,29
46,#2CPRYPGL9,KOD MOME,8000044,916577,47,30
47,#2P08QV0GU,AE Light,8000023,914030,48,30
48,#YVR2VP00,MOĆKORNJAČA,8000036,897832,49,30
49,#8VLVU8CQ,Najači balkanci,8000029,897087,50,30
50,#2CPL0908P,WARRIORS,8000007,896050,51,30
