,tag,name,badgeId,trophies,rank,memberCount
0,#2PYC0L22Q,BCF,8000026,1033815,1,30
1,#29GPPRJUJ,Сало,8000049,756582,2,30
2,#2C8PLQR9J,RoachwallAgency,8000020,739216,3,30
3,#V8LLYJ9C,SEVİLİYOSUN👉💕,8000010,674879,4,30
4,#228CQLPCQ,MK|GAME OF,8000023,610708,5,30
5,#2JV88URQ0,Chin Reaction,8000013,594077,6,22
6,#2L99P092V,QLASH Germany,8000029,590037,7,30
7,#2JCUYLLRU,TerraDiScamorza,8000051,585486,8,29
8,#29U99JGGL,МЕГАКОПИЛКА,8000046,561428,9,30
9,#LCL00CC2,(),8000037,495129,10,30
10,#PGLRCVQL,BRUSQUE,8000033,494135,11,30
11,#2RLPQQYP8,🔥Flame Squad🔥,8000029,455679,12,19
12,#82R8QLP8,<c2>IUBITII</c>,8000024,453180,13,18
13,#YLUC9QYL,auto aim gang,8000009,429313,14,28
14,#8U0LJ0G,The Cava1iers,8000035,426041,15,30
15,#2J00UVY2G,синие,8000039,405820,16,26
16,#2C2LJJJJ0,Ayran Kante,8000059,400093,17,22
17,#288C9GCRG,Дырявые ведерки,8000057,392013,18,17
18,#2JCQLR2RQ,어쩔뽀로로냉장고,8000036,352871,19,30
19,#2YYPQVLQR,золотая гора,8000035,350057,20,13
20,#2J0LRQ08V,сухо гей,8000025,346543,21,27
21,#RG92Y0Q,Iris♥️,8000027,336436,22,26
22,#2GJVP209Q,MOLOCHNIK,8000004,322248,23,20
23,#VYYUCVL9,losprimos,8000044,311834,24,30
24,#2Q92YQYUU,💫SKILL TEAM💫,8000046,305421,25,14
25,#PU92QPPQ,Loungris,8000010,282558,26,30
26,#28822VP9P,SAFS UNIT,8000023,281862,27,30
27,#2RJGQCJ09,Lonely People💔,8000037,281704,28,30
28,#2JY28C22G,PRDAVAC,8000042,279809,29,30
29,#J9R8GC2U,bc team 20,8000018,279494,30,21
30,#290GCYRLL,brobo,8000039,272898,31,12
31,#29L09PJLC,C7,8000021,269516,32,28
32,#2GPJ0PUPY,Хата пипла mini,8000029,262258,33,10
33,#8V0Y8V8C,gamers only 😎,8000056,245841,34,29
34,#2R002098G,Чупапики,8000043,243140,35,16
35,#22JGPLVRY,EL MAFIOSO,8000013,235540,36,14
36,#YLUQUJ9,b53WIGFS,8000013,234735,37,30
37,#2GCJ0YLYV,오징어,8000007,228953,38,19
38,#2GPG8GRPG,кошкодевочки,8000025,226183,39,11
39,#P9YVVJ92,piaraca,8000023,214275,40,17
