,tag,name,badgeId,trophies,rank,memberCount
0,#28PVGJ9U8,PLANET EARTH,8000029,1190356,1,27
1,#2J0Y2RP0R,Legends,8000029,1040188,2,30
2,#299CJGQGJ,ImmortalSword⚔️,8000022,865125,3,30
3,#2RVLJ9G88,Nani's Club,8000033,775447,4,30
4,#2YVC8PVUP,Hiena5Locas,8000057,718547,5,30
5,#29J9989RQ,LOS PANAS,8000053,650942,6,30
6,#2JQCJGVYC,seirin,8000031,642558,7,29
7,#8VYQQ8QQ,OSTRE PIORUNY,8000019,596557,8,28
8,#YVR08Y8,singes bottés,8000017,518886,9,30
9,#28CQQVU98,Æ|☆TEAM☆,8000002,517806,10,25
10,#22UC92LGL,nolegendary,8000039,498592,11,28
11,#2QU8UC2LJ,Rafaelo,8000011,463724,12,30
12,#2QPY8Y2UG,Contamina C,8000057,445708,13,30
13,#29YGPCP2U,Brawl style 2.0,8000046,438335,14,30
14,#29JRJV2QR,K & KK,8000027,430079,15,30
15,#90G0GGCG,Болотные,8000013,430012,16,29
16,#PY9P8YV0,rtaui,8000055,402588,17,23
17,#2QYJ09Q0L,4YRKA|TEAM💫,8000047,399799,18,26
18,#2GPYUCV20,♡ฅ⁠^⁠•⁠ﻌ⁠•⁠^⁠ฅ♡,8000052,399024,19,30
19,#2RLG0L88U,PerDun’s Squad,8000057,361469,20,25
20,#2LURPG8JV,Pizza,8000023,340012,21,24
21,#Q9PJPUUY,нефоры аквапарк,8000029,331171,22,20
22,#2CPCJ2ULR,TYP,8000029,329582,23,22
23,#28CVJU89P,ЕГОР И ЖЕНЯ,8000023,303342,24,28
24,#2G8C98YQJ,los pros,8000001,287722,25,29
25,#LGQY0VC8,Club Smackaroo,8000013,266723,26,29
26,#29CY0Y9JL,FlameZ,8000037,265889,27,21
27,#GPQL0VJ,VITI BLUES,8000021,243072,28,18
28,#22QUYU0YJ,BRAWL ARMY,8000029,235076,29,30
29,#29G2YC0GU,OP Players,8000037,226334,30,30
30,#2LRCG999C,스파이크귀여워,8000013,221212,31,30
31,#2RVGL0LYR,Forever个,8000057,219299,32,13
32,#2JR29L2C9,betis I barsa,8000007,218500,33,13
33,#9QQ8JJV2,Galaps,8000049,215135,34,30
34,#2RGRCP02Y,pringles,8000037,200478,35,14
35,#U0QL82YQ,бомзики,8000027,198769,36,27
36,#2RVJ8L02P,미송중,8000039,198571,37,25
37,#CVVYYV2L,la ligne des bg,8000017,195232,38,23
38,#290RUQP9,UDACST,8000017,193237,39,29
39,#VRYGJU2L,krufegan,8000022,190365,40,17
40,#20UV08RYR,гусь и эйзэнхай,8000007,188647,41,28
41,#2R928JGGG,MAGIC TOP,8000037,188465,42,19
42,#LC02UL2Q,Team PSG,8000013,188244,43,30
43,#QGCLGCQJ,Brb,8000026,187400,44,30
44,#8Y8P2RPG,Team France 2,8000037,183434,45,21
45,#2C90VJUJJ,SPACE,8000023,182974,46,17
