,tag,name,badgeId,trophies,rank,memberCount
0,#2RYL8GYYQ,GG <c7>Mech</c>,8000055,1779230,1,28
1,#2JUJ80YYV,CSM Eclipse,8000052,1775796,2,30
2,#QYVP0VVP,<c0>IX Zeus</c>,8000019,1735189,3,30
3,#2JR99YGP2,we love rabbits,8000016,1731435,4,30
4,#29GC20QRR,<c5>REIGN</c>,8000055,1534882,5,30
5,#2GR2Y080R,Imperial,8000038,1502015,6,29
6,#2J092JJGG,GTG | Luminous,8000049,1501105,7,30
7,#2J9VUPRLR,<c7>Royalty</c>,8000029,1456575,8,29
8,#2YYYCLJPQ,<c3>Ei</c>,8000027,1442700,9,30
9,#2GV02VVQR,<c9>Aura✨</c>,8000035,1428945,10,30
10,#2L2L9Q2RQ,🍌™️,8000057,1428720,11,30
11,#9YV2QGVU,RUSTY ™️,8000023,1416556,12,29
12,#2GUQ9PUCV,SDH|Fortitude,8000049,1389770,13,30
13,#98PY22VU,Brawlfist,8000017,1384227,14,28
14,#YR8C2LJV,GG Tech,8000052,1376402,15,30
15,#GURVQPP,SINGAPORE LA,8000031,1363050,16,30
16,#G2VJRPY,SG KAKIS,8000030,1331805,17,30
17,#CQRQ800,Singapore,8000007,1315710,18,30
18,#UP2GUR9,Fungi Bungi,8000005,1314349,19,30
19,#2QCGLJLJU,<c5>Aura✨</c>,8000057,1289804,20,30
20,#JPQY0UQQ,BABY BRAWLERS,8000035,1263223,21,30
21,#VQLJVPRJ,Eat●Brawl●L♡ve⁴,8000050,1262051,22,30
22,#2GR08UQCC,WeBoonBoon,8000035,1259431,23,30
23,#20V88RYC8,Eat●Brawl●L♡ve,8000035,1251355,24,30
24,#2UGVJGLV,Pro Drillers YT,8000056,1249226,25,30
25,#VCR9GY9,Gosu Esports,8000019,1246004,26,30
26,#2R0C2GR9C,Koalified,8000031,1241266,27,30
27,#298VJPP8Q,Tribe|HELL,8000037,1240655,28,30
28,#JLY09CJR,OLD LADIES,8000034,1234884,29,30
29,#2RPVGC9QJ,Ruth,8000023,1233419,30,30
30,#2RP0VLQ0Y,RebornSG,8000033,1232308,31,30
31,#VC9PCCC,SingaporE,8000006,1214623,32,30
32,#2GPVJUQ0J,Joe,8000047,1214097,33,30
33,#VQPR00VR,Red Fish Gang,8000035,1203171,34,30
34,#2R28U8RG9,RCN Unity,8000059,1200949,35,30
35,#2PR2QRQC9,Approve Maps!,8000017,1195549,36,30
36,#2GU9QGP8P,🥶BING CHILLING,8000057,1195541,37,30
37,#2R0RYUVVL,Lost Spores,8000005,1195368,38,30
38,#8V2PC89Q,skrrt,8000049,1193586,39,30
39,#2JPYULPR8,VENGEANCE,8000041,1185723,40,30
40,#2G92VJPYJ,Free_GamingYT,8000059,1175966,41,30
41,#2GQCYVJYC,Breakfast Set,8000037,1172794,42,30
42,#2GJ0GL9Q8,Monster Squad,8000031,1156330,43,30
43,#2GQ8GJ9RQ,Pigu,8000018,1150388,44,30
44,#2QLY02Y2Q,Poopsicle,8000057,1147999,45,30
45,#29L8JC20G,cooking mama,8000037,1147402,46,30
46,#CJ8UPV8,<c6>qt<c2>π</c>,8000039,1141619,47,30
47,#G0JQJUG,Singapore BRAWL,8000057,1141345,48,30
48,#GGP9VCJ,NUSHies,8000059,1136878,49,30
49,#LY8QLU92,GG Wreck,8000057,1136671,50,29
50,#2CP99YJG2,Dizzy💫😵‍💫,8000047,1134371,51,27
51,#RLV9GQQ,I Am Sorry,8000029,1131616,52,28
52,#299202JJQ,CSM Solstice,8000039,1129882,53,30
53,#V882RL9J,R.M👑💍,8000007,1129611,54,30
54,#UGUJYPY,MYTHIOPIA,8000035,1126310,55,30
55,#Q0PL8YGR,Blue Aura NFF,8000033,1118645,56,30
56,#QRQJCL0,Singapore,8000007,1116602,57,29
57,#2GCG2C8VV,LastFastBlast,8000023,1113052,58,30
58,#2C220Q922,SC grinders,8000007,1110621,59,27
59,#2R2JQ8L22,Brains & Brawl,8000031,1109863,60,30
60,#2LPUPUGRV,OneManArmy,8000029,1109456,61,30
61,#VVL0L8PY,SDH|Honour,8000049,1108310,62,30
62,#L9RYVGCQ,新加坡,8000055,1106666,63,30
63,#2LG09GCUG,TRB|talanthric,8000033,1104189,64,30
64,#2YRR00JVU,BS#We Are Good,8000029,1101258,65,30
65,#VC2RUJ89,Bs Alliance,8000013,1100817,66,30
66,#LQ88V8JV,Nexus Champions,8000047,1100645,67,29
67,#2JQUJ0YYV,GTG|Fluorescent,8000040,1097784,68,29
68,#2G90GGR80,Eat●Brawl●L♡ve³,8000016,1093216,69,30
69,#2G98Q02YQ,Triple Kill,8000059,1093146,70,30
70,#2JRGQVY8V,ST|Spyrox,8000027,1080503,71,30
71,#2GL8YGVVV,Rumours69,8000047,1080151,72,30
72,#2CJ92909Y,skibidi friends,8000050,1075512,73,30
73,#V02VPCRU,TRIBE SG,8000029,1064412,74,30
74,#829QVVQ8,eggclub,8000017,1055106,75,30
75,#89GVLLRJ,Singapore,8000041,1054062,76,30
76,#QVL009V8,Bears With Me,8000037,1052261,77,30
77,#29RRG8C2V,CSM Stardust,8000018,1050068,78,30
78,#2GP9YCRY0,singapore,8000057,1049588,79,30
79,#2Q8G8YPPP,Singapore,8000023,1046312,80,30
80,#2C828J8YL,SD Kitsune,8000006,1043291,81,30
81,#2RQG8PQQ9,吃你的豆腐,8000057,1043221,82,30
82,#2GJ0JYG8V,SgSquidwards,8000057,1042462,83,29
83,#2QJ9GP8GU,Lee Kuan Yew,8000007,1040296,84,30
84,#2GYRVJ9JG,f4l,8000049,1038860,85,30
85,#Q0CVGUPY,GG Fusion,8000003,1037378,86,30
86,#2GGRUP2VL,SINGAPORE SIA,8000004,1036104,87,28
87,#2GR2VY999,SINGAPORE LEH,8000004,1032378,88,30
88,#2GL9U2YJR,grub rub club,8000039,1031376,89,30
89,#9GUC0VGR,Tacos,8000033,1029183,90,30
90,#VGJ8YQUP,SBM,8000017,1024912,91,30
91,#GUVYP0R,:),8000029,1024241,92,30
