,tag,name,badgeId,trophies,rank,memberCount
0,#28LPY8U8L,Adult League 4,8000047,781698,1,30
1,#2G9V9YRPJ,KRASNALE XD,8000041,773699,2,30
2,#2C989LVJP,Rising Phoenix,8000049,744457,3,25
3,#2GGYPQVQ8,QO | Ghosts,8000035,626747,4,28
4,#29L8U2J9J,Voll Zeit,8000056,571591,5,30
5,#29QQVV9PL,VZ Gaming⛩️,8000004,553704,6,25
6,#2JURYPJYC,†♡ᴠᴇʀʏᴅᴢ♡†,8000023,551530,7,15
7,#2GP8JGR0L,†HAPPY FAMILY†,8000057,497589,8,29
8,#YRPULL9J,K # kk,8000049,441814,9,30
9,#28CLVVLYC,אוהבי טונה,8000018,438107,10,30
10,#GCGV8CCV,KALBİM...💔,8000028,411326,11,18
11,#2G2G90C9P,Baum,8000018,376899,12,26
12,#2GY9CLJRL,Народный Клан,8000041,368772,13,26
13,#2GPQJG9P8,🍍|Fruits|🍉,8000017,363522,14,20
14,#29QLUYYQQ,Luxury Squad,8000029,359601,15,28
15,#2RP9P8G2C,União soviética,8000031,359406,16,26
16,#2CCYCG8QU,KMS team,8000041,353186,17,29
17,#2JU80V28C,🇷🇺Russia,8000052,339335,18,18
18,#2G90VYCG9,KTL-Brawl Stars,8000039,329616,19,17
19,#28QYVYUY9,Kaban's clan 2,8000008,308985,20,18
20,#LV2L2JP0,Банда токсіків,8000050,304289,21,30
21,#208UJ9RL,Neks,8000055,295042,22,12
22,#2U9V0CCJ,Обрыганы,8000007,283877,23,19
23,#2JC222QPL,세종대왕 만세,8000004,276724,24,28
24,#8J9UJ2Y8,Neks Friends🧸,8000027,274008,25,28
25,#2YJ2RY9UR,Sint Maartenese,8000010,264407,26,17
26,#2JPG0PLRU,мальчиш-плохишь,8000000,264053,27,12
27,#LYL0RCV0,Los humildes🧐,8000031,261620,28,30
28,#29YR8VJYC,ɢʀᴀɴᴅ ᴋᴀʀᴀᴛ,8000029,258651,29,8
29,#2CRJ2VRP9,"КСБ ""ЖУЖЫКИ""",8000039,257053,30,16
30,#92JL0G9,zopito,8000010,253794,31,26
31,#QUQQU2J,BRAWLGANG,8000029,248526,32,24
32,#20V899VVC,Гремлины,8000006,243304,33,13
33,#20R8LJRJ,SXM KILLERS,8000012,240842,34,19
34,#GYJY9,SxMKillerz,8000016,235385,35,30
35,#VYVY2R0R,🌃GECE🌃,8000059,231678,36,20
36,#2C289VR2L,🇹🇷DORİTOS🇹🇷,8000010,228736,37,14
37,#PQQJ0C8J,spectral onda,8000008,226067,38,24
38,#2QJLCLQQR,진량초모여라!!,8000019,217251,39,29
39,#288C2CV0L,FynexArmy,8000045,215170,40,29
40,#2JJVRR8JG,Gilde Goats,8000051,211683,41,28
41,#2Y9LPQYG8,SCOOT,8000029,208300,42,29
42,#VQUQUG2P,Супер друзі,8000029,207152,43,26
43,#QQ29LUY2,Yt_IceSurge GG,8000059,206163,44,29
44,#20RRJ9P2U,ZeToNe_XL,8000019,204606,45,18
45,#2YUUQJRRC,Exelpant,8000029,200451,46,28
46,#U0QUJV20,MG|Legends!,8000015,198366,47,26
47,#82PVL2GY,АКРО ДЖИМ😤,8000059,198235,48,18
48,#22Q002QUR,Drage_GanG,8000012,191021,49,26
49,#2JQRUJRJ8,Нильсы,8000004,189886,50,16
50,#2JRYUVU89,ThE_cRaZy_OnEs,8000037,185815,51,18
51,#2GPCPGYJJ,봤냐?,8000035,178483,52,15
52,#28VGJQP2V,кривий ріг,8000030,177826,53,29
53,#2QP99PQR0,SON|GAMING ❤️,8000057,177015,54,20
54,#2G0LL9U28,준영나나,8000057,176886,55,29
55,#29CJU92LL,bluecollar crew,8000007,174259,56,29
56,#2QGPR0YC9,нелис123,8000005,172168,57,30
57,#VJ9UPUCC,👑Kings_team,8000055,171969,58,12
58,#8Y89J888,Penegrandezi,8000022,167410,59,29
59,#C9ULU90J,Империя Si1,8000029,163337,60,22
60,#2PLPPCQGU,holdik,8000008,155338,61,23
61,#20VLU2R92,Popo lala,8000020,155161,62,13
62,#29GP9UJC0,VZ School,8000036,154165,63,29
63,#YUQR2P8G,MHM123,8000005,150594,64,13
64,#2QVGQJPC9,라이스 준안,8000023,150591,65,29
65,#2C2PQY9G0,NeuquenTeam,8000027,148707,66,14
66,#29L0VCPY8,6Б цигане,8000035,147961,67,10
67,#9R2RGYL9,Brute Force😇💣,8000040,147664,68,28
68,#29R89JRYL,Shøwdøwии ♡,8000018,146775,69,29
69,#2JRQUUVYL,⛩DRAGON⛩,8000046,144224,70,30
70,#2QVURGRJV,🎋LIVER TEAM🥀,8000038,143534,71,5
71,#28Y9CCGQG,Big Qs,8000016,139736,72,27
72,#2LUULU2VR,512345,8000013,137162,73,28
73,#2G9JGJJ9L,жолтая молния,8000024,135316,74,28
74,#2LQY99YVC,KråyżyMān,8000050,135155,75,8
75,#G9P8PJ8P,gamers onlie,8000018,125474,76,17
76,#2G9Y2CY2L,Black lungs ✨,8000057,123574,77,27
77,#VQVL000G,камикадзе,8000002,122386,78,15
78,#2QRGYJQG2,BuRniNG CReW,8000041,121338,79,6
79,#2PU0J0PYC,Клуб фотографий,8000057,120029,80,9
80,#2PC0QC8LV,frind club,8000059,119783,81,19
81,#P2YRLUQQ,леон,8000048,118737,82,29
82,#L0UJR2UQ,ТОЛЯ В КУСТАХ,8000014,118388,83,28
83,#LVCQYYYU,клуб для игры,8000025,117879,84,18
84,#2JQVPCURC,x501x,8000037,117770,85,5
85,#2C8LUVUR2,SlozSquad,8000041,116000,86,5
86,#2PCJ90PPG,чикен мембер,8000016,114500,87,28
87,#22Q89GLR9,BP,8000029,110622,88,12
88,#2QQ9RJRRR,<c6>ЛЮТЫЕ😈</c>,8000025,110495,89,9
89,#9P2PR2PY,путь леги,8000037,108519,90,12
90,#YLC2LJQ8,не легалный гон,8000029,106542,91,27
91,#200RR809Y,бролстарс,8000059,105008,92,27
92,#2CJP28LG0,AGALAR JETTİR,8000023,103735,93,10
93,#QP9CJLRL,Верховна рада,8000029,103730,94,28
94,#29RQJGL9V,فاسطين🇯🇴,8000027,103593,95,9
95,#2JQ00GVJ2,Dofamin,8000039,103223,96,4
96,#22VRCRVYG,峰峰队,8000027,103121,97,28
97,#VPUJPPG8,Zero Honor,8000037,102725,98,7
98,#PRPGPR28,мсгррам,8000001,100463,99,28
99,#QC0QC0RY,𝐒𝐰𝐞𝐬𝐡 😣,8000037,99124,100,11
100,#298CLL89P,Napol,8000027,99116,101,5
