,tag,name,badgeId,trophies,rank,memberCount
0,#2CLJ089RU,Kranj Esports,8000058,1501266,1,30
1,#YGV00U0U,VIP,8000057,1360963,2,30
2,#22L2UL2L0,TKE|PRIME,8000057,1355367,3,30
3,#2PPPQQLG0,DynamicDrillers,8000018,1331123,4,30
4,#2GV9J9YRC,Hut Island@約束の地,8000039,1214173,5,30
5,#298Q9C22Y,The Late Night,8000011,1169300,6,30
6,#29U9PRJRJ,Debeli Pujski,8000023,1169096,7,29
7,#2YRLQUR2U,SHADOWS,8000043,1157299,8,30
8,#2QUQ902GP,4Krowns,8000000,1146431,9,30
9,#2RVRGL0JY,bs: kings,8000006,1017791,10,29
10,#2008C8VPP,meow meow team,8000023,1004503,11,30
11,#2J8UVPPPR,Mariborstedam🍁,8000025,1003734,12,30
12,#QGC9JQ9J,Zemljak Rodjak2,8000014,975500,13,29
13,#2C229GVR8,MP|KRI8P1^_^,8000057,972958,14,29
14,#2LJQVPJ28,TOXIC SQUAD,8000009,948820,15,28
15,#2R2Q2Y2VQ,⛩️chese🥀gang🧀,8000029,928711,16,27
16,#2CQUUPCPY,Lovačke šnicle,8000049,926246,17,30
17,#Q2UYCRVC,Overseas,8000033,924990,18,30
18,#2LQL008RG,TRIGLAV 🏔🏕,8000027,924241,19,30
19,#QYRYPRQ9,🔥HOT TEAM🔥,8000029,923952,20,30
20,#V2C2VJCL,SUPER ESPORTS,8000013,902961,21,30
21,#29JRPGVPC,GG Kidare,8000004,900263,22,30
22,#2C82Q0898,ŽIC,8000004,892048,23,30
23,#29LR2YPGV,SLO KEBAB,8000059,887304,24,30
24,#2G8YVYGCQ,NEW SLO,8000004,865103,25,29
25,#2RCU908J9,YT-Gaming♡,8000009,853895,26,30
26,#C9PQ2G0Q,⚡FIŽOLKA_club⚡,8000015,852391,27,28
27,#2CQGLP2VV,AlbertDongle69,8000033,848619,28,28
28,#28JR02JL9,GG gaming,8000049,846490,29,30
29,#9LQLLYGP,krasni,8000025,843684,30,30
30,#29CGJGRJL,BRAWL KINGS,8000059,827838,31,30
31,#2QG9PLRGJ,Stara Slovenia2,8000057,814660,32,30
32,#2292YJQ2L,Pop4life,8000004,800253,33,30
33,#2R0YJV2QR,BOROVNICKE.SI,8000057,800160,34,30
34,#J8JQVLQ9,Slovenija,8000049,797199,35,30
35,#QG9R0JV,Nova Slovenija,8000033,790728,36,30
36,#2C2G98L0R,SLO_ELITE🇸🇮,8000009,784989,37,30
37,#J2029C80,small noob clan,8000059,782749,38,30
38,#2CY92J2CG,wisci cola,8000057,777299,39,30
