,tag,name,badgeId,trophies,rank,memberCount
0,#2PUJCU8QG,Cursed Forces,8000005,1465485,1,3
1,#2CYRUU00G,QLS|star🙂,8000034,798614,2,30
2,#2G9G9RUG9,Будка,8000039,739020,3,30
3,#2JCJY2PQG,kleine ayris,8000052,726384,4,30
4,#2C2CQPU8G,23s33,8000051,497557,5,28
5,#QJYQJ8JP,Bebrovishki,8000059,476735,6,30
6,#229P8YRUV,SHELBY,8000035,474437,7,28
7,#L0JJV90C,TEAMSÓWKI,8000056,461731,8,29
8,#PLVYG8J0,アリスとのワルツ@月下の宴,8000059,452245,9,30
9,#2JRC08CY2,SUCUK E-Sports,8000021,395532,10,30
10,#QRY0PV8R,Uçan Tavuk 54,8000006,369784,11,29
11,#2LY8UPGPR,MAX PRIMERA LOX,8000057,369393,12,24
12,#8YRR8LYR,ATAKEMYT,8000029,368402,13,30
13,#2GRUJURQ,Queschua,8000056,326266,14,29
14,#YJ2R9UY8,ПУПА-ПА,8000018,315030,15,21
15,#V0090PPV,Porcupine Fecez,8000016,307535,16,22
16,#2C9Y0Y20Q,Team 1st,8000055,305440,17,23
17,#2J98J9PU8,자살 특공대!,8000037,302659,18,30
18,#29QRUUPGY,サボさん,8000013,285767,19,20
19,#29PRR2U9V,Teiser Club,8000039,285157,20,30
20,#QLL2GLG2,les profesionel,8000028,282945,21,30
21,#2902V028P,yoo,8000045,279779,22,30
22,#C8Q22JJ,FaZe EPICGAMERS,8000029,270853,23,25
23,#VV2RY2RG,KRAL TEAM,8000023,248563,24,18
24,#2J0L88U0P,Yava,8000021,248376,25,14
25,#GRLPYQQ2,Awesome Duos,8000003,247818,26,29
26,#2RYUJV9GU,buy|knights,8000053,244713,27,15
27,#22UG8RQJ8,THE PROSS,8000023,234738,28,30
28,#2R9L929YG,Кобяк,8000037,224835,29,19
29,#VUVYV0RC,_또욱케리_,8000029,220950,30,20
30,#V0Y98PGJ,Ukraine Vlog,8000059,212210,31,30
31,#2JQPLGL28,gachi♂️,8000037,209253,32,23
32,#22Q9JC82G,四大天王,8000036,200723,33,25
33,#2LLC0VYVC,gey club,8000004,195119,34,25
34,#22PU9CJPV,ابن سوريا,8000029,189584,35,29
35,#2QLCV9GL8,yenimahalletofa,8000035,185694,36,14
36,#2QGPJVJLV,Aqua Fortress,8000059,185425,37,29
37,#GVU92YRQ,RILE OF FAKTS,8000029,176774,38,9
38,#CRQYPR0V,kozacy,8000027,175405,39,28
39,#80YUUU2R,Caracolich,8000013,175116,40,28
40,#R2J8CQ8,ESPAÑA,8000018,174029,41,28
41,#208UUQ8VR,РОССИЯ ТОП,8000019,167958,42,8
42,#R0UUYGCP,Зоя и Сеня,8000000,165999,43,30
43,#CP9828JC,(мышка сосися),8000013,164187,44,29
44,#2JU992C0V,Land Of Legends,8000012,161364,45,27
45,#29Q8CJ2G0,agamugopirlolar,8000037,161114,46,14
46,#208LJCGU8,лучшие игроки v,8000034,160664,47,16
47,#QCJ20LG8,FF|TEAM,8000020,159149,48,30
48,#22YYJR9JY,timeline,8000037,157094,49,9
