,tag,name,badgeId,trophies,rank,memberCount
0,#2QYG088L8,brawl dynasty,8000057,952583,1,29
1,#2LQV2C8QJ,Army of Skill🖤,8000005,856899,2,3
2,#29Q0JQP2C,SKG,8000023,847445,3,30
3,#2RCVG9L8C,REDBULL,8000037,821941,4,30
4,#2R2GQJ82U,Смешарики,8000059,773654,5,30
5,#2JVRGRR0Y,☠️One Piece👻🔥,8000029,680137,6,30
6,#2JVCL9UQL,Xavleg,8000037,638473,7,30
7,#2JUYG80V0,gli amici,8000043,609000,8,27
8,#2R998R,Koi,8000029,543439,9,30
9,#2908R8GUQ,NaVi|SQUAD29®,8000057,533397,10,28
10,#8QC20L2P,Woltik&Ghy,8000059,503340,11,30
11,#2PGVRGU8G,OG Players,8000023,497523,12,30
12,#2CGJY0990,DEMON1ㅣHOSEO,8000037,490032,13,30
13,#2G2C0G2CG,🦇TT|Mortis🦇,8000057,479282,14,9
14,#2C2U2YYY8,<c5>HunterZ</c>,8000007,477100,15,30
15,#2900U80Q9,zwarte moffels,8000050,469632,16,30
16,#PR999GU8,mytds,8000027,437404,17,28
17,#UURVRUU2,GermanBrawl_YT,8000004,435681,18,3
18,#2CG8C8888,9A Fighters,8000029,420460,19,28
19,#2CLYLL8QU,BURSA SMS,8000037,375699,20,25
20,#L0L2UJR8,寒暑假才能上線,8000037,366697,21,30
21,#22999PV99,楽しい菊の島,8000020,364821,22,30
22,#2282P9CYG,Coca Cola xd,8000010,352508,23,28
23,#202Q8L2GY,아거ㅓㅓㅓㅓ,8000007,343641,24,30
24,#8PQ8UG08,Bert Znook,8000008,342344,25,28
25,#QR9R9R80,🐶Team Pieseł🐶,8000000,323049,26,30
26,#Y2QLJC8R,EeMu ClUb,8000013,318208,27,30
27,#LYP0PGLP,muslimilössi,8000059,314186,28,30
28,#2CRG9JY2P,황fc,8000059,308982,29,27
29,#2PPJVY9J,FURIA PAJILLERA,8000025,306879,30,25
30,#2YQRR8UVL,dungeon club,8000018,285674,31,12
31,#GVCJR9VQ,Merluche,8000005,285446,32,18
32,#QL9CGR8V,PUDIM :],8000029,284310,33,30
33,#28VLJ89P8,forma 1 Team,8000055,279258,34,15
34,#LG2C9PYU,Украина понос,8000017,272019,35,22
35,#2LUVLQRLU,お願い入って,8000004,268766,36,30
36,#29YGGLGYU,클럽들어왕^^,8000027,266863,37,28
