,tag,name,badgeId,trophies,rank,memberCount
0,#2JCJR920G,Instinct,8000021,1380962,1,30
1,#2R0YJC0CP,A$AP MOB,8000019,1244178,2,30
2,#2LRYJLYCP,TheChosen,8000008,1235679,3,30
3,#2GJ2V8982,RSA STORMERS,8000002,1221789,4,30
4,#JLJ09C9G,RSA Juggernauts,8000018,1182105,5,30
5,#20JGPU0UC,ELITE ARMY,8000025,1175439,6,30
6,#2G9JYRCL0,copsRus,8000000,1137369,7,30
7,#2CLUJ8VRL,Pyna Diper,8000059,1107411,8,25
8,#2LRJU2,Joburg Rules,8000049,1096497,9,30
9,#28JCCJP09,Dynasty Legendz,8000025,1094902,10,28
10,#JUJR0L8P,South Africa,8000029,1087996,11,30
11,#28VRQV2Q9,Toxic_x_SweatZz,8000021,1082448,12,30
12,#Y0LUP9L0,South Africa,8000013,1043521,13,30
13,#2QC8GVV9V,OG FruitNation,8000017,1038868,14,29
14,#2C9L8QYRJ,Second Sight,8000055,1001931,15,30
15,#28GLJPPPQ,Moonfall,8000010,975498,16,29
16,#2J9ULPRCL,Cutthroat Cult,8000023,937944,17,30
17,#290UP0J8V,영식이,8000023,937332,18,30
18,#2JCRR9J09,POWER,8000005,936679,19,30
19,#VCP8UYR,Klido App,8000021,910209,20,30
20,#PP9U2LQG,Demon Clan,8000004,910053,21,30
21,#2UGVUL,Tokyo Ghoul SA,8000004,893091,22,29
22,#2GYVCQJ09,StrawHats,8000023,891263,23,30
23,#LLVRVU8R,Champions,8000029,890549,24,30
24,#2R0VG28Q9,Always Ready,8000021,887139,25,30
25,#2YQGLU8PJ,HeŃza¡,8000055,874041,26,30
26,#L29UR00Y,prO_Gamurz,8000005,864196,27,30
27,#2GVVLCLRC,South Africa,8000013,833597,28,30
28,#QP89LRGG,InvisibleSoul ✨,8000029,822368,29,28
29,#28GUV8LV,Destroyers,8000036,811723,30,30
30,#2CPUQ09YY,Tots United,8000049,809195,31,30
31,#28JPQ29CP,Deez,8000013,795442,32,30
32,#PG9JYVYJ,L. S. E,8000055,775383,33,30
33,#2JR2L0Q8R,Future Stars,8000055,768862,34,29
34,#2G9RY8L2G,Legend Eclipse,8000021,752382,35,30
35,#29QG9QPRJ,SA buggers,8000016,751056,36,30
36,#22JYVJ9LU,club of death,8000045,745190,37,30
37,#Q88QYJU2,Die Ouens,8000057,743102,38,30
38,#2CP8YYY0R,fire tire,8000037,739087,39,30
39,#RCP0P0QU,SOUTH AFRICA,8000037,736526,40,30
40,#2PQ99VLR8,ANIME,8000037,706806,41,30
41,#2JCRGJ0UR,Hop Out The 16,8000025,705464,42,30
42,#QYR28Y8C,SES Family,8000000,703837,43,30
43,#V8LL9VLP,SA Beasts,8000005,701279,44,30
44,#2R0UCYQLU,TarasqueHunters,8000048,701244,45,25
45,#2GGLUQR2J,South Africa,8000013,682516,46,30
46,#28JPLUQVY,Lara's peasants,8000037,680424,47,30
47,#GR2GQ0V,Legendary club,8000049,677458,48,30
48,#GVRJ2J,South Africa,8000037,666378,49,29
49,#292VV9R2C,Cubicle Crazies,8000055,662994,50,30
50,#20P8UPVVG,😈😈badboys👿🖤,8000059,661024,51,30
51,#20RGLL2L0,SBFT™,8000029,658662,52,26
52,#CJP2Q,South Africa,8000012,656509,53,30
53,#2LR9J8028,Hybrid Eclipse,8000037,652949,54,20
54,#22JC2UQLL,★Cosmic★,8000052,642015,55,30
55,#228VP8Y8,WARZONE,8000004,639694,56,30
56,#22RLYULRU,Spike's Club,8000057,638197,57,30
57,#29PCJYU,SA BRAWLERS,8000046,635375,58,30
58,#2RGLJ809J,legend of brawl,8000057,619646,59,30
59,#2JPYL02RP,Night Raiders,8000019,618933,60,30
60,#2LR2U999,SA Mafia,8000004,616413,61,30
61,#220LJVYGJ,Sketchter,8000059,613660,62,23
62,#LP9PQJG,League of Brawl,8000048,608265,63,30
63,#2YRLRL8C8,I❤ANIME,8000047,607307,64,30
64,#22LQUUYUR,Eskom!!!!,8000016,602988,65,30
65,#29J0LYQVQ,A$AP MOB 2.0,8000019,602155,66,26
66,#CQPRRJJR,FOXTROT GAMING,8000053,600450,67,28
67,#CJVYQVL,Checkers,8000007,594492,68,30
68,#9JYPYR9,AFRIKAANS,8000004,591343,69,28
69,#2J0GJLCU9,Sushi Ninjas,8000059,585961,70,29
70,#2CQLG000G,Kawoki_Landers,8000055,585916,71,30
71,#2G9QQV0Q0,Langa Gang,8000048,583898,72,30
72,#20P2JJ2JC,Grace Freedom,8000029,576674,73,24
73,#29Q2CPYJ2,Pap Piele,8000055,574206,74,28
74,#29Y99Q2VP,Sexy Eclipse,8000025,566083,75,28
75,#28LCR2CPR,Daboyz😎,8000029,563742,76,30
76,#J8LYGYQL,SA LEGENDS,8000025,562708,77,30
77,#YCCQVU8V,WP Hockey,8000050,562373,78,23
78,#LLU0RCR,Cape Town Elite,8000015,560994,79,30
79,#208UPUJRU,SA_Slayers786,8000036,560845,80,30
80,#2C08L2VUV,Cha-Cha SA,8000004,555028,81,30
81,#2CJ8VR9UJ,고유준fc,8000004,550080,82,30
82,#9RRPV8LR,MonkeA SquadZ,8000057,547778,83,30
83,#2YV8QQ2YQ,Toxic club2.0,8000027,542025,84,30
84,#92CLJQUU,BrawlBall Masta,8000003,523365,85,30
85,#2PGP88R2J,MILEHIGH,8000036,521561,86,30
86,#22V9RUVRP,דברת המלכים,8000057,516100,87,30
87,#2GP9JJPRG,STORM,8000007,512414,88,30
88,#28GUURRQP,Let's Brawl ZA!,8000041,488754,89,29
89,#2JYPQ28JG,Blitz Bokke,8000006,482448,90,23
90,#2JJC928G9,MoistGamers,8000059,479289,91,30
91,#2QJUR2VY9,Brawl-Club !!!,8000059,478741,92,30
92,#2C9JGCL8,Elders,8000021,477200,93,21
93,#2C8CRRPYL,BS Kings 2,8000025,477004,94,30
94,#28GRPV828,Legends🥵,8000037,471589,95,15
95,#2RJYP8V08,오뎅의신3,8000025,470871,96,30
96,#2C9CR8P2Q,Super Stars ✨,8000002,464350,97,30
97,#20Y8VUGC,RSA,8000037,464305,98,25
98,#2JPJVYLPG,Cann1b1sters,8000013,456858,99,22
99,#2LJRY9V9J,Nice69,8000004,455635,100,28
100,#Y9RCCPYV,Sandpit Ninjas!,8000049,448808,101,30
101,#2JJUP09GU,Best Clan,8000045,444404,102,28
102,#2YC8JCC2G,гавгавгав,8000051,438917,103,30
103,#2JVJCRJ9R,Korea_BS,8000052,438319,104,30
104,#29J8LPLQU,<c4>Gr@vity</c>,8000002,438021,105,28
105,#2GLYYRPYP,dizzy gaming,8000023,436961,106,29
106,#2YURG2GYV,Thee Brawlers,8000049,436455,107,28
107,#LR0LU22J,Spooks,8000057,434697,108,30
108,#QQR9URY2,TrophyWarriors,8000057,432509,109,30
109,#CPPPVGYP,skyraiderz,8000025,431285,110,30
110,#Q9VUUCUG,Talieban,8000005,427603,111,30
111,#29RLVJP0Q,the 30kings 👑,8000055,422822,112,18
112,#2YY0CU0,MasterGamingCU,8000027,418536,113,30
113,#YPRRLCLQ,YETER DELETER,8000013,406509,114,29
114,#G89LVLJP,Pro Leggendari,8000029,403551,115,28
115,#L298JJ9L,Team 7,8000034,398772,116,25
116,#L890C90,dem boys,8000024,395530,117,26
117,#VR8CCQJ8,SUPER NINJAS,8000003,395328,118,30
118,#VQ0R009Q,gototters,8000008,394729,119,28
119,#L8PQCL98,Rsa Utd,8000021,393678,120,30
120,#2VR9RJ29,L9ving,8000009,393094,121,27
121,#RLJULLJV,이아살라말라이쿵,8000053,392294,122,30
122,#QG08Y9JU,Po3s_RSA,8000023,391953,123,29
123,#2J8LVUJ8U,fluff balls,8000040,389354,124,30
124,#29YP9JJVR,FIRE KINGDOM,8000037,386155,125,30
125,#2JPL9VU0J,🌵LITTLELEONS🌵,8000049,383116,126,30
126,#2PQRCUP0R,ur mom lol,8000018,377257,127,29
127,#22VJGQ8G,Brawl Stars RSA,8000010,377005,128,30
128,#2C0C08RJP,IXN PHOENIX,8000009,376373,129,30
129,#VUR2J98R,KAAP~STAD~KINGZ,8000029,370760,130,30
130,#2L82VPY8C,The Regiment,8000023,370399,131,15
131,#22VJ8098V,South africa,8000053,367642,132,30
132,#8Q9C0LLV,COHESIVE UNIT,8000035,366373,133,26
133,#CJL98C,Gauteng Rebels,8000023,364817,134,25
134,#YVVGLYQ,legends 2,8000019,362624,135,19
135,#99Q2QL,NOVA SURPREME✌,8000023,361140,136,29
136,#Q8P2L,Clan Name,8000022,357864,137,24
137,#V8YJY2,Blunt Brothers,8000013,355447,138,20
138,#PY0P8PL,xDirty Dealersx,8000050,355124,139,30
139,#QJVGVY0V,brawl balle,8000000,354060,140,27
140,#L8VY2G2Q,Brawl Kingdom,8000021,352376,141,17
141,#G2G9PPUR,8А класс,8000054,352203,142,30
142,#2CYGQY2GJ,🥵Grinders🥵,8000049,351694,143,29
143,#29Y0Q8C0G,Blaze 🔥,8000037,349414,144,10
144,#P8VCPPRQ,Dangerous SA,8000023,347779,145,26
145,#80QUVUJU,District Riders,8000018,344731,146,11
146,#8QJ80PYJ,Drol stars,8000039,344099,147,30
147,#2YJ0CQLVY,Ancient Obelisk,8000032,343788,148,28
148,#2R20YJ9GV,Brawl Boys⭐🌠,8000037,340100,149,27
149,#2YQUVP0JP,gamers legion,8000037,333958,150,16
150,#LPJLGYQQ,Blue Ghosts 👻,8000057,333637,151,30
151,#RP0RL9V,LOWCALLY,8000004,333329,152,17
152,#29Q0RQP98,err#7,8000024,332382,153,30
153,#GLUYPLP2,Dragon Knights,8000031,326715,154,21
154,#LRCJ0C9Q,besties,8000033,323653,155,29
155,#8082UPRQ,Northwood NOOBS,8000023,321252,156,30
156,#2L28VJLG8,drolstars,8000035,319143,157,16
157,#2PQCCPR9Y,Nice,8000007,314275,158,26
158,#2RLJYJJ82,Uchiha,8000037,312905,159,18
159,#2RR8CJPJR,Shadow Kingdom,8000007,312564,160,30
160,#2J2VQVL0P,OG clan,8000016,309536,161,30
161,#9G0CJUV,S.A BRAWLERS,8000010,306812,162,24
162,#LU9JUG00,End Game,8000025,306747,163,30
163,#29QLP29YY,Miyagi-Fang,8000022,304124,164,28
164,#RYCV28CR,boys,8000042,301684,165,25
165,#J2G0QUJY,REW brawlers,8000018,301513,166,30
166,#L0RVUCL0,fresh bullet,8000054,299143,167,15
167,#88800CLQ,green viper,8000015,297578,168,25
168,#LPYQ9JGL,memories,8000059,294658,169,30
169,#QJPPCVGU,KURTLAR SOFRASI,8000023,293972,170,23
170,#222QUC0J8,TheChosen2,8000008,292758,171,16
171,#28Q9C8PRR,✓✓✓[R.E.İ.S]✓✓✓,8000004,292501,172,30
172,#2JLG92VCV,ONE PIECE,8000025,292453,173,30
173,#22P9CYVV2,BS BOIS,8000021,291862,174,9
174,#2YYLP2V2L,BABAYAGA,8000025,291623,175,28
175,#289RPYJ,BLOOD HOUND5,8000029,290358,176,28
176,#2JGQUJLLQ,잔응이와 형주,8000018,289950,177,18
177,#2Q89PLLQ,스파이크나와라!!!!!!!!,8000013,289439,178,9
178,#298PQUGLC,CEOofbrawlstars,8000052,288409,179,29
179,#2CJ029QG2,Crayon Crew,8000026,287599,180,29
180,#2C8V2L0PG,JohansBackbones,8000001,287351,181,30
181,#8P0P2LJ,SA BRAWLER S,8000004,286376,182,30
182,#Y2LUCGY,DUTANE,8000009,286184,183,30
183,#29PG8PGG0,<c3>Za×ARC</c>,8000058,285963,184,30
184,#2JQ92GGUC,Tr!ckster_Squad,8000057,285946,185,16
185,#QRJQP2RG,Berratrapp,8000040,285859,186,30
186,#2CRUQ2L0Q,SUB to Vortex,8000053,284477,187,27
187,#88PYJY8,Baby Shark,8000057,283885,188,26
188,#2P8VYJPCP,waffle iron,8000019,283623,189,23
189,#2J0VP288P,Tiete,8000019,282920,190,28
190,#9LLQCUP0,Kafkatte,8000007,278704,191,29
191,#LLL2L0,RSA brawlers,8000029,278376,192,29
192,#YUJYCL0G,The BOYS,8000055,277775,193,22
193,#290PQCUJ0,Faze,8000023,277667,194,30
194,#YPP2CP28,Artpedler,8000027,275210,195,27
195,#2RQP2R0V8,Pushing P,8000031,273977,196,23
196,#2QLQCV9U,Yeet BOIS,8000016,272751,197,30
197,#2R299YLY0,SA Mafia,8000004,271239,198,20
198,#9Y8CC8Q9,Brawlers_Za,8000018,269669,199,27
199,#V88VQ98,Chaos Sorcerers,8000008,269329,200,28
