,tag,name,badgeId,trophies,rank,memberCount
0,#UY8R02L,PIRATES,8000008,985684,1,30
1,#2GU2LVUPY,Devi Dynasty,8000029,907493,2,30
2,#2C9CV2829,DIAMOND GOLD🏆,8000018,751698,3,30
3,#2GYYVYV2P,True top,8000005,736206,4,30
4,#GVQCG0P9,Fender Forever,8000003,682830,5,29
5,#2C8988GV9,세상이 나를 억까,8000057,657282,6,30
6,#29QGGCPLC,Best-Eteban,8000055,626762,7,30
7,#8GVJVL2R,おまんまん,8000029,624420,8,30
8,#2JU8VY8YJ,작은 동물원,8000049,569651,9,30
9,#2JUJLJJ0V,Olopat2009,8000059,541296,10,30
10,#222JRVPC2,Arturo's mom,8000039,505184,11,26
11,#Q2P0LYV2,️​️​️​️​️​,8000036,479841,12,30
12,#2JQPRGC0R,АХМАТ - СИЛА,8000023,463840,13,23
13,#V0CJC92P,суперсел,8000006,451416,14,28
14,#2C98L2LLP,야압,8000049,442839,15,30
15,#VJRR2UUV,Гремлины,8000027,415942,16,16
16,#220QJYRYG,❤️JuST MAGIC❤️,8000056,366345,17,30
17,#U892V9P2,BS|E-Spor,8000029,343550,18,22
18,#LGJRCUUY,WIEN,8000023,317577,19,30
19,#20R2GU8P0,Legenda sereg,8000003,298406,20,24
20,#202C90JL9,MOONLİGHT 😈,8000059,292617,21,28
21,#2RPJR009R,SMP,8000039,287456,22,22
22,#CL0C828J,pitiless,8000006,282509,23,18
23,#29U8R00Y0,Абсолютный клан,8000004,278647,24,15
24,#29QUV9G9V,맨체스터 윙치킨,8000037,272911,25,24
25,#22Y8G8UG2,robotic,8000004,272265,26,21
26,#2G8RQVLYQ,홀란스럽다,8000006,272130,27,30
27,#LV89Q20J,GX Leon,8000019,237263,28,16
28,#UV2Y999P,кто зайдёт тому,8000037,232734,29,16
29,#2YCVJ22YQ,عمان🇴🇲,8000029,231434,30,25
30,#22U29PC92,Erictigre,8000034,224623,31,29
31,#28GUCP2PL,MONEY🇦🇿🇹🇷,8000055,221655,32,22
32,#290UC9JRJ,県鶴人妻クラブ,8000009,216123,33,26
33,#LRPVP9L9,DA BOIZ,8000004,204460,34,29
34,#2RCR0JPCQ,남수단 게이들,8000023,199281,35,19
35,#2GY9GVG9Y,Legends,8000035,195661,36,21
36,#VYU980Y,Медведи,8000021,189173,37,15
37,#2QJQ80L9J,RVH,8000004,188531,38,21
38,#20008UG98,топ 1 мира клуб,8000029,188324,39,21
39,#L9VYPQG0,Mystik Uk,8000049,182096,40,30
40,#2G0G8VGQQ,荒野戰士,8000052,174305,41,30
41,#RU09J2Q9,TeamSangre,8000004,167825,42,21
42,#2CPG8PULP,브롤이,8000059,167823,43,18
43,#G8982089,идём в топ,8000012,167388,44,19
44,#2P82PJ2G0,жаджа,8000000,166210,45,28
45,#QPCV298R,ДУСЯ БУСЯ,8000029,165555,46,30
46,#20PCLC09Y,Тёма Уля Слава,8000047,163347,47,30
47,#290RGYUQC,85k,8000000,161207,48,18
48,#2880GJJ90,날쎈 재기이!,8000059,160531,49,11
49,#280QJJ02L,stt,8000029,159623,50,29
50,#UP0CLJQV,TÜRKİYE🇹🇷,8000023,157638,51,20
51,#2GYGRPU8R,たんたん日本,8000035,154356,52,28
52,#2RLYGU99V,UK.impact,8000004,151686,53,9
53,#2RVJU0J2J,🤟ملك سرسريه👑,8000029,150299,54,29
54,#LUU2G9QL,뱌챠,8000012,149479,55,29
55,#YGQCRP99,메카,8000004,148826,56,28
56,#2RQQY9LJY,LE SUBORDINATE,8000033,147644,57,14
57,#YRQGYRP9,ölme öldür,8000008,145749,58,30
58,#8L98Y09P,die colsten,8000029,144351,59,28
59,#2R9J809JR,это не фигня,8000056,143455,60,11
60,#2G28QP0VL,ok,8000037,138277,61,16
61,#20YQQVR0R,все за мной,8000007,138166,62,12
62,#2JJC8Q0VR,The Kings,8000018,136968,63,26
63,#2P9JV0L80,Duç,8000013,134192,64,14
64,#PCLGJ2CC,ПОМИДОРКИ334,8000047,130857,65,29
65,#VGVJQVJ9,bilal halil,8000025,130079,66,30
66,#2JUYV22R,메가피닉스,8000007,129882,67,25
67,#2RYL9RLVV,Defolt Squad,8000059,128753,68,28
68,#YJJ98GJQ,De Knuffel gang,8000029,128611,69,18
69,#VU8JR0V,Diggers,8000007,128591,70,30
70,#2CJPVGCRU,이천화 선생님,8000047,126416,71,8
71,#2RCGCP9V,LolTeam2,8000023,125947,72,30
