,tag,name,badgeId,trophies,rank,memberCount
0,#2JLVLGLG2,New Dawn,8000053,1237350,1,30
1,#20VQY2C,SL brawl stars,8000059,1133292,2,30
2,#29GUUR9J2,New Dawn 2,8000053,899605,3,30
3,#22RUVUJU8,The Bigs,8000029,890970,4,7
4,#LRLP2CY,lankan warriorz,8000055,872180,5,30
5,#2Y2JQUUYQ,🇱🇰TiTaNs SL,8000023,854488,6,30
6,#28PL2CLPJ,Brawl Friends,8000037,822834,7,30
7,#2JJQLG0PC,KNIGHTS WATCH,8000049,756859,8,30
8,#22V0QGP2L,brawl starts,8000007,737316,9,27
9,#2JR09UY8G,SL BOYS,8000004,715197,10,30
10,#22VYUCJCC,VIP Brawlers,8000004,709050,11,23
11,#29228LV29,<c9>RED</c>ZONE,8000035,668143,12,30
12,#2RRGRVYJ2,United Nations,8000057,664780,13,30
13,#2J92JLC0P,WHATEVER,8000012,663415,14,30
14,#PG0VCYV,SL WAR LORDS,8000006,653681,15,26
15,#2R8QL82YC,_TEAM MUGIWARA_,8000023,645300,16,30
16,#LUYVJCYP,✌️SL KOLLO ✌️,8000037,572530,17,30
17,#8URYCLQ0,TEAM-BATMAN,8000003,570620,18,30
18,#28CU0R2JQ,THE LEGENDS,8000055,565558,19,30
19,#29829YUPL,<c3>D2</c>,8000045,550197,20,30
20,#2CRL2JPUV,축구 ⚽️ 클럽,8000029,547037,21,30
21,#2P290Q8JR,Aqua|Toxic,8000041,510063,22,30
22,#8RGR20,sri lanka,8000056,502700,23,24
23,#JV0R02QC,КЛУБ ДЛЯ ФРЭНКА,8000004,502285,24,9
24,#2028G9UP2,War Players,8000037,498688,25,30
25,#V8209UY,Teen Titans,8000017,493744,26,30
26,#VYL9VYV8,BRAWLSQUAD|Cyan,8000002,472437,27,24
27,#LPLYJRGP,Pringles,8000053,461762,28,30
28,#Q9G92QR2,Union of Heroes,8000007,447840,29,21
29,#VVRGV8Q,SL Bots,8000025,411280,30,27
30,#22ULQC8GY,<c3>Venom|S</c>,8000043,407409,31,30
31,#292UJUQ92,그기지,8000058,407370,32,30
32,#QLCG20PC,cotosey&doggy,8000057,382906,33,26
33,#2CG2JUU9C,Youtube kill3r™,8000004,380172,34,30
34,#QUYCVVP0,LIONS-OF-NATION,8000055,366196,35,30
35,#YLV00UU,SL HEROS,8000012,353790,36,25
36,#2RRY8PLYC,AQUATIC SOLDIER,8000023,351407,37,30
37,#GGR22JVR,SL BOYS,8000054,345917,38,17
38,#Q9GR822J,LEGENDS,8000037,345393,39,30
39,#UPRLCLL0,Hot dog YT 🔥,8000037,335006,40,30
40,#L92YVUCR,cheese,8000012,332599,41,30
41,#V2CYGQPL,SL Fighters,8000007,330422,42,11
42,#L9J2GCL2,Extark,8000014,313033,43,18
43,#2JPL8RYLP,Dark,8000029,309535,44,28
44,#2CR2L2RQR,방장 존잘,8000021,308063,45,30
45,#28J2CLPC9,граза,8000019,306717,46,30
46,#298QY9Q22,PRO_GAMERS,8000057,303399,47,24
47,#VLY0L90V,Want Some Pork,8000059,301088,48,26
48,#28L9P0UGG,BRAVL STOP,8000023,296167,49,21
49,#2R2JY2PQC,monkeh999,8000054,296004,50,30
50,#2Y2RPUC8P,🇱🇰SL KOLLO✌️™,8000007,294884,51,26
51,#28URJP888,♡MSCT■Legends♡,8000017,287339,52,30
52,#LRYR2G0L,mada pakas,8000004,287256,53,15
53,#2G29CR8GY,🎮GAMER TIME🎮,8000007,283569,54,30
54,#QJR920Q,SriLankanz,8000016,279324,55,30
55,#LUCV9UJ,pinwanthayo,8000019,273532,56,30
56,#2YQVJ2LGJ,ропик,8000037,268609,57,26
57,#2C2GYQUVL,🤑VIP клуб😎,8000045,264689,58,30
58,#2JPVP9G82,Rule Breakers,8000034,260681,59,22
59,#Q9VUUP0V,JOCKER DOTGAMER,8000049,260233,60,29
60,#2JUYLYPC2,호로로로로,8000031,260069,61,29
61,#YGYP2LJL,ajs pros,8000017,259662,62,30
62,#20VR9C28,ROYAL BRWLERS,8000059,257748,63,30
63,#2QCVGGRYP,Dragon hunters,8000008,257150,64,22
64,#VQUQ9CPJ,Blæçk Pænthèr,8000029,255203,65,27
65,#29GQ9CQ02,New Dawn 3,8000053,254368,66,19
66,#20CQQVGY,JayaWewa®,8000014,253834,67,30
67,#2PGJV88RL,brawl mats,8000037,253689,68,25
68,#29GVQLYC2,Lemon🍋,8000039,246549,69,30
69,#2QQJGPQY2,[SRL] XerO,8000025,244000,70,30
70,#YPV220LY,SL Super Heroes,8000003,243515,71,20
71,#2PLYGGLYC,Brawl Buddies,8000029,240136,72,29
72,#RQ028LUG,Brawl Boyz,8000059,238398,73,30
