,tag,name,badgeId,trophies,rank,memberCount
0,#2J8VRUJYQ,Black Of Faire,8000006,807384,1,30
1,#UYCU8V0L,monsterki..ezzz,8000029,733166,2,26
2,#2YUC9CQGG,Бобрики,8000059,668118,3,30
3,#2L2CY2G00,AMICI PAZZI ❤,8000028,622540,4,26
4,#UR0RU9LP,ШЕЛЛИ НА 30 Р.,8000015,509979,5,30
5,#VP0JGVPY,<c5>TeamCB</c>,8000021,502462,6,30
6,#2CYLL999C,Dutch Fighters,8000035,459410,7,30
7,#GGU20VR0,leviatanes :):v,8000029,443612,8,30
8,#VQGG8GUR,<c7>VEYG YT</c>,8000018,414018,9,7
9,#2G2VU9Q8U,FC|LÉGENDARY,8000049,389126,10,14
10,#YRP0LVR9,Ezidxan74,8000018,372977,11,27
11,#2JJPCGUQ9,الزعماء,8000034,336177,12,30
12,#2G8G0GGU9,bigie Bana gang,8000037,335183,13,30
13,#R2VRC98,AL-QATEF,8000029,316517,14,9
14,#29PG88R2G,SA TÜRKİYE,8000055,306070,15,28
15,#2C8JVVV8C,THE BOYS,8000057,299773,16,16
16,#29PLGQ9GV,sopa de mono 2,8000047,298773,17,26
17,#2Q0YY0QGJ,Flaming,8000037,289444,18,12
18,#2CLCJPCGV,새터초 모여라,8000037,268833,19,30
19,#YYU0YP8R,milanclub,8000009,267534,20,30
20,#2G2Y0RQC0,The King,8000035,255629,21,30
21,#2GVRL2GUR,SURİYE TOP 116,8000018,253883,22,28
22,#2QQ99JGCU,var mi lan,8000045,238469,23,24
23,#2CGP2YU9Q,super gang,8000057,233015,24,23
24,#20PJCR8JC,OYUNLAR KAÇMAZ,8000012,230280,25,23
25,#JLLJPLPL,THE LORDS,8000057,221424,26,27
26,#2QU0JU8VJ,red streak,8000007,221332,27,30
27,#2R9U9LQQP,4_-Д Гуси,8000024,219316,28,30
28,#2J9R80JC9,DaNrEpR |Team,8000045,216839,29,12
29,#29CU0P2CR,beicon,8000028,216334,30,27
30,#YRCGJQJR,bananalovers,8000000,216142,31,30
31,#22P08RR2Q,сербернал,8000043,214881,32,30
32,#2J0Y0RG0R,Os gangstas,8000017,213963,33,28
33,#2P8G9PQ2Q,YBJ/LAZ,8000031,208709,34,22
34,#CU8J02G9,صقور الارض,8000021,204601,35,21
35,#2YYVVRCP2,vivaSEJU,8000027,203284,36,30
36,#R2JUUYYU,EPIC PRO SHARKI,8000008,201898,37,28
37,#2200YCPY,Quantum SU,8000012,191972,38,30
38,#P28R92JV,Brawl Stars Gms,8000035,185469,39,28
39,#YVGJL0QG,Şampiyonlar 2,8000035,184071,40,9
40,#RV9LJR,NEVER GIVE UP,8000007,180753,41,19
41,#289PR0U2L,Famiri 🇸🇷,8000025,179999,42,9
42,#2CR0PJCQJ,불고기62,8000031,179875,43,13
43,#VYQQV0C,футболочка,8000023,178875,44,29
44,#JV8RG9GG,<c4>ALONE</c>,8000029,178845,45,28
45,#22G8QR9C,avant gardes,8000013,176952,46,28
46,#229GJY9YP,ЩАВЕЛЬ,8000059,176831,47,13
47,#20JLVCCC,los chuck,8000021,176684,48,18
48,#2YV2C0QL8,BALD PeTRiK,8000043,175507,49,14
49,#9VYRR9JY,친구들아 모여라,8000017,173469,50,26
50,#RGL8JY8R,CodeLazar,8000008,173292,51,21
51,#YVR02CL9,荒野戰神,8000057,171576,52,16
52,#JV0UPLJV,보니,8000029,171394,53,30
53,#2LCQP99G9,🇸🇷❤️🇸🇷,8000004,170162,54,30
54,#VL2U9VY0,ikki,8000009,168946,55,30
55,#2JR289QPL,карандаши бомжа,8000005,166782,56,11
56,#209PQVJLC,гей клуб,8000035,163308,57,9
57,#2CJGGGCG,다솔스타즈,8000018,163087,58,25
58,#2J99JJCQY,bebraman.aks,8000033,159790,59,8
59,#2YPVY0LPV,kokoci,8000051,157214,60,30
60,#L2GP9VQR,도짱,8000037,156732,61,15
61,#GL90CCCL,нёхай бэбру,8000004,155846,62,30
62,#L9YGUUU0,Клуб,8000019,153148,63,23
63,#LVY0QQ2C,BOOM SQUAD 💥,8000046,152975,64,29
64,#UVRP2290,kjf,8000001,149582,65,29
65,#2GL2GY0RC,로블록스 하는사람모여,8000049,148303,66,25
66,#2CJQRJJR2,Sleepyzzz,8000012,147542,67,8
67,#RYLJQVGR,TEAM A,8000035,145641,68,9
68,#2L9YLRJQJ,LordGermanyGang,8000059,144827,69,30
69,#20L89G22L,ŞELÂLE EVLERİ E,8000004,144073,70,17
70,#28GQYGQRU,monanyo,8000003,143928,71,20
71,#RR0LJ0UC,коля леон,8000029,141731,72,24
72,#2YQ92RUQR,꿀이,8000043,139761,73,30
73,#2JYQ2GUCV,SideBoys,8000059,139221,74,30
74,#2J0R9QQJ2,TÜRKLER,8000052,137847,75,29
75,#2QYURRGCR,Cádizcf,8000000,135119,76,14
76,#2JUV82PVG,primos,8000021,132844,77,11
77,#2QRGCP0UJ,awesome club😁,8000023,132165,78,30
78,#290VV0VQR,主役は我々だ,8000033,131791,79,30
79,#P008G0P8,The Assassin's,8000022,131419,80,24
80,#G0PR9PV9,튜니티 본부,8000013,130921,81,30
81,#LRYRJ89G,arthur,8000042,130697,82,30
82,#Y2CYL02,Sranang koo saw,8000022,130540,83,24
83,#2JVUG2Q0,축구모임,8000037,129946,84,7
84,#298GP9GRJ,kiwi's club,8000059,129264,85,28
85,#20JPRUJPQ,The3Sages,8000029,128542,86,30
86,#JC8YRPVY,재우가족,8000022,127405,87,30
87,#2G9YYV0L,El chulo,8000007,127208,88,27
88,#2GGUQY0GG,넉접부리황새,8000028,127110,89,28
89,#28C8RLGJJ,so os brabos,8000004,126704,90,30
90,#J02CC,DE SU TOMMY,8000023,125842,91,28
91,#289Q0C8VC,RedLit™,8000007,124957,92,6
92,#298VJVVV0,Azure Lotus,8000055,124880,93,8
93,#2LRJR8Y9G,THE ASSASINS,8000055,124602,94,13
94,#JGLYV8CJ,😎ЛуНтИк🙄,8000007,122852,95,25
95,#29PQGL82P,Rainbow Stars,8000052,122046,96,8
96,#U0V0PGUJ,dudurirk,8000029,121942,97,29
97,#2YQ2PVRG8,AXE MEN,8000004,121826,98,30
98,#29RJVQURP,hruegdn,8000058,121631,99,29
99,#22G2LCRGV,jsk,8000023,119524,100,24
100,#PVR8PJYQ,Vazgeçilmezler,8000025,118660,101,24
101,#V2LVQYLU,Пушок,8000000,117798,102,24
102,#2YQQPUUJQ,GYM🖤,8000029,117414,103,24
103,#2YCQ9LP82,НЕБЕСНЫЕ РОЗЫ,8000029,114724,104,29
104,#CPY00YYL,Suri Kids,8000006,114534,105,28
105,#U98YQRYC,1 vs 1,8000026,114406,106,20
106,#2JPCGJGV,de vieze mannen,8000009,113950,107,21
107,#229RVQYP9,커비 펭귄 라승쫑,8000059,113807,108,19
108,#UGVPYJ9C,live brawlTime,8000018,112535,109,25
109,#UVU892PJ,tinkerbell,8000010,111380,110,21
110,#2R0YLQL2,확킬충클랜,8000016,111332,111,30
111,#RY088R2,ULTRA TEENS,8000035,111104,112,30
112,#2JLGLL22P,마바,8000039,109347,113,9
113,#20CCRYVJG,типовий кл,8000021,109267,114,29
114,#9L8PY988,las papayas,8000007,107778,115,27
