,tag,name,badgeId,trophies,rank,memberCount
0,#LRLYR89Q,BRAWL STARS FIN,8000029,784888,1,29
1,#CJVVLVJ2,Alioli eSports,8000004,488229,2,30
2,#Y09CGGLC,Team pros rouge,8000022,414615,3,30
3,#289L08RVU,infinity gronde,8000033,413428,4,28
4,#CLRPJUJY,puplinge,8000034,404736,5,29
5,#2G8UJ20UJ,kebabmitallem,8000016,392334,6,30
6,#2C9LPRCLC,MPS,8000023,392094,7,30
7,#2G92JYYLC,TW|Gaming☄️,8000053,388617,8,29
8,#2JYYYY0GJ,CAMERUNERS,8000007,377608,9,19
9,#2G98U2P09,pokemon fan clu,8000029,358909,10,30
10,#8RVLGVYJ,People magic4,8000017,344526,11,30
11,#CU02L2QY,olei,8000013,324625,12,30
12,#20GL9RP0G,FREE FIRE,8000016,318644,13,20
13,#28PV8CPC2,Marco Noah Loïc,8000031,317413,14,24
14,#2Q98VQYC,All Specas,8000011,314957,15,20
15,#2JRCGPUJV,CHAM,8000033,312723,16,29
16,#2JYVYJUUJ,the lougy team,8000021,280523,17,16
17,#89U0YLU9,BTS,8000005,276941,18,29
18,#9CV0LG02,Yıldızlar✨⭐,8000018,272835,19,28
19,#29LY9PRVY,Vegas der Beste,8000026,269513,20,30
20,#2GPUR8YV9,EEZAAS,8000035,267972,21,27
21,#22CLL02QV,🥷🏾/;,8000053,243661,22,27
22,#2QYJ0220P,SCHWEIZ,8000021,243498,23,30
23,#29GJJRL29,burgonya bajnok,8000000,242772,24,22
24,#8RLU898P,kadir 21,8000055,239016,25,25
25,#2QYQG8RLY,le chida,8000049,235745,26,11
26,#202CVYPVG,LORD 3,8000034,228600,27,26
27,#2C9GRU0JQ,Legendä,8000029,220203,28,30
28,#8G2CVG0P,brawl powers,8000023,219056,29,30
29,#2229YRY0C,le doudou,8000029,218139,30,26
30,#2GQJVRJJP,FCZ,8000003,217453,31,30
31,#222YJRCLJ,noobs,8000029,217429,32,30
32,#20R2L8P2L,Ricochet,8000053,217186,33,16
33,#V8C2J09,sam,8000023,215837,34,20
34,#20UYJ8VCJ,принц,8000057,212381,35,28
35,#UYG0GY9L,YT-Brawl,8000018,212154,36,27
36,#88LPPVY8,SUSSY BAKA,8000001,211851,37,30
37,#20PYL02RQ,TIEBOEB,8000008,210884,38,16
38,#Q8LYJJUR,s.2.u,8000059,208137,39,30
39,#22909JC00,Baba_Clan,8000021,204428,40,29
