,tag,name,badgeId,trophies,rank,memberCount
0,#28QQUCRJJ,⚡Fendi|GANG⚡,8000003,1953927,1,30
1,#2J99YUCYQ,YT|CRESTALE🔥⚡,8000025,1647498,2,30
2,#2P0PRCLG0,Me Elite,8000057,1456981,3,30
3,#G9JUG8,سراقب وبس,8000023,1437093,4,29
4,#Q0CJR9RV,Tribe Syria,8000023,1368361,5,30
5,#28PY2Q9YY,Katze 🐱🐈,8000057,1364173,6,29
6,#29GUJGCPU,Gentlemen🌊,8000032,1322283,7,28
7,#282PR9GGU,THE KINGS,8000049,1296310,8,30
8,#2JQ82LV9Y,SR|vip,8000023,1293719,9,30
9,#2GJCPV908,❄️ICE|CHILLE❄️,8000052,1244663,10,30
10,#2YYUY82Y8,Fire~[KingDom],8000055,1236838,11,30
11,#2C8VYQRQJ,楤|FRIENDS🖤⇝,8000029,1229921,12,29
12,#28J9VG2C9,🔥HUNTERS🔥,8000059,1221080,13,30
13,#J9JPY88P,zaidal,8000004,1175190,14,30
14,#29QCRLLVY,<c6>زهيرهه</c>✨,8000010,1158199,15,30
15,#2R9GP8LGU,TEM|SYRIA,8000008,1128866,16,29
16,#2GU8QQLP0,Nerdy Brawlers,8000007,1119283,17,30
17,#8Q8G9JY2,wwe,8000022,1072846,18,30
18,#2JUVQU80U,DARK SLAYER,8000029,1040041,19,30
19,#C9V288LV,THE PRO BRAWLER,8000049,1032343,20,30
20,#URUGJ2P,Club Gx,8000037,1020640,21,30
21,#J80P280,MeGrez Syria,8000006,999175,22,30
22,#2J9LY8JC9,اتحادنا قوه❤,8000023,956759,23,30
23,#202G9LYRP,إلأبطال السلام,8000046,952891,24,29
24,#Q2L8Q29Y,🖤|ZT |👑,8000023,929194,25,30
25,#2R0V8Q9UL,MARVEL,8000019,924307,26,30
26,#2R8V9PVCG,TEAM PUPS HOUSE,8000057,916260,27,29
27,#2QR89VV28,CheckMate🔥😛,8000023,910693,28,29
28,#28YP2GVJ8,HS_BRAW STAR_YT,8000027,907774,29,28
29,#PC2CCGV2,Youtebers Group,8000001,898461,30,30
30,#2QCRLR2YU,Arab Heroes,8000029,866314,31,30
31,#PVJQCQYL,improved weed,8000013,862481,32,30
32,#2JC9RUVR0,Ms|Kings™♕,8000055,856417,33,28
33,#29RR29CVJ,FK HD,8000029,855226,34,29
34,#2G89JJLRP,warzone,8000023,835977,35,30
35,#2GP9UQPJR,SYRAT N @,8000023,830185,36,30
36,#YGVY0JPV,الأبطال,8000029,829068,37,30
37,#2JQY8V9L,Vexus Force',8000049,819723,38,30
38,#RQ9L892R,The lions,8000053,803635,39,30
39,#2JUP9G80R,الوطن العربي,8000029,800710,40,30
40,#2C9RYQPGJ,BS|AVENGERS 🪐,8000025,791401,41,27
41,#2Y0PR8R88,Tribe Syria 2,8000057,789372,42,25
42,#2C02JC02U,‏ ☪️تيم العرب,8000045,786212,43,30
43,#2J02LGJLV,A Few Good Man⛩,8000037,782189,44,29
44,#QY2JC29Q,مصلاوي,8000033,779675,45,30
