,tag,name,badgeId,trophies,rank,memberCount
0,#2GC8LVJ8C,天路引歸🐙,8000059,1724911,1,30
1,#2G0JVJ2RG,鄭鄭的窩,8000051,1703906,2,30
2,#20U9V8P8Y,♥Neow♥,8000023,1661308,3,30
3,#2C0QQL0CV,♥Meow♥,8000023,1600617,4,30
4,#LQQJ9VQQ,無影撼地軍,8000027,1565849,5,29
5,#2R0UYQPCP,辛蒂的小跟班們❤️,8000057,1543980,6,30
6,#L2Y2LP,Legendary 輝煌時代,8000057,1487242,7,30
7,#P8G0C0UJ,春暉之思,8000040,1465779,8,29
8,#RPCL2228,飛天義大利麵神教,8000035,1465051,9,30
9,#QVYRRCG0,合作炸阿姨,8000018,1425199,10,30
10,#2G90VUJ8U,芽芽種子樂園,8000046,1415542,11,30
11,#YVJL9CCQ,甲蛙懶叫,8000013,1403928,12,30
12,#U9J9YJ2R,<c3>史派克公園</c>,8000013,1403024,13,29
13,#299RCJLQJ,Mr. Team,8000029,1375936,14,29
14,#LUR8RRCC,Magic 黑豹,8000057,1374760,15,30
15,#2QJ8UJ2JP,<c9>Mr.P公司</c>,8000055,1370963,16,30
16,#200YRPVYR,ł ɱƖƧƧ][̲̅ᵞᵒᵁ♡,8000059,1365125,17,30
17,#2GLR8LYQ8,無影撼地軍-2,8000057,1361660,18,30
18,#2RPPYVYRG,我就爛._.,8000057,1349696,19,29
19,#VJQYV0YR,企鵝大家族,8000059,1344392,20,30
20,#L0PJQV00,❄️彼岸花之墓🥀,8000057,1340448,21,29
21,#2GR9RCQL0,血鬼愛好者聚集地,8000041,1327133,22,30
22,#2JGGYGJYP,合作金庫,8000031,1324586,23,30
23,#LVV28JYV,<c7>T0</c>,8000022,1321745,24,30
24,#2GY82LPJQ,杰哥不要,8000044,1314468,25,29
25,#20L9L8P0G,咖啡貓0.2,8000023,1308361,26,30
26,#LVPRYJG,無影軍團,8000008,1305807,27,30
27,#2RCC29QJ9,場外休憩區,8000006,1303900,28,30
28,#L9J0QGG0,✨Infinity⚡,8000029,1302642,29,30
29,#2CPV8LCYL,闇月宵之宮,8000039,1299663,30,30
30,#2R92UUC2C,來吃豆花,8000037,1285745,31,30
31,#CLUPYV,前方高能！請非戰鬥人員迅速撤離,8000057,1282512,32,30
32,#2GC08CJJV,❤️ᴋꜱ_夏夜微涼🌌,8000059,1281519,33,30
33,#2PR0LR29G,無影赤焰軍-2,8000049,1277953,34,30
34,#2R0JLV8RG,佛系戰隊,8000007,1275219,35,30
35,#9C8CRVY,荒亂御魂,8000008,1260778,36,30
36,#VJRGU2YL,合作金庫ll,8000031,1259327,37,30
37,#VYLVPU8U,BlackSecret,8000039,1258876,38,30
38,#2QG0RVPJP,村寶寶,8000016,1257664,39,30
39,#Y88LL02,叔叔們,8000007,1256242,40,30
40,#LCG29R8V,胖寶寶窩,8000013,1253400,41,30
41,#GCRPPJCP,無影光芒軍,8000018,1253104,42,30
42,#2J8U8J88U,🌱ʕ•̀ω•́ʔ,8000051,1252927,43,30
43,#22GC0RUP,ElitePig,8000035,1251137,44,30
44,#9JPGYUG,台灣 Taiwan,8000017,1249306,45,30
45,#2PCUCPLC2,無影伏擊軍,8000025,1243829,46,30
46,#RQGRJ00,超級BangBangBang,8000047,1239117,47,30
47,#2GGLGG0RP,🌙長夜孤月🌙,8000007,1233200,48,30
48,#VQVY9LL8,馬祖的最後希望！！,8000049,1223293,49,30
49,#2GY20GV9Q,無影軍團-3,8000008,1222402,50,30
50,#2R2ULRQJQ,人家是女生欸,8000008,1212188,51,30
51,#2G0LJGJVG,墜落宇宙...墮落星空,8000057,1205845,52,30
52,#UJV80Y9C,荒野小部隊,8000002,1204106,53,30
53,#2GYLQUYC9,Magic 星空豹,8000002,1204101,54,30
54,#2GRLC2V99,合作金庫lll,8000031,1203772,55,29
55,#2GLJVR998,鯨魚騎士聯盟保護區,8000059,1198903,56,30
56,#2GG898GRQ,無影輝煌軍-2,8000028,1198491,57,30
57,#2GL9Q9G9Y,高雄倒讚幫,8000057,1197160,58,29
58,#2YJYLVQJY,復仇者保護協會,8000035,1196596,59,30
59,#8G2JJC8,molamola,8000029,1196478,60,30
60,#CLU8JVPQ,冠菜之蕉,8000017,1194533,61,30
61,#20VQCQQJJ,<c3>史派克公墓</c>,8000013,1193834,62,30
62,#RC9GRJRC,U.T.Dynasty,8000029,1190742,63,30
63,#209Q2V8Y2,臺灣技術流（分隊3）,8000023,1190406,64,30
64,#2GQVVPVPY,無影榮耀軍-3,8000022,1189181,65,30
65,#2RUPGPL0U,璀璨榮耀,8000018,1188987,66,30
66,#2GGY0GQRV,❤️‍🔥鎖幫❤️‍🔥,8000036,1186565,67,30
67,#YYU9Q82V,恐龍詐騙集團,8000057,1186522,68,30
68,#L0LL9RLY,拜託別這樣,8000029,1184900,69,30
69,#2QYU9CVV9,༺ØᴳᵒᵈW₲M༻,8000035,1183454,70,28
70,#PQLYLL9,沒時間解釋了快進來…！！,8000003,1183344,71,30
71,#L80UG9,所以是我的問題嗎？,8000029,1177005,72,30
72,#2RYJ989C2,Power Milk,8000035,1172075,73,30
73,#2GUGCJV9C,拖椅子的狗,8000031,1171910,74,30
74,#UP09JQPU,人皮客棧,8000006,1169393,75,30
75,#290GUJPJC,<c7>幹嘛偷看我個資</c>,8000035,1169134,76,30
76,#2G9YRV29V,無影榮耀軍-2,8000054,1165187,77,30
77,#LCR8VJY2,怪怪的動物園,8000009,1164656,78,30
78,#2YCJG0RCJ,臭甲樂園,8000057,1164240,79,30
79,#2QCJYVQ02,無影榮耀軍,8000028,1159746,80,29
80,#20GR80QUC,Just Chillin',8000021,1158141,81,30
81,#20CQGV2RG,無影星辰軍,8000014,1156446,82,29
82,#9CY2R,我愛瑪莉小羊,8000021,1155743,83,30
83,#298PLRUGU,地圖編輯器咖賀,8000018,1150718,84,30
84,#88YY022G,NetflixAndChill,8000023,1149430,85,30
85,#29LQ28Q29,素食匪徒幫,8000043,1147925,86,30
86,#28L9VLUCR,Eddy's,8000031,1145465,87,30
87,#YJJR0VVQ,荒野亂鬥！,8000057,1144961,88,30
88,#2GGYJ0CJJ,👶🏻👎,8000035,1143946,89,30
89,#2CRJCUYQ0,AZURE NIGHT🌌,8000052,1141373,90,30
90,#2R0229C02,大長腿🦵🦿,8000016,1140122,91,30
91,#2Q9UVV080,/eclipse/,8000052,1139970,92,30
92,#2P8CUJ9UG,烤肉肉😋🍖🎊🍻,8000035,1138884,93,30
93,#29QQGGQ2C,❄️花殘舞淒影🥀,8000057,1134329,94,30
94,#2R9GJYULV,東方盟,8000018,1134011,95,30
95,#2L0Y8P9V,蜜蜂戰隊,8000047,1132415,96,30
96,#202PVLP8R,Taiwan,8000047,1130607,97,30
97,#2R0CJ0YG9,KcTdaP-ike,8000013,1126806,98,30
98,#208UP8U9U,無影閃電軍-2,8000005,1122311,99,30
99,#2JRRJJ8J2,我只歡迎高手加入,8000057,1122115,100,30
100,#20JU2VQYY,天使&惡魔,8000047,1121081,101,30
101,#2QRQY0UCV,臺灣的未來,8000057,1118883,102,30
102,#290JPQQ8Y,貓貓學堂,8000059,1117275,103,30
103,#VJUG9QJ8,無影光芒軍-2,8000059,1116996,104,30
104,#2R28V9Q9G,臺灣No.1,8000016,1112563,105,30
105,#L82LRGUP,北極team,8000052,1108619,106,30
106,#LLQP2UPP,煞魔神,8000052,1106620,107,30
107,#2YY8GJQR9,大家一起玩,8000053,1105992,108,30
108,#28R8YRVY0,臺灣技術流,8000018,1105980,109,30
109,#L2CYCJPU,腦衝乃我本能也,8000035,1105365,110,30
110,#J8UQULQR,SKy|天際軍團,8000002,1103391,111,30
111,#2GRVLLL88,臺灣彈藥庫⚔,8000049,1102430,112,30
112,#2J20LVJQP,無個性戰隊,8000034,1101801,113,30
113,#2CQP2VLY8,清涼檸檬🍋薄荷糖🍬,8000029,1100901,114,30
114,#2GY0JUUYJ,難民收容所,8000057,1097751,115,30
