,tag,name,badgeId,trophies,rank,memberCount
0,#2G2QGCRL2,GStars Power,8000014,3293686,1,30
1,#898292CL,Legion Inferior,8000049,3113988,2,30
2,#2PQ9CU2J8,SK Germany II,8000038,2866650,3,2
3,#UCC29C0Q,TABULA RASA,8000029,1524320,4,30
4,#2G20JGJVU,<c5>LGL🔮</c>,8000052,1142762,5,29
5,#2PL9YRP2Y,Raycep Elite,8000059,1053501,6,30
6,#2CQ0QPYCJ,SNIPER MOMENT💔,8000048,941887,7,29
7,#2CJLPVVP2,My Big Club,8000033,930970,8,30
8,#22J2U2GJC,Бабиджон,8000005,898579,9,30
9,#29QJGVVYP,LEGENDAS,8000023,870228,10,29
10,#28JG8YQGC,🪴растения🪴,8000014,856218,11,30
11,#29QLUY0P0,ROZIK_OFF,8000029,845866,12,30
12,#29YVLY8QV,Dark Angels🖤,8000036,823590,13,30
13,#YUJY82PJ,Uchiha⚡,8000004,784682,14,1
14,#28RGCGU9G,NAVI MMA TM,8000037,718867,15,29
15,#YGRCGJCJ,TAJIKISTAN_TOP,8000037,712057,16,30
16,#20LL9RGGU,подпищики робзи,8000039,703086,17,30
17,#QC0CP902,<c0>ГОПАРИ</c>,8000000,695367,18,28
18,#2RU0YCPP0,DANGER|BS,8000037,652903,19,19
19,#QY92QUG8,☔️ッToP4iK™,8000056,649259,20,22
20,#YVQVR29P,FCB BARSELONA,8000023,636175,21,30
21,#2JVUUULYL,Norak_elite,8000056,626323,22,30
22,#2QPGP908G,Fioza Team,8000005,579182,23,29
23,#2C8GRQ98L,tt Cosmo,8000035,574301,24,30
24,#200VCRVJR,Таджикистан,8000020,565940,25,21
25,#29808Q9CQ,⚔️|Team,8000031,565786,26,30
26,#20JL8QCUC,Team Gale,8000000,525870,27,20
27,#2QV99CPRP,HOBSPLAY,8000035,523744,28,29
28,#Q920GLCL,КЛАН АЯКАСИ,8000023,518543,29,30
29,#292VPPCQQ,LEGENDA,8000029,516831,30,30
30,#QY2UCCQ8,Legendari_kings,8000029,511203,31,30
31,#2G99CLUGC,LEON.TJ,8000029,498885,32,23
32,#QJRUQ98U,VIRUS_KOM,8000059,495545,33,30
33,#2LGY9PRUQ,ПРИВЕТ ЖОРИК,8000057,493203,34,24
34,#2LL2RPU0J,Мастер Кв,8000002,484623,35,30
35,#2QQYCQPCR,Friends sity,8000037,481252,36,30
36,#2RYL8GCV9,Уголок Айскрыма,8000029,475914,37,30
37,#28VQY0RGV,IMPERIAL TJ,8000037,473643,38,17
38,#Y920R99J,🔥ONLY FOR BEST,8000023,461274,39,30
39,#2Q8LJ0JGG,рнб сош 1,8000013,456354,40,24
40,#2C9CC89V2,♤♧[KING]♧♤,8000037,453258,41,30
41,#2LLC8P28G,Top Player,8000025,446385,42,30
42,#299CVCC2P,ЧЕСТЕР ИМБА,8000029,433713,43,30
43,#VUQCV0QV,BioIt,8000029,430740,44,22
44,#29LRQLVGV,🇭🇺Tjk_Borz😡,8000037,423813,45,30
45,#2CRJRJGCC,спайк,8000050,420236,46,30
46,#Q0VJ82QL,Легенды здесь😎,8000029,414611,47,30
47,#P9YPCQGL,LegendaDz,8000037,412435,48,22
48,#2CQR2VRJV,салом алек,8000005,410632,49,26
49,#2J2J0RVJR,PUBG🪖,8000004,409207,50,17
50,#2RUVQQ88J,гей клуб КТ,8000004,408078,51,30
51,#29G2P9G9Y,Vafo-squad,8000027,402701,52,30
52,#29JYG22V0,My Big Club 2,8000033,393154,53,30
53,#29GVVGQY0,BS SUPERSELL 64,8000006,391135,54,27
54,#29YJ0L2R0,😈LEGEND CLUB😈,8000029,384879,55,30
55,#CJP8Y8PJ,ЖЫРНЫЙ ЖЫР,8000011,384565,56,25
56,#2CRYV2RGV,Мегакопилка,8000049,383896,57,30
57,#QR9UG0P9,братья,8000023,383109,58,30
58,#2JQQC0PQ0,Immortal Sword,8000045,379428,59,16
59,#Q9CYPY9U,GOOD MAN 2023,8000023,378201,60,30
60,#YQL8LP2,TAJIK,8000029,374449,61,29
61,#8RVUQ829,центр2005,8000007,373968,62,29
62,#L29R28QJ,BS_KING,8000050,367013,63,30
63,#UVJC2GRQ,А.2021,8000023,360996,64,23
64,#2GLP0L9QJ,TAJIKISTAN,8000029,358368,65,30
65,#2CPV9V82R,Пабло топ,8000007,358363,66,30
66,#2QC2R0LVR,TAJIK[*_*],8000059,355229,67,30
67,#2GPL0YVPL,МЕГАКОПИЛКА,8000016,355024,68,30
68,#2J8JJ0G08,gogogogo,8000019,354030,69,29
69,#2C29UJGJY,БРАВЛ ЛЕГЕНДА,8000049,351829,70,30
70,#2PV0LGPJY,👁yaw👁,8000049,349149,71,20
71,#JPCY2JVL,namber,8000013,345033,72,25
72,#Q2LYJVCC,YT|BASTER,8000034,339497,73,18
73,#2LY98928Y,про бравл старс,8000058,335744,74,29
74,#VLQLRCUY,TJ|ELITE 👑,8000029,334182,75,13
75,#PCPYJGP0,ЮПИ/\33mkr,8000023,333739,76,19
76,#2QJ9UQVU9,Юрий Коренблит,8000029,329412,77,13
77,#2YVC2JYJU,A Good Players,8000019,327722,78,29
78,#V8PC8UP8,ОГУРЦЫ ДОНБАСА,8000022,326533,79,23
79,#YCV800LP,UwU Team,8000023,324714,80,30
80,#299CGGCRR,Goust,8000059,317400,81,29
81,#2QJV80VJC,😎GAMER4IIK😎,8000021,317259,82,30
82,#2J2YVRV8G,дздакои Боткина,8000021,310339,83,30
83,#2RVJYUVC8,Humble Grinders,8000057,306121,84,22
84,#2QL92GUQ0,TAJIKISTAN🔝,8000057,303074,85,19
85,#29JJQPV2Y,Mortal_Team ⛩️,8000023,300111,86,28
86,#292UCYC89,living legend,8000029,299596,87,29
87,#29LJ0V28C,ArGmR,8000035,299536,88,27
88,#2QQ92LUC0,Nowhere club,8000035,299143,89,26
89,#LL8VQY9P,NAVI MMA TM,8000023,296111,90,28
90,#22RQ2Q2Y2,уха,8000058,294740,91,13
91,#2L8UCQ90G,Бебра,8000057,294333,92,30
92,#Q0URCUJ,✨ХАКЕРЫ✨,8000055,292318,93,27
93,#2P8JR2VJP,Bayzo,8000054,292141,94,19
94,#PJ0LUUQQ,Фархор,8000003,291357,95,23
95,#UC2QG9Y,школа 136,8000023,289598,96,21
96,#VJ2R2GV8,Умные Лизгвинки,8000057,288496,97,14
97,#2JJC9GY8Y,КЫТЫЧЪ,8000013,288275,98,20
98,#29PJLVYY0,何もな|Nσ‌τђι‌ηɠ😕,8000049,287838,99,30
99,#V2JQLQQP,<c3>CacTu</c>$,8000045,287035,100,9
100,#2QVG9L20L,TJ | FAMILY,8000023,286383,101,10
101,#YL8822UR,UDEAL TEAM,8000013,285662,102,22
102,#2G9GJVYR0,отряд сокала,8000031,284479,103,30
103,#2RC8V0VPC,Radishev,8000051,284368,104,22
104,#299JC20CU,_V.AH.D.A.T_,8000037,282775,105,25
105,#2CLGQGCQQ,QURBONOV S,8000059,282586,106,23
106,#L2G8GCRJ,banda camanda,8000033,281991,107,14
107,#P9LRVRYL,дрим тим кек,8000014,281374,108,29
108,#22U0JUG9G,Королевский Дом,8000013,281007,109,30
109,#22CY8QVPU,Buksns,8000027,280608,110,14
110,#QR8PJ2QQ,просто игрок,8000002,278742,111,26
111,#29QL0CGRY,Дикие таджики🗿,8000013,277423,112,14
