,tag,name,badgeId,trophies,rank,memberCount
0,#2J8C2CGP,<c4>VoRt2x</c>,8000032,1153149,1,28
1,#YLYQU0JG,Homestead,8000008,1097889,2,30
2,#2PCJQVURU,CM|Renger,8000055,683947,3,30
3,#QGURCRVR,Кольт,8000041,541228,4,21
4,#29UQV8V9V,阿力阿巴戰隊,8000010,524096,5,26
5,#2JCUCV89J,ℬ𝓇𝒶𝓌𝓁ℬ𝓇𝑜,8000022,494684,6,23
6,#29R0CVPP8,BRAWL STARS,8000027,422699,7,26
7,#Q8P8V2LG,고수 먹는 고수들,8000053,420940,8,1
8,#2G9L2V880,이동윤 최고,8000015,407325,9,30
9,#2YL0CGRV0,Phantøm Team,8000039,397416,10,18
10,#2L0PV99YP,嘿兄弟,8000036,379941,11,30
11,#2RYPVPQV0,Чика,8000014,376579,12,30
12,#28C9YVJQ0,kaktus je good,8000013,376536,13,29
13,#9PUC2R,los saxianos,8000004,345249,14,30
14,#V0Y8GVYR,Tanzania,8000037,331460,15,26
15,#29C0GCGY9,путь 25 рангов,8000053,326202,16,29
16,#2RRQRLPP2,DESTRA ITALIANA,8000058,314360,17,30
17,#2QGVU2QL8,Сфинкс,8000013,291031,18,24
18,#2R80VCRQR,харча,8000057,277856,19,30
19,#2JRCQR0PG,B-Jays,8000021,260611,20,15
20,#2089PY8RR,BEST BRÄUL,8000016,247228,21,12
21,#V228Q9,СберМобайл,8000029,246000,22,16
22,#2L9YCJY9R,окулёночек,8000016,244256,23,22
23,#2PVJ0QJL9,CrackedBrawlers,8000029,242967,24,20
24,#QC29PJPJ,per tutti,8000043,240609,25,28
25,#2R2UPGQQL,Fire,8000037,238999,26,20
26,#29C2CUGRR,012_майните,8000018,232751,27,25
27,#RL92CPQR,LUMYA,8000049,232675,28,30
28,#2LGVCV0JU,СДЮШОР 2010,8000029,231793,29,20
29,#2CJCL000,DaxYT,8000029,223263,30,23
30,#YJG889PY,Ryzhovye,8000004,217910,31,16
31,#9LL9QP2,HОМ0SЕХ,8000010,217288,32,30
32,#2YG98G8R9,🇹🇷TÜRKİYEM,8000006,214102,33,23
33,#2J09YY2VQ,skakasw,8000043,209859,34,15
34,#2Q88UVVPJ,мага пдпдр,8000025,207131,35,27
35,#CULRPJ9U,бро таим тим,8000022,203684,36,29
36,#QJ9P99L,Twiga Tz,8000055,203134,37,30
37,#QYCRCYR,sdown,8000023,202493,38,22
38,#L2J9U8UV,mamasonicos,8000057,197891,39,22
39,#298VJ0QVP,Ето Клуб,8000017,192456,40,13
40,#28U9QUYRG,Riverz❤️Team,8000023,192142,41,23
41,#892U9C8U,поззи,8000012,191035,42,24
42,#2G0VCPJQV,the cliff,8000039,190467,43,17
43,#2JGJLQ282,MAKSIMKA,8000039,181606,44,11
44,#22Y0UCUGC,равшан джамшут,8000039,179143,45,30
45,#2L2Q9YLYG,ихол,8000059,173718,46,29
46,#2QUJQLCJR,BLOCURILE ANL,8000018,173382,47,30
47,#22G28JPL9,🌵п а б л о🌵,8000013,172800,48,30
48,#29LLLPRCU,OSMANLI IMP.,8000014,172595,49,30
49,#29RQ88YVV,⚡<c7>Молния</c>,8000019,172512,50,17
50,#2928QGRQC,CODE OJ,8000007,171763,51,13
51,#28829V2L,Jorlanas TM,8000014,168300,52,27
52,#2Q8Y8RCC8,а4,8000007,166509,53,26
53,#2YP82JVJY,les tanzaniens,8000055,164613,54,18
54,#28CYPPCLG,Круть Амур,8000014,162499,55,30
55,#QLYVQY20,Said21,8000047,161863,56,30
56,#29099J0J9,YT|Colt imba,8000059,161265,57,16
57,#2YRGPGP9L,новый клуб,8000059,155139,58,28
58,#28JJ982LC,_DanilkaLand,8000057,152143,59,7
59,#PJVUCPRY,20 K,8000055,150274,60,30
60,#28P2Y0J9R,LCX 2.0,8000009,147592,61,11
61,#L2VR8PLJ,пися55,8000057,146300,62,17
62,#CYCYYPUG,Розовые деды,8000008,145860,63,29
63,#2LUGRUJ98,гнолоб,8000027,144790,64,27
64,#28JGL2GLL,club dei gatti,8000025,144385,65,30
65,#9V8J8YCY,بليزلا,8000059,143734,66,30
66,#2LY9GJQ8Y,РаСтиШки:¶,8000056,133898,67,17
67,#28QJ90JVP,Пони топ,8000004,133445,68,24
68,#2CJQJRPVG,🥵fogosos🥵,8000027,131770,69,12
69,#LVGVYJP,les brawlers,8000029,131571,70,3
70,#Q00L2UL2,NAVI АМИР 228,8000028,130133,71,28
71,#2QLVQR9GY,مع,8000021,129713,72,28
72,#2P8P222R0,Mr beast,8000005,127629,73,28
73,#8URLYYU,GROUPERS,8000022,127017,74,30
74,#R99GG88,маракасики,8000059,126249,75,19
75,#CR9VPV22,teams surge,8000000,124846,76,11
76,#2882UPV2V,kankalar,8000050,124657,77,29
77,#L9YCLCJ0,мы топ,8000059,124643,78,26
78,#UJLCQ9Y0,Black Brawlers,8000029,123599,79,11
79,#89CQJ2LP,OnePiece🏴‍☠️fr,8000036,122517,80,17
80,#20R0PVLCQ,[TM]TAYFA,8000055,121400,81,26
81,#29G0C80GL,Gaming Lounge,8000025,121068,82,30
82,#22C0PUUUR,шемки,8000000,121041,83,30
83,#9YJ9UL2U,BRAWLERS,8000019,121021,84,25
84,#290U2GRYC,Zielony Lipton,8000012,120036,85,29
