,tag,name,badgeId,trophies,rank,memberCount
0,#2JV0RVUU0,<c9>Bulls</c>,8000023,1005550,1,30
1,#G00L9800,<c0>REAL</c>,8000023,980029,2,30
2,#LQGYRQP,poops only,8000031,839691,3,27
3,#Q8R998LL,🇺🇦,8000029,759389,4,30
4,#29P8CUC2V,Club  #29P8CUC2V,8000054,657202,5,29
5,#2G20LQQ0Q,ислам,8000023,634569,6,30
6,#28VP8VQRP,blox fruits,8000049,572899,7,30
7,#GL82GR28,ThRclan,8000037,554687,8,27
8,#29YCLYCPL,VitalityTokelau,8000013,541129,9,29
9,#2920QV9PG,Regen,8000052,523671,10,30
10,#Q2LR8R9C,Ghg Clan /(Yt),8000023,490838,11,30
11,#VG2G20QU,Mordeczki VCR,8000014,488738,12,23
12,#2YL0J9YG2,realtopersy,8000056,432731,13,30
13,#2C2C9GL89,tabbonamok,8000019,424533,14,30
14,#2CPRPQVQG,LesZguegos,8000049,380332,15,29
15,#8LL8LCR9,Galegos,8000043,345428,16,30
16,#UUGC0JVL,Faw1x,8000025,342723,17,27
17,#28R8G9GY2,Токийский гуль,8000023,338116,18,30
18,#29GCJQ2RR,parówa,8000031,317173,19,30
19,#2GYL2GVVU,VALHALLA,8000006,310615,20,21
20,#28U2VJG0,黎明之光,8000029,310150,21,23
21,#QQ9GQCY0,KingCobraUnion,8000006,306830,22,22
22,#208082QQ2,KILLER INSTINCT,8000055,303965,23,14
23,#LQGRQJ2U,death bed,8000023,268879,24,12
24,#2LG2VR28P,𝓑𝓻𝓪𝔀𝓵💕,8000057,263613,25,22
25,#29PGYRGUQ,불쌍맨,8000000,257157,26,30
26,#RVJQYPQV,DALANA DALARIZ,8000029,240975,27,30
27,#VPQJYU02,BestFriend,8000001,236317,28,14
28,#YGQ9V8Q2,Clubd.Verlierer,8000012,233138,29,22
29,#2VRL000Q,행복한태권도장,8000029,232341,30,29
30,#UPV2JVGJ,СПРАУТ ТВ,8000023,227789,31,26
31,#20VGL90Y,KNGL Clan,8000017,224707,32,30
