,tag,name,badgeId,trophies,rank,memberCount
0,#2G29YL0J8,Honored one,8000011,1204506,1,30
1,#9YL8V9PR,Trigger Happy,8000026,1139920,2,30
2,#29QY9U9L8,SouL Academy,8000010,934112,3,29
3,#YV2QJCC,TRINIDAD GAMERZ,8000004,892954,4,29
4,#LVLU0J9Y,الحياهـ❤️.حلوه],8000025,878399,5,30
5,#29L9P8209,amigues 💋,8000053,819802,6,27
6,#2PPVGC0R,BRAWL CHAMPIONS,8000021,774295,7,30
7,#8R0UGPP2,Trinity Men,8000011,686290,8,30
8,#2QRQRULQP,legends.,8000044,666468,9,30
9,#2LPQJYVVC,puscher Club,8000029,629333,10,30
10,#29PYJU8QG,Dark Fortress🖤,8000025,628680,11,29
11,#20YRU2UPR,GOLD EXPERIENCE,8000056,621813,12,30
12,#28GRQCQGC,城北M2,8000048,594478,13,30
13,#YC28UC,trinibrawl,8000055,586675,14,30
14,#GVPGGR92,los sabelo todo,8000053,586490,15,30
15,#2G9QGQL0J,Zaminggeiltim,8000055,557307,16,30
16,#22LJLU8VR,SRPSKA PITA,8000018,556837,17,30
17,#2JP2R00JL,skullboys,8000008,556032,18,30
18,#2R2JLUQ98,БЕЗДАМАШКИ,8000035,551888,19,27
19,#298JPVPUL,SevenDeadlySins,8000033,541815,20,30
20,#2JLGLGPL8,Hell's Gate,8000023,532017,21,30
21,#2Q290QVUL,cryingman,8000053,526328,22,30
22,#GQ2U8YQR,THE FOX DEN,8000023,511929,23,30
23,#GPRJJYJY,Cool Brawlers,8000000,503898,24,30
24,#29PQJUVPL,🎈🤡IT🔥,8000016,487743,25,28
25,#QRY9JC98,Trash Bandits,8000030,458086,26,30
26,#29LG2JUCY,🌙Moon Kingdom,8000010,457335,27,29
27,#2JUYY92QP,Bs-Lol,8000032,440890,28,20
28,#P2CRY8G,86ix8 views,8000023,436421,29,29
29,#2CPQVY9UJ,Brawl Pros,8000003,435774,30,30
30,#8CCU0Y2Q,TRINI 868,8000016,424220,31,29
31,#LQY0VY,TRINIBOSSES,8000023,413209,32,20
32,#2GLUG9GQ,Pup,8000016,387920,33,19
33,#QCJJ90YC,PAVYONS|™,8000004,375041,34,24
34,#2C0008V82,Жд-Типочки,8000026,374383,35,30
35,#929Y0C2,Trini $+@r$,8000006,363733,36,29
36,#Q0Q2V92,LdoriginalG,8000037,362107,37,30
37,#28CYJC2U2,AAAteamKINGS,8000036,354451,38,28
38,#VU2PP9Y0,☆ＬＥＧＥＮＤＳ☆,8000027,348342,39,16
39,#2G28PYV9V,경희대,8000058,333771,40,30
40,#UV9C9LUV,C.H.I.L.L,8000029,319812,41,22
41,#2JYGJ08C8,The NPC,8000041,316202,42,11
42,#29YJ0UQJR,The true gamers,8000055,314670,43,30
43,#22G2YG0JQ,спай,8000012,310816,44,30
44,#2QUJYRV29,Tsukimichi,8000057,304669,45,20
45,#2JGCCC8PR,Guarisapos 🐸,8000036,301543,46,18
46,#20R0V8ULU,wooski,8000021,298588,47,29
47,#8YLR2U28,TRINIDAD KINGS,8000029,297928,48,30
48,#QL90LV9C,Newbies,8000011,291038,49,13
49,#2JRLJP8GR,오렌지왕,8000025,282456,50,28
50,#VV8929Q0,Meine Galacksi,8000023,282329,51,30
51,#2C9LUY8CL,2 ikili,8000029,279034,52,22
52,#9GR98V20,The_Goats,8000004,277051,53,20
53,#20QCCLUGR,THE FIVE,8000007,275568,54,19
54,#2JUVP0JVR,WeatherForecast,8000053,273991,55,30
55,#RUJY9U8P,trini,8000001,265941,56,30
56,#28CY2Q8PG,Loud Squad,8000023,264390,57,20
57,#YLC0JVPJ,TriniWetties,8000008,253300,58,26
58,#Q8QQ00U,kush,8000035,250181,59,26
59,#9YJG9QJR,leker patat,8000059,249374,60,30
60,#JJ2LYC8,RealMadDwags,8000000,244064,61,30
61,#2822J98CQ,NRG Clan,8000027,240531,62,30
62,#2QJU0QL,Belmont H.W.A,8000027,236939,63,24
63,#PJQVPL9Y,StarboyBossMen,8000003,234676,64,30
64,#2CG9RG0JV,FC Nega,8000025,234519,65,30
65,#28L80PY82,Ultamate Moders,8000045,233467,66,24
66,#2P0CJ9GGR,The Greens,8000046,232717,67,23
67,#29VPRCG9G,HİRA YT,8000057,231826,68,22
68,#2G2VRU99,DerpClub,8000021,223510,69,23
69,#2PGVQYUQJ,Malcolm X,8000018,222203,70,29
70,#8PJULYLJ,charo gang,8000005,220319,71,29
71,#20JCCJ02L,S.I.S. KILLERS,8000030,219560,72,27
72,#QG9RGCP8,trini kings,8000023,219274,73,23
73,#G2R0PQUP,Novovoron.CiTy,8000027,217227,74,24
74,#2LV8U0PP9,+Кубки+,8000055,214829,75,28
75,#J8QCGYY,Trini Assassins,8000021,207355,76,25
76,#28LQV28LC,PegasusTT,8000043,206113,77,30
77,#2GJ0CQPV8,FARAON4IK,8000046,204336,78,12
78,#2RUCURPCL,Карамов домой,8000029,203479,79,30
79,#220Q0QGPP,Surprise Attack,8000029,202665,80,30
80,#2QYQ20QVP,B/S,8000033,202199,81,26
81,#2R2R80YQU,SerIouS🤔,8000000,201151,82,15
82,#2R8YULVC8,Poland Gaming,8000034,199882,83,12
83,#2QCL99QL,anime,8000023,199640,84,19
84,#28GVVQJG,jojo,8000023,199516,85,30
85,#2V9JQ8G2,Money Moves,8000046,199489,86,28
86,#VUJPUJY,roti raiders,8000008,196801,87,23
87,#2QQYUCPU8,Deutschland,8000013,196314,88,28
88,#9V8RGG29,UNC,8000023,193730,89,16
89,#LY2L0PGY,TRINI_STARS,8000029,186709,90,21
90,#2GQGQGVP,Real Brawlers,8000004,186136,91,16
91,#2URG0JR8,Silent Anarchy,8000006,183381,92,20
92,#JQYJQLUY,Argentina ™♥💪,8000019,179933,93,30
93,#289QQJUL8,STEALTHY GODS 2,8000008,179405,94,17
94,#2C8QJP92L,Padel Boat SA,8000039,178833,95,10
95,#2LPGJGUC,Doom Club,8000029,178032,96,30
96,#299U008VV,<c7>NAPİM😎</c>,8000037,176693,97,26
97,#2JYLR029L,Бездыханный жук,8000029,175115,98,7
98,#GQJPLJLG,jp,8000035,174955,99,27
99,#2C8QG2CPQ,Brawl Orr,8000034,172936,100,30
100,#298GJUGUQ,pumg grup,8000059,172252,101,30
101,#20P08VVU2,Tribe Nation,8000027,171697,102,27
102,#20PLQQGPY,Walking Pillows,8000036,171075,103,28
103,#8CUUPLCR,⛩|Berat.Mahmut|,8000027,171066,104,28
104,#LUJL99GV,AMsquad,8000015,170333,105,29
105,#29RVR090U,| NO MERCY |,8000023,168371,106,10
106,#209GPRULY,Trinidad Q+K,8000029,168075,107,28
107,#2JC0YY2C2,poopyloops,8000029,168034,108,27
108,#2L88YULP8,Ölüm masası,8000012,168002,109,29
109,#YLCJJQP9,티밍 방지 협회 #2,8000010,167984,110,26
110,#2PU0LQ82C,SuperGameUA,8000021,166683,111,30
111,#2YRPCUVR8,DA BROZ,8000016,166683,112,28
112,#29G0PJV88,rabo de cavalo,8000014,166638,113,27
113,#UCLCV2Y9,ˡᵒʰ|ギルド🥀,8000009,165327,114,13
114,#28RUGV0,Trinibantons,8000003,165028,115,30
115,#L2RJCVGL,REAPERS,8000000,164772,116,17
116,#G90LV,Clan Saga,8000021,163950,117,19
117,#2JUYJC2L8,Brawl Masters,8000023,162767,118,30
118,#UPCR9CYC,брошка топ,8000028,161253,119,23
119,#RYJ0QQJ,All_the_sauce,8000028,160930,120,10
120,#LG0CVQCU,Клан ПыЖона,8000013,160609,121,13
121,#UY09P89J,🇦🇿AZE🇹🇷TR,8000029,160587,122,28
122,#29290999R,Flame™️ Crown,8000029,160562,123,11
123,#RPLYLPCQ,Dream team,8000029,160510,124,28
124,#22JRCLJR2,Instant Ambush,8000026,160126,125,26
125,#2R0GCLUYV,крутые парни,8000056,159614,126,25
126,#20Y92LCL9,KüfürsüzTürk,8000029,158634,127,20
127,#28Y0JY0JP,zagrebacka,8000015,157421,128,30
128,#2G0LUPCVC,топеры,8000012,155936,129,29
129,#G0U8YGV9,my game over,8000016,155800,130,30
130,#9V8QPU2,TRINI,8000015,152915,131,30
131,#29PRLCPYL,LMJE,8000022,149232,132,27
132,#VQPY2LCQ,CRAKEDNOOB,8000029,148356,133,12
133,#2029LURYQ,ТРОЛЕЙБУСНАЯ 82,8000059,146274,134,18
134,#2LYRYY9UL,😩😘😻,8000003,145807,135,30
135,#2QJCULU8Y,🇦🇿😂🇹🇷,8000003,145016,136,21
136,#299JUQG9P,the rip_club,8000007,144320,137,15
137,#C28R2G8P,FPMS falcons,8000025,142574,138,11
138,#2G98G8GG9,Samokat.ua,8000034,140926,139,20
139,#2PCYL8QV2,Adam Olan Gelir,8000016,140635,140,27
140,#9PPJC9,Dark Victory™,8000011,140622,141,26
141,#Y8PV0PUU,malyılmaz,8000025,140588,142,29
142,#2G0PLL9RL,luka20nice,8000034,140197,143,30
143,#2QV0LRQ2G,Trini Zessers,8000007,139713,144,17
144,#2080QVL9U,joio,8000006,139658,145,30
145,#QGYR0L2P,Anime crew,8000039,139608,146,30
