,tag,name,badgeId,trophies,rank,memberCount
0,#22VJVVU9U,CLUB LASHAB,8000016,1360777,1,30
1,#GU0LVPYQ,TUNISIAN ALIENS,8000056,1360709,2,30
2,#2G9J0VV9C,Paradise™,8000021,1343066,3,29
3,#VQRL8P2,Tunisian Stars,8000018,1222063,4,29
4,#PUL9JPQQ,TUN|LEGENDS😏,8000023,1178063,5,27
5,#2YCLCQJ8L,The Tunisians,8000037,1129527,6,30
6,#2RGUYYJGR,أبطل العرب,8000041,1096306,7,29
7,#2Y9QVJPJY,BLACK SHARK 🦈,8000033,1067555,8,30
8,#2LLLV2L9P,FT$ Division,8000037,1042359,9,30
9,#2YVL2GU8,tatto,8000029,1037546,10,30
10,#2JU9LU92R,mrz,8000023,1000860,11,30
11,#29QPRUG0L,(⁠✧STARƪ✓,8000014,966244,12,30
12,#2JRRJ9CUP,coming soon,8000053,956608,13,30
13,#LL9YPL9J,brotherhood,8000007,927524,14,30
14,#28VU9CP90,ليوردس Leordas,8000021,904234,15,30
15,#Q9YLVCL9,V.CLUB,8000037,903370,16,30
16,#2CP8J9Y8J,TUNISIA TM🇹🇳,8000036,895897,17,29
17,#2QVQ9V0CC,🃏THE JOKERS🃏,8000050,894643,18,27
18,#L8RUL9LU,Best friends ✨,8000029,888860,19,30
19,#29LJJQ9LC,🇹🇳تونس 🇹🇳,8000017,885488,20,28
20,#20C8YYVUC,Tunisian Eagles,8000053,878643,21,30
21,#Q9PCVVLV,✓clan tunisia✓,8000031,857349,22,29
22,#29RLR0VJP,ZB|ZABOUR,8000041,854328,23,28
23,#2CLPCYVYQ,💯⭐STAR_TEAM⭐🏝,8000018,854162,24,30
24,#29J8QPLQQ,MUSTANG🇹🇳🐎,8000000,841698,25,29
25,#2JGUYU0JL,ÏS|TÊÂM KH,8000055,830855,26,30
26,#QL88UVU2,🦊🍥NARUTO☀️🐸,8000013,811731,27,26
27,#QG9GPPRU,🇹🇳كان توانسة,8000018,801734,28,29
28,#L802YY80,Iam_Groot,8000045,797351,29,29
29,#8PL20UJU,Shinigamia,8000023,781215,30,30
30,#2GJ0PQRL0,Tunisian Stars,8000043,777247,31,30
31,#CJPR2U2V,seif,8000023,760960,32,30
32,#2CQYVC0UG,كفتاجي🇹🇳,8000004,750978,33,30
33,#2GJQ00PL8,AKATSUKI,8000049,746799,34,30
34,#R8L0QGCL,جيش تونس,8000059,746663,35,30
35,#2YRCVRPYJ,MagmaX,8000037,741950,36,29
36,#289RJRPYY,the power trip,8000004,726209,37,30
37,#2UVPPR8C,zmonki bouasba,8000029,717816,38,30
38,#29YY29L8L,عصبان🌶😎💥,8000034,712407,39,30
39,#2JJR90C0Y,Arab Ghosts,8000035,698880,40,30
40,#QQ82LQLV,*Royal,8000029,691757,41,24
41,#28YC0VQRY,شباب❤️وبنات,8000037,681927,42,30
42,#QQUC8YQQ,giga chads TN,8000038,676020,43,30
43,#QJY89RJ9,one_piece,8000055,674144,44,30
44,#QGJR8Y0Y,🇹🇳TUN|POWER😎,8000055,669901,45,30
45,#9UQGQ298,the 👌 best,8000033,667450,46,29
46,#Q82J8LJL,avanger,8000029,651786,47,30
47,#22RR89RPV,WHOLESOME SQUAD,8000047,649725,48,30
48,#2QV8UC9J2,Akatsuki_TN,8000037,646478,49,24
49,#2YPVQYJGV,NEW TUNISIA,8000037,643752,50,30
50,#2JVY8VQJ9,ARABS TM,8000023,614020,51,29
51,#2R09R2L0Y,Ligue des Clubs,8000043,609367,52,30
52,#2CL000LG0,Mondial club,8000049,599530,53,30
53,#29LLR8L9V,DC*|family*,8000006,585641,54,30
54,#2R82CGQLL,"""SHIROHIGE""",8000000,581150,55,30
55,#2JV2C2GLY,Fire Dragons,8000035,572324,56,30
56,#VJPY8CQY,¥ S H A D O W ¥,8000057,566062,57,30
57,#2LGPRL9LC,noobz,8000039,564050,58,30
58,#29CGUCP22,tunise brawl,8000029,557791,59,29
59,#2P9GL2U08,bazooka,8000057,552028,60,30
60,#2VJUC9JG,Mela Zeby Howa,8000057,550770,61,28
61,#2JP0PPY29,al 5o5,8000059,547035,62,30
62,#V8QGRJYU,The Universe,8000052,546894,63,29
63,#VYRLUYJ,Tunisia BAND,8000018,542009,64,27
64,#8UCQJU2,Sfaxien team,8000023,529608,65,30
65,#29G2CQ29V,chicha,8000023,529278,66,30
66,#29PLY2U2U,تقدم لا تستسلم,8000023,525777,67,17
67,#2C22U8P8G,Arab Stars,8000057,518559,68,29
68,#2JYJU92LQ,1018w,8000023,514969,69,24
69,#2QUYUQYRC,Momo yass,8000037,494006,70,27
70,#2JJPPRVLQ,Bizert,8000049,492261,71,20
71,#2GP90VJQC,MASTER MINDS,8000007,487258,72,27
72,#2JRCCQPLP,pasteque,8000022,483271,73,30
73,#2Q208Q2LC,شيوخ تونس😈,8000055,460280,74,30
74,#2CRJJ0Y2P,Tunisian Stars,8000018,454046,75,18
75,#2CY0Y2G89,GIGA CHIWAWA 🐶,8000023,453349,76,27
76,#QQ00VVJ9,plaza Turbo-Tn,8000013,450366,77,30
77,#JRY090P,francais,8000012,447583,78,29
78,#JGG990V2,boxeur,8000058,445211,79,29
79,#2R8GCJJGV,fulla,8000036,444611,80,19
80,#2CG0PYPCQ,أبطال العرب,8000029,434509,81,30
