,tag,name,badgeId,trophies,rank,memberCount
0,#2G0UCPY80,Бурый Медведь,8000021,4042434,1,30
1,#2QG2CV9YV,Edelweiss🐙,8000021,3648212,2,1
2,#29CJUG0JJ,LA Global,8000027,1985309,3,30
3,#29RV9UV98,ᴅᴀɪʟʏ,8000025,1862203,4,29
4,#29R2GLL0G,₮Ɽ₩`eSports,8000023,1826882,5,30
5,#29JQ2CLLC,NHY E-SporTS,8000035,1803281,6,30
6,#2RG998RQ2,TyM`eSports,8000023,1791624,7,29
7,#29JYUJPUJ,Crønies🀄,8000034,1770369,8,30
8,#2LR8YU8JJ,Turkish Shadow,8000021,1755423,9,30
9,#2RUUR2GJV,Slorien,8000007,1721267,10,30
10,#298LQ0RGC,Dr eSports,8000023,1710324,11,30
11,#2JLU9L9P8,XP|REALM,8000027,1708450,12,30
12,#2CRY2GR9R,RAXENS~,8000059,1705479,13,29
13,#2J20ULCPV,<c7>A J N</c>,8000029,1681531,14,30
14,#290VQC22C,AE|JusT Play,8000006,1667666,15,30
15,#2CP8LR9C8,<c0>KaSırGa</c>,8000025,1632183,16,30
16,#2RCRPCCYR,NᴇᴠᴇʀMɪɴᴅ,8000023,1613941,17,30
17,#2QRVC92YJ,𝙳𝚊𝚛𝚔🥀,8000037,1593277,18,30
18,#2CJY0U00G,<c0>ＬＯＮＥＬＹ★</c>,8000023,1582479,19,30
19,#2Y8JCY2PJ,F▪I▪E▪R▪Y,8000049,1578198,20,30
20,#290820URQ,AntiÇağYT,8000056,1572433,21,29
21,#2CQ29PJ9P,P4SSANGERS,8000003,1571222,22,28
22,#2Q09Y8G0V,GARLOŞ,8000007,1557547,23,30
23,#RCJQVJJR,๛Shadow Empireツ,8000057,1554089,24,30
24,#LY9PGVY0,BS|KoalisyoN,8000059,1540974,25,30
25,#2CJ0GQ0R8,TWD|REALM,8000059,1528219,26,30
26,#2CC9CJRQ0,Eʟᴇɴᴛʀᴀ❤️‍🔥,8000023,1515560,27,30
27,#2JGVJRC8Y,<c7>ＣＨＡ</c>ＯＳ⭐,8000018,1514156,28,30
28,#28R2822L2,SwordsArm,8000025,1501020,29,30
29,#20GUYQP80,GALATASARAY,8000023,1493759,30,30
30,#22U0J2P2J,Süleyman YTB,8000059,1491864,31,30
31,#G8LR8,FENERBAHÇE,8000018,1481714,32,30
32,#QGLLVRVQ,Unity Castle,8000023,1478788,33,30
33,#29YJYL29R,ŦɌ | EXⱣɆɌŦ•¥,8000025,1474776,34,30
34,#QCY089VL,₮Ɽ₩`Academy,8000023,1473143,35,30
35,#29R9P8JLG,Tribe Turkey,8000023,1469755,36,20
36,#2C8YPUGCR,Tribe Turkey,8000007,1464311,37,30
37,#2GGVJGRLV,Türk Milleti,8000037,1464106,38,25
38,#2YQJJ9YQU,ENVER PAŞA,8000029,1457768,39,28
39,#20CQP2VPG,YT:Bilek Gücü,8000016,1456521,40,28
40,#202GJJ9VY,〆fσяєνєя💘,8000037,1453286,41,30
41,#2LCVL09PG,Let's Go!,8000018,1452380,42,30
42,#2CYQRRRP8,AroZami eSports,8000029,1449758,43,29
43,#2GCC809P9,YT: SnezzY Bs,8000055,1448950,44,28
44,#22UR2P890,AZE❤TURK,8000055,1448127,45,29
45,#2R0CUGGPV,Reaver,8000007,1443568,46,26
46,#29GL9L9RQ,Mezarcı TR,8000023,1441157,47,30
47,#22J90CQ8U,YT:Bilek Gücü 2,8000004,1440744,48,30
48,#C2828,TURKEY ESPORTS,8000023,1439788,49,30
49,#290LJPQGP,Masher Esport,8000023,1435038,50,30
50,#2CJV2J2CG,MasterOfWar,8000037,1433236,51,30
51,#20C0VLG2P,SavageSolo+,8000037,1424953,52,29
52,#2GYLLLCG0,Only masters,8000053,1422354,53,30
53,#29Q0L9LUU,LTR'Esports,8000018,1417277,54,30
54,#2GL088Y8V,Grim Leaders,8000029,1414860,55,29
55,#2LPRQPGVY,KAPTAN MAVİŞ,8000037,1413705,56,28
56,#2GPPGRUQ0,Wild Wrecker,8000021,1408224,57,30
57,#2CJ2P9CL2,Oh My Duo🌖,8000055,1406540,58,27
58,#2C9RVU2UP,Swárxś🩸,8000007,1402638,59,30
59,#2JG00C8JR,<c3>TR</c> Game,8000027,1401911,60,30
60,#280PLJJYR,Oyun Gemisi,8000059,1401086,61,30
61,#22VLVL8QG,Comeback🔥,8000049,1393941,62,28
62,#2YRQGQ0CP,TurkishSoldiers,8000018,1393091,63,30
63,#2QQJCLV20,Mᴏᴏɴ🌜,8000053,1387585,64,30
64,#20VJ9L0JY,Kral Adamlar 😎,8000023,1382133,65,29
65,#2GY0UUJVU,ฬร`is Club✘,8000025,1376422,66,30
